40-11101,http://tshop.r10s.jp/biccamera/cabinet/product/2585/00000003583349_a01.jpg?fitin=700:700,5684.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY,,<!-- -->■高輝度LEDを効率よく照射する配列になっています。<BR><BR>■グローブにフレネルレンズを設けた構造により視認光の面積を高める設計となっています。<BR><BR>■周辺への注意喚起。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■幅(mm):120<BR>■奥行(mm):120<BR>■高さ(mm):155<BR>■電源(V):ＡＣ/ＤＣ24<BR>■消費電力(W):2.0<BR>■色:黄<BR>■モータレスLED<BR>■回転タイプ<BR>■取り付けビスはステンレスを使用<BR>■欧州RoHS指令対応品<ＢＲ>■【材質／仕上げ】　グローブ:アクリル　ボディー:ABS  <BR>■原産国:日本<BR>■質量:530G</td></tr></table></div>,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY：ビックカメラ楽天市場店,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY[rn]
40-11102,http://tshop.r10s.jp/biccamera/cabinet/product/2529/00000003557099_a01.jpg?fitin=700:700,611.2000,,花・ガーデン・DIY > DIY・工具 > その他,ワゴジャパン WAGO　端子台エンドプレート2001・2002シリーズ共用4線式　グレー　10 2002-1491-PK,,<!-- -->■2001シリーズ、2002シリーズ端子台の両シリーズ共用のエンドプレートです。<BR><BR>■端子台片端用絶縁板。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:グレー<BR>■幅(mm):70.0<BR>■高さ(mm):29.2<BR>■厚み（mm）:0.8<BR>■【材質／仕上げ】　66ナイロン  <BR>■原産国:ドイツ<BR>■質量:17G</td></tr></table></div>,ワゴジャパン WAGO　端子台エンドプレート2001・2002シリーズ共用4線式　グレー　10 2002-1491-PK：ビックカメラ楽天市場店,ワゴジャパン WAGO　端子台エンドプレート2001・2002シリーズ共用4線式　グレー　10 2002-1491-PK,ワゴジャパン WAGO　端子台エンドプレート2001・2002シリーズ共用4線式　グレー　10 2002-1491-PK[rn]
40-11103,http://tshop.r10s.jp/biccamera/cabinet/product/2568/00000003584093_a01.jpg?fitin=700:700,3438.4000,,花・ガーデン・DIY > DIY・工具 > その他,パンドウイット パンドウイット　研磨済みSC光コネクタ　シンプレックス　OS1／OS2　FSCSCBU,,<!-- -->■シンプレックスＳＣ光コネクタです。<BR><BR>■900μmバッファー用ブーツ付です。<BR><BR>■2回まで再成端可能です。<BR><BR>■光ファイバー通信に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■タイプ:OS1/OS2<BR>■色:青<BR>■反射減衰量(dB):50以上<BR>■ブーツ色:青<BR>■長さ(mm):56.6<BR>■挿入損失量（平均）：0.3dB<BR>■使用温度範囲：-10～60℃<BR>■屋内用<BR>■挿抜耐久性：500回以上<ＢＲ>■【材質／仕上げ】　合成樹脂　熱可塑性ゴム　ジルコニアセラミック <ＢＲ>■注意・専用工具（FCAMKIT）をご使用ください。・1.6～2.0mmケーブル、3.0mmケーブルへの取り付けは別途専用ブーツをご準備ください。<BR>■原産国:アメリカ<BR>■質量:11G</td></tr></table></div>,パンドウイット パンドウイット　研磨済みSC光コネクタ　シンプレックス　OS1／OS2　FSCSCBU：ビックカメラ楽天市場店,パンドウイット パンドウイット　研磨済みSC光コネクタ　シンプレックス　OS1／OS2　FSCSCBU,パンドウイット パンドウイット　研磨済みSC光コネクタ　シンプレックス　OS1／OS2　FSCSCBU[rn]
40-11104,http://tshop.r10s.jp/biccamera/cabinet/product/1246/00000002103089_a01.jpg?fitin=700:700,2488.0000,,花・ガーデン・DIY > DIY・工具 > その他,アイマーク ステンシル　6　文字サイズ250×125mm　AST84,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■吹付用のステンシルプレートです。<BR><BR>■ポリプロピレンの薄い板のため曲面にそわせて使用することができます。<BR><BR>■材質がポリプロピレンのため、使用後の処理も簡単です。<BR><BR>【用途】<BR>・駐車場などの吹付用プレートに。<BR><BR>【仕様】<BR>表示内容：６、プレートサイズ(mm)：325×430、文字サイズ(mm)：250×125、質量(g)：116<BR>厚み：1mm<BR><BR>【材質／仕上】<BR>■ポリプロピレン(PP)<BR><BR>【原産国】<BR>日本<BR><BR><B>こちらの商品はご購入後の返品をお受けいたしておりません。<BR>サイズ、種類等、再度お確かめの上お求めください。</B>,アイマーク ステンシル　6　文字サイズ250&times;125mm　AST84：ビックカメラ楽天市場店,アイマーク ステンシル　6　文字サイズ250&times;125mm　AST84,AppStore/AndroidMarketでビック楽天を検索。アイマーク ステンシル　6　文字サイズ250&times;125mm　AST84[rn]
40-11105,http://tshop.r10s.jp/biccamera/cabinet/product/2532/00000003560780_a01.jpg?fitin=700:700,5512.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 アイマーク IM　ステンシル　西　文字サイズ250×125mm AST-112,,<!-- -->■吹付用のステンシルプレートです。<BR><BR>■ポリプロピレンの薄い板のため曲面にそわせて使用することができます。<BR><BR>■材質がポリプロピレンのため、使用後の処理も簡単です。<BR><BR>■駐車場などの吹付用プレートに。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■表示内容:西<BR>■プレートサイズ(mm):430×540<BR>■文字サイズ(mm):250×250<BR>■厚み:1mm<BR>■【材質／仕上げ】　ポリプロピレン(PP)  <BR>■原産国:日本<BR>■質量:117G</td></tr></table></div>,【送料無料】 アイマーク IM　ステンシル　西　文字サイズ250&times;125mm AST-112：ビックカメラ楽天市場店,【送料無料】 アイマーク IM　ステンシル　西　文字サイズ250&times;125mm AST-112,【送料無料】 アイマーク IM　ステンシル　西　文字サイズ250&times;125mm AST-112[rn]
40-11106,http://tshop.r10s.jp/biccamera/cabinet/product/2541/00000003557161_a01.jpg?fitin=700:700,170.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＷＡ KOWA　竹バケ　黒毛　9mm 11193,,<!-- -->■細部や隅の塗装に便利です。<BR><BR>■短柄タイプです。<BR><BR>■油性塗料用。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■刷毛幅(mm):9<BR>■毛丈(mm):30<BR>■玉厚(mm):7<BR>■全長(mm):220<BR>■【材質／仕上げ】　山羊毛・豚毛　柄：竹  <BR>■原産国:中国<BR>■質量:10G</td></tr></table></div>,ＫＯＷＡ KOWA　竹バケ　黒毛　9mm 11193：ビックカメラ楽天市場店,ＫＯＷＡ KOWA　竹バケ　黒毛　9mm 11193,ＫＯＷＡ KOWA　竹バケ　黒毛　9mm 11193[rn]
40-11107,http://tshop.r10s.jp/biccamera/cabinet/product/2532/00000003564407_a01.jpg?fitin=700:700,559.2000,,花・ガーデン・DIY > DIY・工具 > その他,品川商工 品川商工　ナイロンクリップ　50個入り SL-24N,,<!-- -->■内側のエッジ部は丸味を帯びているので、電線被覆を傷つけません。<BR><BR>■SL-14N～SL-32Nは、収束径を変えることができます。<BR><BR>■配線束、ケーブルのビス固定用クリップ。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:ナチュラル<BR>■E(mm):11.9<BR>■B(mm):19.9<BR>■C(mm):11.9<BR>■A(mm):27.8<BR>■t (mm):1.8<BR>■W(mm):12.7<BR>■φd(mm):5.1<BR>■固定時の内径(mm)外穴:37.3<BR>■固定時の内径(mm)中穴:35<BR>■固定時の内径(mm)内穴:31.2<BR>■屋内用<BR>■UL規格認定品<BR>■定格85℃<BR>■【材質／仕上げ】　ナイロン66(UL94V-2)  <BR>■原産国:日本<BR>■質量:176G</td></tr></table></div>,品川商工 品川商工　ナイロンクリップ　50個入り SL-24N：ビックカメラ楽天市場店,品川商工 品川商工　ナイロンクリップ　50個入り SL-24N,品川商工 品川商工　ナイロンクリップ　50個入り SL-24N[rn]
40-11108,http://tshop.r10s.jp/biccamera/cabinet/product/0309/00000001549905_a01.jpg?fitin=700:700,2488.0000,,花・ガーデン・DIY > DIY・工具 > その他,日動電工 プルボックス（平蓋）（HIアイボリー） PB202010JHW,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■高耐候性・耐衝撃性樹脂を使用し、グレードアップしました。<BR><BR>【用途】<BR>・ボックス内で電線の接続、分岐などに。<BR><BR>【仕様】<BR>色：アイボリー、高さ(mm)：100、横(mm)：200、縦(mm)：200、質量(kg)：0.95<BR>高耐候性・耐衝撃性の樹脂を使用<BR><BR>【材質/仕上】<BR>■硬質塩化ビニール<BR><BR>【原産国】<BR>日本,日動電工 プルボックス（平蓋）（HIアイボリー） PB202010JHW：ビックカメラ楽天市場店,日動電工 プルボックス（平蓋）（HIアイボリー） PB202010JHW,AppStore/AndroidMarketでビック楽天を検索。日動電工 プルボックス（平蓋）（HIアイボリー） PB202010JHW[rn]
40-11109,http://tshop.r10s.jp/biccamera/cabinet/product/0155/00000001458607_a01.jpg?fitin=700:700,386.4000,,花・ガーデン・DIY > DIY・工具 > その他,アイマーク 押ボタン／セレクトスイッチ（メガネ銘板）　運転　黒　φ22.5　P222,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■書体：丸ゴシック（JIS書体）<BR><BR>【用途】<BR>・配電盤・分電盤・制御盤・電気通信機器・工業機械などに取り付け、その名称・用途・機能を表示します。<BR><BR>【仕様】<BR>厚み(mm)：2、縦(mm)：40、横(mm)：30、表示内容：運転、文字色：黒、穴径(mm)：22.5、質量(g)：2<BR>穴径：22.5mm<BR><BR>【材質/仕上】<BR>■透明アクリル（裏面白地塗装）<BR><BR>【原産国】<BR>日本,アイマーク 押ボタン／セレクトスイッチ（メガネ銘板）　運転　黒　φ22.5　P222：ビックカメラ楽天市場店,アイマーク 押ボタン／セレクトスイッチ（メガネ銘板）　運転　黒　φ22.5　P222,AppStore/AndroidMarketでビック楽天を検索。アイマーク 押ボタン／セレクトスイッチ（メガネ銘板）　運転　黒　φ22.5　P222[rn]
40-11110,http://tshop.r10s.jp/biccamera/cabinet/product/1704/00000003189305_a01.jpg?fitin=700:700,248.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハギテック KBS5,,<!-- -->■ケーシングチューブ端末処理用キャップです。<BR>■ねじ止めタイプでチューブにコネクタをねじ込んでビスで固定します。<BR>■チューブの切り口で光ファイバーやケーブルを傷つけるのを防ぎます。<BR>■ＲｏＨＳ対応品です。<BR><BR>【用途】<BR>■センサー保護用チューブ端末コネクタとして計測器、センサー機器、ロボット、アミューズメント機器などの取り出し部分などに。<BR><BR>【仕様】<BR>外径(mm)：9、長さ(mm)：10、開口(mm)：φ5、ビスサイズ(mm)：M2×2L：[[(-)]]、適用チューブ：KS-5N、質量(g)：1.8<BR><BR>【材質/仕上】<BR>■真鍮（LCD材）■表面処理：無電解ニッケルメッキ<BR><BR>【原産国】<BR>日本,ハギテック KBS5：ビックカメラ楽天市場店,ハギテック KBS5,ハギテック KBS5[rn]
40-11111,http://tshop.r10s.jp/biccamera/cabinet/product/1703/00000003187281_a01.jpg?fitin=700:700,688.8000,,花・ガーデン・DIY > DIY・工具 > その他,ワゴジャパン フェルール　圧着端子　FE-0．75-6N-GY　100個入　216222PK,,<!-- -->■ヨーロッパ式の棒端子で、より線の棒端子化が可能です。<BR>■ばらけ防止や細い線の強度アップに効果を発揮します。<BR><BR>【仕様】<BR>電線抱合範囲より線mm[[の2乗]]：0.75、電線抱合範囲AWG：18/20、色：グレー、L1(mm)：6、L(mm)：12.0、Ｄ(mm)：3.3、D1(mm)：2.8、D2(mm)：1.3、質量(g/パック)：25.10<BR><BR>【材質/仕上】<BR>■フェルール：銅、錫メッキ■絶縁カラー：ポリプロピレン<BR><BR>【原産国】<BR>ドイツ,ワゴジャパン フェルール　圧着端子　FE-0．75-6N-GY　100個入　216222PK：ビックカメラ楽天市場店,ワゴジャパン フェルール　圧着端子　FE-0．75-6N-GY　100個入　216222PK,ワゴジャパン フェルール　圧着端子　FE-0．75-6N-GY　100個入　216222PK[rn]
