40-10801,http://tshop.r10s.jp/biccamera/cabinet/product/1687/00000003181714_a01.jpg?fitin=700:700,1969.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＴＮ G　ベアリングユニット 　UCFC205D1,,<!-- -->●軸受箱の取り付け面に円筒状の印ろうを設け、フレームにはめ込む形式になっており、取り付けの際に偏芯が少なく、位置決めも正確です。<BR><BR>【用途】<BR>●ドラムプーリなどに。<BR><BR>【仕様】<BR>●軸径(mm)：25●全長(mm)：115●全高(mm)：115●取付ピッチ(mm)：90●取付ねじ：M10●質量(kg)：1<BR>●給油式印ろう付き丸フランジ形●止めねじ式●使用温度範囲：-15～100℃<BR><BR>【材質/仕上】<BR>●軸受：高炭素クロム軸受鋼●軸受箱：鋳鉄<BR><BR>【原産国】<BR>日本,ＮＴＮ G　ベアリングユニット 　UCFC205D1：ビックカメラ楽天市場店,ＮＴＮ G　ベアリングユニット 　UCFC205D1,ＮＴＮ G　ベアリングユニット 　UCFC205D1[rn]
40-10802,http://tshop.r10s.jp/biccamera/cabinet/product/1683/00000003179859_a01.jpg?fitin=700:700,2635.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＫＤ ニュージョイントステンレスタイプ（D形チーズ）　ZWT1010DP4,,<!-- -->●ボディ、プッシュリングは難燃性樹脂を採用●金属部品は、すべてステンレス標準採用<BR><BR>【用途】<BR>●チューブの接続<BR><BR>【仕様】<BR>●適合チューブ外径D(mm)：10●接続口径：R3/8●質量(g)：46<BR>●使用圧力範囲：－100kPa～1.0MPa●流体温度：0～60℃(凍結なきこと)<BR><BR>【材質/仕上】<BR>●本体：ステンレス（SUS304）+ポリブチレンテレフタレート（PBT）●シールゴム：ニトリルゴム<BR><BR>【原産国】<BR>日本,ＣＫＤ ニュージョイントステンレスタイプ（D形チーズ）　ZWT1010DP4：ビックカメラ楽天市場店,ＣＫＤ ニュージョイントステンレスタイプ（D形チーズ）　ZWT1010DP4,ＣＫＤ ニュージョイントステンレスタイプ（D形チーズ）　ZWT1010DP4[rn]
40-10803,http://tshop.r10s.jp/biccamera/cabinet/product/1094/00000002012631_a01.jpg?fitin=700:700,4820.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 パンドウイット ナイロン結束バンド　耐候性黒　PLT7LHL0 （1袋50本）,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■電気・電子・通信・一般配線工事など幅広く使用できます。<BR><BR>■耐紫外線性に優れた製品です。<BR><BR>【用途】<BR>・ワイヤー、ケーブルなどの結束。<BR><BR>【仕様】<BR>色：黒、幅(mm)：7．6、長さ(mm)：627、厚み(mm)：1．9、最大結束径(mm)：178、引張強度(N)：534、質量(g)：590<BR>屋内・屋外用、UL規格品、使用温度範囲：-60~85℃<BR><BR>【材質/仕上】<BR>■耐候性ナイロン66<BR><BR>【原産国】<BR>アメリカ,【送料無料】 パンドウイット ナイロン結束バンド　耐候性黒　PLT7LHL0 （1袋50本）：ビックカメラ楽天市場店,【送料無料】 パンドウイット ナイロン結束バンド　耐候性黒　PLT7LHL0 （1袋50本）,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 パンドウイット ナイロン結束バンド　耐候性黒　PLT7LHL0 （1袋50本）[rn]
40-10804,http://tshop.r10s.jp/biccamera/cabinet/product/1701/00000003187532_a01.jpg?fitin=700:700,2660.8000,,花・ガーデン・DIY > DIY・工具 > その他,パンドウイット スタストラップ　ナイロン結束バンド　ナチュラル　SST3SC （1袋100本）,,<!-- -->■ヘッドと結束バンドが二体成形になっています。<BR>■挿入しやすく、完全に締めつける前であれば取り外すことができます。<BR><BR>【用途】<BR>■ケーブル、電線の結束に。<BR><BR>【仕様】<BR>色：ナチュラル、幅(mm)：4.6、長さ(mm)：279、厚み(mm)：1.2、最大結束径(mm)：76、引張強度(N)：22.7、質量(g)：192<BR>屋内用、使用温度範囲：-60～85℃、UL、CSA規格品<BR><BR>【材質/仕上】<BR>■ナイロン６６<BR><BR>【原産国】<BR>シンガポール,パンドウイット スタストラップ　ナイロン結束バンド　ナチュラル　SST3SC （1袋100本）：ビックカメラ楽天市場店,パンドウイット スタストラップ　ナイロン結束バンド　ナチュラル　SST3SC （1袋100本）,パンドウイット スタストラップ　ナイロン結束バンド　ナチュラル　SST3SC （1袋100本）[rn]
40-10805,http://tshop.r10s.jp/biccamera/cabinet/product/1780/00000003182974_a01.jpg?fitin=700:700,60.8000,,花・ガーデン・DIY > DIY・工具 > その他,光 スポンジ　厚10mm×70mm丸　KSR170,,<!-- -->●反発弾性に優れています。<BR>●気密・水密性が良いです。<BR>●加工性が良いです。<BR><BR>【用途】<BR>●クッション材、防音材。70<BR><BR>【仕様】<BR>●厚み(mm)：10●色：黒●径(mm)：70●質量(g)：3<BR>●使用温度範囲：-20～60℃●色：黒<BR><BR>【材質/仕上】<BR>●天然ゴム(NR)<BR><BR>【原産国】<BR>中国,光 スポンジ　厚10mm&times;70mm丸　KSR170：ビックカメラ楽天市場店,光 スポンジ　厚10mm&times;70mm丸　KSR170,光 スポンジ　厚10mm&times;70mm丸　KSR170[rn]
40-10806,http://tshop.r10s.jp/biccamera/cabinet/product/1248/00000002103716_a01.jpg?fitin=700:700,610.4000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ナイロン結束バンド　幅3．7mmX長さ290mm　100本入　TRJ300S,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■目通しがとても軽く、耐衝撃性に優れた標準タイプの結束バンドです。<BR><BR>■屋内使用に適しています。<BR><BR>■スムーズな目通しできっちりしまり、様々な方法で使用できる汎用性の高いナイロン結束バンドです。<BR><BR>【用途】<BR>・ワイヤ、ケーブル、ホースなどの結束に。<BR><BR>【仕様】<BR>色：白、幅(mm)：3.7、長さ(mm)：290、厚み(mm)：1.3、最大結束径(mm)：76、引張強度(N)：178、質量(g)：180<BR>屋内用、使用温度範囲：-59～85℃<BR><BR>【材質／仕上】<BR>■標準ナイロン66<BR><BR>【注意】<BR>・使用温度範囲は-59℃～85℃です。<BR><BR>【原産国】<BR>シンガポール,トラスコ中山 ナイロン結束バンド　幅3．7mmX長さ290mm　100本入　TRJ300S：ビックカメラ楽天市場店,トラスコ中山 ナイロン結束バンド　幅3．7mmX長さ290mm　100本入　TRJ300S,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ナイロン結束バンド　幅3．7mmX長さ290mm　100本入　TRJ300S[rn]
40-10807,http://tshop.r10s.jp/biccamera/cabinet/product/2603/00000003582625_a01.jpg?fitin=700:700,205.6000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 TRUSCO　ショートプランジャー　M10　スチールピン　T10ST,,<!-- -->■本体・ピンがスチール製のマイナス溝付スプリングプランジャーです。<BR><BR>■本体ねじ部を回すことにより、ピンの押付圧を調整可能。位置決め、固定用。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■荷重(N):19～42<BR>■ねじ寸法:M10×1.50<BR>■ストローク(mm):2.5<BR>■全長(mm):19<BR>■センターピン径(mm):4.5<BR>■耐熱温度:250度<ＢＲ>■【材質／仕上げ】　本体:スチール　センターピン:スチール、焼入れ  <BR>■原産国:ドイツ<BR>■質量:7.1G</td></tr></table></div>,トラスコ中山 TRUSCO　ショートプランジャー　M10　スチールピン　T10ST：ビックカメラ楽天市場店,トラスコ中山 TRUSCO　ショートプランジャー　M10　スチールピン　T10ST,トラスコ中山 TRUSCO　ショートプランジャー　M10　スチールピン　T10ST[rn]
40-10808,http://tshop.r10s.jp/biccamera/cabinet/product/0783/00000001828393_a01.jpg?fitin=700:700,2400.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 アジャスターボルト　M20X130　足止めプレート付　ステンレス製　SUSTE220X130,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■床面に固定するためのアンカー穴が付いています。<BR><BR>■台座部に穴を設け、床面にアンカーで固定できます。激しい振動などで対象機器が移動しないために使用します。<BR><BR>【用途】<BR>・工作機械、自動販売機、コンベヤ、作業台、制御盤、理化学機械。<BR><BR>【仕様】<BR>許容荷重(kg)：600、ねじ寸法：M20×2.50、ねじ長さ(mm)：130、全高(mm)：160、台座径(mm)：75、<BR>許容荷重(N)：5880、質量(g)：570<BR>推奨アンカーサイズ：M12<BR><BR>【材質/仕上】<BR>■ねじ：ステンレス(SUS304)■台座：ステンレス(SUS304)<BR><BR>【原産国】<BR>中国,トラスコ中山 アジャスターボルト　M20X130　足止めプレート付　ステンレス製　SUSTE220X130：ビックカメラ楽天市場店,トラスコ中山 アジャスターボルト　M20X130　足止めプレート付　ステンレス製　SUSTE220X130,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 アジャスターボルト　M20X130　足止めプレート付　ステンレス製　SUSTE220X130[rn]
40-10809,http://tshop.r10s.jp/biccamera/cabinet/product/0468/00000001643132_a01.jpg?fitin=700:700,836.0000,,花・ガーデン・DIY > DIY・工具 > その他,スガツネ工業 トルクヒンジHG－TA型左用（170－012－404）　HGTA20L,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■任意の角度を保持できるフリーストップ仕様です。<BR><BR>■作動範囲内の往復のトルクは一定です。<BR><BR>■作動範囲0～180°です。<BR><BR>【用途】<BR>・液晶モニターや監視カメラなど。<BR><BR>【仕様】<BR>定格トルク(N・m)：2.0、質量(g)：30<BR>左用<BR><BR>【材質/仕上】<BR>■本体：ステンレス（SUS304）■スプリングワッシャー：鋼<BR><BR>【注意】<BR>・連続使用の目的には設計しておりません。断続的に手動で動かす箇所にご使用下さい。<BR>・潤滑剤を塗布しないで下さい。<BR>・屋外や粉塵の発生する場所でのご使用は、性能を著しく損なう恐れがありますのでおやめ下さい。<BR><BR>【原産国】<BR>日本,スガツネ工業 トルクヒンジHG&minus;TA型左用（170&minus;012&minus;404）　HGTA20L：ビックカメラ楽天市場店,スガツネ工業 トルクヒンジHG&minus;TA型左用（170&minus;012&minus;404）　HGTA20L,AppStore/AndroidMarketでビック楽天を検索。スガツネ工業 トルクヒンジHG&minus;TA型左用（170&minus;012&minus;404）　HGTA20L[rn]
40-10810,http://tshop.r10s.jp/biccamera/cabinet/product/1698/00000003183341_a01.jpg?fitin=700:700,559.2000,,花・ガーデン・DIY > DIY・工具 > その他,イマオコーポレーション オーバルグリップレバー　20×100　M6　OGL6×100[OGL6X100],,<!-- -->●オーバルグリップを取り付けた標準レバーです。<BR><BR>【仕様】<BR>●ねじ寸法：M6×1.00●ねじ長さ(mm)：12●レバー長さ(mm)：100●質量(g)：47●グリップ径(mm)：20<BR>●耐熱温度：90℃<BR><BR>【材質/仕上】<BR>●グリップ：ポリアミド●シャフト：スチール<BR><BR>【原産国】<BR>日本,イマオコーポレーション オーバルグリップレバー　20&times;100　M6　OGL6&times;100[OGL6X100]：ビックカメラ楽天市場店,イマオコーポレーション オーバルグリップレバー　20&times;100　M6　OGL6&times;100[OGL6X100],イマオコーポレーション オーバルグリップレバー　20&times;100　M6　OGL6&times;100[OGL6X100][rn]
40-10811,http://tshop.r10s.jp/biccamera/cabinet/product/1870/00000003258568_a01.jpg?fitin=700:700,740.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ ピン付六角穴ボタンボルト ステンレス Ｍ４Ｘ６ １５本入 Ｂ１０３－０４０６,,<!-- -->■六角穴の中央にピンが立っている形状のため、通常の工具での取り外しができません。<BR><BR>【仕様】<BR>寸法(mm)d×L:M4×6<BR>強度区分:A2-50相当<BR><BR>【材質/仕上】<BR>■ステンレス(A2)<BR><BR>【原産国】<BR>日本,トラスコ中山 ＴＲＵＳＣＯ ピン付六角穴ボタンボルト ステンレス Ｍ４Ｘ６ １５本入 Ｂ１０３&minus;０４０６：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ ピン付六角穴ボタンボルト ステンレス Ｍ４Ｘ６ １５本入 Ｂ１０３&minus;０４０６,トラスコ中山 ＴＲＵＳＣＯ ピン付六角穴ボタンボルト ステンレス Ｍ４Ｘ６ １５本入 Ｂ１０３&minus;０４０６[rn]
40-10812,http://tshop.r10s.jp/biccamera/cabinet/product/2544/00000003564335_a01.jpg?fitin=700:700,1451.2000,,花・ガーデン・DIY > DIY・工具 > その他,エンジニア エンジニア　SMD逆作用ピンセット PT-28,,<!-- -->■通常のピンセットでは作業の困難な高密度SMDチップ部品の取り扱いに最適です。<BR><BR>■耐食性にも優れ、先端の摩耗もありません。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■全長(mm):138<BR>■幅(mm):10<BR>■先端:コの字型タイプ<BR>■つまみ荷重(g):-<BR>■【材質／仕上げ】　ステンレス（SUS304）  <BR>■原産国:日本<BR>■質量:25G</td></tr></table></div>,エンジニア エンジニア　SMD逆作用ピンセット PT-28：ビックカメラ楽天市場店,エンジニア エンジニア　SMD逆作用ピンセット PT-28,エンジニア エンジニア　SMD逆作用ピンセット PT-28[rn]
40-10813,http://tshop.r10s.jp/biccamera/cabinet/product/2594/00000003579163_a01.jpg?fitin=700:700,326.4000,,花・ガーデン・DIY > DIY・工具 > その他,ダイドーハント ハント ピッタリサポート ニッケル I200 N 3×15×195mm 00065873,,<!-- -->■3つの形状(先端V字、T穴、I穴)でピッタリフィットします。<BR><BR>■ジョイント及びあらゆる補強に。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■梱包数(個):1<BR>■板厚(mm):3<BR>■幅W(mm):15<BR>■長さL(mm):195<BR>■ビス：ピッタリサポート専用　ツライチ仕上げ。<BR>■ボルト：ピッタリサポートをボルトでしっかり留め付ける。<BR>■【材質／仕上げ】　スチール　表面処理:ニッケルメッキ  <BR>■原産国:中国<BR>■質量:47G</td></tr></table></div>,ダイドーハント ハント ピッタリサポート ニッケル I200 N 3&times;15&times;195mm 00065873：ビックカメラ楽天市場店,ダイドーハント ハント ピッタリサポート ニッケル I200 N 3&times;15&times;195mm 00065873,ダイドーハント ハント ピッタリサポート ニッケル I200 N 3&times;15&times;195mm 00065873[rn]
