40-10101,http://tshop.r10s.jp/biccamera/cabinet/product/1951/00000003132312_a01.jpg?fitin=700:700,1019.2000,,花・ガーデン・DIY > DIY・工具 > その他,朝日産業 ムシポンカートリッジ5個入り　緑　S20,,<!-- -->■未使用状態で5年、使用状態で2~3年粘着力が落ちません。<BR><BR>■最大捕獲数2万匹の優れた捕獲力があります。<BR><BR>■保持力が低下せず、液ダレしないムシポン専用強力のりを使用しています。<BR><BR>【用途】<BR>・印刷工場、塗装工場。<BR>・薬品工場、化学工場。<BR>・食品工場、飲料メーカー。<BR>・スーパー、外食産業。<BR><BR>【仕様】<BR>適合機種：MPS-2000、MPX-2000、質量(g)：100<BR><BR>【原産国】<BR>日本,朝日産業 ムシポンカートリッジ5個入り　緑　S20：ビックカメラ楽天市場店,朝日産業 ムシポンカートリッジ5個入り　緑　S20,朝日産業 ムシポンカートリッジ5個入り　緑　S20[rn]
40-10102,http://tshop.r10s.jp/biccamera/cabinet/product/1951/00000003132315_a01.jpg?fitin=700:700,22178.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 朝日産業 捕虫器　「ムシポンポケット2」　20W　壁掛け型　インテリアタイプ　MPP2,,<!-- -->■反射プレートの採用により、従来比で捕獲力30％アップしました。<BR><BR>■捕獲された虫は誰の目にも触れることなくポケットの中で処理されます。<BR><BR>■通常の蛍光灯の130倍の誘虫効果のランプを搭載しています。<BR><BR>■電撃殺虫器のように高電圧を使っていないのでバチバチ音や虫の飛散もなく安全無害です。<BR><BR>【用途】<BR>・店舗、工場、病院などで。<BR>・店舗、工場、病院等で。<BR><BR>【仕様】<BR>有効面積([[平米]])：30~50、電源(V)：100、消費電力(W)：20、誘虫ランプ：FCL20BL、20W（1灯）、本体寸法(mm)幅×奥行×高さ：410×165×315、質量(kg)：1．6<BR><BR>【材質/仕上】<BR>■ABS樹脂<BR><BR>【セット内容/付属品】<BR>■捕虫テープ（S-8）5個■取付金具<BR><BR>【原産国】<BR>日本,【送料無料】 朝日産業 捕虫器　「ムシポンポケット2」　20W　壁掛け型　インテリアタイプ　MPP2：ビックカメラ楽天市場店,【送料無料】 朝日産業 捕虫器　「ムシポンポケット2」　20W　壁掛け型　インテリアタイプ　MPP2,【送料無料】 朝日産業 捕虫器　「ムシポンポケット2」　20W　壁掛け型　インテリアタイプ　MPP2[rn]
40-10103,http://tshop.r10s.jp/biccamera/cabinet/product/1778/00000003192645_a01.jpg?fitin=700:700,3611.2000,,花・ガーデン・DIY > DIY・工具 > その他,スナップオンツールズ 絶縁工具　T型ハンドル　3／8　OLC656072A,,<!-- -->■１０００Ｖ絶縁仕様です。<BR>■ＩＥＣ６０９００規格品です。<BR>■成型樹脂の絶縁被膜により今までにない被膜の薄さを実現しました。<BR>■スペースのない箇所での作業にも最適です。<BR>■ソケット脱落による事故を防止するため、ソケット差込部にロック機能付です。<BR><BR>【用途】<BR>■電気自動車及びハイブリッド車、一般低電圧作業用<BR><BR>【仕様】<BR>差込角（ｍｍ）：９．５、全長（ｍｍ）：２２０、質量（ｇ）：３５０、ハンドル部長さ（ｍｍ）：２１０<BR><BR>【注意】<BR>■金属部は絶縁されておりません。<BR><BR>【原産国】<BR>台湾,スナップオンツールズ 絶縁工具　T型ハンドル　3／8　OLC656072A：ビックカメラ楽天市場店,スナップオンツールズ 絶縁工具　T型ハンドル　3／8　OLC656072A,スナップオンツールズ 絶縁工具　T型ハンドル　3／8　OLC656072A[rn]
40-10104,http://tshop.r10s.jp/biccamera/cabinet/product/1844/00000003257562_a01.jpg?fitin=700:700,18005.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺９ｍｍ ＡＭＣＩ－１／２Ｄ９ＭＭ,,<!-- -->■インパクト用スタンダードタイプの六角ソケットです。<BR>■石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<BR>■米国認定機関FMRC認定取得しています。<BR><BR>【仕様】<BR>二面幅寸法(mm)：9、全長(mm)：30、質量(g)：70<BR><BR>【材質/仕上】<BR>■ニッケルアルミ銅合金<BR><BR>【原産国】<BR>アメリカ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺９ｍｍ ＡＭＣＩ&minus;１／２Ｄ９ＭＭ：ビックカメラ楽天市場店,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺９ｍｍ ＡＭＣＩ&minus;１／２Ｄ９ＭＭ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺９ｍｍ ＡＭＣＩ&minus;１／２Ｄ９ＭＭ[rn]
40-10105,http://tshop.r10s.jp/biccamera/cabinet/product/1729/00000003193079_a01.jpg?fitin=700:700,31992.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ハマコＳＳ 片口メガネレンチ（60度）　CBKO50,,<!-- -->■摩擦や衝撃を加えても火花が出ない工具です。<BR>■無発火性の他、非磁性や耐蝕性にも優れています。<BR>■米国認定機関　ＦＭ　Ａｐｐｒｏｖａｌｓ認定取得済みです。<BR><BR>【用途】<BR>■化学工業、石油、製鉄、ガス産業、爆薬製造工場、造船所、航空業界、船舶搭載用、火力発電所、製薬工場、アルミ精製所、製粉工場、医療機器メンテナンス現場、クリーンルーム他。<BR><BR>【仕様】<BR>二面幅寸法（ｍｍ）：５０、全長（ｍｍ）：４００、質量（ｇ）：１３６０<BR><BR>【材質/仕上】<BR>■ベリリュウム銅合金<BR><BR>【原産国】<BR>中国,【送料無料】 ハマコＳＳ 片口メガネレンチ（60度）　CBKO50：ビックカメラ楽天市場店,【送料無料】 ハマコＳＳ 片口メガネレンチ（60度）　CBKO50,【送料無料】 ハマコＳＳ 片口メガネレンチ（60度）　CBKO50[rn]
40-10106,http://tshop.r10s.jp/biccamera/cabinet/product/1782/00000003192589_a01.jpg?fitin=700:700,8372.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ＫＮＩＰＥＸ社 絶縁1000Vケーブルカッター 200mm 9516200,,<!-- -->■欧州規格ＥＮ６０９００適合品で１０００Ｖ絶縁仕様です。<BR>■銅およびアルミの単線・複合線を切断することができます。<BR>■ブレードは精密に研磨され、焼き入れ処理が施されています。<BR>■ケーブルを変形させず、綺麗に切断することができます。<BR>■片手で簡単に作業できます。<BR>■イニシャルカット（先端側の刃を用いる予備切断）とファイナルカット（根元側の刃を用いる最終切断）を順に行うことで、直径２０ｍｍまでのケーブルを切断することができます。<BR>■スクリュージョイントは調節可能です。<BR>■鍛造ボディーにより大変頑丈です。<BR><BR>【仕様】<BR>全長（ｍｍ）：２００、質量（ｇ）：３４０、切断能力：単線２０ｍｍ／より線７０ｍｍ［［の２乗］］／ＡＷＧ　２／０<BR><BR>【注意】<BR>■スチールワイヤーの切断はできません。<BR><BR>【原産国】<BR>ドイツ,【送料無料】 ＫＮＩＰＥＸ社 絶縁1000Vケーブルカッター 200mm 9516200：ビックカメラ楽天市場店,【送料無料】 ＫＮＩＰＥＸ社 絶縁1000Vケーブルカッター 200mm 9516200,【送料無料】 ＫＮＩＰＥＸ社 絶縁1000Vケーブルカッター 200mm 9516200[rn]
40-10107,http://tshop.r10s.jp/biccamera/cabinet/product/0151/00000001456682_a01.jpg?fitin=700:700,7326.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 大和合金 防爆両口スパナ　19×24mm　BW11924,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ボルト・ナットの締め付け、取り外しに使用するスパナです。<BR><BR>■JIS相当品です。<BR><BR>■製品安全評価センターの金属火花非着火性試験を受けています。<BR><BR>■衝撃あるいは摩擦を加えても、着火源となりうる火花が出ません。<BR><BR>■非磁性です。<BR><BR>■耐腐食性が大きいです。<BR><BR>■耐摩擦性が大きいです（ベリコン）。<BR><BR>【用途】<BR>・防爆：タンカー、潜水艦、鉱山、油田、製油所、ガス作業現場、ガソリン・LPG貯蔵庫および輸送車、化学工場、石油化学工場、爆薬工場、花火工場、塗料工場、染色工場、製粉工場、抽出工場、航空機整備工場、火力発電所、製錬所。<BR>・非磁性：コンピュータ・通信機組立工場、磁気テープ工場、掃海艇。<BR>・耐蝕性：食品工場、水道設備工事現場。<BR><BR>【仕様】<BR>二面幅寸法(mm)：19×24、全長(mm)：220、硬度：HB330以上、質量(g)：360<BR>抗張力：102～122kg/[[平方ミリメートル]]、耐熱不変度：100℃位迄、伸び：0.1～5.0%、<BR>導磁率：ベリリウム銅合金0<BR><BR>【材質/仕上】<BR>■ベリリウム銅合金<BR><BR>【原産国】<BR>日本,【送料無料】 大和合金 防爆両口スパナ　19&times;24mm　BW11924：ビックカメラ楽天市場店,【送料無料】 大和合金 防爆両口スパナ　19&times;24mm　BW11924,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 大和合金 防爆両口スパナ　19&times;24mm　BW11924[rn]
40-10108,http://tshop.r10s.jp/biccamera/cabinet/product/1844/00000003257592_a01.jpg?fitin=700:700,35199.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２８ｍｍ ＡＭＣＤＷ－１／２Ｄ２８ＭＭ,,<!-- -->■ディープタイプ六角ソケットです。<BR>■石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<BR>■米国認定機関FMRC認定取得しています。<BR><BR>【仕様】<BR>二面幅寸法(mm)：28、全長(mm)：75、質量(g)：430<BR><BR>【材質/仕上】<BR>■ニッケルアルミ銅合金<BR><BR>【原産国】<BR>アメリカ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２８ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ２８ＭＭ：ビックカメラ楽天市場店,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２８ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ２８ＭＭ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２８ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ２８ＭＭ[rn]
40-10109,http://tshop.r10s.jp/biccamera/cabinet/product/1870/00000003269784_a01.jpg?fitin=700:700,11067.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 絶縁ラチェットハンドル １／２ ＴＺＲＨ－４,,<!-- -->■1000V絶縁仕様です。<BR>■IEC60900規格品です。<BR>■プッシュリリース機能付です。<BR>■耐電圧試験済みです。<BR>■安全を目視で確認できるセーフティーサイン付です。<BR>■正転・逆転両方の回転方向で使用できます。<BR>■７２枚ギアを採用し、細かな送り角度を実現しました。<BR>■ユニオン機構採用で不用なソケットの落下も防止します。<BR><BR>【用途】<BR>・電気自動車及びハイブリッド車、一般低電圧作業用<BR><BR>【仕様】<BR>差込角(mm):12.7、全長(mm):270、歯数(枚):72、質量(g):600<BR><BR>【注意】<BR>■ボックス内部は絶縁ではありません。<BR>■金属部は絶縁されておりません。<BR><BR>【原産国】<BR>台湾,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 絶縁ラチェットハンドル １／２ ＴＺＲＨ&minus;４：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 絶縁ラチェットハンドル １／２ ＴＺＲＨ&minus;４,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 絶縁ラチェットハンドル １／２ ＴＺＲＨ&minus;４[rn]
40-10110,http://tshop.r10s.jp/biccamera/cabinet/product/1870/00000003269780_a01.jpg?fitin=700:700,1278.4000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺５．５ｍｍ ＴＺ２－５．５Ｓ,,<!-- -->■1000V絶縁仕様です。<BR>■IEC60900規格品です。<BR>■安全を目視で確認できるセーフティーサイン付です。<BR>■接触面が高いトルクをかけてもボルトナットを傷めにくくなっています。<BR>■耐電圧試験済みです。<BR><BR>【仕様】<BR>二面幅寸法(mm):5.5、差込角(mm):6.35、全長(mm):41、質量(g):19<BR>クロムメッキ仕上げ、クロムメッキ仕上げ<BR><BR>【材質/仕上】<BR>■クロムバナジウム鋼<BR><BR>【注意】<BR>■ボックス内部は絶縁ではありません。<BR><BR>【原産国】<BR>台湾,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺５．５ｍｍ ＴＺ２&minus;５．５Ｓ：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺５．５ｍｍ ＴＺ２&minus;５．５Ｓ,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺５．５ｍｍ ＴＺ２&minus;５．５Ｓ[rn]
40-10111,http://tshop.r10s.jp/biccamera/cabinet/product/1844/00000003257591_a01.jpg?fitin=700:700,38421.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２９ｍｍ ＡＭＣＤＷ－１／２Ｄ２９ＭＭ,,<!-- -->■ディープタイプ六角ソケットです。<BR>■石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<BR>■米国認定機関FMRC認定取得しています。<BR><BR>【仕様】<BR>二面幅寸法(mm)：29、全長(mm)：75、質量(g)：465<BR><BR>【材質/仕上】<BR>■ニッケルアルミ銅合金<BR><BR>【原産国】<BR>アメリカ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２９ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ２９ＭＭ：ビックカメラ楽天市場店,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２９ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ２９ＭＭ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺２９ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ２９ＭＭ[rn]
