40-9901,http://tshop.r10s.jp/biccamera/cabinet/product/1872/00000003267676_a01.jpg?fitin=700:700,10013.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ－１３８,,<!-- -->■ちぎれにくく、クッション性に優れた衝撃吸収材です。<BR><BR>【用途】<BR>・工事現場や工場の危険防止に。<BR><BR>【仕様】<BR>色:オリーブドラブ、幅(mm):37、長さ(m):0.9、厚み(mm):9、質量(g):1000<BR>取付方法:貼付タイプ（両面テープ付属）<BR><BR>【材質/仕上】<BR>■ニトリルゴム（NBR）<BR><BR>【原産国】<BR>中国,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ&minus;１３８：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ&minus;１３８,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ&minus;１３８[rn]
40-9902,http://tshop.r10s.jp/biccamera/cabinet/product/1930/00000003200179_a01.jpg?fitin=700:700,2216.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 重石（おもし）角型　10KG型　TW10K,,<!-- -->■持ち手付きで安定感もよく2個（同サイズ）までなら積み重ねも可能です。本体にはセメントを注入した重石です。<BR><BR>【用途】<BR>・シートや入れ物のフタ等の重石（おもし）に。<BR><BR>【仕様】<BR>奥行(ｍｍ)：230、高さ(ｍｍ)：85、色：グレー、幅(ｍｍ)：380、質量(ｋｇ)：10<BR>食品衛生法適合<BR><BR>【材質/仕上】<BR>■ポリエチレン（ＰＥ）<BR><BR>【原産国】<BR>日本,トラスコ中山 重石（おもし）角型　10KG型　TW10K：ビックカメラ楽天市場店,トラスコ中山 重石（おもし）角型　10KG型　TW10K,トラスコ中山 重石（おもし）角型　10KG型　TW10K[rn]
40-9903,http://tshop.r10s.jp/biccamera/cabinet/product/1772/00000003200715_a01.jpg?fitin=700:700,1944.0000,,花・ガーデン・DIY > DIY・工具 > その他,つくし工房 コーナークッションスリム　青地　白反射シート　C201D,,<!-- -->■商品をカットして、長さ調節をすることが可能です。<BR><BR>【用途】<BR>・作業現場の仮囲い等のコーナー部分から第三者を保護するカバー。<BR><BR>【仕様】<BR>色：ブルー/ホワイト、幅(ｍｍ)：220、長さ(ｍ)：2、厚み(ｍｍ)：6、質量(ｇ)：300<BR>取付方法：貼付タイプ（はく離紙付）<BR><BR>【材質/仕上】<BR>■EVA反射シート、発泡ポリエチレン<BR><BR>【原産国】<BR>中国,つくし工房 コーナークッションスリム　青地　白反射シート　C201D：ビックカメラ楽天市場店,つくし工房 コーナークッションスリム　青地　白反射シート　C201D,つくし工房 コーナークッションスリム　青地　白反射シート　C201D[rn]
40-9904,http://tshop.r10s.jp/biccamera/cabinet/product/1595/00000003134836_a01.jpg?fitin=700:700,4104.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 中発販売 バリアリール　マグネットタイプ　赤・白ストライプ　立入禁止　BRS605H,,<!-- -->■マグネット付なので鉄部に簡単に取付できます。<BR><BR>■シートが切断していない場合、バリアリール交換用シートを使ってユーザー様でシートの交換が可能です。<BR><BR>【用途】<BR>・工場・施設・駐車場の立入り制限。<BR><BR>【仕様】<BR>表示内容：赤・白ストライプ　立入禁止、シート幅(mm)：60、シート厚さ(mm)：0．2、シートストローク(m)：5、質量(g)：310<BR>シートストローク：5m<BR><BR>【材質/仕上】<BR>■シート：軟質塩化ビニール■リールケース：ABS樹脂<BR><BR>【原産国】<BR>日本,【送料無料】 中発販売 バリアリール　マグネットタイプ　赤・白ストライプ　立入禁止　BRS605H：ビックカメラ楽天市場店,【送料無料】 中発販売 バリアリール　マグネットタイプ　赤・白ストライプ　立入禁止　BRS605H,【送料無料】 中発販売 バリアリール　マグネットタイプ　赤・白ストライプ　立入禁止　BRS605H[rn]
40-9905,http://tshop.r10s.jp/biccamera/cabinet/product/1872/00000003267637_a01.jpg?fitin=700:700,976.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 油面接着 細 １本入 グリーン ＴＡＣ－５２ＹＳ,,<!-- -->■油に強い両面テープを付属しています。<BR>■ちぎれにくく、クッション性に優れた衝撃吸収材です。<BR><BR>【用途】<BR>・工場内の衝突事故対策に。<BR><BR>【仕様】<BR>色:グリーン、幅(mm):24、長さ(m):0.9、厚み(mm):6<BR>取付方法:貼付タイプ（油面接着仕様両面テープ付属）<BR><BR>【材質/仕上】<BR>■ニトリルゴム（NBR）<BR><BR>【原産国】<BR>中国,トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 油面接着 細 １本入 グリーン ＴＡＣ&minus;５２ＹＳ：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 油面接着 細 １本入 グリーン ＴＡＣ&minus;５２ＹＳ,トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 油面接着 細 １本入 グリーン ＴＡＣ&minus;５２ＹＳ[rn]
40-9906,http://tshop.r10s.jp/biccamera/cabinet/product/1602/00000003135026_a01.jpg?fitin=700:700,1537.6000,,花・ガーデン・DIY > DIY・工具 > その他,カーボーイ トラマグネットシート200mm×1m　TG02,,<!-- -->■裏面がマグネットになっているので施工なしで簡単に注意喚起することができます。<BR><BR>■マグネットシートなので何度でも張り替えが可能です。<BR><BR>【用途】<BR>・工場、作業所内の危険箇所、バックヤードなどの車両が行き交う場所に。<BR>・製造中、建築中の構造物に一時的な注意喚起ができます。<BR><BR>【仕様】<BR>幅(mm)：200、厚み(mm)：約1、長さ(m)：1、色：イエロー/ブラック、質量(g)：500<BR>取付方法：マグネット式<BR><BR>【材質/仕上】<BR>■マグネットシート、塩化ビニール（PVC）<BR><BR>【原産国】<BR>中国,カーボーイ トラマグネットシート200mm&times;1m　TG02：ビックカメラ楽天市場店,カーボーイ トラマグネットシート200mm&times;1m　TG02,カーボーイ トラマグネットシート200mm&times;1m　TG02[rn]
40-9907,http://tshop.r10s.jp/biccamera/cabinet/product/1887/00000003273406_a01.jpg?fitin=700:700,34551.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 イマオコーポレーション ベンリック メッセージ送信機 ＦＷ－ＭＥＴ０１,,<!-- -->■機械の無電圧接点（ａ接点）に接続し、接続した機械の異常を感知すると腕時計型受信機に通知することができる工場用無線機器です。<BR>■無線のためケーブル敷設が不要です。<BR>■電波到達距離は170m(見通し)です。（中継機を利用すると＋300m）<BR>■ＩＤで識別するので混信がありません。<BR>■機械の信号を入力したり、呼出ボタンを押すことで受信機へメッセージを送ることが出来ます。<BR>■メッセージは最大10文字まで設定可能です。<BR><BR>【仕様】<BR>幅(mm):62、奥行(mm):23、高さ(mm):65<BR>電波:426ＨＭｚ帯、電源:ＤＣ9Ｖ又は単4電池×2本（電池別売）、電池寿命:約2.5ヶ月(１時間に１回送信した場合)、入力仕様:無電圧接点(ａ接点)、ＮＰＮオープンコレクタ<BR><BR>【セット内容/付属品】<BR>■ＡＣ１００－ＤＣ９Ｖアダプタ、入力コード１本<BR><BR>【原産国】<BR>日本,【送料無料】 イマオコーポレーション ベンリック メッセージ送信機 ＦＷ&minus;ＭＥＴ０１：ビックカメラ楽天市場店,【送料無料】 イマオコーポレーション ベンリック メッセージ送信機 ＦＷ&minus;ＭＥＴ０１,【送料無料】 イマオコーポレーション ベンリック メッセージ送信機 ＦＷ&minus;ＭＥＴ０１[rn]
40-9908,http://tshop.r10s.jp/biccamera/cabinet/product/1865/00000003259335_a01.jpg?fitin=700:700,384.0000,,花・ガーデン・DIY > DIY・工具 > その他,カーボーイ カーボーイ カラープラポールサインキャッププレート 禁煙 CP39,,<!-- -->■裏面粘着仕様なので貼るだけで使用できます。<BR>■カラープラポールサインキャップに貼り付けて手軽に標示板を設置できます。<BR><BR>【仕様】<BR>表示内容:禁煙、直径(mm):260、質量(g):70<BR>取付方法:貼付タイプ<BR><BR>【材質/仕上】<BR>■ポリエチレンレテフタラート（ＰＥＴ）、アクリル系粘着材<BR><BR>【原産国】<BR>中国,カーボーイ カーボーイ カラープラポールサインキャッププレート 禁煙 CP39：ビックカメラ楽天市場店,カーボーイ カーボーイ カラープラポールサインキャッププレート 禁煙 CP39,カーボーイ カーボーイ カラープラポールサインキャッププレート 禁煙 CP39[rn]
40-9909,http://tshop.r10s.jp/biccamera/cabinet/product/2548/00000003558427_a01.jpg?fitin=700:700,508.0000,,花・ガーデン・DIY > DIY・工具 > その他,川西工業 川西　ケミショック　1P　Sサイズ 2460-S,,<!-- -->■特殊なすべり止め加工で抜群のグリップ力を発揮します。<BR><BR>■農業・水産・漁業・清掃・サービス業・運輸・物流業・自動車関連業・土木・建築業に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:グリーン<BR>■サイズ:S<BR>■全長(cm):27.0<BR>■手のひら周り(cm):20.0<BR>■中指長さ(cm):7.7<BR>■厚み：1.1mm<BR>■【材質／仕上げ】　表：ニトリルゴム　裏：ナイロン  <BR>■原産国:中国<BR>■質量:84G</td></tr></table></div>,川西工業 川西　ケミショック　1P　Sサイズ 2460-S：ビックカメラ楽天市場店,川西工業 川西　ケミショック　1P　Sサイズ 2460-S,川西工業 川西　ケミショック　1P　Sサイズ 2460-S[rn]
40-9910,http://tshop.r10s.jp/biccamera/cabinet/product/2588/00000003586828_a01.jpg?fitin=700:700,308.8000,,花・ガーデン・DIY > DIY・工具 > その他,ダンロップ ダンロップ　マイリトルガーデン　つたつむり　背抜き　M　6616,,<!-- -->■油にも強いニトリルゴムを使用し、摩耗にも優れています。<BR><BR>■背抜きタイプなので通気性に優れムレにくいです。<BR><BR>■手のひらに発泡させたゴムを使用し、高いグリップ性能を実現しています。<BR><BR>■園芸・農作業<BR><BR>■建築・土木作業。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:つたつむり<BR>■サイズ:Ｍ<BR>■全長(cm):24.0<BR>■手のひら周り(cm):18.0<BR>■中指長さ(cm):7.5<BR>■厚み：1mm<ＢＲ>■【材質／仕上げ】　手袋部：ナイロン　すべり止め部：合成ゴム(ニトリルゴム) <ＢＲ>■注意・アレルギー反応などにより、体質によっては、かゆみ・かぶれ・発疹等をおこすことがあります。異常を感じたら使用を中止し、医師に相談してください。<BR>■原産国:マレーシア<BR>■質量:37G</td></tr></table></div>,ダンロップ ダンロップ　マイリトルガーデン　つたつむり　背抜き　M　6616：ビックカメラ楽天市場店,ダンロップ ダンロップ　マイリトルガーデン　つたつむり　背抜き　M　6616,ダンロップ ダンロップ　マイリトルガーデン　つたつむり　背抜き　M　6616[rn]
40-9911,http://tshop.r10s.jp/biccamera/cabinet/product/0144/00000001453807_a01.jpg?fitin=700:700,2056.0000,,花・ガーデン・DIY > DIY・工具 > その他,アンセル 耐溶剤作業手袋　バリアS　21007,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■特殊製法で薄くても強度に優れています。<BR><BR>■多様な薬品に対し、480分以上の透過時間を実現しました。<BR><BR>■インナーとしても利用できます。<BR><BR>【用途】<BR>・化学薬品取り扱い全般。<BR>・インナーとしての利用。<BR><BR>【仕様】<BR>色：ホワイト、サイズ：S、質量(g)：35<BR>厚み：0.2mm、JIS T8116適合品<BR><BR>【材質／仕上】<BR>■表:ポリエチレン（PE）■裏:ナイロン不織布<BR><BR>【注意】<BR>・※アセトン・イソブチルアルコール、IPA、硝酸、スチレン、トルエン、トリクロロエチレン、フッ化水素酸等に使用可。<BR><BR>【原産国】<BR>メキシコ,アンセル 耐溶剤作業手袋　バリアS　21007：ビックカメラ楽天市場店,アンセル 耐溶剤作業手袋　バリアS　21007,AppStore/AndroidMarketでビック楽天を検索。アンセル 耐溶剤作業手袋　バリアS　21007[rn]
