40-11001,http://tshop.r10s.jp/biccamera/cabinet/product/1645/00000003131909_a01.jpg?fitin=700:700,8068.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 アルバック機工 ニップル　ZSCK5016,,<!-- -->【仕様】<BR>フランジサイズ：KF-16、D(mm)：60、B(mm)：20．0、A(mm)：30、C(mm)：16、質量(g)：78<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304）<BR><BR>【原産国】<BR>日本,【送料無料】 アルバック機工 ニップル　ZSCK5016：ビックカメラ楽天市場店,【送料無料】 アルバック機工 ニップル　ZSCK5016,【送料無料】 アルバック機工 ニップル　ZSCK5016[rn]
40-11002,http://tshop.r10s.jp/biccamera/cabinet/product/1644/00000003132077_a01.jpg?fitin=700:700,52617.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 共立機巧 電動式ミニハンディポンプ（PP製）　HP601,,<!-- -->■ポリ・ペール缶からの薬液移送に最適です。<BR><BR>■電動モーターは悪環境に強い全閉構造でサーマルプロテクター内蔵のため安心してお使いいただけます。<BR><BR>【用途】<BR>・酸・アルカリ用。<BR><BR>【仕様】<BR>吐出量(L/min)：25、揚程(m)：5、電源(V)：AC100、質量(kg)：2．2<BR>ホース：19×1000mm、電源コード長さ：2．5m、使用可能粘度：200mPa・S<BR><BR>【材質/仕上】<BR>■本体：ポリプロピレン（PP）■ホース：塩化ビニール（PVC）■パッキン：フッ素ゴムなど<BR><BR>【原産国】<BR>日本,【送料無料】 共立機巧 電動式ミニハンディポンプ（PP製）　HP601：ビックカメラ楽天市場店,【送料無料】 共立機巧 電動式ミニハンディポンプ（PP製）　HP601,【送料無料】 共立機巧 電動式ミニハンディポンプ（PP製）　HP601[rn]
40-11003,http://tshop.r10s.jp/biccamera/cabinet/product/1924/00000003126980_a01.jpg?fitin=700:700,24442.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX150,,<!-- -->■異物通過径は35mm（PX-150は28mm）です。<BR><BR>■接液部はすべて樹脂とステンレス（SUS304）です。<BR><BR>■吐き出し方向を垂直または水平方向のどちらでもできます。<BR><BR>■強度を保ちながら大幅な軽量化を実現しました。<BR><BR>■配管したままで点検・掃除ができるバックプルアウト構造です。<BR><BR>■電動機保護装置を内蔵しています。<BR><BR>【用途】<BR>・合併処理浄化槽用。<BR>・清水~汚物を含む水。<BR>・雑排水用。<BR><BR>【仕様】<BR>吐出量(L/min)：40、全揚程(m)：4．8、周波数(Hz)：50、口径(mm)：40、電源(V)：単相100、電流(A)：3．6、出力(kW)：0．15、質量(kg)：5<BR>電源コード長さ：5m（PX-150は4m）、非自動運転形、異物通過径：35mm(PX-150は28mm)<BR><BR>【原産国】<BR>日本,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX150：ビックカメラ楽天市場店,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX150,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX150[rn]
40-11004,http://tshop.r10s.jp/biccamera/cabinet/product/2540/00000003563039_a01.jpg?fitin=700:700,1710.4000,,花・ガーデン・DIY > DIY・工具 > その他,工進 工進　吐出ホース32mm×10m PA-121,,<!-- --><BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■適合機種:PSK-63210など<BR>■品名:吐出ホース32mm×10m<BR>■適合機種:PSK-63210等   <BR>■原産国:中国<BR>■質量:1160G</td></tr></table></div>,工進 工進　吐出ホース32mm&times;10m PA-121：ビックカメラ楽天市場店,工進 工進　吐出ホース32mm&times;10m PA-121,工進 工進　吐出ホース32mm&times;10m PA-121[rn]
40-11005,http://tshop.r10s.jp/biccamera/cabinet/product/1924/00000003126984_a01.jpg?fitin=700:700,33669.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX400T,,<!-- -->■異物通過径は35mm（PX-150は28mm）です。<BR><BR>■接液部はすべて樹脂とステンレス（SUS304）です。<BR><BR>■吐き出し方向を垂直または水平方向のどちらでもできます。<BR><BR>■強度を保ちながら大幅な軽量化を実現しました。<BR><BR>■配管したままで点検・掃除ができるバックプルアウト構造です。<BR><BR>■電動機保護装置を内蔵しています。<BR><BR>【用途】<BR>・合併処理浄化槽用。<BR>・清水~汚物を含む水。<BR>・雑排水用。<BR><BR>【仕様】<BR>吐出量(L/min)：40、全揚程(m)：8．0、周波数(Hz)：50、口径(mm)：50、電源(V)：三相200、電流(A)：2．5、出力(kW)：0．40、質量(kg)：7<BR>電源コード長さ：5m（PX-150は4m）、非自動運転形、異物通過径：35mm(PX-150は28mm)<BR><BR>【原産国】<BR>日本,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX400T：ビックカメラ楽天市場店,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX400T,【送料無料】 寺田ポンプ製作所 汚物混入水用水中ポンプ　非自動　50Hz　PX400T[rn]
40-11006,http://tshop.r10s.jp/biccamera/cabinet/product/1789/00000003128242_a01.jpg?fitin=700:700,21513.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 リョービ 水中汚水ポンプ（50Hz）　RMG800050HZ,,<!-- -->■軽くてパワフルです。<BR><BR>■サビにつよい樹脂ボディーです。<BR><BR>■加熱保護装置付で長時間の連続運転も安心です。<BR><BR>【用途】<BR>・土木、建築現場の排水から農業、園芸用の排水、灌水用。<BR><BR>【仕様】<BR>吐出量(L/min)：220、全揚程(m)：9．0、周波数(Hz)：50、口径(mm)：32/40/50、電源(V)：単相100、電流(A)：7．8、出力(kW)：0．36、質量(kg)：5．4<BR>非自動運転形、電源コード長さ：5m<BR><BR>【セット内容/付属品】<BR>■吊下げ用ロープ■竹の子(32/40/50mm一体タイプ)■コネクタ■ホースバンド<BR><BR>【原産国】<BR>イタリア,【送料無料】 リョービ 水中汚水ポンプ（50Hz）　RMG800050HZ：ビックカメラ楽天市場店,【送料無料】 リョービ 水中汚水ポンプ（50Hz）　RMG800050HZ,【送料無料】 リョービ 水中汚水ポンプ（50Hz）　RMG800050HZ[rn]
40-11007,http://tshop.r10s.jp/biccamera/cabinet/product/2541/00000003562926_a01.jpg?fitin=700:700,932.8000,,花・ガーデン・DIY > DIY・工具 > その他,工進 工進　鉄製異径ソケット50×40 PA-072,,<!-- -->■鉄製異径ソケット<BR><BR>■ポンプの口径落としに<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■適合機種:SEV-50Xなど<BR>■品名:鉄製異径ソケット50×40<BR>■両端メスネジ仕様<BR>■【材質／仕上げ】　鉄  <BR>■原産国:日本<BR>■質量:465G</td></tr></table></div>,工進 工進　鉄製異径ソケット50&times;40 PA-072：ビックカメラ楽天市場店,工進 工進　鉄製異径ソケット50&times;40 PA-072,工進 工進　鉄製異径ソケット50&times;40 PA-072[rn]
40-11008,http://tshop.r10s.jp/biccamera/cabinet/product/1726/00000003204143_a01.jpg?fitin=700:700,72420.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 川本製作所 海水用水中ポンプ（チタン＆樹脂製）　WUZ34060.25SG,,<!-- -->■海水の取水・循環用です。<BR>■接液部の金属部分には、チタンを採用し、ポンプ部には樹脂を採用しており、腐食に強く軽量で取扱いも容易です。<BR>■インペラ、ケーシングなど強度の必要な樹脂部品は、ガラス繊維入強化樹脂を使用しています。<BR>■ポンプはボルテックスタイプで、インペラは異物のつまりにくい片面オープンのインぺラを採用し、異物通過性能に優れています。<BR>■二重軸封式でモーターへの浸水を防止しています。<BR><BR>【用途】<BR>・海水用。<BR>・魚介類の養殖場・加工場・各種雑排水用。<BR><BR>【仕様】<BR>吐出量(Ｌ/ｍｉｎ)：20、全揚程(ｍ)：9.5、周波数(Ｈｚ)：60、口径(ｍｍ)：40、電源(Ｖ)：単相100、電流(Ａ)：4.6、出力(ｋＷ)：0.25<BR>電源コード長さ：6ｍ、液質：海水・汚物水（ＰＨ5～9）0～40℃、液質：海水・汚物水0～40℃(凍結なきこと)、モータ：乾式水中モータ(オートカット内蔵)、単相100Ｖ、三相200Ｖ、同期回転速度3000ｍｉｍ-1<BR><BR>【材質/仕上】<BR>■インペラ樹脂■主軸チタン（接液部）■ケーシング樹脂<BR><BR>【セット内容/付属品】<BR>■相フランジ（樹脂製）■水中ケーブル（6ｍ）■ホースカップリング<BR><BR>【原産国】<BR>日本,【送料無料】 川本製作所 海水用水中ポンプ（チタン＆樹脂製）　WUZ34060.25SG：ビックカメラ楽天市場店,【送料無料】 川本製作所 海水用水中ポンプ（チタン＆樹脂製）　WUZ34060.25SG,【送料無料】 川本製作所 海水用水中ポンプ（チタン＆樹脂製）　WUZ34060.25SG[rn]
40-11009,http://tshop.r10s.jp/biccamera/cabinet/product/1860/00000003270185_a01.jpg?fitin=700:700,44815.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 本田技研工業 HONDA エンジンポンプ 3インチ WL30XHJR,,<!-- -->■新型GPエンジンを搭載し、軽負荷な環境に最適なライトユース向けモデルです。<BR><BR>【用途】<BR>・田畑の灌漑や各種工場での吸・排水作業に。<BR><BR>【仕様】<BR>吐出量(L/min):1100、全揚程(m):23、口径(mm):80、常用出力(kW/rpm):-、最大出力(kW/rpm):3.6/3600、エンジン形式メーカー:ホンダ、エンジン形式タイプ:GP160H、燃料タンク容量(L):3.1、満タンで使用可能な時間(分):114、騒音値(dB):-、全高(mm):435、全長(mm):510、全幅(mm):385、質量(kg):25<BR>使用燃料:自動車用無鉛ガソリン<BR><BR>【セット内容/付属品】<BR>■ストレーナー、ホースカップリング<BR><BR>【原産国】<BR>中国,【送料無料】 本田技研工業 HONDA エンジンポンプ 3インチ WL30XHJR：ビックカメラ楽天市場店,【送料無料】 本田技研工業 HONDA エンジンポンプ 3インチ WL30XHJR,【送料無料】 本田技研工業 HONDA エンジンポンプ 3インチ WL30XHJR[rn]
40-11010,http://tshop.r10s.jp/biccamera/cabinet/product/2540/00000003563045_a01.jpg?fitin=700:700,5080.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 工進 工進　吐出ホース32mm×30m PA-123,,<!-- --><BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■適合機種:PSK-63210など<BR>■品名:吐出ホース32mm×30m<BR>■適合機種:PSK-63210等   <BR>■原産国:中国<BR>■質量:3520G</td></tr></table></div>,【送料無料】 工進 工進　吐出ホース32mm&times;30m PA-123：ビックカメラ楽天市場店,【送料無料】 工進 工進　吐出ホース32mm&times;30m PA-123,【送料無料】 工進 工進　吐出ホース32mm&times;30m PA-123[rn]
40-11011,http://tshop.r10s.jp/biccamera/cabinet/product/1854/00000003266185_a01.jpg?fitin=700:700,243639.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 川本製作所 川本 浸漬式多段クーラントポンプ ＲＣＤ－４０ＢＥ３．０Ｔ４,,<!-- -->■ポンプ部材質にFCD500・ケーシングに独自のサンドステップ構造を採用し、強靱なポンプ構造を実現しました。<BR>■独自のメカニカルシールレス構造により、シール性の向上を図りました。<BR>■各種仕様（CE、RoHS、チャイルドフィンガー熱帯通過処理）への対応が可能です。<BR><BR>【用途】<BR>・液中に切粉を含むクーラント液を使用する場所。<BR><BR>【仕様】<BR>全揚程(m):15、出力(kW):3.0、口径(mm):40、騒音値(dB):-、電源(V):三相400、周波数(Hz):50/60兼用、吐出量(L/min):300<BR>吐出量:300L/min、口径（吸込×吐出）:40×40mm、シールレス軸封、電動機:全閉外扇屋内形、極数:2極<BR><BR>【原産国】<BR>日本,【送料無料】 川本製作所 川本 浸漬式多段クーラントポンプ ＲＣＤ&minus;４０ＢＥ３．０Ｔ４：ビックカメラ楽天市場店,【送料無料】 川本製作所 川本 浸漬式多段クーラントポンプ ＲＣＤ&minus;４０ＢＥ３．０Ｔ４,【送料無料】 川本製作所 川本 浸漬式多段クーラントポンプ ＲＣＤ&minus;４０ＢＥ３．０Ｔ４[rn]
