15-134801,http://tshop.r10s.jp/craftkei/cabinet/itemphoto/item2/h1602.jpg?fitin=700:700,719.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）,"※この商品は、ご注文から約2～3営業日後に出荷をさせていただきます。
<br><br>
※この商品は、「メール便対応」ではございません。通常の宅配便をご指定ください。
<br><br>
●見た目のインパクトも豪華な、上質のアンゴラ糸です。<br>
●フワフワの風合いのアンゴラうさぎの毛を、贅沢に80%使用。<br>
●イタリア製
<br><br>
<font color=""#993333"">
■構成…毛80%（アンゴラ）・ナイロン20%<br>
■仕立て…20g玉巻（約65m）<br>
■適正針・適正ゲージ…棒針7～8号・22目26段<br>
■婦人プルオーバー14～15玉、婦人半袖セーター9～10玉
</font>
<br><br>
<font color=""#FF0000"" size=""2"">
※メーカー在庫状況により、まれに品切れの場合がございます。<br>
その時はメールにてご連絡をさせていただきます。
<br>
※写真で見る商品と実物では色が違って見えることがございます。</font><br><br><img src=""http://www.rakuten.ne.jp/gold/craftkei/images/packet.jpg"">
<br><br>",リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】：クラフトケイ,毛糸ハマナカ生地フェルト羊毛羊毛フェルトダイロンルシアンローワン手芸キット手芸糸手あみ糸あみぐるみエコアンダリヤボニーエコタワシ手あみ針リッチモア特価毛糸アクリル毛糸フェルトリッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）。リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】[rn]
15-134802,http://tshop.r10s.jp/hatawa-koko/cabinet/03772291/imgrc0074646340.jpg?fitin=700:700,2764.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,Clover クロバー　アンゴラホイップ　グラデーション　Angola Whip Gradation5玉1袋のお値段です【送料別】毛糸,アンゴラホイップのグラデーションタイプ,,Clover クロバー　アンゴラホイップ　グラデーション　Angola Whip Gradation5玉1袋のお値段です【送料別】毛糸：旗の村松・手芸の村松,手芸毛糸旗生地ファスナー染料のぼり旗国旗手芸材料裁縫スチボール動眼梵天バラ徽章送料無料クロバーエコクラフトリッチモアはさみダイロンClover クロバー　アンゴラホイップ　グラデーション　Angola Whip Gradation5玉1袋のお値段です【送料別】毛糸,アンゴラホイップのグラデーションタイプ。Clover クロバー　アンゴラホイップ　グラデーション　Angola Whip Gradation5玉1袋のお値段です【送料別】毛糸[rn]
15-134803,http://tshop.r10s.jp/nakasen/cabinet/00471868/imgrc0061344026.jpg?fitin=700:700,319.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,2000-12ふんわりアンゴラ飛びスラブ 水色,ふんわりカラースラブ入り,"アンゴラ４０％のふんわり手編み糸です、シュクジュウ（洗い）を製品でかけてください、素敵な風合いが出ます、カラースラブが入っています、合太、鈎針サイズ-５－７号、アンゴラ-40%,wool-50%,ナイロン-10%
<IMG SRC=""http://image.rakuten.co.jp/nakasen/cabinet/00471868/imgrc0061344041.jpg"">",2000-12ふんわりアンゴラ飛びスラブ 水色：毛糸創庫Ｃａｍｅｌ,2000-12ふんわりアンゴラ飛びスラブ 水色,ふんわりカラースラブ入り。2000-12ふんわりアンゴラ飛びスラブ 水色[rn]
15-134804,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/img60412487.jpg?fitin=700:700,432.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ファンシーヤーン ３色　在庫限り！,在庫限り！。ネット状に広がります,ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。<br>また注文が集中した場合など発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。,ファンシーヤーン ３色　在庫限り！：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンファンシーヤーン ３色　在庫限り！,在庫限り！。ネット状に広がります。ファンシーヤーン ３色　在庫限り！[rn]
15-134805,http://tshop.r10s.jp/aura/cabinet/02555916/img59473511.jpg?fitin=700:700,1760.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,[VD001]【メール便不可】オリムパス毛糸　エバー(旧ジェームス・ディーンシリーズ) 40g×5玉セット[RPT],Olympusの編み糸ジェームス・ディーンシリーズ,"柔らかな膨らみと光沢のある上質なタスマニアン・コリデール原毛をブレンド。<br>
トップメランジカラーで深みのある色合い。ナチュラル系、アクセント系、ダーク系、トラッド系カラーをとりそろえ、メンズからレディスまで幅広く使える豊富な色展開です。<br><br>

←画像をクリックすると拡大表示します。<br><br>

＜材質＞<br>
ウール100％（内タスマニアン・コリデール50％）<br><br>

1玉40g(約78M)<br><br>

＜使用針＞<br>
棒針：8～9号、かぎ針：6/0～7/0号<br><br>

＜メリヤス編ゲージ＞<br>
目数：16～18目<br>
段数：24～26段<br><br>


<B><FONT color=""#cc0000"">＊こちらの商品はメール便不可です。<BR><BR></B></FONT>

<font color=""red"">こちらの商品はご注文を頂いてからメーカーへの取り寄せ、発送となります。<br>
年毎に一定数が製造されますが、今期生産終了となってしまっておりメーカー在庫が無い場合はご用意できない事がありますのでご了承下さい。</font><br><br>

＊モニターの発色の具合によって実物と色が異なる場合があります。<BR>
<FONT color=""#cc0000"">＊こちらの商品は、お届けに3日以上お時間をいただく場合がございます。<BR>＊お色により、今季生産終了の場合がございます。<br></FONT>
＊お急ぎの方は在庫状況をお問い合わせください。",[VD001]【メール便不可】オリムパス毛糸　エバー(旧ジェームス・ディーンシリーズ) 40g&times;5玉セット[RPT]：ビーズ・パーツ・手芸総合店アウラ,シードビーズTOHOビーズMIYUKIビーズビーズキットスワロフスキーチェコビーズとんぼ玉[VD001]【メール便不可】オリムパス毛糸　エバー(旧ジェームス・ディーンシリーズ) 40g&times;5玉セット[RPT],Olympusの編み糸ジェームス・ディーンシリーズ。[VD001]【メール便不可】オリムパス毛糸　エバー(旧ジェームス・ディーンシリーズ) 40g&times;5玉セット[RPT][rn]
15-134806,http://tshop.r10s.jp/shugale/cabinet/knit_item/984611_1_a.jpg?fitin=700:700,458.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　春夏糸　☆１０％ＯＦＦ！！☆　ハマナカ手芸糸　エコアンダリヤ　ラフィー,エコアンダリヤ　ラフィー｜ハマナカ｜春夏手芸の代表格｜,"<font color=""#ff6666"">☆１０％ＯＦＦ！！☆</font><br><br>
★糸見本は＜画像２＞をご覧ください<br><br>４０ｇ玉巻（約８４ｍ）<br>かぎ針５/０号<br>レーヨン１００％<br>※木材パルプから生まれた天然成分繊維。<br>エコアンダリヤの強撚タイプ。<br><br>※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/984611_1_b.jpg"" width=""100%"">",編み物　春夏糸　☆１０％ＯＦＦ！！☆　ハマナカ手芸糸　エコアンダリヤ　ラフィー：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　春夏糸　☆１０％ＯＦＦ！！☆　ハマナカ手芸糸　エコアンダリヤ　ラフィー,エコアンダリヤ　ラフィー｜ハマナカ｜春夏手芸の代表格｜。編み物　春夏糸　☆１０％ＯＦＦ！！☆　ハマナカ手芸糸　エコアンダリヤ　ラフィー[rn]
15-134807,http://tshop.r10s.jp/shugale/cabinet/knit_item2/790618_a.jpg?fitin=700:700,328.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ちいさなてしごと　フレンチリネン糸　１０ｇ巻,ちいさなてしごと｜クロバー｜,"糸見本は＜画像２＞をご覧ください<br><br>

【　メーカー　】　クロバー<br>
【　仕立　】　１０ｇ玉巻（糸長３７ｍ）<br>
【　品質　】　麻１００％（フレンチリネン）<br>
【　使用針　】　かぎ針２／０～３／０号<br><br>

上品な光沢としなやかな張りが特長のフレンチリネンのクロッシェ用の糸です。<br><br>

※一部在庫のない商品はお取寄せになります。<br>
※糸は１玉のご注文でも宅配便での発送となります。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item2/790618_b.jpg"" width=""100%"">",編み物　ちいさなてしごと　フレンチリネン糸　１０ｇ巻：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ちいさなてしごと　フレンチリネン糸　１０ｇ巻,ちいさなてしごと｜クロバー｜。編み物　ちいさなてしごと　フレンチリネン糸　１０ｇ巻[rn]
15-134808,http://tshop.r10s.jp/shugale/cabinet/knit_item/898001_a.jpg?fitin=700:700,412.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ウイスター毛糸　NEW洗えるメリノ　並太,NEW洗えるメリノ並太｜ウイスター｜秋冬毛糸｜,"定番人気商品「ウイスター洗えるメリノ100」シリーズのリニューアル版です。高級メリノウールを100％使用した、とてもソフトで肌ざわりの良い定番並太ストレートヤーン。洗濯機（弱）で洗えます。<br><br>

【 重量・形状・糸長(m) 】 40g玉（約69m）<br>
【 品質構成 】 ウール（メリノ）100％（ウォッシャブル）<br>
【 棒針の号数 】 棒針7～8号<br>
【 かぎ針の号数 】 7/0～7.5/0号<br>
【 メリヤス編み標準ゲージ 】 19～19.5目・25.5～26.5段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
婦人ベスト　7～8玉<br>
婦人プル　10～11玉<br>
紳士ベスト 8～9玉<br>
紳士プル　13～14玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/898001_1_b.jpg"" width=""100%"">",編み物　毛糸　ウイスター毛糸　NEW洗えるメリノ　並太：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ウイスター毛糸　NEW洗えるメリノ　並太,NEW洗えるメリノ並太｜ウイスター｜秋冬毛糸｜。編み物　毛糸　ウイスター毛糸　NEW洗えるメリノ　並太[rn]
15-134809,http://tshop.r10s.jp/shugale/cabinet/knit_item/902401_a.jpg?fitin=700:700,414.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　リッチモア毛糸　スペクトルモデム 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜,スペクトルモデム｜毛糸｜リッチモア｜手編み,"※2016年8月1日（月）より、価格を改訂しました。<br><br>

50色展開のストレートヤーン。編みやすいだけでなく、毛玉になりにくく編み地も美しく仕上がります。風合いも優しくウェアだけでなくマフラーや帽子にもお使い頂けます。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約80m）<br>
【 品質構成 】 毛100％<br>
【 棒針の号数 】 棒針8～10号<br>
【 メリヤス編みの標準ゲージ 】 18目・23段<br><br>

***　メリヤス編み標準使用量（玉）　***<br>
紳士プル　11～12玉<br>
婦人プル　9～10玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/902401_1_b.jpg"" width=""100%"">",編み物　毛糸　リッチモア毛糸　スペクトルモデム 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　リッチモア毛糸　スペクトルモデム 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜,スペクトルモデム｜毛糸｜リッチモア｜手編み。編み物　毛糸　リッチモア毛糸　スペクトルモデム 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜[rn]
15-134810,http://tshop.r10s.jp/shugale/cabinet/knit_item/946201_a.jpg?fitin=700:700,241.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ハマナカ手あみ糸　ジャンボニー 超極太,ハマナカボニー＆ジャンボニーは、抗菌・防臭加工で清潔！　,"ハマナカボニー＆ジャンボニーは、トップ染めで作られています。アクリルを原料段階で染色した後、紡績とバルキー加工（ふくらむ加工）を施していますので、ソフトでふっくらしたボリューム感ある糸に仕上がっています。たわし、円座、角座、あみぐるみに最適です。<br>
洗濯しても縮まず、乾燥が速く、「ふくらみ」の復元性は抜群です。<br>
しかも、抗菌・防臭加工でとっても清潔！日本製。<br><br>

【 重量・形状・糸長（m） 】超極太 50g玉巻（約30m）<br>
【 品質構成 】 アクリル100％<br>
【 棒針の号数 】 棒針8～10mm<br>
【 かぎ針の号数 】 かぎ針8～10mm<br>
【 メリヤス編み標準ゲージ 】 8～9目・12～13段<br>
【 長編み標準ゲージ 】 7～8目・3.5～4.5段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
円座・角座　6～8玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>
※糸は1玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/946201_1_b.jpg"" width=""100%"">",編み物　毛糸　ハマナカ手あみ糸　ジャンボニー 超極太：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ハマナカ手あみ糸　ジャンボニー 超極太,ハマナカボニー＆ジャンボニーは、抗菌・防臭加工で清潔！　。編み物　毛糸　ハマナカ手あみ糸　ジャンボニー 超極太[rn]
15-134811,http://tshop.r10s.jp/shugale/cabinet/knit_item/806125_a.jpg?fitin=700:700,428.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　パピー毛糸　ブリティッシュエロイカ 【極太】 【ウール】 【純毛】,ブリティッシュエロイカ｜毛糸｜パピー｜puppy｜手編み｜通販｜,"従来のエロイカを新しい観点で見直し、英国の伝統的なものをベースとしながら、日本人の嗜好に合わせた英国羊毛使いの新しいダブルニッティングを開発しました。英国羊毛のスポンジ性(弾力性)と張り(腰)をベースに軽さとヌメリ、そして底艶を加え肌触りを少しソフトに原料をブレンドしています。英国羊毛の持色を素直に生かすため防縮加工等の化学加工は施していません。手洗いOK。<br><br>

【 重量・形状・糸長（m） 】 50g玉巻（約83m）<br>
【 品質構成 】 ウール100％（英国羊毛50％以上使用）<br>
【 棒針の号数 】 棒針8～10号<br>
【 かぎ針の号数 】 かぎ針8/0～10/0号<br>
【 メリヤス編みの標準ゲージ 】 15～16目・21～22段<br><br>

*** メリヤス編み標準使用量 ***<br>
婦人プル　500g<br>
婦人カーディガン　550g<br>
紳士プル　600g<br>
紳士カーディガン　650g<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/806125_1_b.jpg"" width=""100%"">",編み物　毛糸　パピー毛糸　ブリティッシュエロイカ 【極太】 【ウール】 【純毛】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　パピー毛糸　ブリティッシュエロイカ 【極太】 【ウール】 【純毛】,ブリティッシュエロイカ｜毛糸｜パピー｜puppy｜手編み｜通販｜。編み物　毛糸　パピー毛糸　ブリティッシュエロイカ 【極太】 【ウール】 【純毛】[rn]
