35-64986,http://tshop.r10s.jp/i-craft/cabinet/01906969/img60602116.jpg?fitin=700:700,139.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】,たくさん編めてお得です！,"<br>
重量・長さ * 40g・約155m<br>
　素　材　 * アクリル70％・ウール30％<br>
　対応針　 * 棒針3号<br>
<br><br>
((１玉からご注文いただけます))
<br>
<br>
<br>
１本そのままでも、糸を合わせて２本取りでも<br>
お使いいただける太さになっています。<br>
メーター数も多いので、かなりお買い得の糸です。<br><br>
小物からウェアまで、はば広くご利用いただけます☆<br>
<br>
選択できない色番号はメーカーハイバンです。<br>
ご了承くださいませ。<br>
<br>
<br>
<br>",【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】,たくさん編めてお得です！。【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】[rn]
35-64987,http://tshop.r10s.jp/i-craft/cabinet/01906969/05316002/kamogawa-top.jpg?fitin=700:700,1718.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【レース糸】【綿】　鴨川糸＃18（まとめ買い3玉入り）　【横田】【春夏】,クラシカルな雰囲気,"<table width=""730"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/01906969/05316002/kamogawa-1.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td style=""text-align: center"">&nbsp;</td>
  </tr>
  <tr>
    <td style=""text-align: center""><img src=""http://image.rakuten.co.jp/i-craft/cabinet/01906969/05316002/kamogawa-2.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td style=""text-align: center"">&nbsp;</td>
  </tr>
</table>
<p>&nbsp;</p>
<table width=""400"" bgcolor=""#999999"" cellspacing=""1"" cellpadding=""3"">
<tr>
  <th align=""left"" bgcolor=""#F0E7E5""><font size=""2"">商品説明</font></th>
</tr>

<tr>
  <td bgcolor=""#FFFFFF""><font size=""2"" color=""#666666""><br>
    <font size=""2"" color=""#666666""><span style=""color: #FF0004"">※メール便不可※</span><br>
<br>
<span style=""color: #FF0004"">まとめ買いですので<br>
単品購入よりお得になってます！<br>
<br>
教室、サークル、手芸仲間、お友だちと<br>
共同購入はいかがでしょうか♪</span><br>
<br>
アクセサリーや小物作品を編みやすいように、落ち着きのあるカラーに。<br>
<br>
普段使いしやすく、飽きのこない色味を選びました。<br>
<br>
撚りが強いので模様がしっかりと浮き上がり、<br>
立体感のある作品に仕上がります。<br>
<br>
マクラメ編みのアクセサリーにも最適です。<br>
<br>
品質表示：綿 100%<br>
量目：50g(約175m)<br>
使用針：かぎ針2/0～3/0号<br>
<br>
・バッグやマクラメ編みのアクセサリーにも<br>
・小物作りにも<br>
・糸が太いので初めての方にもおススメ
<br>
<br>
  <br>
    </font></td>
</tr>
</table>",【レース糸】【綿】　鴨川糸＃18（まとめ買い3玉入り）　【横田】【春夏】：手芸用品のｉ-ｃｒａｆｔ,【レース糸】【綿】　鴨川糸＃18（まとめ買い3玉入り）　【横田】【春夏】,クラシカルな雰囲気。【レース糸】【綿】　鴨川糸＃18（まとめ買い3玉入り）　【横田】【春夏】[rn]
35-64988,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h144-044.jpg?fitin=700:700,760.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手編み】衿つきティペット　【手芸用品】【手芸キット】【ハマナカ】【アルパカモエアフィーヌ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
 内容 * アルパカモヘアフィーヌ　2玉、作品レシピ<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<font color=""red"">※ボタンはセットに入っていません。<br></font>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　アルパカモヘアフィーヌ（約25g）<br>
　　　　　No.11　1.6玉（約40g）<br>
使用針 * かぎ針4/0号<br>
<br></font>
<br>
<br>
◇ハマナカ　アルパカモヘアフィーヌについて◇<br>
<br>
■重量・長さ * 25g・約110m<br>
■素　材　* モヘヤ35％、アクリル35％<br>
　　　　　　　アルパカ20％、ウール10％<br>
■対応針　* かぎ針4/0号、棒針5～6号<br>
<br>
<br>",【毛糸】【ハマナカ】【手編み】衿つきティペット　【手芸用品】【手芸キット】【ハマナカ】【アルパカモエアフィーヌ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手編み】衿つきティペット　【手芸用品】【手芸キット】【ハマナカ】【アルパカモエアフィーヌ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手編み】衿つきティペット　【手芸用品】【手芸キット】【ハマナカ】【アルパカモエアフィーヌ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-64989,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h144-056.jpg?fitin=700:700,2876.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】　【手編み】交差柄のＶネックメンズベスト【手芸用品】【手芸キット】　【ハマナカ】【メンズクラブマスター】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
 内容 * メンズクラブマスター　8玉、作品レシピ<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　メンズクラブマスター（約50g）<br>
　　　　　No.69　8玉（約400g）<br>
使用針 * 棒針10号・8号<br><br></font>
<br>
<br>
◇ハマナカ　メンズクラブマスターについて◇<br>
<br>
■重量・長さ * 50g・約75m<br>
■素　材　*ウール60％、アクリル40％<br>
■対応針　* かぎ針10/0号、棒針10～12号<br>
<br>
<br>",【毛糸】【ハマナカ】　【手編み】交差柄のＶネックメンズベスト【手芸用品】【手芸キット】　【ハマナカ】【メンズクラブマスター】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】　【手編み】交差柄のＶネックメンズベスト【手芸用品】【手芸キット】　【ハマナカ】【メンズクラブマスター】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】　【手編み】交差柄のＶネックメンズベスト【手芸用品】【手芸キット】　【ハマナカ】【メンズクラブマスター】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-64990,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h144-039.jpg?fitin=700:700,3524.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手編み】　アルマーレの４玉ケープ　【手芸用品】【手芸キット】【ハマナカ】【ルーポ（アニマーレ）】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
 内容 * ルーポ（アニマーレ）　4玉、作品レシピ<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　ルーポ（アニマーレ）(40g玉巻）<br>
　　　　　No.104　3.7玉(約120g）<br>
使用針 * 棒針10号<br>
<br></font>
<br>
<br>
◇ハマナカ　ルーポ（アニマーレ）について◇<br>
<br>
■重量・長さ * 40g・約38m<br>
■素　材 * レーヨン65％、ポリエステル35％<br>
■対応針 * かぎ針10号、棒針10～12号<br>
<br>
<br>",【毛糸】【ハマナカ】【手編み】　アルマーレの４玉ケープ　【手芸用品】【手芸キット】【ハマナカ】【ルーポ（アニマーレ）】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手編み】　アルマーレの４玉ケープ　【手芸用品】【手芸キット】【ハマナカ】【ルーポ（アニマーレ）】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手編み】　アルマーレの４玉ケープ　【手芸用品】【手芸キット】【ハマナカ】【ルーポ（アニマーレ）】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-64991,http://tshop.r10s.jp/i-craft/cabinet/amimonoyouhin/145-160-043-1.jpg?fitin=700:700,2555.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】　ストライプのフリンジマフラー　【ハマナカ】【アメリー】【編物】【あみもの】【手編み】【レシピ】,,"<table width=""730"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=http://image.rakuten.co.jp/i-craft/cabinet/amimonoyouhin/145-160-043.jpg width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
</table>
<p>&nbsp;</p>
<table width=""400"" bgcolor=""#999999"" cellspacing=""1"" cellpadding=""3"">
<tr>
  <th align=""left"" bgcolor=""#F0E7E5""><font size=""2"">商品説明</font></th>
</tr>

<tr>
  <td bgcolor=""#FFFFFF""><font size=""2"" color=""#666666""><br>
    写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
内容 * アメリー　各2玉、作品レシピ（145-160-043）<br>
<span style=""color: #FD0004"">写真２より、糸の色をお選びください。<br>
</span><br>
使用糸 *アメリー（約40g）<br>
　　　　　コーンイエロー（Ｎｏ、31）・プライムレッド（Ｎｏ、32）・<br>
　　　　　コーヒーブラウン（Ｎｏ、36）　各1.5玉（約180g）<br>
使用針 * かぎ針6/0号<br>
できあがり * 幅16cm、丈166ｃｍ（フリンジ含む）<br>
<br>
◇アメリーについて<br>
●構成　ウール70％、アクリル30％ <br>
　　　　　 ※ウールは、ニュージーランドメリノウール<br>
●仕立　40g玉巻(約110m)<br>
●棒針　6-7号　19-20目・27-28段<br>
●かぎ針　5/0-6/0号（長編み）20-21目・9-9.5段　</font><font size=""2"" color=""#666666""><br>
  <br>
    </font></td>
</tr>
</table>

<br>",【毛糸】【ハマナカ】　ストライプのフリンジマフラー　【ハマナカ】【アメリー】【編物】【あみもの】【手編み】【レシピ】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】　ストライプのフリンジマフラー　【ハマナカ】【アメリー】【編物】【あみもの】【手編み】【レシピ】,【毛糸】【ハマナカ】　ストライプのフリンジマフラー　【ハマナカ】【アメリー】【編物】【あみもの】【手編み】【レシピ】[rn]
35-64992,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h144-066.jpg?fitin=700:700,2981.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手編み】矢羽根模様のＶネックベスト【手芸用品】【手芸キット】　【ハマナカ】【ソノモノアルパカリリー】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
 内容 * ソノモノアルパカリリー　　7玉、作品レシピ<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<font color=""red"">※ボタンはセットに入っていません。<br></font>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　ソノモノアルパカリリー（約40g）<br>
　　　　　No.115　6.7玉　（約265g）<br>
使用針 * 棒針10号・8号<br><br></font>
<br>
<br>
◇ハマナカ　ソノモノアルパカリリーについて◇<br>
<br>
■重量・長さ * 40g・約120m<br>
■素　材　* ウール80％、アルパカ20％<br>
■対応針　* かぎ針8/0号、棒針8～10号<br>
<br>
<br>",【毛糸】【ハマナカ】【手編み】矢羽根模様のＶネックベスト【手芸用品】【手芸キット】　【ハマナカ】【ソノモノアルパカリリー】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手編み】矢羽根模様のＶネックベスト【手芸用品】【手芸キット】　【ハマナカ】【ソノモノアルパカリリー】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手編み】矢羽根模様のＶネックベスト【手芸用品】【手芸キット】　【ハマナカ】【ソノモノアルパカリリー】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-64993,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h143-071.jpg?fitin=700:700,1277.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手編み】　ライン入りVネックベスト　【手芸用品】【手芸用品】【手芸キット】【わんぱくデニス】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * わんぱくデニス<br>
　　　　色1…3玉・色2…1玉、作品レシピ<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　わんぱくデニス(50g玉巻)<br>
　　　　　色1（地の色）No.20…2.8玉<br>
　　　　　色2（ライン部分）No.2…0.1玉<br>
使用針 * 2本針7・5号<br>
できあがり *
<br>
<br></font>
<br>
<br>
◇わんぱくデニスについて◇<br>
<br>
●重量・長さ * 50g・約120m<br>
●素材 * アクリル70％、ウール30％(防縮加工ウール使用)<br>
●対応針 * かぎ針5号、棒針6～7号<br>
<br>
<br>",【毛糸】【ハマナカ】【手編み】　ライン入りVネックベスト　【手芸用品】【手芸用品】【手芸キット】【わんぱくデニス】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手編み】　ライン入りVネックベスト　【手芸用品】【手芸用品】【手芸キット】【わんぱくデニス】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手編み】　ライン入りVネックベスト　【手芸用品】【手芸用品】【手芸キット】【わんぱくデニス】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-64994,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h143-044.jpg?fitin=700:700,1204.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手編み】　エスカルゴの帽子　【手芸用品】【手芸用品】【手芸キット】【フーガ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * フーガ　2玉、作品レシピ<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　フーガ(40g玉巻)<br>
　　　　　No.12…1.4玉(55g)<br>
使用針 * 4本針8号<br>
できあがり * <br>
<br></font>
<br>
<br>
◇フーガについて◇<br>
<br>
重量・長さ * 40g・約120m<br>
　素　材　 * ウール100％<br>
　対応針　 * かぎ針8号、棒針8号～10号<br>
<br>
<br>",【毛糸】【ハマナカ】【手編み】　エスカルゴの帽子　【手芸用品】【手芸用品】【手芸キット】【フーガ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手編み】　エスカルゴの帽子　【手芸用品】【手芸用品】【手芸キット】【フーガ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手編み】　エスカルゴの帽子　【手芸用品】【手芸用品】【手芸キット】【フーガ】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-64995,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h141-056.jpg?fitin=700:700,4292.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸用品】【手芸キット】　交差模様プル　L寸　【ハマナカ】【フェアレディー50】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * フェアレディー50　12玉<br>
　　　　作品レシピ…A4用紙両面1枚、A3用紙1枚<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　フェアレディー50(40g玉巻)<br>
　　　　　No.99…11.4玉(455g)<br>
使用針 * 2本針3号・5号、4本針3号<br>
できあがり * 身幅50cm、着丈57cm、袖丈45cm<br>
<br></font>
<br>
<br>
◇フェアレディー50について◇<br>
<br>
重量・長さ * 40g・約100m<br>
　素　材　 * ウール70％(防縮加工ウール使用)、アクリル30％<br>
　対応針　 * かぎ針5号、棒針5～6号<br>
<br>
<br>",【毛糸】【ハマナカ】【手芸用品】【手芸キット】　交差模様プル　L寸　【ハマナカ】【フェアレディー50】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸用品】【手芸キット】　交差模様プル　L寸　【ハマナカ】【フェアレディー50】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手芸用品】【手芸キット】　交差模様プル　L寸　【ハマナカ】【フェアレディー50】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-64996,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h143-069.jpg?fitin=700:700,2021.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸用品】【手芸キット】　小花柄ワンピース　【ハマナカ】【キューピッド】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * キューピッド　5玉、作品レシピ<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　キューピッド(40g玉巻)<br>
　　　　　No.3…4.2玉(165g)<br>
使用針 * かぎ針3/0号<br>
できあがり * 
<br>
<br></font>
<br>
<br>
◇キューピッドについて◇<br>
<br>
●重量・長さ * 40g・約160m<br>
●素材 * ウール100％<br>
●対応針 * かぎ針3号、棒針4号<br>
<br>
<br>",【毛糸】【ハマナカ】【手芸用品】【手芸キット】　小花柄ワンピース　【ハマナカ】【キューピッド】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸用品】【手芸キット】　小花柄ワンピース　【ハマナカ】【キューピッド】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手芸用品】【手芸キット】　小花柄ワンピース　【ハマナカ】【キューピッド】【子供】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】[rn]
