23-46401,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065819604.jpg?fitin=700:700,8058.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,日本工作油　タッピングペースト　一般金属用　5kg,,"★特徴★<br>
●仕上げ、作業効率が向上し、工具寿命も延長されます。<br>
●刷毛塗り、筆付が可能です。<br>
●タッピング作業のみでなく、あらゆる低速切削作業に。<br>
●ねじ切り、フライス、ドリル、リーマ、ダイス通し、オーバーパイプねじ切り、など切削困難な場合。<br>
<br>
★仕様★<br>
●使用温度範囲:35℃以下<br>
●色:黄色<br>
●容量(kg):5<br>
●質量(kg):5.5<br>
●主成分:石油系炭化水素（鉱物油）<br>",日本工作油　タッピングペースト　一般金属用　5kg：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日本工作油　タッピングペースト　一般金属用　5kg,日本工作油　タッピングペースト　一般金属用　5kg[rn]
23-46402,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065929074.jpg?fitin=700:700,46693.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,東レダウコーニング　モリコート　フッ素・超高性能　HP-500グリース　500G,,"★特徴★<br>
●フッ素化ポリエーテルをベースとした特殊グリスです。耐油性、耐熱性、耐溶剤性、耐薬品性に優れています。<br>
●ゴム、プラスチックにほとんど影響を与えません<br>●食品加工機械用フードグレード(NSF,H1)です<br>
●塗装ラインの軸受・熱風乾燥機モーター軸受に<br>
●プラスチック・ゴム射出成形機<br>
●食品加工機械<br>
<br>
★仕様★<br>
●NSF H1 認定取得<br>
●使用温度範囲:-20～250℃<br>
●フッ素樹脂増稠グリス<br>
●容器:プラスチックボトル<br>
●色:白<br>
●容量(g):500<br>
●ちょう度:280<br>
●質量(g):540<br>
●質量:540g<br>
●主成分:パーフロロポリエーテル+フッ素樹脂（PTFE）<br>",東レダウコーニング　モリコート　フッ素・超高性能　HP-500グリース　500G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア東レダウコーニング　モリコート　フッ素・超高性能　HP-500グリース　500G,東レダウコーニング　モリコート　フッ素・超高性能　HP-500グリース　500G[rn]
23-46403,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065926587.jpg?fitin=700:700,642.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,KURE(呉工業)　食品機械用潤滑剤　フードシリコーンスプレー　430ml,,"★特徴★<br>
●食品用機械の潤滑性能を向上させます<br>
●ゴムやプラスチックに影響を与えません<br>
●食品機械用のカッター、コンベヤ、充填機、オーブン、フリーザーなどの可動部の潤滑<br>
<br>
★仕様★<br>
●NSF H1 認定取得<br>
●使用温度範囲:-40～200℃<br>
●容器:スプレー<br>
●色:透明<br>
●容量(ml):430<br>
●質量(g):415<br>
●質量:415g<br>
●主成分:シリコーンオイル、石油系溶剤<br>",KURE(呉工業)　食品機械用潤滑剤　フードシリコーンスプレー　430ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアKURE(呉工業)　食品機械用潤滑剤　フードシリコーンスプレー　430ml,KURE(呉工業)　食品機械用潤滑剤　フードシリコーンスプレー　430ml[rn]
23-46404,http://tshop.r10s.jp/monju/cabinet/00564959/img55985796.jpg?fitin=700:700,864.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ALESCO　復活洗浄剤（錆び取り用）　80G,,"<FONT COLOR=""RED"">＜特長＞<br></FONT>
石材、コンクリート、ステンレス等に付着、浸透した金属錆び汚れ、真鍮や金属モールの黒ずみも分解、除去致します<br>
中性の為、石材を傷める事は有りません<br>
ペースト状になってるので壁面や垂直面でも効果を発揮致します<br><p>
<FONT COLOR=""RED"">＜用途＞<br></FONT>
塗装業、清掃業、ビルメンテナンス業<br><p>
<TABLE border=""1"">

    <TR>
      <TD bgcolor=""#ffcccc"">復活洗浄剤シリーズ</TD>
    </TR>
    <TR>
      <TD>錆び取り用</TD>
    </TR>
    <TR>
      <TD>御影石用</TD>
    </TR>
    <TR>
      <TD>エフロ用</TD>
    </TR>
    <TR>
      <TD>タイル用</TD>
    </TR>
    <TR>
      <TD>ビニール、プラスチック用</TD>
    </TR>
    <TR>
      <TD>アルミ用</TD>
    </TR>
    <TR>
      <TD>ステンレス用</TD>
    </TR>

</TABLE><br>",ALESCO　復活洗浄剤（錆び取り用）　80G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアALESCO　復活洗浄剤（錆び取り用）　80G,ALESCO　復活洗浄剤（錆び取り用）　80G[rn]
23-46405,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065927566.jpg?fitin=700:700,2748.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,LOCTITE(ロックタイト)　食品機械用潤滑剤　バイパールブグリース　400G,,"★特徴★<br>
●高機能多目的グリースです<br>
●耐摩耗性に優れます<br>
●食品機械やその他の潤滑を必要とする部品に<br>
<br>
★仕様★<br>
●ＮＳＦ Ｈ１認定取得<br>
●使用温度:-40～204℃<br>
●色:白茶<br>
●容量(g):400<br>
●質量:420g<br>
●主成分:合成グリース<BR><br>",LOCTITE(ロックタイト)　食品機械用潤滑剤　バイパールブグリース　400G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　食品機械用潤滑剤　バイパールブグリース　400G,LOCTITE(ロックタイト)　食品機械用潤滑剤　バイパールブグリース　400G[rn]
23-46406,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065834085.jpg?fitin=700:700,4536.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,BASARA　タッピングオイル　ステンコロリン赤　1L,,"★特徴★<br>
●加工時の発熱を抑えるため、適正な構成刃先が得られます。<br>
●難しい加工が容易に、きれいに仕上がります<br>
●タップ、リーマ、小径ドリル（センタードリルを含む）、エンドミル、フライス、旋盤および各種切削加工。<br>
●ステンレス、アルミニウム、銅、チタン合金などの難削材。<br>
<br>
★仕様★<br>
●使用温度範囲:常温<br>
●塩素系<br>
●被削材:ステンレス、アルミニウム(アルミダイカスト)、銅、チタン合金、インコネルおよびその他加工困難な材料<br>
●塩素系<br>
●色:赤<br>
●容量(L):1.00<br>
●質量(g):1142<br>
●主成分:鉱物油、添加剤<br>",BASARA　タッピングオイル　ステンコロリン赤　1L：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBASARA　タッピングオイル　ステンコロリン赤　1L,BASARA　タッピングオイル　ステンコロリン赤　1L[rn]
23-46407,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065926896.jpg?fitin=700:700,640.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,NOKクリューバー　食品機械用潤滑剤　微淡黄色　300ml,,"★特徴★<br>
●食用油脂を原料としているため、食品に触れる箇所に使用できます<br>
●食品機械用オイル、NSF 3H、H1に登録しています<br>●米飯加工機械、食品、飲料などの製造ライン、加工機械、食品の離型、付着防止<br>
<br>
★仕様★
●NSF 3H/H1 認定取得<br>
●使用温度範囲:-10～100℃<br>
●食用油脂を原料としています<br>
●容器:2wayノズル<br>
●色:微淡黄色<br>
●容量(ml):300<br>
●質量(g):253<br>
●質量:253g<br>
●主成分:植物系油脂<br>",NOKクリューバー　食品機械用潤滑剤　微淡黄色　300ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアNOKクリューバー　食品機械用潤滑剤　微淡黄色　300ml,NOKクリューバー　食品機械用潤滑剤　微淡黄色　300ml[rn]
23-46408,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065926897.jpg?fitin=700:700,1238.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,NOKクリューバー　食品機械用潤滑剤　淡黄色　400ml,,"★特徴★<br>
●食用油脂を原料としているため、食品に触れる箇所に使用できます<br>
●食品機械用オイル、NSF 3H、H1に登録しています<br>●米飯加工機械、食品、飲料などの製造ライン、加工機械、食品の離型、付着防止<br>
<br>
★仕様★
●NSF 3H/H1 認定取得<br>
●使用温度範囲:-10～100℃<br>
●食用油脂を原料としています<br>
●容器:2wayノズル<br>
●色:淡黄色<br>
●容量(ml):400<br>
●質量(g):373<br>
●主成分:植物系油脂<br>",NOKクリューバー　食品機械用潤滑剤　淡黄色　400ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアNOKクリューバー　食品機械用潤滑剤　淡黄色　400ml,NOKクリューバー　食品機械用潤滑剤　淡黄色　400ml[rn]
23-46409,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065929076.jpg?fitin=700:700,64099.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,東レダウコーニング　モリコート　フッ素・超高性能　HP-300グリース　500G,,"★特徴★<br>
●フッ素化ポリエーテルをベースとした特殊グリスです。<br>
●耐油性、耐熱性、耐溶剤性、耐薬品性に優れています。<br>
●ゴム、プラスチックにほとんど影響を与えません<br>●塗装ラインの軸受・熱風乾燥機モーター軸受に<br>
<br>
★仕様★<br>
●NSF H1 認定取得<br>
●使用温度範囲:-65～250℃<br>
●容器:缶<br>
●色:透明<br>
●容量(g):500<br>
●ちょう度:280<br>
●質量(g):540<br>
●主成分:パーフロロポリエーテル+フッ素樹脂（PTFE）<br>",東レダウコーニング　モリコート　フッ素・超高性能　HP-300グリース　500G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア東レダウコーニング　モリコート　フッ素・超高性能　HP-300グリース　500G,東レダウコーニング　モリコート　フッ素・超高性能　HP-300グリース　500G[rn]
23-46410,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065818450.jpg?fitin=700:700,25031.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,TRUSCO(トラスコ)水溶性切削液メタルカット　エマルション高圧対応油脂硫黄型　18L　MC-36E,,"<table border=""1"">

    <tr>
      <td rowspan=""2"">品番&nbsp;&nbsp;</td>
      <td rowspan=""2"">潤滑性</td>
      <td rowspan=""2"">消泡性</td>
      <td rowspan=""2"">防錆性</td>
      <td colspan=""2"">　　防食性&nbsp;&nbsp;</td>
      <td rowspan=""2"">　　　　　　主用途&nbsp;</td>
    </tr>
    <tr>
      <td>　銅　</td>
      <td>アルミ</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/123-0191/"">MC-5E</a></td>
      <td>　△</td>
      <td>　△</td>
      <td>　△</td>
      <td>　○</td>
      <td>　○</td>
      <td>一般的な切削加工</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/243-8780/"">MC-11E</a></td>
      <td>　△</td>
      <td>　△</td>
      <td>　△</td>
      <td>　◎</td>
      <td>　△</td>
      <td>銅・銅合金の切削加工全般</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/432-9562/"">MC-15E</a></td>
      <td>　○</td>
      <td>　○</td>
      <td>　○</td>
      <td>　○</td>
      <td>　◎</td>
      <td>NC旋盤・MC加工全般</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/243-8798/"">MC-16E</a></td>
      <td>　○</td>
      <td>　◎</td>
      <td>　○</td>
      <td>　○</td>
      <td>　○</td>
      <td>NC旋盤・MC加工全般</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/286-8237/"">MC-18E</a></td>
      <td>　◎</td>
      <td>　○</td>
      <td>　◎</td>
      <td>　○</td>
      <td>　◎</td>
      <td>複合加工機・MC加工全般</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/243-8801/"">MC-36E</a></td>
      <td>　◎</td>
      <td>　○</td>
      <td>　○</td>
      <td>　○</td>
      <td>　○</td>
      <td>MC加工全般</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/123-0204/"">MC-50S</a></td>
      <td>　○</td>
      <td>　△</td>
      <td>　◎</td>
      <td>　○</td>
      <td>　○</td>
      <td>鋼・アルミの切削加工</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/123-0212/"">MC-55S</a></td>
      <td>　○</td>
      <td>　◎</td>
      <td>　◎</td>
      <td>　△</td>
      <td>　○</td>
      <td>鋳物・鋼材の切削及び研削加工</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/286-8211/"">MC-57S</a></td>
      <td>　◎</td>
      <td>　○</td>
      <td>　◎</td>
      <td>　△</td>
      <td>　○</td>
      <td>鋳物・鋼材の切削及び研削加工<br>
      SUS・アルミの軽切削加工</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/243-8771/"">MC-65S</a></td>
      <td>　◎</td>
      <td>　△</td>
      <td>　△</td>
      <td>　○</td>
      <td>　◎</td>
      <td>特にアルミの切削加工</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/123-0221/"">MC-80C</a></td>
      <td>　△</td>
      <td>　○</td>
      <td>　◎</td>
      <td>　△</td>
      <td>　×</td>
      <td>鋳鉄・鋼材の一般研削加工</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/286-8229/"">MC-91C</a></td>
      <td>　○</td>
      <td>　◎</td>
      <td>　◎</td>
      <td>　△</td>
      <td>　×</td>
      <td>鋳鉄・鋼材・SUSの研削加工</td>
    </tr>

</table>
<p></p>
<table border=""1"">
 
    <tr>
      <td colspan=""10"">●切削加工&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</td>
    </tr>
    <tr>
      <td>加工方法&nbsp;</td>
      <td colspan=""2"">鋳鉄&nbsp;&nbsp;</td>
      <td colspan=""2"">炭素鋼&nbsp;</td>
      <td colspan=""2"">ステンレス<br>
      高合金鋼&nbsp;</td>
      <td colspan=""2"">アルミ<br>
      アルミ合金&nbsp;&nbsp;</td>
      <td>銅<br>
      銅合金</td>
    </tr>
    <tr>
      <td>タッピング</td>
      <td>57S</td>
      <td>18E</td>
      <td>18E</td>
      <td>16E</td>
      <td>18E</td>
      <td>36E</td>
      <td>18E</td>
      <td>16E</td>
      <td>11E</td>
    </tr>
    <tr>
      <td>鋸盤</td>
      <td>57S</td>
      <td>18E</td>
      <td>50S</td>
      <td>18E</td>
      <td>18E</td>
      <td>16E</td>
      <td>50S</td>
      <td>18E</td>
      <td>11E</td>
    </tr>
    <tr>
      <td>NC旋盤</td>
      <td>57S</td>
      <td>55S</td>
      <td>55S</td>
      <td>18E</td>
      <td>55S</td>
      <td>18E</td>
      <td>55S</td>
      <td>18E</td>
      <td>11E</td>
    </tr>
    <tr>
      <td>複合機</td>
      <td>57S</td>
      <td>55S</td>
      <td>55S</td>
      <td>18E</td>
      <td>55S</td>
      <td>18E</td>
      <td>55S</td>
      <td>18E</td>
      <td>11E</td>
    </tr>
    <tr>
      <td>マシニングセンター</td>
      <td>57S</td>
      <td>18E</td>
      <td>18E</td>
      <td>57S</td>
      <td>18E</td>
      <td>36E</td>
      <td>18E</td>
      <td>16E</td>
      <td>11E</td>
    </tr>
    <tr>
      <td colspan=""10"">●研削加工</td>
    </tr>
    <tr>
      <td>平面研削</td>
      <td>80C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>18E</td>
      <td rowspan=""4"">&nbsp;</td>
    </tr>
    <tr>
      <td>円筒研削</td>
      <td>80C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>18E</td>
    </tr>
    <tr>
      <td>センタレス</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>18E</td>
    </tr>
    <tr>
      <td>ロータリー研削</td>
      <td>80C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>91C</td>
      <td>80C</td>
      <td>91C</td>
      <td>18E</td>
    </tr>
  
</table>
<p></p>
★特徴★<br>
●鉱物油と乳化剤を主成分として水に希釈すると乳白色に溶解します。重切削の領域まで使用できます<BR>
●PRTR法対象物質を含みません<BR>
●マシニングセンター。<BR>
●NC旋盤。<BR>
●フライス加工。<BR>
●複合加工機。<BR>
<BR>
★仕様★<BR>
●エマルション型<BR>
●JIS A1種相当<BR>
●特性:消泡性に優れ潤滑性にも優れた重切削用エマルション。硫黄系極圧剤と特殊油性剤の潤滑効果により、タップ・リーマ加工にも使用できる切削液です。重切削の高圧マシニングセンター、NC旋盤に最適です。<BR>
●色:乳白色<BR>
●容量(L):18<BR>
●用途:鋳物、鉄、ステンレス、アルミニウム等<BR>
●質量(kg):17.8<BR>
●主成分:精製鉱物油<br>",TRUSCO(トラスコ)水溶性切削液メタルカット　エマルション高圧対応油脂硫黄型　18L　MC-36E：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)水溶性切削液メタルカット　エマルション高圧対応油脂硫黄型　18L　MC-36E,TRUSCO(トラスコ)水溶性切削液メタルカット　エマルション高圧対応油脂硫黄型　18L　MC-36E[rn]
23-46411,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065819603.jpg?fitin=700:700,1713.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,日本工作油　タッピングペースト　一般金属用　1kg,,"★特徴★<br>
●仕上げ、作業効率が向上し、工具寿命も延長されます。<br>
●刷毛塗り、筆付が可能です。<br>
●タッピング作業のみでなく、あらゆる低速切削作業に。<br>
●ねじ切り、フライス、ドリル、リーマ、ダイス通し、オーバーパイプねじ切り、など切削困難な場合。<br>
<br>
★仕様★<br>
●使用温度範囲:35℃以下<br>
●色:黄色<br>
●容量(kg):1<br>
●質量(kg):1.2<br>
●主成分:石油系炭化水素（鉱物油）<br>",日本工作油　タッピングペースト　一般金属用　1kg：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日本工作油　タッピングペースト　一般金属用　1kg,日本工作油　タッピングペースト　一般金属用　1kg[rn]
