23-46001,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065957796.jpg?fitin=700:700,132.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,積水化学工業　梱包用ＰＰテープ　48mm幅×50m長×0.052mm厚　クリア,,"★特徴★<br>
●透明性が高く、貼る場所を選びません<BR>
<BR>
★仕様★<BR>
●紙芯:再生紙使用<BR>
●粘着力:3.4N/10mm<BR>
●引張強度:50N/10mm<BR>
●芯径:3インチ(76mm)<BR>
●切断にはカッターが必要<BR>
●色:クリア<BR>
●幅(mm):48<BR>
●長さ(m):50<BR>
●厚み(mm):0.052<BR>
●質量:150g<BR>
●基材:ポリプロピレン<BR>
●粘着剤:アクリル系<br>",積水化学工業　梱包用ＰＰテープ　48mm幅&times;50m長&times;0.052mm厚　クリア：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア積水化学工業　梱包用ＰＰテープ　48mm幅&times;50m長&times;0.052mm厚　クリア,積水化学工業　梱包用ＰＰテープ　48mm幅&times;50m長&times;0.052mm厚　クリア[rn]
23-46002,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066400183.jpg?fitin=700:700,1999.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,TRUSCO(トラスコ)中輝度蓄光テープ　10mm幅×5m長×0.17mm厚,,"★特徴★<br>
●環境に優しい塩化ビニールフリー素材です<bR>
●車材燃試にて極難燃性を取得しています<br>
●JIS規格をクリアしています<br>
●消灯後約3時間発光します<br>
●危険表示、取手、段差などの目印に<br>
●停電時の避難誘導に<br>
●手すり・廊下・階段・出入口などの目印に<br>
<bR>
★仕様★<br>
●粘着力:6N/25mm<br>
●引張強度:58N/15mm<br>
●電気が消えても約３時間光ります<br>
●切断にはカッターが必要<br>
●色:グリーンイエロー<br>
●基材：ポリエステルフィルム<br>
●粘着剤：アクリルウレタン系<br>",TRUSCO(トラスコ)中輝度蓄光テープ　10mm幅&times;5m長&times;0.17mm厚：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)中輝度蓄光テープ　10mm幅&times;5m長&times;0.17mm厚,TRUSCO(トラスコ)中輝度蓄光テープ　10mm幅&times;5m長&times;0.17mm厚[rn]
23-46003,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065929443.jpg?fitin=700:700,156.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ニチバン　布粘着テープ102N　25mm幅×25m長×0.3mm厚,,"★特徴★<br>
●強粘着で抜群の保持力です。<br>
●巻戻しが軽く作業効率も良好です<bR>
●重量ダンボールの封かん<br>
<br>
★仕様★<br>
●粘着力:5.05N/10mm<br>
●引張強度:70.9N/10mm<br>
●手で切断可能<br>
●色:ダンボール<br>
●幅(mm):25<br>
●長さ(m):25<br>
●厚み(mm):0.3<br>
●質量:170g<br>
●基材:スフ<br>
●粘着剤:ゴム系<br>",ニチバン　布粘着テープ102N　25mm幅&times;25m長&times;0.3mm厚：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアニチバン　布粘着テープ102N　25mm幅&times;25m長&times;0.3mm厚,ニチバン　布粘着テープ102N　25mm幅&times;25m長&times;0.3mm厚[rn]
23-46004,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066013018.jpg?fitin=700:700,366.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,SLIONTEC(スリオンテック)　養生用布粘着テープ　50mm×25m×0.29mm　塗装養生用　ライトグリーン,,"★特徴★<br>
●ゴム系粘着剤で、厚みがあるため、粗面に対して接着力があります<br>
●養生用布粘着テープのエコノミータイプです<br>
<br>
★仕様★<br>
●粘着力:2.8N/10mm(対ステンレス)<br>
●引張強度:51N/10mm<br>
●色:ライトグリーン<br>
●幅(mm):50<br>
●長さ(m):25<br>
●厚み(mm):0.29<br>
●質量:444g<bR>
●基材:スフ織物（ポリエチレンラミネート付）<br>
●粘着剤:ゴム系<br><br>",SLIONTEC(スリオンテック)　養生用布粘着テープ　50mm&times;25m&times;0.29mm　塗装養生用　ライトグリーン：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアSLIONTEC(スリオンテック)　養生用布粘着テープ　50mm&times;25m&times;0.29mm　塗装養生用　ライトグリーン,SLIONTEC(スリオンテック)　養生用布粘着テープ　50mm&times;25m&times;0.29mm　塗装養生用　ライトグリーン[rn]
23-46005,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066228565.jpg?fitin=700:700,7455.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,チューコーフロー　フッ素樹脂粘着テープ　50mm幅×10m長×0.18mm厚　乳白色,,"★特徴★<BR>
●耐熱性・非粘着性・高電気絶縁性・耐薬品性・滑り性に優れています<BR>
●各種コイル・モーター、ハーネスの耐熱結束<BR>
●シュート、ホッパーの摩擦面ライニング<BR>
<BR>
★仕様★<BR>
●切断にはカッターが必要<BR>
●粘着力:3N/10mm<BR>
●引張強度:64N/10mm（厚み0.13mm）<BR>
●連続使用温度:-60～200℃<BR>
●UL規格品<BR>
●色:乳白色<BR>
●幅(mm):50<BR>
●長さ(m):10<BR>
●厚み(mm):0.18<BR>
●質量:198g<BR>
●基材:フッ素樹脂（PTFE）<BR>
●粘着剤:シリコーン系<BR><br>",チューコーフロー　フッ素樹脂粘着テープ　50mm幅&times;10m長&times;0.18mm厚　乳白色：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアチューコーフロー　フッ素樹脂粘着テープ　50mm幅&times;10m長&times;0.18mm厚　乳白色,チューコーフロー　フッ素樹脂粘着テープ　50mm幅&times;10m長&times;0.18mm厚　乳白色[rn]
23-46006,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066392157.jpg?fitin=700:700,4844.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,3M(スリーエム)　高機能ラインテープ　50mm幅×18m長×0.13mm厚,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""3""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●耐久性、耐摩耗性、耐湿性、耐薬品性に優れています</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●なじみがよく、一度伸ばすと元に戻りにくいので、凸凹面にも貼れ、曲線も描けます</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●のりのはみ出しがなく、またテープをはがしてものり残りしにくい接着剤を使っています</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""3""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●パイプ等の色分け用</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●メッキのマスキング用</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●区画線用</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""4""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着力：3.33N/10mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●引張強度：27N/10mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●屋内用タイプ</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：塩化ビニール</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：ゴム系</FONT></TD>
  </TR></TABLE>
</CENTER><br>",3M(スリーエム)　高機能ラインテープ　50mm幅&times;18m長&times;0.13mm厚：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　高機能ラインテープ　50mm幅&times;18m長&times;0.13mm厚,3M(スリーエム)　高機能ラインテープ　50mm幅&times;18m長&times;0.13mm厚[rn]
23-46007,http://tshop.r10s.jp/monju/cabinet/tape/125-0698.jpg?fitin=700:700,3548.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,Nitto(日東電工)　ラインテープ(粗面用)100mm×10m×1.0mm,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●粗面にもよくなじむ特殊な粘着剤を使用しています</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●接着力が強力で、汚れにくく、耐摩耗性・耐久性に優れた厚手タイプです</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●工場、駐車場、病院などの構内区画ライン標示</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着力：8.23N/10mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●引張強度：501.9N/25mm</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：塩ビフィルム</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：ゴム系(無溶剤タイプ)</FONT></TD>
  </TR></TABLE>
</CENTER><br>",Nitto(日東電工)　ラインテープ(粗面用)100mm&times;10m&times;1.0mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアNitto(日東電工)　ラインテープ(粗面用)100mm&times;10m&times;1.0mm,Nitto(日東電工)　ラインテープ(粗面用)100mm&times;10m&times;1.0mm[rn]
23-46008,http://tshop.r10s.jp/monju/cabinet/tape/125-0493.jpg?fitin=700:700,2849.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,Nitto(日東電工)　ラインテープE-A型(屋内用)50mm×50m×0.16mm,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●面にもよくなじむ特殊な粘着剤を使用しています</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●接着力が強力で、汚れにくく、耐摩耗性・耐久性に優れた厚手タイプです</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●工場、駐車場、病院などの構内区画ライン標示</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""4""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着力：12.24N/10mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●引張強度：100N/20mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●屋内用タイプ</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：ポリオレフィン</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：ゴム系(無溶剤タイプ)</FONT></TD>
  </TR></TABLE>
</CENTER><br>",Nitto(日東電工)　ラインテープE-A型(屋内用)50mm&times;50m&times;0.16mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアNitto(日東電工)　ラインテープE-A型(屋内用)50mm&times;50m&times;0.16mm,Nitto(日東電工)　ラインテープE-A型(屋内用)50mm&times;50m&times;0.16mm[rn]
23-46009,http://tshop.r10s.jp/monju/cabinet/tape/125-0698.jpg?fitin=700:700,2660.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,Nitto(日東電工)　ラインテープ(粗面用)75mm×10m×1.0mm,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●粗面にもよくなじむ特殊な粘着剤を使用しています</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●接着力が強力で、汚れにくく、耐摩耗性・耐久性に優れた厚手タイプです</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●工場、駐車場、病院などの構内区画ライン標示</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着力：8.23N/10mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●引張強度：501.9N/25mm</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：塩ビフィルム</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：ゴム系(無溶剤タイプ)</FONT></TD>
  </TR></TABLE>
</CENTER><br>",Nitto(日東電工)　ラインテープ(粗面用)75mm&times;10m&times;1.0mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアNitto(日東電工)　ラインテープ(粗面用)75mm&times;10m&times;1.0mm,Nitto(日東電工)　ラインテープ(粗面用)75mm&times;10m&times;1.0mm[rn]
23-46010,http://tshop.r10s.jp/monju/cabinet/tape/324-0801.jpg?fitin=700:700,3175.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ユニット　屋内床貼りテープユニテープストレートタイプ50mm×20m×0.16mm,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""3""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●色の使い分けで様々な意味合いで区画表示ができます</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●弱粘タイプのため貼り替えが容易です</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●弱粘タイプなのでラインの位置変更が簡単です</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●工場内の通路確保表示、危険個所明示、置場スペース区分け</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●施設、店舗などの通路表示</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着力：13.7N/25mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●引張強度：117.82N/10mm</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：ペットフィルム</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：アクリル系</FONT></TD>
  </TR></TABLE>
</CENTER><br>",ユニット　屋内床貼りテープユニテープストレートタイプ50mm&times;20m&times;0.16mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアユニット　屋内床貼りテープユニテープストレートタイプ50mm&times;20m&times;0.16mm,ユニット　屋内床貼りテープユニテープストレートタイプ50mm&times;20m&times;0.16mm[rn]
23-46011,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066392369.jpg?fitin=700:700,408.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,岩田製作所　屋内用ラインテープ　Ｌタイプ　50mm幅×150mm×150mm　ブルー　2枚入,,"★特徴★<br>
●剥がれにくい、破れにくい、貼りやすいプロユース仕様です<br>
●剥がしてものりが残りにくい粘着剤を使用しています<br>
●屋内用<br>
●工場内のレイアウト(通路表示、危険表示、区画表示)<BR>
<br>
★仕様★<br>
●粘着力:14N/50mm<br>
●切断にはカッターが必要<br>
●色:ブルー<br>
●厚み(mm):1.0<br>
●幅×縦×横(mm):50×150×150<br>
●質量(g):40<br>
●基材:ポリ塩化ビニール（PVC）<br>
●粘着剤:ゴム系<br>",岩田製作所　屋内用ラインテープ　Ｌタイプ　50mm幅&times;150mm&times;150mm　ブルー　2枚入：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア岩田製作所　屋内用ラインテープ　Ｌタイプ　50mm幅&times;150mm&times;150mm　ブルー　2枚入,岩田製作所　屋内用ラインテープ　Ｌタイプ　50mm幅&times;150mm&times;150mm　ブルー　2枚入[rn]
