19-21101,,5585.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●導電性カラーマットのカラー層と同じ材質を使用した導電テープです。<br>
●作業台の導電性カラーマットや、導電床などの区画割り、各種表示用のラインテープ。<br>
●色:イエロー<br>
●幅(mm):50<br>
●長さ(m):10<br>
●厚み(mm):0.5<br>
●接地抵抗:Rg≦1×10[[の9乗]]Ω<br>
●ニトリルゴム(NBR)<br>
●同メーカーの導電性マットを併用して下さい。",■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品。■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1[rn]
19-21102,,24105.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1890 1X2】(3640914) ＳＣＳ 静電気導電性フロアマット 1890 1Ｘ2ｍ 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●柔軟性や耐久性に富み、マットの表面は台車の走行やはしご、脚立の使用が可能です。<br>
●表面の導電性グリーンカラー層と、裏面の黒色導電層の2層構造で、静電気対策に優れた効果を発揮します。<br>
●静電気対策が必要な床材および作業台のテーブルマットとして。<br>
●色:グリーン<br>
●幅(mm):1000<br>
●長さ(m):2<br>
●厚み(mm):2<br>
●接地間漏洩抵抗:5×10[[の6乗]]Ω<br>
●硬質ゴム<br>
●グランドコード3040:1本(4.5m)、アース端子3090および取り付け工具一式<br>
●この商品は、一般消費者様向けの製品ではない為、表示や取扱説明書等が一般消費者様向けに表記・同梱されておりません。<br>
●３Ｍ社から事業売却されたため、３Ｍブランドの表記となっている場合があります。",■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1890 1X2】(3640914) ＳＣＳ 静電気導電性フロアマット 1890 1Ｘ2ｍ 発注単位1：クローバー資材館,■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1890 1X2】(3640914) ＳＣＳ 静電気導電性フロアマット 1890 1Ｘ2ｍ 発注単位1,生産加工用品\静電気対策用品。■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1890 1X2】(3640914) ＳＣＳ 静電気導電性フロアマット 1890 1Ｘ2ｍ 発注単位1[rn]
19-21103,,1215.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒兼古製作所/アネックス ドライバー【156】(7901712) アネックス ステンレスピンセット 逆作動 グリップ付 247mm 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●手を放すと閉じるためバイスがわりに使用でき、はんだ付け作業などに便利です。<br>
●力を入れやすく、熱の伝わりを防ぐグリップ付です。<br>
●全長(mm):247<br>
●幅(mm):9<br>
●先端:曲/ギザ付<br>
●逆作動<br>
●ステンレス（SUS410相当）",■〒兼古製作所/アネックス ドライバー【156】(7901712) アネックス ステンレスピンセット 逆作動 グリップ付 247mm 発注単位1：クローバー資材館,■〒兼古製作所/アネックス ドライバー【156】(7901712) アネックス ステンレスピンセット 逆作動 グリップ付 247mm 発注単位1,生産加工用品\静電気対策用品。■〒兼古製作所/アネックス ドライバー【156】(7901712) アネックス ステンレスピンセット 逆作動 グリップ付 247mm 発注単位1[rn]
19-21104,,4921.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒川上産業/川上【10609】(7546335) 帯電防止バッグ　３２０Ｘ２８０Ｘ３２０　ＨＢ　１００枚入り 受注単位1,生産加工用品\静電気対策用品\静電気対策袋・静電気防止テープ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被包装物を、様々な静電気障害や衝撃から守るプチプチR袋です。<br>●静電気対策と緩衝包装が一体化され、簡単・便利です。<br><br>●電子部品・機械部品の梱包。<br><br>●幅(mm)：320<br>●長さ(mm)：320<br>●厚み(mm)：10<br>●質量(kg)：2.3<br><br>●表面抵抗値：10[[の11乗]]Ω<br><br>●ポリエチレン(PE)<br>",『カード対応OK！』■〒川上産業/川上【10609】(7546335) 帯電防止バッグ　３２０Ｘ２８０Ｘ３２０　ＨＢ　１００枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒川上産業/川上【10609】(7546335) 帯電防止バッグ　３２０Ｘ２８０Ｘ３２０　ＨＢ　１００枚入り 受注単位1,生産加工用品\静電気対策用品\静電気対策袋・静電気防止テープ。『カード対応OK！』■〒川上産業/川上【10609】(7546335) 帯電防止バッグ　３２０Ｘ２８０Ｘ３２０　ＨＢ　１００枚入り 受注単位1[rn]
19-21105,,8164.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1001014】(4106881) ＳＣＳ 静電気シールドバッグ フラットタイプ 254Ｘ356mm 100枚入り 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●透明性を保持しながらアルミ層が静電破壊を低減する4層構造のシールドバッグです。<br>
●静電気に敏感な電子部品の包装。<br>
●縦(mm):356<br>
●横(mm):254<br>
●厚み:0.07mm<br>
●帯電防止ポリエステルフィルム、導電性金属層、帯電防止ポリエチレンフィルム<br>
●この商品は、一般消費者様向けの製品ではない為、表示や取扱説明書等が一般消費者様向けに表記・同梱されておりません。<br>
●３Ｍ社から事業売却されたため、３Ｍブランドの表記となっている場合があります。",■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1001014】(4106881) ＳＣＳ 静電気シールドバッグ フラットタイプ 254Ｘ356mm 100枚入り 発注単位1：クローバー資材館,■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1001014】(4106881) ＳＣＳ 静電気シールドバッグ フラットタイプ 254Ｘ356mm 100枚入り 発注単位1,生産加工用品\静電気対策用品。■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【1001014】(4106881) ＳＣＳ 静電気シールドバッグ フラットタイプ 254Ｘ356mm 100枚入り 発注単位1[rn]
19-21106,,4800.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL253SA】(4982061) 取り換え式ピンセット 受注単位1,生産加工用品\静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●静電気帯電防止（ESD)仕様です。<br>●先端は、取り換え可能です。<br><br>●電子系の作業に。<br>●細かい作業に。<br>●精密な作業に。<br><br>●全長(mm)：110<br>●幅(mm)：8<br>●質量(g)：17<br><br><br>●ステンレス<br>●炭素繊維<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL253SA】(4982061) 取り換え式ピンセット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL253SA】(4982061) 取り換え式ピンセット 受注単位1,生産加工用品\静電気対策用品\ピンセット。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL253SA】(4982061) 取り換え式ピンセット 受注単位1[rn]
19-21107,,4227.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL249CFRSA】(4982037) 取り換え式ピンセット 受注単位1,生産加工用品\静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●静電気帯電防止（ESD)仕様です。<br>●先端は、取り換え可能です。<br><br>●電子系の作業に。<br>●細かい作業に。<br>●精密な作業に。<br><br>●全長(mm)：130<br>●幅(mm)：10<br>●質量(g)：17<br><br><br>●ステンレス<br>●炭素繊維<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL249CFRSA】(4982037) 取り換え式ピンセット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL249CFRSA】(4982037) 取り換え式ピンセット 受注単位1,生産加工用品\静電気対策用品\ピンセット。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL249CFRSA】(4982037) 取り換え式ピンセット 受注単位1[rn]
19-21108,,1278.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL7ACF】(4982223) ＴＬ７ＣＦＲ‐ＳＡ用リペアキット 受注単位1,生産加工用品\静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●静電気帯電防止（ESD)仕様です。<br>●リペアキットです。<br><br>●電子系の作業に。<br>●細かい作業に。<br>●精密な作業に。<br><br>●全長(mm)：40<br>●適合本体：TL7CFR-SA<br><br><br>●ステンレス<br>●炭素繊維<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL7ACF】(4982223) ＴＬ７ＣＦＲ‐ＳＡ用リペアキット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL7ACF】(4982223) ＴＬ７ＣＦＲ‐ＳＡ用リペアキット 受注単位1,生産加工用品\静電気対策用品\ピンセット。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【TL7ACF】(4982223) ＴＬ７ＣＦＲ‐ＳＡ用リペアキット 受注単位1[rn]
19-21109,,14529.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【9856】(4980638) ４本セット 受注単位1,生産加工用品\静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●静電気帯電防止（ESD)仕様です。<br>●非磁性です。<br><br>●電子系の作業に。<br>●細かい作業に。<br>●精密な作業に。<br><br>●セット内容：TL3C-TA、TL3-TA、TL5-TA、TLAA-TA<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【9856】(4980638) ４本セット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【9856】(4980638) ４本セット 受注単位1,生産加工用品\静電気対策用品\ピンセット。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【9856】(4980638) ４本セット 受注単位1[rn]
19-21110,,1095.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ ペンチ【P-640-S】(8183670) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●チップは静電気対策されたエンジニアリングプラスチックを使用しています。<br>
●静電気の帯電にデリケートな電子部品、プラスチックの取り扱い。<br>
●全長(mm):125<br>
●幅(mm):10<br>
●先端幅(mm):1.2<br>
●接地抵抗:Rg＜1×10[[の12乗]]Ω<br>
●耐熱温度:315℃（チップ）<br>
●チップ：ポリエーテルエーテルケトン（PEEK）（導電カーボン入り）<br>
●本体：ステンレス",■〒ホーザン/ＨＯＺＡＮ ペンチ【P-640-S】(8183670) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ ペンチ【P-640-S】(8183670) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1,生産加工用品\静電気対策用品。■〒ホーザン/ＨＯＺＡＮ ペンチ【P-640-S】(8183670) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1[rn]
19-21111,,176904.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【980】(1631560) ＳＣＳ イオナイズドエアーガン 980 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ホコリとばしと除電を同時に行えるエアガンタイプのイオナイザーです。<br>
●エアガン本体はもちろん、ホース、コンソールも静電気対策を施してあります。<br>
●軽量のため、作業時の負担を軽減します。<br>
●静電気除去。<br>
●消費電力(W):32<br>
●使用空気圧力(MPa):0.14～0.45<br>
●使用エア:ドライエアまたは窒素<br>
●ガン寸法(mm):203×76×25<br>
●幅(mm):203<br>
●奥行(mm):25<br>
●高さ(mm):76<br>
●電源(V):DC24、AC120<br>
●除電方式:直流方式<br>
●使用周囲温度:0～40℃<br>
●使用周囲湿度:結露なきこと<br>
●イオンバランス:±30V以下<br>
●最大風量:65PSi<br>
●ホース長:2.1m（静電気拡散性ポリウレタン）<br>
●使用エア:ドライエアまたは窒素<br>
●専用アダプター<br>
●この商品は、一般消費者様向けの製品ではない為、表示や取扱説明書等が一般消費者様向けに表記・同梱されておりません。<br>
●使用には、0.75kW以上のエアコンプレッサーが必要です。<br>
●３Ｍ社から事業売却されたため、３Ｍブランドの表記となっている場合があります。",■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【980】(1631560) ＳＣＳ イオナイズドエアーガン 980 発注単位1：クローバー資材館,■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【980】(1631560) ＳＣＳ イオナイズドエアーガン 980 発注単位1,生産加工用品\静電気対策用品。■〒ＤＥＳＣＯ ＪＡＰＡＮ/ＳＣＳ 静電気対策商品【980】(1631560) ＳＣＳ イオナイズドエアーガン 980 発注単位1[rn]
