19-43801,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56182276.jpg?fitin=700:700,838.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,パーツ洗浄機　PW-19用　洗浄ブラシ　PW-19B,,【ここがポイント！】●パーツ洗浄機　PW-19用の洗浄ブラシです。<BR>【商品詳細】発送の目安/即日発送,パーツ洗浄機　PW-19用　洗浄ブラシ　PW-19B：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングパーツ洗浄機　PW-19用　洗浄ブラシ　PW-19B,パーツ洗浄機　PW-19用　洗浄ブラシ　PW-19B[rn]
19-43802,http://tshop.r10s.jp/yminfo/cabinet/img55557742.gif?fitin=700:700,1120.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,パーツ洗浄機　PW-75用　洗浄ブラシ　PW-75B,,【ここがポイント！】●パーツ洗浄機　PW-75用の洗浄ブラシです。<BR>【商品詳細】発送の目安/即日発送,パーツ洗浄機　PW-75用　洗浄ブラシ　PW-75B：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングパーツ洗浄機　PW-75用　洗浄ブラシ　PW-75B,パーツ洗浄機　PW-75用　洗浄ブラシ　PW-75B[rn]
19-43803,http://tshop.r10s.jp/yminfo/cabinet/00601356/hpw-1400p.jpg?fitin=700:700,22400.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,【smtb-TK】【頑張って送料無料！】パオック　高圧洗浄機　HPW1400-P頑固な汚れを落とす！,綺麗に汚れが落ちる！ノズルの種類が豊富,"<P><IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif"" border=""0""><BR>
<FONT size=""-1""><BR>
【ここがポイント！】 <BR>
・吐出圧力7.5MPaと強力水圧でラクラク汚れを落とします！<BR>
・ノズルは広角・直噴・ターボノズル・洗剤吐出モードと種類が豊富<BR>
・高圧ホース長さは8m、給水ホースは3m<BR>
・1分間噴射しても水の消費が4.5Lと節約出来ます！<BR>
<BR>
【商品仕様】 <BR>
サイズ：約巾307×奥行361×高さ806mm<BR>
重量：約8.6kg<BR>
<BR>
定格電圧：AC100V<BR>
定格周波数：50/60Hz<BR>
定格消費電力：1400W<BR>
定格時間：30分<BR>
吐出圧力：7.5MPa<BR>
吐出水量：4.5L/min<BR>
高圧ホース長さ：8m<BR>
給水ホースサイズ：内径φ15mm×外径φ20mm×長さ3m<BR>
ホースバンド径：16-25mm<BR>
電源コード長さ：約2.5m<BR>
重量：約8.6kg<BR>
付属品：ガン・バリアブルノズル・ターボノズル・高圧ホース・給水ホース・給水コネクタ・ワンタッチソケット・ホースバンド・噴射口清掃用ピン<BR>
<BR>
関連商品<BR>
はしご兼用脚立<BR>
</FONT></P>",【smtb-TK】【頑張って送料無料！】パオック　高圧洗浄機　HPW1400-P頑固な汚れを落とす！：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】パオック　高圧洗浄機　HPW1400-P頑固な汚れを落とす！,綺麗に汚れが落ちる！ノズルの種類が豊富。【smtb-TK】【頑張って送料無料！】パオック　高圧洗浄機　HPW1400-P頑固な汚れを落とす！[rn]
19-43804,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56181915.jpg?fitin=700:700,7840.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　19Ｌ　PW-19,ノズルに直接取り付けて使える洗浄ブラシ付！,【ここがポイント！】●ポンプによって洗浄液が循環し、ブラシで油汚れのひどい部品等を効率よく洗浄できます。●ノズルに直接取り付けて使える洗浄ブラシ付！●万が一、溶剤に火がついても、自動的にフタが閉まる安全設計●13Lの洗浄液が入るお手頃サイズ●中性洗剤から溶剤まで、幅広い種類の洗浄剤に対応しています。<BR>【商品詳細】電源：AC100V　50/60Hz　タンク容量/（約）19L　洗浄液容量/（約）13L　本体サイズ/（約）340×460×230mm　付属品/洗浄ブラシ　発送の目安/即日発送,【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　19Ｌ　PW-19：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　19Ｌ　PW-19,ノズルに直接取り付けて使える洗浄ブラシ付！。【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　19Ｌ　PW-19[rn]
19-43805,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56182266.jpg?fitin=700:700,16800.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　75Ｌ　PW-75,ノズルに直接取り付けて使える洗浄ブラシ付！,【ここがポイント！】●ポンプによって洗浄液が循環し、ブラシで油汚れのひどい部品等を効率よく洗浄できます。●ノズルに直接取り付けて使える洗浄ブラシ付！●万が一、溶剤に火がついても、自動的にフタが閉まる安全設計●大容量45Lの本格サイズ！●中性洗剤から溶剤まで、幅広い種類の洗浄剤に対応しています。<BR>【商品詳細】電源/AC100V　洗浄液容量/（約）45L　本体サイズ/（約）540×770×875mm　付属品/洗浄ブラシ　発送の目安/即日発送,【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　75Ｌ　PW-75：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　75Ｌ　PW-75,ノズルに直接取り付けて使える洗浄ブラシ付！。【smtb-TK】【頑張って送料無料！】電動パーツ洗浄機　75Ｌ　PW-75[rn]
19-43806,http://tshop.r10s.jp/yminfo/cabinet/00123186/yl-257if.jpg?fitin=700:700,9178.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,スタンド付　工業用扇風機（工場扇）　50cm　アルミ羽根3枚　YL-257IF業務用扇風機,アルミ羽根ででかく頑丈！,"【ここがポイント！】 
 風量は3段階調節式の強力3枚羽で空気循環を良くしてくれます。  
 工場・倉庫等・集会所等の換気に！ほこり・粉塵等の排風に！　家畜舎の換気・乾燥に！機械の冷却等に！むろん暑さ対策にも！  
 風力3段階スイッチ切替（強・中・弱）　高さは（約）124cm-最大（約）136cmの間にてスライド調整式です。  
 
 
　【商品詳細】 
電圧 AC100V 
首振り 左右約50度、　上下約20度 
風量調整方法 強・中・弱(3段切換式) 
重量 約6.0kg 
コード長 約2.3m 
サイズ 幅80×奥行70×高さ124-136cm（スライド調整式）",スタンド付　工業用扇風機（工場扇）　50cm　アルミ羽根3枚　YL-257IF業務用扇風機：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングスタンド付　工業用扇風機（工場扇）　50cm　アルミ羽根3枚　YL-257IF業務用扇風機,アルミ羽根ででかく頑丈！。スタンド付　工業用扇風機（工場扇）　50cm　アルミ羽根3枚　YL-257IF業務用扇風機[rn]
19-43807,http://tshop.r10s.jp/yminfo/cabinet/01314272/koujyousen.jpg?fitin=700:700,5600.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,スタンド式工場扇　アルミ羽根45cm　IF-450S業務用扇風機,節電です。扇風機で効率良く風を廻しましょ,"【ここがポイント！】
● アルミ羽根なので丈夫です
● 風量は三段階に調節でき、左右首振り機能がついています。 
● 工場・倉庫等・集会所等の換気に！ほこり・粉塵等の排風に！　家畜舎の換気・乾燥に！機械の冷却等に！むろん暑さ対策にも！  
● 風力３段階スイッチ切替（強・中・弱）　
高さは（約）125cm-最大（約）135cmの間にて調整可能です。  
 
 

　【商品詳細】 
サイズ （約）80×70×125-135cm 
羽根サイズ 直径45cm 
羽根の枚数 4枚 
電　源 AC100V　50/60Hz 
消費電力 50Hz 140W /60Hz 147W 
首振り角度 左右90度 
コード長さ 2.4m 
質　量 （約）6.5kg 
材　質 羽ガード/鉄
羽/ABS樹脂
モーターカバー/ポリプロピレン
三脚固定座/ABS樹脂、脚/鉄",スタンド式工場扇　アルミ羽根45cm　IF-450S業務用扇風機：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングスタンド式工場扇　アルミ羽根45cm　IF-450S業務用扇風機,節電です。扇風機で効率良く風を廻しましょ。スタンド式工場扇　アルミ羽根45cm　IF-450S業務用扇風機[rn]
19-43808,http://tshop.r10s.jp/yminfo/cabinet/00123186/yl-158if.jpg?fitin=700:700,5104.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,スタンダード工場扇45cm　YL-158IF,,工場扇45cm羽根（スタンド式）<BR>◆電源 ： 100V　50/60Hz<BR>◆風力切替3段階<BR>◆左右首フリ<BR>◆首折れ機能<BR>◆重量 ： 約7.5kg<BR>,スタンダード工場扇45cm　YL-158IF：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングスタンダード工場扇45cm　YL-158IF,スタンダード工場扇45cm　YL-158IF[rn]
19-43809,http://tshop.r10s.jp/yminfo/cabinet/dendokougu/1038603375.jpg?fitin=700:700,5104.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,入荷しました！　スタンド式工場扇　45cm羽根　SV-3291業務用扇風機,,工場扇45cm羽根（スタンド式）<BR>◆電源 ： 100V　50/60Hz<BR>◆風力切替3段階<BR>◆左右首フリ<BR>◆首折れ機能<BR>◆重量 ： 約7.5kg<BR>,入荷しました！　スタンド式工場扇　45cm羽根　SV-3291業務用扇風機：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング入荷しました！　スタンド式工場扇　45cm羽根　SV-3291業務用扇風機,入荷しました！　スタンド式工場扇　45cm羽根　SV-3291業務用扇風機[rn]
19-43810,http://tshop.r10s.jp/yminfo/cabinet/kawashima/hs-300h.jpg?fitin=700:700,884.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,HS-300用替ヒーター（5本入り）　HS-300H,ヒートシーラー　HS-300用替ヒーター,"【ここがポイント！】 
 HS-300用替えヒーターです。5本入り",HS-300用替ヒーター（5本入り）　HS-300H：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングHS-300用替ヒーター（5本入り）　HS-300H,ヒートシーラー　HS-300用替ヒーター。HS-300用替ヒーター（5本入り）　HS-300H[rn]
19-43811,http://tshop.r10s.jp/yminfo/cabinet/kawashima/se-k.jpg?fitin=700:700,4160.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,【頑張って送料無料！】goot　ソルベットプリント基板用はんだ　φ1.0mm　1kg　スズ50%ヤニ入り　リール巻鉛入りはんだ SE-K5010,エンジニアの厳しい要求に応える高純度リール巻はんだ,"【ここがポイント！】 
 エンジニアの厳しい要求に応える高純度リール巻はんだです。 
 
 
　【商品詳細】 
融点 183-215℃ 
線径 φ1.0mm 
スズ 50% 
重量 1kg",【頑張って送料無料！】goot　ソルベットプリント基板用はんだ　φ1.0mm　1kg　スズ50%ヤニ入り　リール巻鉛入りはんだ SE-K5010：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】goot　ソルベットプリント基板用はんだ　φ1.0mm　1kg　スズ50%ヤニ入り　リール巻鉛入りはんだ SE-K5010,エンジニアの厳しい要求に応える高純度リール巻はんだ。【頑張って送料無料！】goot　ソルベットプリント基板用はんだ　φ1.0mm　1kg　スズ50%ヤニ入り　リール巻鉛入りはんだ SE-K5010[rn]
