19-170401,http://tshop.r10s.jp/tsuruha/cabinet/shouhin19/4987033409047.jpg?fitin=700:700,416.8000,,,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987033409047<BR>",【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ：ツルハドラッグ,ドラッグストアスキンケア化粧品ベビー薬健康ツルハツルハドラッグダイエット健康食品サプリハブラシヘアケアエゾエース入浴剤ナップルツルハグループ介護用品医薬品生コラーゲン【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ[rn]
19-170402,http://tshop.r10s.jp/tsuruha/cabinet/shouhin16/4987107170835.jpg?fitin=700:700,663.2000,,,【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ツルハドラッグ,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987107170835<BR>",【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ツルハドラッグ：ツルハドラッグ,ドラッグストアスキンケア化粧品ベビー薬健康ツルハツルハドラッグダイエット健康食品サプリハブラシヘアケアエゾエース入浴剤ナップルツルハグループ介護用品医薬品生コラーゲン【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ツルハドラッグ,【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ツルハドラッグ[rn]
19-170403,http://tshop.r10s.jp/genki-e-shop-hanshin/cabinet/a/4987306010086.jpg?fitin=700:700,1264.0000,,,大正 大正漢方胃腸薬(A) 34包【第2類医薬品】,,,大正 大正漢方胃腸薬(A) 34包【第2類医薬品】：GENKI-e shop,大正 大正漢方胃腸薬(A) 34包【第2類医薬品】,大正 大正漢方胃腸薬(A) 34包【第2類医薬品】[rn]
19-170404,http://tshop.r10s.jp/drugskondo/cabinet/100/100005/10000529-1.jpg?fitin=700:700,1184.0000,,,【第2類医薬品】キャベジンコーワα 300錠,即日発送を心がけております,"胃は、もたれや胃重、胃痛など、いろいろなサインで不調を知らせてきます。このよ<br>
うな症状は、脂肪分の多い食事や食べ過ぎ・飲み過ぎなどといった過度の物理的負担<br>
や、ストレスに伴う精神的負担、加齢による機能低下など、様々な要因によって胃が<br>
弱っていくことで起こります。<br>
キャベジンコーワαは、荒れて傷んだ胃の粘膜を修復し、正常な状態に整えるキャベ<br>
ジン本来の効きめに加え、胃の運動を促進する生薬成分ソヨウなどにより、弱った胃<br>
の働きを取り戻していく胃腸薬です。<br>
毎食後1日3回の服用で胃が元気に働くようになり、胃の不快な症状にすぐれた効果<br>
をあらわします。<br><br>・内容量:300錠<br><br><br>",【第2類医薬品】キャベジンコーワα 300錠：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】キャベジンコーワα 300錠,即日発送を心がけております。【第2類医薬品】キャベジンコーワα 300錠[rn]
19-170405,http://tshop.r10s.jp/kusurinofukutaro/cabinet/shouhin33/4987028105671.jpg?fitin=700:700,488.0000,,,【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　くすりの福太郎,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987028105671<BR>",【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　くすりの福太郎：くすりの福太郎　楽天市場店,ドラッグストア化粧品ベビー薬健康くすりの福太郎ノンシリコンダイエット健康食品健康グッズハブラシヘアケアサプリメント入浴剤ナップルツルハグループダイエット器具医薬品生コラーゲンラヴィラヴィータ【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　くすりの福太郎,【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　くすりの福太郎[rn]
19-170406,http://tshop.r10s.jp/kusurinofukutaro/cabinet/shouhin19/4987033409047.jpg?fitin=700:700,416.8000,,,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　くすりの福太郎,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987033409047<BR>",【第2類医薬品】太田胃散　太田胃散　分包　(16包)　くすりの福太郎：くすりの福太郎　楽天市場店,ドラッグストア化粧品ベビー薬健康くすりの福太郎ノンシリコンダイエット健康食品健康グッズハブラシヘアケアサプリメント入浴剤ナップルツルハグループダイエット器具医薬品生コラーゲンラヴィラヴィータ【第2類医薬品】太田胃散　太田胃散　分包　(16包)　くすりの福太郎,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　くすりの福太郎[rn]
19-170407,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62669329.jpg?fitin=700:700,592.0000,,,【第2類医薬品】 大幸 正露丸 100粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>胃腸薬　正露丸は、100年以上前から、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
天然成分の日本薬局方（日局）木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。<br>
特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢およびストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日局木(もく)クレオソートをはじめアセンヤク末、オウバク末、カンゾウ末および陳皮（ちんぴ）末などの生薬を配合した特異なにおいを持つすこし湿ったやわらかい丸剤です。<br>
詳細はPC版ページをご確認下さい。",【第2類医薬品】 大幸 正露丸 100粒：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 正露丸 100粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛。【第2類医薬品】 大幸 正露丸 100粒[rn]
19-170408,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62669329.jpg?fitin=700:700,592.0000,,,【第2類医薬品】 大幸 正露丸 100粒【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>
<br>胃腸薬　正露丸は、100年以上前から、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
天然成分の日本薬局方（日局）木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。<br>
特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢およびストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日局木(もく)クレオソートをはじめアセンヤク末、オウバク末、カンゾウ末および陳皮（ちんぴ）末などの生薬を配合した特異なにおいを持つすこし湿ったやわらかい丸剤です。<br>
詳細はPC版ページをご確認下さい。",【第2類医薬品】 大幸 正露丸 100粒【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 正露丸 100粒【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛。【第2類医薬品】 大幸 正露丸 100粒【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】[rn]
19-170409,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62669332.jpg?fitin=700:700,518.4000,,,【第2類医薬品】 大幸 正露丸 50粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>胃腸薬　正露丸は、100年以上前から、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
天然成分の日本薬局方（日局）木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。<br>
特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢およびストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日局木(もく)クレオソートをはじめアセンヤク末、オウバク末、カンゾウ末および陳皮（ちんぴ）末などの生薬を配合した特異なにおいを持つすこし湿ったやわらかい丸剤です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大幸 正露丸 50粒：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 正露丸 50粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛。【第2類医薬品】 大幸 正露丸 50粒[rn]
19-170410,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62700756.jpg?fitin=700:700,1104.0000,,,【第2類医薬品】 ストッパ下痢止めEX 24錠,ライオン 下痢 食あたり 水あたり 軟便,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>口の中で溶かし、水なしでのめるため、電車の中など場所を選ばずにのむことができます。<br>
生薬ロートコンから抽出したロートエキスが、腸の異常収縮を抑え、腸内での便の移行スピードを抑えます。さらに、タンニン酸ベルベリンが腸粘膜の炎症を抑えるとともに下痢の原因菌を殺菌し、食あたり・水あたり等の下痢に効果を発揮します。<br>
口の中でふわっと溶けるストッパ。水なしでサッとのめるから、どんなシーンでも服用できます。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 ストッパ下痢止めEX 24錠：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 ストッパ下痢止めEX 24錠,ライオン 下痢 食あたり 水あたり 軟便。【第2類医薬品】 ストッパ下痢止めEX 24錠[rn]
19-170411,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62675705.jpg?fitin=700:700,517.6000,,,【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 ピンク,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>胃腸薬　セイロガン糖衣Aは100年以上前から使用されている正露丸の姉妹品です。<br>
セイロガン糖衣Aは、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
<br>
天然成分の日本薬局方木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢および、ストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日本薬局方木(もく)クレオソートをはじめ、ゲンノショウコ末およびオウバク乾燥エキスなどの生薬を配合した白い錠剤です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 ピンク：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 ピンク,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり。【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 ピンク[rn]
