19-44601,http://tshop.r10s.jp/yminfo/cabinet/00171276/nw-2020.jpg?fitin=700:700,1273.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーナット　φ4×400mm　NW-4040　,ちょっとした固定に！,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 
【商品仕様】 
D 4mm  
L 400mm 
T 25mm 
A 34mm 
B 8mm 
C 9mm 
ネジ M8 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　,ちょっとした固定に！。MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　[rn]
19-44602,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,496.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1×40mm　CW-1040　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 
【商品仕様】 
D 1mm  
L 40mm 
A 18mm 
B 6mm 
E 5mm 
全長 150mm 
使用荷重 0.20kN（20kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;40mm　CW-1040　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;40mm　CW-1040　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;40mm　CW-1040　[rn]
19-44603,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,1694.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3×500mm　CW-3500　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 ものを吊る場合に使用しないでください 
 
【商品仕様】 
D 3mm  
L 500mm 
A 15mm 
B 8mm 
E 6mm 
全長 1680mm 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;500mm　CW-3500　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;500mm　CW-3500　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;500mm　CW-3500　[rn]
19-44604,http://tshop.r10s.jp/yminfo/cabinet/00171276/uw-1050.jpg?fitin=700:700,853.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーUボルト　φ2×275mm　UW-2075　,ワイヤーのUボルト,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 六角ナット4個・丸ワッシャー4枚付き 
 
【商品仕様】 
D 2mm  
L 275mm 
T 40mm 
W 75mm 
ネジ M5 
使用荷重 0.29kN（30kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーUボルト　φ2&times;275mm　UW-2075　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーUボルト　φ2&times;275mm　UW-2075　,ワイヤーのUボルト。MM　ステンレス（SUS304)　ワイヤーUボルト　φ2&times;275mm　UW-2075　[rn]
19-44605,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,848.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3×60mm　CW-3060　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 ものを吊る場合に使用しないでください 
 
【商品仕様】 
D 3mm  
L 60mm 
A 15mm 
B 8mm 
E 6mm 
全長 195mm 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;60mm　CW-3060　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;60mm　CW-3060　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;60mm　CW-3060　[rn]
19-44606,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img10384025768.jpg?fitin=700:700,672.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,Ａ型シンブル　10ｍｍ,,,Ａ型シンブル　10ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングＡ型シンブル　10ｍｍ,Ａ型シンブル　10ｍｍ[rn]
19-44607,http://tshop.r10s.jp/yminfo/cabinet/00171276/wi-4.jpg?fitin=700:700,81.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)メガネカン4mm　WI-4,ロープを通して引っ掛け部を作る,"【ここがポイント！】 
● ロープの固定やロープを通して引っ掛けたり 
 
【商品仕様】 
こちらWI-4なります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)メガネカン4mm　WI-4：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)メガネカン4mm　WI-4,ロープを通して引っ掛け部を作る。MM　ステンレス（SUS304)メガネカン4mm　WI-4[rn]
19-44608,http://tshop.r10s.jp/yminfo/cabinet/00171276/kr.jpg?fitin=700:700,88.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS316)　ライトシンブル　φ3　KR-3（SUS316）,ワイヤーロープ加工に必須,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/00171276/kr.jpg width=100%> <BR><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/00171276/kr-1.jpg width=100%> <BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
ステンレス製（SUS316）のライトシンブル<BR>
腐食地域（海沿い）におすすめ<BR>
【商品詳細】<BR>
材質　SUS316<BR>
こちらはKR-3（SUS316）になります。数量1個の価格です</font></p>",MM　ステンレス（SUS316)　ライトシンブル　φ3　KR-3（SUS316）：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS316)　ライトシンブル　φ3　KR-3（SUS316）,ワイヤーロープ加工に必須。MM　ステンレス（SUS316)　ライトシンブル　φ3　KR-3（SUS316）[rn]
19-44609,http://tshop.r10s.jp/yminfo/cabinet/00171276/kr.jpg?fitin=700:700,116.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS316)　ライトシンブル　φ5　KR-5（SUS316）,ワイヤーロープ加工に必須,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/00171276/kr.jpg width=100%> <BR><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/00171276/kr-1.jpg width=100%> <BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
ステンレス製（SUS316）のライトシンブル<BR>
腐食地域（海沿い）におすすめ<BR>
【商品詳細】<BR>
材質　SUS316<BR>
こちらはKR-5（SUS316）になります。数量1個の価格です</font></p>",MM　ステンレス（SUS316)　ライトシンブル　φ5　KR-5（SUS316）：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS316)　ライトシンブル　φ5　KR-5（SUS316）,ワイヤーロープ加工に必須。MM　ステンレス（SUS316)　ライトシンブル　φ5　KR-5（SUS316）[rn]
19-44610,http://tshop.r10s.jp/yminfo/cabinet/00171276/krs-6.jpg?fitin=700:700,409.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS316)ロープシンブル　ロープ径6mm用　KRS-6,ロープの摩耗を防ぎます,"【ここがポイント！】 
● ロープを摩耗から守る！ 
 
【商品仕様】 
こちらKRS-6なります。
材質：ステンレスSUS316",MM　ステンレス（SUS316)ロープシンブル　ロープ径6mm用　KRS-6：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS316)ロープシンブル　ロープ径6mm用　KRS-6,ロープの摩耗を防ぎます。MM　ステンレス（SUS316)ロープシンブル　ロープ径6mm用　KRS-6[rn]
19-44611,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img10381618756.jpg?fitin=700:700,168.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,板シンブル　8－10ｍｍ,,,板シンブル　8&minus;10ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング板シンブル　8&minus;10ｍｍ,板シンブル　8&minus;10ｍｍ[rn]
