19-20101,http://tshop.r10s.jp/voice/cabinet/stamp/md-07.jpg?fitin=700:700,2303.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　,"スクラップブッキングに最適な
「メメント」の<br>コンパクトタイプに１２色仲間入りしました<br>
こちらの新色１２色をまとめてお届け<BR>
201：モロッコ<BR>
302：ラブレター<BR>
507：エルダーベリー<BR>
602：ティールジール<BR>
607：ノーティカルブルー<BR>
706：ピスタチオ<BR>
708：オリーブグローブ<BR>
709：ノーザンパイン<BR>
802：ピーナッツブリトル<BR>
805：タフィークランチ<BR>
808：エスプレッソトリュフ<BR>
902：グレイフランネル<BR>
<BR>



サイズ：約縦50×横33×高さ20mm<br>
盤面サイズ：約24×39ｍｍ<br>
『メメント（MEMENTO）』（インク）の特徴<br>
透明感のある美しい発色が特徴の速乾性ダイイインクです。<br>
◎得にアート紙、コート紙などの光沢紙で、細かい図柄まで美しく発色します。<br>
◎普通紙の場合、乾きが早く、年賀状やスケジュールスタンプなど簡単に乾かしたい場合におすすめです。<br>
◎スタンプ以外にも、DTPに便利。エッジの着色をはじめ細かい塗り分けも簡単です。<br>
◎従来のダイインクに比べ、発色がより美しく、耐水性に優れています。<br>",ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　。ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】[rn]
19-20102,http://tshop.r10s.jp/voice/cabinet/stamp/pm-100.jpg?fitin=700:700,620.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　メメント　マーカー【４色セット】TSUKINEKO　MEMENTO　MARKER　メール便指定OK,　,"軸部分のサイズ：長さ17.7ｃｍ×直径１ｃｍ<br>
（キャップの先端楕円の長径は1.5ｃｍ）<br>
『メメント（MEMENTO）』（インク）の特徴<br>
透明感のある美しい発色が特徴の速乾性ダイイインクです。<br>
◎塗り絵のような使い方のほか、スタンプ面のほうを細かく塗り分ける使い方もできます。<br>
◎従来のダイインクに比べ、発色がより美しく、耐水性に優れています。<br>",ツキネコ　メメント　マーカー【４色セット】TSUKINEKO　MEMENTO　MARKER　メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　メメント　マーカー【４色セット】TSUKINEKO　MEMENTO　MARKER　メール便指定OK,　。ツキネコ　メメント　マーカー【４色セット】TSUKINEKO　MEMENTO　MARKER　メール便指定OK[rn]
19-20103,http://tshop.r10s.jp/voice/cabinet/stamp/pm-02.jpg?fitin=700:700,171.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　メメント　マーカーTSUKINEKO　MEMENTO　MARKER　メール便指定OK,　,"軸部分のサイズ：長さ17.7ｃｍ×直径１ｃｍ<br>
（キャップの先端楕円の長径は1.5ｃｍ）<br>
『メメント（MEMENTO）』（インク）の特徴<br>
透明感のある美しい発色が特徴の速乾性ダイイインクです。<br>
◎塗り絵のような使い方のほか、スタンプ面のほうを細かく塗り分ける使い方もできます。<br>
◎従来のダイインクに比べ、発色がより美しく、耐水性に優れています。<br>
※メール便可能。<br>
ただし、代引きでのメール便は不可。",ツキネコ　メメント　マーカーTSUKINEKO　MEMENTO　MARKER　メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　メメント　マーカーTSUKINEKO　MEMENTO　MARKER　メール便指定OK,　。ツキネコ　メメント　マーカーTSUKINEKO　MEMENTO　MARKER　メール便指定OK[rn]
19-20104,http://tshop.r10s.jp/voice/cabinet/stamp/memento01.jpg?fitin=700:700,4656.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【送料無料】ツキネコ　メメント　デュードロップ≪24色セット≫TSUKINEKO　MEMENTO　Dew　Drop　（速乾性スタンプインク） 【KCC】,　,"サイズ：約縦50×横33×高さ20mm<br>
盤面サイズ：約24×39ｍｍ<br>
『メメント（MEMENTO）』（インク）の特徴<br>
透明感のある美しい発色が特徴の速乾性ダイイインクです。<br>
◎得にアート紙、コート紙などの光沢紙で、細かい図柄まで美しく発色します。<br>
◎普通紙の場合、乾きが早く、年賀状やスケジュールスタンプなど簡単に乾かしたい場合におすすめです。<br>
◎スタンプ以外にも、DTPに便利。エッジの着色をはじめ細かい塗り分けも簡単です。<br>
◎従来のダイインクに比べ、発色がより美しく、耐水性に優れています。<br>
<BR>
追加発売された１２色セットはこちらから<BR>",【送料無料】ツキネコ　メメント　デュードロップ≪24色セット≫TSUKINEKO　MEMENTO　Dew　Drop　（速乾性スタンプインク） 【KCC】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【送料無料】ツキネコ　メメント　デュードロップ≪24色セット≫TSUKINEKO　MEMENTO　Dew　Drop　（速乾性スタンプインク） 【KCC】,　。【送料無料】ツキネコ　メメント　デュードロップ≪24色セット≫TSUKINEKO　MEMENTO　Dew　Drop　（速乾性スタンプインク） 【KCC】[rn]
19-20105,http://tshop.r10s.jp/voice/cabinet/out/93987097.jpg?fitin=700:700,621.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【sale】【sb】【アウトレット】フィスカース　Fiskars キッズはさみ　ノンスティック　先丸タイプ,　,"子供でも使いやすいサイズの丸先ハサミです。<br>
ノンスティック加工（糊がくっつきにくい）のブレードを使用しています。<br>
４歳児以下対象。アメリカ製。<br>
<br>
■本体 ： 約167×70×10mm<br>
■パッケージ ： 約226×73×12mm<br>
<br>
アウトレット品のため、パッケージに日焼け、傷等がございます。<br>
ご了承ください。<br>",【sale】【sb】【アウトレット】フィスカース　Fiskars キッズはさみ　ノンスティック　先丸タイプ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】【アウトレット】フィスカース　Fiskars キッズはさみ　ノンスティック　先丸タイプ,　。【sale】【sb】【アウトレット】フィスカース　Fiskars キッズはさみ　ノンスティック　先丸タイプ[rn]
19-20106,http://tshop.r10s.jp/voice/cabinet/out/98887097_01.jpg?fitin=700:700,1865.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【sale】【sb】【アウトレット】フィスカース　Fiskars Ｎｏ.５　マイクロティップはさみ,　,"細かいカッティングをするのに適したクラフトハサミです。<br>
使い勝手の良いサイズです。<br>
ソフトグリップ仕様。<br>
<br>
■本体 ： 約122×60×7mm<br>
■パッケージ ： 約167×92×10mm<br>
<br>
アウトレット品のため、パッケージに日焼け、傷等がございます。<br>
ご了承ください。<br>",【sale】【sb】【アウトレット】フィスカース　Fiskars Ｎｏ.５　マイクロティップはさみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】【アウトレット】フィスカース　Fiskars Ｎｏ.５　マイクロティップはさみ,　。【sale】【sb】【アウトレット】フィスカース　Fiskars Ｎｏ.５　マイクロティップはさみ[rn]
19-20107,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbeh321_100_set2016.jpg?fitin=700:700,1810.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【数量限定！】【送料無料】呉竹　ZIG エンボスヒーター（クレタケ）　限定セット　＜エンボスマーカー（スクロール＆ブラッシュ）、ピンククリップ、リーフレット　付き！＞※種類はお選びいただけません　HG-100,,"エンボスパウダーをとかす時の必需品。<br>
シーソー式のスイッチなので、<br>
スライド式に比べてON－OFFの切り替えが楽<br>
効率よく作業ができます。<br>
<br>
エンボスマーカー、ピンククリップ、リーフレットがついているお得な限定セットです♪<br>
<br>
※エンボスマーカー、ピンククリップの種類はお選びいただけません。<br>
あらかじめご了承くださいますようお願いいたします。<br>
<br><br>
本体のサイズ：長さ21.8cm<br>
　　　　　　　ボディの一番太い部分は4.8x5.3cm<br>
<br>
エンボスパウダーだけでなく、マシュマロペンの
加熱や、シーリングワックスを溶かすのにもお使いいただけるほか、布用スタンプインクの加熱（ヒートセット）にも最適<br>
また、レジンの泡消しにも大活躍！<br>
トールペイントの乾燥作業<br>
プラモデルなどのモデリング作業<br>
工作作業の補助ヒーターとして<br>
ご利用ください<br>
保証書付属。
<br>
ヒーターが過熱しないように時々休ませながらお使いください。<br>
一定の温度以上になる前に、自動的に電源が切れるしくみになっています。<br>
故障ではございませんので、しばらく待って、本体が冷えてから<br>
ご使用を再開してください。",【数量限定！】【送料無料】呉竹　ZIG エンボスヒーター（クレタケ）　限定セット　＜エンボスマーカー（スクロール＆ブラッシュ）、ピンククリップ、リーフレット　付き！＞※種類はお選びいただけません　HG-100：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【数量限定！】【送料無料】呉竹　ZIG エンボスヒーター（クレタケ）　限定セット　＜エンボスマーカー（スクロール＆ブラッシュ）、ピンククリップ、リーフレット　付き！＞※種類はお選びいただけません　HG-100,【数量限定！】【送料無料】呉竹　ZIG エンボスヒーター（クレタケ）　限定セット　＜エンボスマーカー（スクロール＆ブラッシュ）、ピンククリップ、リーフレット　付き！＞※種類はお選びいただけません　HG-100[rn]
19-20108,http://tshop.r10s.jp/voice/cabinet/stamp2/ep-304_01.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜ホワイト（不透明タイプ）＞　EP-304 消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr>
  <th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><p><font size=""2"" color=""#333333"">スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
    <br>
  </font><font size=""2"" color=""#333333""><br />
      ※パウダーを溶かすには、１２０度の高温が必要です。<br />
      オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
      <br />
      なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
    </font></p></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜ホワイト（不透明タイプ）＞　EP-304 消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜ホワイト（不透明タイプ）＞　EP-304 消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜ホワイト（不透明タイプ）＞　EP-304 消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20109,http://tshop.r10s.jp/voice/cabinet/stamp/5102-10.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜スーパーゴールド（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
<br /><br />※パウダーを溶かすには、１２０度の高温が必要です。<br />
オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
<br />
なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜スーパーゴールド（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜スーパーゴールド（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜スーパーゴールド（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20110,http://tshop.r10s.jp/voice/cabinet/scrap_ku/tc_3200.jpg?fitin=700:700,136.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ジグ　エンボスマーカー＜カリグラフィー＞呉竹　クレタケ　※メール便指定OK,　,"手書きの文字や絵をエンボスパウダーで加工するためのマーカーです<br>
アシッドフリーですから、スクラップブッキングにも安心してお使いいただけます<br>
<br>
「3200カリグラフィー」は、2.0mm、3.5mmの平芯<br>
　カリグラフィー文字を書くのに適しています<br>
<br>
お買い上げ後は、必ず水平に保管してください<br>",ジグ　エンボスマーカー＜カリグラフィー＞呉竹　クレタケ　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ジグ　エンボスマーカー＜カリグラフィー＞呉竹　クレタケ　※メール便指定OK,　。ジグ　エンボスマーカー＜カリグラフィー＞呉竹　クレタケ　※メール便指定OK[rn]
19-20111,http://tshop.r10s.jp/voice/cabinet/scrap_ku/tc_6800.jpg?fitin=700:700,136.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ジグ　エンボスマーカー＜ライター＞呉竹　クレタケ　※メール便指定OK,　,"手書きの文字や絵をエンボスパウダーで加工するためのマーカーです<br>
アシッドフリーですから、スクラップブッキングにも安心してお使いいただけます<br>
<br>
「6800エンボスライター」は、0.5mm、1.2mmの丸芯
<br>
お買い上げ後は、必ず水平に保管してください<br>",ジグ　エンボスマーカー＜ライター＞呉竹　クレタケ　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ジグ　エンボスマーカー＜ライター＞呉竹　クレタケ　※メール便指定OK,　。ジグ　エンボスマーカー＜ライター＞呉竹　クレタケ　※メール便指定OK[rn]
