10-66101,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275849.jpg?fitin=700:700,240.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用替刃　NO.3-W9　2本入,ジグソーの木工用替刃です！,"製品仕様　No.3-W9 
種　類 木工用 
用　途 60mm以下の一般木材用 
材　質 SK5 
山　数 9 
全長×全幅×厚さ 91×7.7×1.6mm 
質　量 5g 
入　数 2本 
発送の目安 午前中の注文で即日発送",ジグソー木工用替刃　NO.3-W9　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用替刃　NO.3-W9　2本入,ジグソーの木工用替刃です！。ジグソー木工用替刃　NO.3-W9　2本入[rn]
10-66102,http://tshop.r10s.jp/yminfo/cabinet/00601356/img55610445.jpg?fitin=700:700,9136.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,【smtb-TK】【頑張って送料無料！】レシプロソー　RCS-150,金属製パイプなどの切断、配管の解体作業に！,【ここがポイント！】●金属製パイプなどの切断、配管の解体作業に！●ブレードの交換で、木材やプラスチック、ステンレスなども切断出来ます。●可動ガイドベースで小さい加工物も安定した切断が可能●ブレード交換は工具無しで簡単に出来ます。●日本製　軟鋼材用ブレード2本つき！【商品詳細】電源：AC100V　50/60Hz　消費電力/460W　最大切断能力（付属ブレード時）：パイプ径/φ30mm（ステンレス以外の軟鋼材）　軟鋼材板厚/5mm　ステンレス板厚/3mm　本体サイズ/全長480mm　本体質量/約3kg　コード長さ/約1.8m　発送の目安/即日発送,【smtb-TK】【頑張って送料無料！】レシプロソー　RCS-150：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】レシプロソー　RCS-150,金属製パイプなどの切断、配管の解体作業に！。【smtb-TK】【頑張って送料無料！】レシプロソー　RCS-150[rn]
10-66103,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275857.jpg?fitin=700:700,1082.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用（木工角材用）替刃　NO.24-W3PLL　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No24-W3PLL 
種　類 木工角材用 
用　途 100mm以下の木材角材用 
刃の特徴 本目立仕上：焼入れ後、
刃先の再研磨を行い切れ味UP 
材　質 SK5 
山　数 3 
全長×全幅×厚さ 150×13.4×1.5mm 
質　量 12g 
入　数 2本",ジグソー木工用（木工角材用）替刃　NO.24-W3PLL　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用（木工角材用）替刃　NO.24-W3PLL　2本入,ジグソーの木工用替刃です！。ジグソー木工用（木工角材用）替刃　NO.24-W3PLL　2本入[rn]
10-66104,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275850.jpg?fitin=700:700,240.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用（新建材）替刃　NO.4-N14　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.4-N14 
種　類 新建材用 
用　途 新建材・プラスチック 
材　質 SK5 
山　数 114 
全長×全幅×厚さ 91×7.8×1.6mm 
質　量 5g 
入　数 2本 
発送の目安 午",ジグソー木工用（新建材）替刃　NO.4-N14　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用（新建材）替刃　NO.4-N14　2本入,ジグソーの木工用替刃です！。ジグソー木工用（新建材）替刃　NO.4-N14　2本入[rn]
10-66105,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56278635.jpg?fitin=700:700,320.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー鉄工用（非鉄金属用）替刃　NO.6-NM14　2本入,ジグソーの鉄工用替刃です！,"【ここがポイント!】 
● 鉄工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.6-NM14 
種　類 非鉄金属用 
用　途 2～5mm以下のアルミ・銅用 
材　質 SKH51 
山　数 14 
全長×全幅×厚さ 70×7.8×1.6mm 
質　量 4g 
入　数 2本 
発送の",ジグソー鉄工用（非鉄金属用）替刃　NO.6-NM14　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー鉄工用（非鉄金属用）替刃　NO.6-NM14　2本入,ジグソーの鉄工用替刃です！。ジグソー鉄工用（非鉄金属用）替刃　NO.6-NM14　2本入[rn]
10-66106,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275856.jpg?fitin=700:700,480.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用（木工直線隅切用）替刃　NO.23-W9C　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.23-W9C 
種　類 木工直線隅切用 
用　途 40mm以下の一般木材用 
材　質 SK5 
山　数 9 
全長×全幅×厚さ 85×27.4×1.5mm 
質　量 6g 
入　数 2本 
発送の目",ジグソー木工用（木工直線隅切用）替刃　NO.23-W9C　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用（木工直線隅切用）替刃　NO.23-W9C　2本入,ジグソーの木工用替刃です！。ジグソー木工用（木工直線隅切用）替刃　NO.23-W9C　2本入[rn]
10-66107,http://tshop.r10s.jp/yminfo/cabinet/00045324/img51270086.jpg?fitin=700:700,2514.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,いろいろな材料が切断可能！スーパーオールマイティー　YSD-125 SOX125mm×1.5×40P,もう他の刃は使えない！,"丸ノコ・集塵丸ノコ　対応製品<BR>ここがポイント！ 
●新開発のパウダーメタルチップ採用にて、木材・アルミ・鉄・塩ビなど、いろいろな材料が切断可能！●超薄刃設計で切り口スッキリ！<BR>外径/125mm 内径/20mm 刃厚/1.5mm 刃数/40P",いろいろな材料が切断可能！スーパーオールマイティー　YSD-125 SOX125mm&times;1.5&times;40P：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングいろいろな材料が切断可能！スーパーオールマイティー　YSD-125 SOX125mm&times;1.5&times;40P,もう他の刃は使えない！。いろいろな材料が切断可能！スーパーオールマイティー　YSD-125 SOX125mm&times;1.5&times;40P[rn]
10-66108,http://tshop.r10s.jp/yminfo/cabinet/00045324/img51279103.jpg?fitin=700:700,2880.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,いろいろな材料が切断可能！スーパーオールマイティー　YSD-190 SOX190mm×1.5×55P,もう他の刃は使えない！,"丸ノコ・集塵丸ノコ　対応製品<BR>ここがポイント！ 
●新開発のパウダーメタルチップ採用にて、木材・アルミ・鉄・塩ビなど、いろいろな材料が切断可能！●超薄刃設計で切り口スッキリ！<BR>外径/195mm 内径/20mm 刃厚/1.5mm 刃数/55P",いろいろな材料が切断可能！スーパーオールマイティー　YSD-190 SOX190mm&times;1.5&times;55P：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングいろいろな材料が切断可能！スーパーオールマイティー　YSD-190 SOX190mm&times;1.5&times;55P,もう他の刃は使えない！。いろいろな材料が切断可能！スーパーオールマイティー　YSD-190 SOX190mm&times;1.5&times;55P[rn]
10-66109,http://tshop.r10s.jp/yminfo/cabinet/00045324/img51279103.jpg?fitin=700:700,2880.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,いろいろな材料が切断可能！スーパーオールマイティー　YSD-165 SOX165mm×1.5×55P,もう他の刃は使えない！,"丸ノコ・集塵丸ノコ　対応製品<BR>ここがポイント！ 
●新開発のパウダーメタルチップ採用にて、木材・アルミ・鉄・塩ビなど、いろいろな材料が切断可能！●超薄刃設計で切り口スッキリ！<BR>外径/165mm 内径/20mm 刃厚/1.5mm 刃数/55P",いろいろな材料が切断可能！スーパーオールマイティー　YSD-165 SOX165mm&times;1.5&times;55P：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングいろいろな材料が切断可能！スーパーオールマイティー　YSD-165 SOX165mm&times;1.5&times;55P,もう他の刃は使えない！。いろいろな材料が切断可能！スーパーオールマイティー　YSD-165 SOX165mm&times;1.5&times;55P[rn]
10-66110,http://tshop.r10s.jp/yminfo/cabinet/00601356/img60482325.jpg?fitin=700:700,11200.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,【頑張って送料無料！】PAOCK　12V充電式　木工用丸のこ　PMD-12WCS,共通バッテリーパック1つで、作業の幅が拡がります,"【ここがポイント！】 
 12V充電式電動工具シリーズ。共通バッテリーパック1つで、作業の幅が拡がります 
 スピーディーな直線切りと45°まで傾斜切りもできる電気丸のこ。 大きな板の直線切りを短時間で行います。  
 
 
　【商品詳細】 
モーター電圧 DC12V 
回転速度 2,600min-1 
モーター電チップソー取付軸径 φ10mm 
適合チップソー 外径135mm×穴径20mm 
最大切込深さ チップソー角度0°：41mm　　　チップソー角度45°：29mm 
重量 2.7kg 
セット内容 本体×1
バッテリーパック　S3×1
30分充電器　C5-S1230×1
チップソー（外径135nn×穴径20mm×刃厚2mm×刃数24P）×1
穴径変更ブッシュ　φ20-φ10mm×1
平行ガイド（無地）×1
六角棒レンチ×1",【頑張って送料無料！】PAOCK　12V充電式　木工用丸のこ　PMD-12WCS：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】PAOCK　12V充電式　木工用丸のこ　PMD-12WCS,共通バッテリーパック1つで、作業の幅が拡がります。【頑張って送料無料！】PAOCK　12V充電式　木工用丸のこ　PMD-12WCS[rn]
10-66111,http://tshop.r10s.jp/yminfo/cabinet/00045324/img51322633.jpg?fitin=700:700,1631.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　165CS165mm×1.6×52P,もう他の刃は使えない！,"ここがポイント！ 
●カラーレーザースリット採用にて、静音・制振性優れたチップソー！●薄刃設計で切り口スッキリ！ 
切断可能材料<BR>●木材●集成材●パークチルボード●MDF材●竹●合板●化粧合板●デコラ板 
外径/165mm 内径/20mm 刃厚/1.6mm 刃数/52P",木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　165CS165mm&times;1.6&times;52P：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　165CS165mm&times;1.6&times;52P,もう他の刃は使えない！。木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　165CS165mm&times;1.6&times;52P[rn]
