10-20901,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002614845.jpg?fitin=700:700,13215.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●逆火を軽減するノバック構造を採用しています。<br>●（社）日本溶接協会認定品です。",『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1：クローバー資材館,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1[rn]
10-20902,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662708.jpg?fitin=700:700,516.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・チヨコックＣＰ－ＨＧ４【CP-HG4】(3544117) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●スリーブロック方式です。<br>●ミニ・コック（日東工器製）と互換性があります。",『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・チヨコックＣＰ&minus;ＨＧ４【CP-HG4】(3544117) 受注単位1：クローバー資材館,『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・チヨコックＣＰ&minus;ＨＧ４【CP-HG4】(3544117) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・チヨコックＣＰ&minus;ＨＧ４【CP-HG4】(3544117) 受注単位1[rn]
10-20903,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002809876.jpg?fitin=700:700,674.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＰ－ＴＧ【P-TG】(3549747) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ボールロック方式です。<br>●ミニ・カプラ（日東工器製）と互換性があります。",『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＰ&minus;ＴＧ【P-TG】(3549747) 受注単位1：クローバー資材館,『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＰ&minus;ＴＧ【P-TG】(3549747) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＰ&minus;ＴＧ【P-TG】(3549747) 受注単位1[rn]
10-20904,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850026.jpg?fitin=700:700,1248.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック（ソケット）【AS-2-10】(2517442) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ワンタッチ接続・ワンタッチ分離で、作業がスピードアップします。",『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック（ソケット）【AS-2-10】(2517442) 受注単位1：クローバー資材館,『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック（ソケット）【AS-2-10】(2517442) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック（ソケット）【AS-2-10】(2517442) 受注単位1[rn]
10-20905,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002809883.jpg?fitin=700:700,18330.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒千代田精機/千代田　酸素用調整器スタウト（関西式）乾式安全器内蔵型【SRO-A-W】(3552659) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●突起部が少ないコンパクトボディーです。<br>●逆火防止器内蔵型ゲージプロテクター付です。<br>●新JIS規格準拠品です。",『カード対応OK！』■〒千代田精機/千代田　酸素用調整器スタウト（関西式）乾式安全器内蔵型【SRO-A-W】(3552659) 受注単位1：クローバー資材館,『カード対応OK！』■〒千代田精機/千代田　酸素用調整器スタウト（関西式）乾式安全器内蔵型【SRO-A-W】(3552659) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒千代田精機/千代田　酸素用調整器スタウト（関西式）乾式安全器内蔵型【SRO-A-W】(3552659) 受注単位1[rn]
10-20906,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863897.jpg?fitin=700:700,832.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック【ZAP-2-8】(2517574) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ワンタッチ接続・ワンタッチ分離で、作業がスピードアップします。",『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック【ZAP-2-8】(2517574) 受注単位1：クローバー資材館,『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック【ZAP-2-8】(2517574) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒小池酸素工業/小池酸素　アポロコック【ZAP-2-8】(2517574) 受注単位1[rn]
10-20907,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002838350.jpg?fitin=700:700,20545.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫホース　２０ｍ（ナット式）【HN-20】(1269135) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●OKコック付はワンタッチ脱着カプラ付です。<br>●酸素ガス・アセチレンガス専用ホースです。<br>●内径5mmのため、扱い作業が容易です。<br>●保証耐圧1.5MPa（15kgf/[[平方センチメートル]]）です。",『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫホース　２０ｍ（ナット式）【HN-20】(1269135) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫホース　２０ｍ（ナット式）【HN-20】(1269135) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫホース　２０ｍ（ナット式）【HN-20】(1269135) 受注単位1[rn]
10-20908,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002838396.jpg?fitin=700:700,26185.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマト産業/ヤマト　ヒーター付調整器（炭酸用）　ＹＲ－５０７Ｆ【YR-507F】(1267612) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●炭酸ガス25[[リットル]]流量計付です。<br>●ヒーター内蔵タイプのため、電源100Vが必要です。",『カード対応OK！』■〒ヤマト産業/ヤマト　ヒーター付調整器（炭酸用）　ＹＲ&minus;５０７Ｆ【YR-507F】(1267612) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマト産業/ヤマト　ヒーター付調整器（炭酸用）　ＹＲ&minus;５０７Ｆ【YR-507F】(1267612) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒ヤマト産業/ヤマト　ヒーター付調整器（炭酸用）　ＹＲ&minus;５０７Ｆ【YR-507F】(1267612) 受注単位1[rn]
10-20909,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002838343.jpg?fitin=700:700,1409.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマト産業/ヤマト　大型Ａ号切断火口　ＮＯ．２　アセチレン用【CN2-2】(1265032) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ガス切断器専用アセチレン用火口です。<br>●新JIS対応品です。",『カード対応OK！』■〒ヤマト産業/ヤマト　大型Ａ号切断火口　ＮＯ．２　アセチレン用【CN2-2】(1265032) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマト産業/ヤマト　大型Ａ号切断火口　ＮＯ．２　アセチレン用【CN2-2】(1265032) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒ヤマト産業/ヤマト　大型Ａ号切断火口　ＮＯ．２　アセチレン用【CN2-2】(1265032) 受注単位1[rn]
10-20910,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002663956.jpg?fitin=700:700,12437.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマト産業/ヤマト　窒素ガス用調整器（汎用小型）　ＹＲ－７０Ｖ【YR-70V】(1267647) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●出口側にニードル弁付です。<br>●使用圧力0.99MPaまで使用可能です。<br>●全真鍮製で安全設計です。",『カード対応OK！』■〒ヤマト産業/ヤマト　窒素ガス用調整器（汎用小型）　ＹＲ&minus;７０Ｖ【YR-70V】(1267647) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマト産業/ヤマト　窒素ガス用調整器（汎用小型）　ＹＲ&minus;７０Ｖ【YR-70V】(1267647) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒ヤマト産業/ヤマト　窒素ガス用調整器（汎用小型）　ＹＲ&minus;７０Ｖ【YR-70V】(1267647) 受注単位1[rn]
10-20911,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811674.jpg?fitin=700:700,1800.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫコックソケット　ＳＲ－２【SR-2】(2925095) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ガス溶断用専用カプラジョイントです。<br>●溶断用酸素・アセチレン調整器や切断器に取り付けられます。<br>●二重安全ロック方式です。<br>●ワンタッチロック方式です。<br>●二重安全シール機構です。",『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫコックソケット　ＳＲ&minus;２【SR-2】(2925095) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫコックソケット　ＳＲ&minus;２【SR-2】(2925095) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒ヤマト産業/ヤマト　ＯＫコックソケット　ＳＲ&minus;２【SR-2】(2925095) 受注単位1[rn]
