10-149401,http://tshop.r10s.jp/akibamac/cabinet/05382974/4560131682989.jpg?fitin=700:700,5008.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,【送料無料】セレンSE-604D センサーライトブラケット(617～1004MM･4KG),,監視カメラ取付用ブラケットです。,【送料無料】セレンSE-604D センサーライトブラケット(617～1004MM･4KG)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】セレンSE-604D センサーライトブラケット(617～1004MM･4KG),【送料無料】セレンSE-604D センサーライトブラケット(617～1004MM･4KG)[rn]
10-149402,http://tshop.r10s.jp/akibamac/cabinet/05050739/4549077834416.jpg?fitin=700:700,19104.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,【送料無料】パナソニック ホームネットワークシステム（親機＋おはなしカメラ） KX-HC500K-W (KXHC500KW),,■自宅から家族をワンタッチで呼び出し、会話ができる<br>スマートフォンを3件まで登録でき、カメラ側からワンタッチで呼び出せます。留守番中のお子様と仕事中の両親、離れた所に住む方の見守り等、映像で確認しながら会話することが可能です。<br><br>■動作検知、温度センサー、音センサーの3つのセンサーを搭載<br>センサーを検知すると、ホームユニットの報知音を鳴動させたり、スマートフォンに通知したりできます。通知を受けたスマートフォンでは、カメラ映像で異常の有無を確認・録画ができます。<br><br>■プライバシーに配慮した機能<br>着替え中や来客時など、必要に応じて映像を表示しないようにするプライバシーシャッターやカメラ側の音声を切るマイクミュートを搭載しています。<br><br>【製品仕様】<br>本体サイズ：幅×高さ×奥行き（mm）：【カメラ】約95×111×86　【ホームユニット】約130×42×130<br>本体重量：【カメラ】約220g　【ホームユニット】約220g<br>電源：ACアダプタ<br>使用環境条件：温度：0℃～40℃　湿度：20％～80％（結露なきこと）<br>無線通信方式：DECT：1．9GHz<br>撮像素子：CMOS30万画素<br>最低被写体照度：0ルクス（暗いときは内蔵の赤外線LEDが点灯して映像を白黒で表示します）<br>撮影範囲（カメラ画角）：水平：70°垂直：50°<br>コード長さ：電源コード：1．8m,【送料無料】パナソニック ホームネットワークシステム（親機＋おはなしカメラ） KX-HC500K-W (KXHC500KW)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】パナソニック ホームネットワークシステム（親機＋おはなしカメラ） KX-HC500K-W (KXHC500KW),【送料無料】パナソニック ホームネットワークシステム（親機＋おはなしカメラ） KX-HC500K-W (KXHC500KW)[rn]
10-149403,http://tshop.r10s.jp/akibamac/cabinet/05264069/4560131686697.jpg?fitin=700:700,6240.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,【送料無料】セレン赤外線投光器内蔵防水型カラーカメラ SEC-G710 (SECG710),,■約38万画素カラーCCD。<br><br>■夜間の撮影も可能な赤外線LEDを搭載（赤外線LED投光時の夜間撮影は白黒映像になります）。<br><br>■天井付け・壁付け可能。角度調整もしやすいコンパクト設計。<br><br>■IP66相当の防水構造なので、屋外で安心して使えます。<br><br>■赤外線投光距離：約6m、人の認識距離：約3～4m<br><br>■この商品には接続ケーブルは同梱しておりません。約20mの接続ケーブル同梱をご要望の方は「SEC-G720」をお求めください。<br><br>【製品仕様】<br>■型番：SEC-G710<br>■カメラ<br>撮像素子：1/3型カラーCCD<br>有効画素数：約38万画素<br>水平解像度：650本<br>最低被写体照度：0ルクス（赤外線投光ON時）<br>水平画角：約67度<br>電子シャッター：1/60～1/100000<br>レンズ：固定レンズ f=3.6mm/F1.8<br>オートアイリス：非搭載<br>ホワイトバランス：自動<br>逆光補正：自動<br>フリッカーレス：非搭載<br>■人の認識距離：約3～4m（カメラの設置場所、環境により変化します）<br>■内蔵投光器<br>LED：赤外線LED30個<br>投光距離：約6m<br>■出力端子<br>映像出力：BNCジャック端子<br>音声出力：非搭載<br>■その他機能<br>防水性能（IP）：IP66相当（防水）<br>人感センサー：非搭載<br>照度センサー：有<br>点灯時間調整：非搭載<br>■スペック<br>動作周囲温度：約-10℃～＋50℃<br>電源（専用ACアダプター）：DC12V<br>消費電力（通常時最大）：約1W<br>消費電力（LED投光時最大）：約3W<br>外形寸法：約W64×H64×D125mm（本体のみ）<br>質量：約250g<br>■付属品：専用ACアダプター、RCA-P/BNC-J変換コネクター、六角レンチ、取付用ネジ（3本）、樹脂アンカー（3点）、取付用型紙シール、取扱説明書（保証書付き）<br>■延長ケーブル：最大3本/最長60m<br>※延長ケーブルは当社指定の製品に限ります。,【送料無料】セレン赤外線投光器内蔵防水型カラーカメラ SEC-G710 (SECG710)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】セレン赤外線投光器内蔵防水型カラーカメラ SEC-G710 (SECG710),【送料無料】セレン赤外線投光器内蔵防水型カラーカメラ SEC-G710 (SECG710)[rn]
10-149404,http://tshop.r10s.jp/akibamac/cabinet/05382974/4560131682965.jpg?fitin=700:700,3488.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,セレンSE-604B センサーライトブラケット(242X204MM･4KG),,監視カメラ取付用ブラケットです。最大荷重：4kg,セレンSE-604B センサーライトブラケット(242X204MM･4KG)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンセレンSE-604B センサーライトブラケット(242X204MM･4KG),セレンSE-604B センサーライトブラケット(242X204MM･4KG)[rn]
10-149405,http://tshop.r10s.jp/akibamac/cabinet/05382974/4560131682972.jpg?fitin=700:700,3488.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,セレンSE-604C センサーライトブラケット(305～465MM･4KG),,監視カメラ取付用ブラケットです。最大荷重：4kg,セレンSE-604C センサーライトブラケット(305～465MM･4KG)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンセレンSE-604C センサーライトブラケット(305～465MM･4KG),セレンSE-604C センサーライトブラケット(305～465MM･4KG)[rn]
10-149406,http://tshop.r10s.jp/akibamac/cabinet/05050739/4901087203628.jpg?fitin=700:700,9215.2000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,【送料無料】ＥＬＰＡ（エルパ）増設用ワイヤレスカメラ CMS-C70 (CMSC70),,,【送料無料】ＥＬＰＡ（エルパ）増設用ワイヤレスカメラ CMS-C70 (CMSC70)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ＥＬＰＡ（エルパ）増設用ワイヤレスカメラ CMS-C70 (CMSC70),【送料無料】ＥＬＰＡ（エルパ）増設用ワイヤレスカメラ CMS-C70 (CMSC70)[rn]
10-149407,http://tshop.r10s.jp/akibamac/cabinet/04741899/4560270960337.jpg?fitin=700:700,3032.8000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,キャロットシステムズ天井／壁面取付け用ブラケット CB-03 (CB03ﾌﾞﾗｹｯﾄL),,天井／壁面取付けできるようになります。,キャロットシステムズ天井／壁面取付け用ブラケット CB-03 (CB03ﾌﾞﾗｹｯﾄL)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンキャロットシステムズ天井／壁面取付け用ブラケット CB-03 (CB03ﾌﾞﾗｹｯﾄL),キャロットシステムズ天井／壁面取付け用ブラケット CB-03 (CB03ﾌﾞﾗｹｯﾄL)[rn]
10-149408,http://tshop.r10s.jp/akibamac/cabinet/05050739/4981254037348.jpg?fitin=700:700,148000.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,【送料無料】バッファローオフィス・店舗向け監視カメラシステム カメラ2台モデル CR1000-02-B12 (CR100002B12),,■ケーブルを繋ぐだけの簡単設置で面倒な設定は不要<br>カメラをLANケーブルで本体（レコーダー）にそれぞれ接続。<br>テレビ、またはパソコン用ディスプレイと本体をHDMIケーブル（もしくはD-sub）で繋ぎ、最後に電源コードをコンセントにさせば設置は全て完了。<br>付属のマウスで簡単に操作ができます。<br><br>■「見る」「撮る」に特化したシンプルなシステム設計＆機能<br>今までの監視カメラシステムでは、非常に高額な導入コストがかかっておりました。<br>サーカムは、必要な機能に絞り、シンプルな設計により低コストに導入でき、導入を諦めていたユーザーにも導入いただけます。<br><br>■鮮明画質で顔までわかる安心のカメラ性能<br>カメラは400万画素の高画質。<br>カメラから人物までの距離が10メートル程度であれば、顔の特徴まではっきりと判別することができます。<br>16メートル程度離れた状態でも、人物の特徴を把握可能です。<br>監視カメラとしては充分な画質を実現しています。<br><br>■4つのカメラの映像を標準2週間、最大40日間保存<br>本体のレコーダーには、4つのカメラの映像を最大40日間分保存することが可能です。<br>40日を超えてからは、古い映像が自動的に削除されていくので、常に最新の映像を記録し続けます。<br>※1.カメラ4台 解像度4M(2512×1520）音声録音OFFの条件にて、標準2週間ビットレート：3072kbps　最大40日間ビットレート：1024kbpsにて撮影<br>※お買い上げ時は2週間の保存設定になっています。（カメラ4台の場合）<br><br>■屋外にも対応可能<br>カメラは防水設計で埃や塵にも強いので、風の激しい場所でも設置が可能です。<br>安心して屋外の監視にも使用することができます。<br><br>〔設置場所について〕<br>対応温度が-10℃～40℃ですが直接日光が当たるところでは本来の性能を発揮できません。<br>軒下など直接日光が当たらない場所に設置下さい。<br><br>■夜間撮影対応<br>オフィスや倉庫、店舗内の防犯には夜間の撮影も重要です。<br>サーカムのカメラは、赤外線照射により暗い場所でも鮮明な映像を記録することができます。<br>（最大赤外線照射距離は8メートル）記録される映像はモノクロとなります。<br><br>■万が一の時でも安心3年保証付き<br>万が一の時でも安心3年保証付き<br><br>【製品仕様】<br>●ＮＶＲ仕様詳細<br>■本体サイズ：幅×高さ×奥行き（mm）：約225×42×225<br>■IPカメラ接続用LAN端子：PoEポート×4 <br>■LAN端子：RJ-45 (10M/100M/1000M)<br>■USB：USB2.0×2<br>■音声出力：1ch RCA<br>■映像出力：HDMI×1、VGA×1<br>■HDD容量：2TB<br>■電源：48V 1.25A<br>■対応温度：-10℃～40℃<br>■対応湿度：20％～80％(結露なきこと)<br>■規格：VCCI ClassA<br>■環境基準：RoHS対応<br>●カメラ仕様詳細<br>カメラ部分<br>■本体サイズ：幅×高さ×奥行き（mm）：約65×90×160<br>■LAN端子：RJ-45(10/100Base-T)<br>■電源：NVR本体からのPoE給電<br>■対応温度：-10℃～＋40℃<br>■対応湿度：20%～80%(結露なきこと)<br>■屋外対応：対応<br>■規格：VCCI ClassA<br>■環境基準：RoHS対応<br>■照度：Color撮影時　0.05Lux(IR off時)<br>■S/N比：50dB<br>■Day/Night：Auto(ICR)<br>■電子シャッター速度：Auto(1/50~1/10000)<br>■赤外線対応照射距離：8m<br>レンズ部分<br>■レンズ：3.6mm レンズ<br>■フォーカスコントロール：単焦点固定<br>■画角：75°<br>ビデオ仕様<br>■圧縮方式：H.264<br>■解像度：4M(2512×1520) / 3M(2048×1536) / 1080P (1920×1080)<br>■ビットレート：1024kbps～8192kbps<br>■フレームレート：30fps<br>音声仕様<br>■圧縮方式：ADPCM<br>■インターフェイス：組み込みマイク搭載,【送料無料】バッファローオフィス・店舗向け監視カメラシステム カメラ2台モデル CR1000-02-B12 (CR100002B12)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】バッファローオフィス・店舗向け監視カメラシステム カメラ2台モデル CR1000-02-B12 (CR100002B12),【送料無料】バッファローオフィス・店舗向け監視カメラシステム カメラ2台モデル CR1000-02-B12 (CR100002B12)[rn]
10-149409,http://tshop.r10s.jp/akibamac/cabinet/04741899/4560131686185.jpg?fitin=700:700,2496.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,セレン 監視カメラ用延長ケーブル（20m） SE-20G (SE20G),,監視カメラに使用する延長ケーブルです。,セレン 監視カメラ用延長ケーブル（20m） SE-20G (SE20G)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンセレン 監視カメラ用延長ケーブル（20m） SE-20G (SE20G),セレン 監視カメラ用延長ケーブル（20m） SE-20G (SE20G)[rn]
10-149410,http://tshop.r10s.jp/akibamac/cabinet/05050739/4549077834386.jpg?fitin=700:700,12785.6000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,【送料無料】パナソニック ホームネットワークシステム（屋外バッテリーカメラ） KX-HC300S-H (KXHC300SH),,■電池式により配線なしで簡単に設置できる<br>コンセントのないガレージや配線の届かない高い所など場所を選ばず設置。充電式エボルタハイエンドモデル8本使用で最大6ヶ月間（セーブモード・使用温度20℃で1日10回、1回につき約10秒間映像を表示）<br><br>■人感（熱）センサー搭載<br>センサーが検知すると、スマートフォンにお知らせしたり、約10秒間の録画をしたりできます。<br><br>■カメラ画角：水平70°垂直53°、CMOS30万画素<br>　<br><br>【製品仕様】<br>本体サイズ：幅×高さ×奥行き（mm）：【カメラ】約88×153×201<br>本体重量：【カメラ】約550g（電池除く）<br>電源：単3形電池8本（パナソニック製 充電式エボルタ ハイエンドモデル推奨）<br>使用環境条件：温度：－10℃～50℃　湿度：20％～90％（結露なきこと）<br>無線通信方式：DECT：1．9GHz<br>撮像素子：CMOS30万画素<br>最低被写体照度：0ルクス（暗いときは内蔵の赤外線LEDが点灯して映像を白黒で表示します）<br>撮影範囲（カメラ画角）：水平：70°垂直：53°<br>人感（熱）センサー検知範囲：水平：70°垂直：20°検知距離：約5m（20℃のとき）,【送料無料】パナソニック ホームネットワークシステム（屋外バッテリーカメラ） KX-HC300S-H (KXHC300SH)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】パナソニック ホームネットワークシステム（屋外バッテリーカメラ） KX-HC300S-H (KXHC300SH),【送料無料】パナソニック ホームネットワークシステム（屋外バッテリーカメラ） KX-HC300S-H (KXHC300SH)[rn]
10-149411,http://tshop.r10s.jp/akibamac/cabinet/05264069/4549077789488.jpg?fitin=700:700,132000.0000,,日用品雑貨・文房具・手芸 > 防犯関連グッズ > 防犯カメラ,【送料無料】パナソニック監視カメラ「スーパーダイナミック6方式 カラーテルックカメラ」 WV-CW185 (WVCW185),,■スーパーダイナミック方式（SUPER-D6）を採用。<br><br>■新開発DSPにより、高感度、高解像度を実現。<br><br>■IP66※適合の高い防じん性と防水性を確保。<br><br>■カラー白黒切替機能：IRフィルターの自動切換えにより、きれいな映像が撮影できます。<br><br>■オートバックフォーカス（ABF）機能を搭載。<br><br>■動き検知機能（VMD機能）を搭載。<br><br>※IP66：粉塵などに対して「耐塵形（6）」、水に対して「暴噴流（6）への保護」がなされていることを示します。<br><br>【製品仕様】<br>寸法：79（直径）×296（高さ）mm<br>質量：約1．2kg<br>電源：カメラ駆動ユニットによりDC電源供給※1<br>消費電力：310mA（多重化ユニットより供給）<br>使用温度範囲：－10～＋50℃<br>使用湿度範囲：10～90％（結露しないこと）<br>映像出力：VBS：1．0 V［p-p］／75Ω、BNCプラグ<br><br>モニター出力（画角調整用）：<br>VBS：1．1V［p-p］／75Ω、コンポジット信号<br>φ3．5mmミニジャック（モノラル）<br>防水性※2：防塵・防水性能JISc0920保護等級IP66（IEC60529）準拠<br><br>最大ケーブル延長距離：<br>500m：5C-2V使用時（200m：3C-2V使用時）（WV-PS17 使用時）<br><br>仕上げ：<br>本体 ：アルミダイカスト／樹脂、シルバーメタリック塗装<br>透明カバー ：ポリカーボネート樹脂<br><br>※1カラービデオ受像機［以下、各生産完了品］WV-CM110、WV-CM111、WV-CM142、WV-CM143、WV-CM145、WV-CM146、WV-CM148とは接続できません。<br>カメラ駆動ユニットWV-PS108A、WV-PS15［生産完了品］、WV-PS108［生産完了品］とは接続できません。<br><br>※2取扱説明書に従い設置工事が正しく行われ、かつ適切な防水処理が行われた場合のみ。,【送料無料】パナソニック監視カメラ「スーパーダイナミック6方式 カラーテルックカメラ」 WV-CW185 (WVCW185)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】パナソニック監視カメラ「スーパーダイナミック6方式 カラーテルックカメラ」 WV-CW185 (WVCW185),【送料無料】パナソニック監視カメラ「スーパーダイナミック6方式 カラーテルックカメラ」 WV-CW185 (WVCW185)[rn]
