10-21101,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002615077.jpg?fitin=700:700,17665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1[rn]
10-21102,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004663235.jpg?fitin=700:700,402.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入【TPL-60SQ】(4026616) 受注単位1,(4026616),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電線接続用の銅パイプスリーブです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入【TPL-60SQ】(4026616) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入【TPL-60SQ】(4026616) 受注単位1,(4026616)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入【TPL-60SQ】(4026616) 受注単位1[rn]
10-21103,,9755.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TCT-3805KE】(7546769) キャブタイヤケーブル　アースクリップ丸端子付　５ｍ 受注単位1,工事用品\溶接用品\電気溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。<br><br>●アーク溶接機の2次ケーブル（アース用）として。<br><br>●適用電流(A)：170～240<br>●使用電線(mm[[の2乗]])：WCT-38<br>●ケーブル(m)：5<br><br><br>●導線用天然ゴム・導体<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TCT-3805KE】(7546769) キャブタイヤケーブル　アースクリップ丸端子付　５ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TCT-3805KE】(7546769) キャブタイヤケーブル　アースクリップ丸端子付　５ｍ 受注単位1,工事用品\溶接用品\電気溶接用品。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TCT-3805KE】(7546769) キャブタイヤケーブル　アースクリップ丸端子付　５ｍ 受注単位1[rn]
10-21104,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002801770.jpg?fitin=700:700,948.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ【TWC-500】(2562146) 受注単位1,(2562146),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●溶接機の二次側端子に電線を着脱することが容易に行えます。<br>●溶接機の二次側端子のサイズに左右されることなくボルトで取り付け可能です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ【TWC-500】(2562146) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ【TWC-500】(2562146) 受注単位1,(2562146)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ【TWC-500】(2562146) 受注単位1[rn]
10-21105,,4082.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ－ブル　２次側　５ｍ【TWC-225】(2561646) 受注単位1,(2561646),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●このケーブルは、弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　５ｍ【TWC-225】(2561646) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　５ｍ【TWC-225】(2561646) 受注単位1,(2561646)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　５ｍ【TWC-225】(2561646) 受注単位1[rn]
10-21106,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002615076.jpg?fitin=700:700,17544.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　ホルダー付　１０ｍ【TWC-3810KH】(3523683) 受注単位1,(3523683),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　ホルダー付　１０ｍ【TWC-3810KH】(3523683) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　ホルダー付　１０ｍ【TWC-3810KH】(3523683) 受注単位1,(3523683)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　ホルダー付　１０ｍ【TWC-3810KH】(3523683) 受注単位1[rn]
10-21107,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004577488.jpg?fitin=700:700,14844.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　アースクリップ丸端子付　１０ｍ【TCT-3810KE】(3265960) 受注単位1,(3265960),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　アースクリップ丸端子付　１０ｍ【TCT-3810KE】(3265960) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　アースクリップ丸端子付　１０ｍ【TCT-3810KE】(3265960) 受注単位1,(3265960)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　アースクリップ丸端子付　１０ｍ【TCT-3810KE】(3265960) 受注単位1[rn]
10-21108,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002810103.jpg?fitin=700:700,953.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　差し込み金具【HWSK】(3104788) 受注単位1,(3104788),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●溶接機と二次側ケーブルの接続が容易にできます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　差し込み金具【HWSK】(3104788) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　差し込み金具【HWSK】(3104788) 受注単位1,(3104788)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　差し込み金具【HWSK】(3104788) 受注単位1[rn]
10-21109,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005094207.jpg?fitin=700:700,12575.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アサダ/アサダ　ロータリーアースクランプ【S780435】(3760499) 受注単位1,工事用品\溶接用品\電気溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●2方向の固定ができます。<br>●アーク溶接時のアースコードのからみ防止に使用します。",『カード対応OK！』■〒アサダ/アサダ　ロータリーアースクランプ【S780435】(3760499) 受注単位1：クローバー資材館,『カード対応OK！』■〒アサダ/アサダ　ロータリーアースクランプ【S780435】(3760499) 受注単位1,工事用品\溶接用品\電気溶接用品。『カード対応OK！』■〒アサダ/アサダ　ロータリーアースクランプ【S780435】(3760499) 受注単位1[rn]
10-21110,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004663235.jpg?fitin=700:700,460.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ３５ｍｍ　１０個入【TPL-38SQ】(4026594) 受注単位1,(4026594),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電線接続用の銅パイプスリーブです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ３５ｍｍ　１０個入【TPL-38SQ】(4026594) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ３５ｍｍ　１０個入【TPL-38SQ】(4026594) 受注単位1,(4026594)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ３５ｍｍ　１０個入【TPL-38SQ】(4026594) 受注単位1[rn]
10-21111,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004663236.jpg?fitin=700:700,604.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ２９ｍｍ　１０個入【TPS-50SQ】(4026641) 受注単位1,(4026641),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電線接続用の銅パイプスリーブです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ２９ｍｍ　１０個入【TPS-50SQ】(4026641) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ２９ｍｍ　１０個入【TPS-50SQ】(4026641) 受注単位1,(4026641)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ２９ｍｍ　１０個入【TPS-50SQ】(4026641) 受注単位1[rn]
