10-102301,http://tshop.r10s.jp/kohsuidonya/cabinet/40300304037.jpg?fitin=700:700,648.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g,セクシーボーイ,香りで選ぶワックスシリーズ（業界初）強力なセット力を実現！（ナカノワックス７　採用！）香調：マリン系香水の香り,セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g：香水問屋楽天市場店,香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g,セクシーボーイ。セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g[rn]
10-102302,http://tshop.r10s.jp/kohsuidonya/cabinet/40300304021.jpg?fitin=700:700,952.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス6 ウルトラハード 90g,ジャンヌアルテス JEANNE ARTHES,大人気の香水「ジャンヌ・アルテス セクシーボーイ」の香りのヘアワックスです。超ハードなホールド力でヘアスタイルを長時間キープし、ヘアカラーの退色も防ぎます。ワックスの技術で知名度・人気ともに高いナカノと、大人気香水ジャンヌ・アルテス セクシーボーイのコラボレーションから生まれたワックスです。ファイバーインタイプ<br>,ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス6 ウルトラハード 90g：香水問屋楽天市場店,香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス6 ウルトラハード 90g,ジャンヌアルテス JEANNE ARTHES。ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス6 ウルトラハード 90g[rn]
10-102303,http://tshop.r10s.jp/kohsuidonya/cabinet/40300304020.jpg?fitin=700:700,952.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス5 スーパーハード 90g,ジャンヌアルテス JEANNE ARTHES,大人気の香水「ジャンヌ・アルテス セクシーボーイ」の香りのヘアワックスです。超ハードなホールド力でヘアスタイルを長時間キープし、ヘアカラーの退色も防ぎます。ワックスの技術で知名度・人気ともに高いナカノと、大人気香水ジャンヌ・アルテス セクシーボーイのコラボレーションから生まれたワックスです。ファイバーインタイプ。<br>,ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス5 スーパーハード 90g：香水問屋楽天市場店,香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス5 スーパーハード 90g,ジャンヌアルテス JEANNE ARTHES。ジャンヌアルテス JEANNE ARTHES セクシーボーイ スタイリングワックス5 スーパーハード 90g[rn]
10-102304,http://tshop.r10s.jp/ublanc/cabinet/item/a0a/a0a/wax-01.jpg?fitin=700:700,1123.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,男のための香るヘアワックス　BOTOCOLLAX BLACK（ボトコラックスブラック） メンズ用 ほのかに香りしっかり整髪,年齢を格好良く重ねる男のためのプランド,"<!--sale1ここから--><!--sale1ここまで--><p><img src=""http://www.rakuten.ne.jp/gold/ublanc/cabinet/promotion/sp/a0a-wax.jpg"" width=""100%"" ></p><table width=""100%"" cellpadding=""0"" cellspacing=""0"">  <tr><td>&nbsp;</td></tr><tr><td bgcolor=""#CDDAEC"">商品内容</td></tr><tr><td><p><b></b><br>デキる男の新常識！香るヘアスタイル。 自然な仕上がりとツヤを生み出し、セットしながらダメージヘアを補修。<br>【ブラック】シトラスジンジャーの香り<br>【オーシャン】ベルガモットグリーンの香り<br>【オリーブ】カシスオリーブの香り </p></td></tr><tr><td bgcolor=""#CDDAEC"">内容量</td></tr><tr><td><p>NET 60g</p></td></tr><tr><td bgcolor=""#CDDAEC"">成分表示</td></tr><tr><td><p>水、キャンデリラロウ、パルミチン酸エチルヘキシル、シクロペンタシロキサン、ステアリン酸、ステアリン酸グリセリル、ＰＧ、ＰＥＧ－３０水添ヒマシ油、ＴＥＡ、ミネラルオイル、ステアリン酸ステアリル、ＢＧ、カキタンニン、チャ葉エキス、ヒアルロン酸Ｎａ、白金、水溶性コラーゲン、アセチルヘキサペプチド－８、乳酸Ｎａ、炭酸水素Ｎａ、セルロースガム、ステアリン酸ソルビタン、ポリソルベート８０、アラキルアルコール、セテアリルアルコール、ベヘニルアルコール、（アクリル酸アルキル／ジアセトンアクリルアミド）コポリマーＡＭＰ、エタノール、フェノキシエタノール、メチルパラベン、香料、カラメル、銀<br></p></td></tr><tr><td bgcolor=""#CDDAEC"">生産国</td></tr><tr><td><p>日本</p></td></tr><tr><td bgcolor=""#CDDAEC"">商品区分</td></tr><tr><td><p>化粧品（ヘアワックス）</p></td></tr><tr><td bgcolor=""#CDDAEC"">メーカー</td></tr><tr><td><p>株式会社ビュークイル</p></td></tr><tr><td bgcolor=""#CDDAEC"">広告文責</td></tr><tr><td><p>株式会社ウエニ貿易　（連絡先：0120-119-936）</p></td></tr><tr><td bgcolor=""#CDDAEC"">その他</td></tr><tr><td><p>ご使用上の注意について<br>化粧品の容器や箱、箱の中の説明書に使用上の注意や使用方法が書かれていますので、よく読んでからご使用ください。<br>化粧品はお肌への負担を考慮し、通常のご使用において刺激やトラブルが起こることのないように製造されていますが、  使用する人の体質や体調・季節・年齢などによって、使用中・使用後に異常があらわれる場合がありますので、その場合はご使用を中止し、皮膚科専門医等にご相談ください。</p></td>  </tr></table><p><img src=""http://image.rakuten.co.jp/ublanc/cabinet/slider/slider_y/black_ttl.jpg"" alt=""ボトコラックスブラック商品一覧へ"" width=""100%""><br></p>
<!--営業日案内-->
<iframe 　　　　　　　　　　　　　　　　　　="""" id=""info_common_f_sp"" src=""http://www.rakuten.ne.jp/gold/u-stream/content/info-common_sp.html"" scrolling=""no"" frameborder=""0"" width=""100%"" marginheight=""0"" marginwidth=""0"" style=""height:400px; display:none;"" ></iframe  　>",男のための香るヘアワックス　BOTOCOLLAX BLACK（ボトコラックスブラック） メンズ用 ほのかに香りしっかり整髪：Ublanc,化粧品スキンケアメンズコスメSK-2ボディケアコスメフレグランスアウトレットセールヘアケア化粧水スカルプケア悩みライフスタイル有名ブランドsabonユニセックス香水男性化粧品ビューティー男のための香るヘアワックス　BOTOCOLLAX BLACK（ボトコラックスブラック） メンズ用 ほのかに香りしっかり整髪,年齢を格好良く重ねる男のためのプランド。男のための香るヘアワックス　BOTOCOLLAX BLACK（ボトコラックスブラック） メンズ用 ほのかに香りしっかり整髪[rn]
10-102305,http://tshop.r10s.jp/cosmebox/cabinet/item23/4902806328165.jpg?fitin=700:700,462.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ルシードエル　#アレンジアップワックス　60g　LUCIDO-L　mandom *,浮き毛おさまる　さらりピタッ　まとめ髪,"進化版軽キメWAX！手串で簡単、ナチュラルなのにピタッとまとまる！<br>
軽キメパウダー×浸透型ヒアルロン酸配合で、ベタつかないのにキマる＆うるおい抱え込む。ウォータージェリータイプ。<br>
防腐剤フリー。スタイリング時に香る瞬香性・スタイリッシュグリーンの香り。<br>
ヘアワックス<br>
60g<br>
LUCIDO-L/株式会社マンダム
<br>
[広告文責] コスメボックス 097-543-1871<br>
[製造発売元] 株式会社マンダム<br>
[区分] 日本製・ヘアケア",マンダム　ルシードエル　#アレンジアップワックス　60g　LUCIDO-L　mandom *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ルシードエル　#アレンジアップワックス　60g　LUCIDO-L　mandom *,浮き毛おさまる　さらりピタッ　まとめ髪。マンダム　ルシードエル　#アレンジアップワックス　60g　LUCIDO-L　mandom *[rn]
10-102306,http://tshop.r10s.jp/cosmebox/cabinet/item21/4902111727073.jpg?fitin=700:700,424.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ユニリーバ　モッズ・ヘア　インナーグラマー　ワックス　キュートミディ　65g　mod's　hair　Unilever,空気含んで ふっくら つやめく ボブ＆ミディ☆,"<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>

<br><font size=""3"" color=""#666660""><b>ベタつかないのに、1日中スタイルをキープ！<br>
秘密はサロン発想「髪の芯からスタイリング」</b></font><br>





<font size=""2"" color=""#666660""><br>
■<b>空気で持ち上げて、ふっくら ふんわり！</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

ふわっとナチュラルにまとめるなら、キュートミディ。髪に空気を含ませて、ふわっと自然な仕上がり！やわらかい印象に！
</font>
</td></tr>
</table>


<br>
<font size=""2"" color=""#666660""><br>
■<b>エアキープ処方！</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

髪の芯まで浸透して柔軟でスタイルのつくりやすい髪に導くインナー・スタイル成分(浸透保湿・柔軟成分)配合のエアキープ処方で、髪の芯からしっかりスタイリング。
</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660""><br>
■<b>スタイリングのコツ</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

1.ワックスを手に伸ばしたら、毛先や空気感を出したい部分に。<br>
2.髪をにぎるように立体的な形をつくるようにスタイリング。<br>
3.ふんわり完成！毛束をつまんで持ち上げると、さらに空気感ある仕上がりに。


</font>
</td></tr>
</table>






</td></tr></table>
<br><br>
<hr>
<br>
<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>モッズ・ヘア　インナーグラマー　ワックス　キュートミディ</b><br>
<b>(mod's hair Inner Glamour)</b>



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">内容量</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

65g

</font></td></tr>






<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用方法</font></td>
<td width=85%><font size=""2"" color=""#666666"">

少量を手のひらでよく伸ばし、動きを出したい部分になじませたり、ふわっと浮かせるようにスタイリングする。


</font></td></tr>


<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用上の注意</font></td>
<td width=85%><font size=""2"" color=""#666666"">

□ 頭皮に異常があるときは使わず、又異常が現れたときは使用をやめ、皮ふ科医等へ相談する。<br>
□ 目に入ったときは、すぐに洗い流す。<br>
□ 使用後はキャップをしめる。<br>
□ 高温になる所や直射日光が当たる場所には置かない。<br>
□ 乳幼児の手の届くところには置かない。


</font></td></tr>





<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分</font></td>
<td width=85%><font size=""2"" color=""#666666"">

水、ミネラルオイル、ポリソルベート60、グリセリン、ジメチコン、ステアリルアルコール、ワセリン、ミツロウ、マイクロクリスタリンワックス、ステアリン酸ステアリル、パルミチン酸セチル、ステアリン酸ソルビタン、カルナウバロウ、ポリクオタニウム-7、アルギニンHCL、シクロペンタシロキサン、トレハロース、硫酸Na、アジピン酸、クエン酸、トリメチルシロキシケイ酸、ジメチコノール、フェノキシエタノール、ヒドロキシエチルセルロース、BHT、EDTA-2Na、安息香酸Na、メチルパラベン、プロピルパラベン、香料


</font></td></tr>




<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%><font size=""2"" color=""#666666"">


ユニリーバ・ジャパン株式会社


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">


日本製・整髪料






</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",ユニリーバ　モッズ・ヘア　インナーグラマー　ワックス　キュートミディ　65g　mod's　hair　Unilever：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂ユニリーバ　モッズ・ヘア　インナーグラマー　ワックス　キュートミディ　65g　mod's　hair　Unilever,空気含んで ふっくら つやめく ボブ＆ミディ☆。ユニリーバ　モッズ・ヘア　インナーグラマー　ワックス　キュートミディ　65g　mod's　hair　Unilever[rn]
10-102307,http://tshop.r10s.jp/cosmebox/cabinet/item29/4902111736778.jpg?fitin=700:700,590.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ラックス　美容液スタイリング　ニュアンスメイク　泡ワックス　130g　LUX　Unilever,どんなスタイルにもべたつかずにニュアンスメイク,"スタイリングしながら髪をケア。思い通りのスタイルを作ると同時に、髪に美しい輝きを。パサつきやダメージのある髪でも、なめらかで輝く質感に。思い通りのスタイル、一日続く。3つの美容液成分をブレンド。 ワックスなのにべたつかずニュアンスメイク。水辺に咲いたホワイトフローラルのような、みずみずしく魅惑的な香り。<br>







ヘアトリートメント整髪料<br>
130g<br>
ラックス/ユニリーバ



<br>
[広告文責] コスメボックス 097-543-1871<br>
[発売元] ユニリーバ・ジャパン株式会社<br>
[区分] 日本製・ヘアケア",ラックス　美容液スタイリング　ニュアンスメイク　泡ワックス　130g　LUX　Unilever：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂ラックス　美容液スタイリング　ニュアンスメイク　泡ワックス　130g　LUX　Unilever,どんなスタイルにもべたつかずにニュアンスメイク。ラックス　美容液スタイリング　ニュアンスメイク　泡ワックス　130g　LUX　Unilever[rn]
10-102308,http://tshop.r10s.jp/cosmebox/cabinet/item21/4902806317787.jpg?fitin=700:700,198.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　ムービングラバー　クールウェット　モバイルタイプ　(整髪料)　15g　GATSBY　mandom *,整髪力UP！うるおい技。,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>髪内部に弾力を与えるとともに、髪表面を耐湿＆持続性ポリマーがコート。シャープな毛束をがっちりと固定！ウォーターベースだから水のようになじみ、思い通り動かせます！スッキリとした青リンゴ系の香り(後残りしない微香性)　防腐剤フリー ※アルカンジコール=カププリルグリコール(保湿剤)<br>整髪力:★★★☆☆<br>ツヤ：★★★★☆<br>
ワックス<br>
15g<br>
GATSBY MOVING RUBBER Cool Wet/株式会社マンダム
<br>[広告文責] コスメボックス 097-543-1871<br>
[製造販売元] 株式会社マンダム<br>
[区分] 日本製・整髪料",マンダム　ギャツビー　ムービングラバー　クールウェット　モバイルタイプ　(整髪料)　15g　GATSBY　mandom *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　ムービングラバー　クールウェット　モバイルタイプ　(整髪料)　15g　GATSBY　mandom *,整髪力UP！うるおい技。。マンダム　ギャツビー　ムービングラバー　クールウェット　モバイルタイプ　(整髪料)　15g　GATSBY　mandom *[rn]
10-102309,http://tshop.r10s.jp/cosmebox/cabinet/item32/4901872447060.jpg?fitin=700:700,188.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,●在庫限り　資生堂　ウーノ　ハイブリッドハード　15g　uno　shiseido *,「完璧ハード」&times;「ナチュラルな素髪質感」に仕上げる,"<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>

<br><font size=""3"" color=""#666660""><b>ハードなセット力でしっかりキープ！<br>固まりすぎず、

まるで素髪のような<br>ナチュラルな仕上りを実現！</b></font><br>

<font size=""2"" color=""#666660""><br>
■<b>ハイブリッドハード</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">
●セット力はあるのに固まらず動かせる「スタイルパウダー」配合。<br>
●湿気に負けずスタイルを維持する「調湿成分」配合。 <br>

</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>グリーンフルーティーの香り</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

</font>
</td></tr>
</table>


</td></tr></table>
<br><br>
<hr>
<br>
<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>資生堂　ウーノ　ハイブリッドハード</b><br>



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">内容

量</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

15g




<br>
</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用

方法</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">

指先に適量をとり指全体と指の間にものばし、髪をもみこむようになじませ、手グシで毛流れと毛先

の動きをつくります。


<br>
</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">ご注

意</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">
□ ご使用後はキャップをきちんとしめてください。<br>
□ 日のあたるところや高温のところにおかないでください。<br>
□ 乳幼児の手の届かないところにおいてください。<br>
□ 頭皮に傷・はれもの・湿しん・色抜け（白斑等）や黒ずみなどの異常が生じていないかよく注意し

て使用してください。頭皮に合わないときは、使用を中止し、皮ふ科医などにご相談ください。<br>
□ 目に入らないように注意し、入った時はすぐに洗い流してください。

<br>
</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分

</font></td>
<td width=85%><font size=""2"" color=""#666666"">
水、ワセリン、PG、キャンデリラロウ、エチルヘキサン酸セチル、カルナウバロウ、テトラエチルヘ

キサン酸ペンタエリスリチル、ベヘニルアルコール、マイクロクリスタリンワックス、シリカ、ジフ

ェニルシロキシフェニルトリメチコン、ステアリン酸、セテス-25、(ビニルピロリドン/VA)コポリマ

ー、マルチトール、乳酸Na、ビスエチルヘキシルオキシフェノールメトキシフェニルトリアジン、乳

酸、水溶性コラーゲン、TEA、エタノール、ステアリン酸グリセリル(SE)、トコフェロール、EDTA-2Na

、フェノキシエタノール、香料

<br>
</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メー

カー</font></td>
<td width=85%><font size=""2"" color=""#666666"">

株式会社資生堂


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分

</font></td>
<td width=85%><font size=""2"" color=""#666666"">


日本製・ヘアケア・化粧品

<br>
</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告

文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",●在庫限り　資生堂　ウーノ　ハイブリッドハード　15g　uno　shiseido *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂●在庫限り　資生堂　ウーノ　ハイブリッドハード　15g　uno　shiseido *,「完璧ハード」&times;「ナチュラルな素髪質感」に仕上げる。●在庫限り　資生堂　ウーノ　ハイブリッドハード　15g　uno　shiseido *[rn]
10-102310,http://tshop.r10s.jp/cosmebox/cabinet/item32/4902111739045.jpg?fitin=700:700,592.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,AXE BLACK　アックス ブラック　デフィニティブホールド　マッドワックス　65g　Unilever  [メンズ特集 ポイント10倍 ～4月30日23:59],ソマラナイBLACK　ソマラナイSTYLE,"サロン品質「AXE BLACK　スタイリングライン」髪全体のシルエット作りをはじめ、束感、立ち上げ、細部の作り込みも可能。AXE BLACKシリーズ中、最も強いホールド力のクレイワックス。マットな仕上がりが、ナチュラルな印象に。クールマリンのさりげない香り。<br>




ワックス<br>
65g<br>
AXE BLACK/ユニリーバ・ジャパン株式会社<br>


<br>
[広告文責] コスメボックス 097-543-1871<br>
[販売元] ユニリーバ・ジャパン株式会社<br>
[区分] 日本製・ヘアスタイリング",AXE BLACK　アックス ブラック　デフィニティブホールド　マッドワックス　65g　Unilever  [メンズ特集 ポイント10倍 ～4月30日23:59]：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂AXE BLACK　アックス ブラック　デフィニティブホールド　マッドワックス　65g　Unilever  [メンズ特集 ポイント10倍 ～4月30日23:59],ソマラナイBLACK　ソマラナイSTYLE。AXE BLACK　アックス ブラック　デフィニティブホールド　マッドワックス　65g　Unilever  [メンズ特集 ポイント10倍 ～4月30日23:59][rn]
10-102311,http://tshop.r10s.jp/beautyfive/cabinet/img175/ha2040017000002.jpg?fitin=700:700,298.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,【ナカノ】 ヘアフレッシュ ヘアソリッド 35g 【ヘアケア:スタイリング:ワックス】【ヘアフレッシュ】,　,<img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title1.gif width=100%><br>マットな質感でボリュームをキープ<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title2.gif width=100%><br>●適量を手にとりスタイリングしたい部分につけ整えます。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title3.gif width=100%><br>●頭皮に傷、はれもの、しっしん等、異常のあるときは、ご使用をおやめください。<br>●使用中や使用後に刺激等の異常があらわれたときは、使用を中止し皮フ専門医等へご相談をおすすめします。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title4.gif width=100%><br>●マニキュア、皮革製品、プラスチック製品、家具などに付着すると変色したりツヤがなくなる場合があります。<br>●使用後はしっかりとフタをしめてください。<br><br><br><br>[メーカーまたは輸入元] ナカノ<br>[区分] 日本製 化粧品(ヘアケア：スタイリング)<br>[広告文責] 有限会社ビューティーファイブ TEL：042-767-2790<br><br><br><br><font size=2 color=cccccc>[second]</font><br><img src=http://image.rakuten.co.jp/beautyfive/cabinet/orderinfo_zaikoari.jpg width=80%>,【ナカノ】 ヘアフレッシュ ヘアソリッド 35g 【ヘアケア:スタイリング:ワックス】【ヘアフレッシュ】：ビューティーファイブ,香水アロマフレグランスアロマテラピーBVLGARICHANELGUCCIESCADACHLOELANCOMECLINIQUEDIORARAMISANNA SUIGIVENCHYケラスターゼアジュバンiphoneサプリメント雑貨【ナカノ】 ヘアフレッシュ ヘアソリッド 35g 【ヘアケア:スタイリング:ワックス】【ヘアフレッシュ】,　。【ナカノ】 ヘアフレッシュ ヘアソリッド 35g 【ヘアケア:スタイリング:ワックス】【ヘアフレッシュ】[rn]
