10-22601,,114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.11<br>●S(mm)：38<br>●L(mm)：150<br>●D(mm)：5.0<br>●A(mm)：15<br>●質量(g)：22<br>●色：黒<br><br>●150mm<br>●黒<br><br>●塩ビ被覆線<br>",『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1[rn]
10-22602,,78.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-835】(7561245) 塩ビ被覆線Ｓフック　黒　２００ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.11<br>●L(mm)：200<br>●D(mm)：5.0<br>●S(mm)：38<br>●質量(g)：22<br>●色：黒<br><br>●200mm<br>●黒<br><br>●塩ビ被覆線<br>",『カード対応OK！』■〒ニッサチェイン【A-835】(7561245) 塩ビ被覆線Ｓフック　黒　２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-835】(7561245) 塩ビ被覆線Ｓフック　黒　２００ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-835】(7561245) 塩ビ被覆線Ｓフック　黒　２００ｍｍ 受注単位1[rn]
10-22603,,370.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-018】(7592523) 鍛造Ａ型シンブル　１８ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤロープのアイ部分に直接荷重が掛かることを防止し、形崩れ・摩耗を防止します。<br>●ワイヤロープの寿命を長持ちさせます。<br><br>●ワイヤロープ先端をアイ加工する際のワイヤコース・あて金具として。<br><br>●適用ロープ径(mm)：18<br>●L(mm)：100<br>●B(mm)：22<br>●D1(mm)：48<br><br>●旧JIS B2802規格準拠<br><br>●鉄(溶融亜鉛メッキ）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-018】(7592523) 鍛造Ａ型シンブル　１８ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-018】(7592523) 鍛造Ａ型シンブル　１８ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-018】(7592523) 鍛造Ａ型シンブル　１８ｍｍ 受注単位1[rn]
10-22604,,322.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-016】(7592515) 鍛造Ａ型シンブル　１６ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤロープのアイ部分に直接荷重が掛かることを防止し、形崩れ・摩耗を防止します。<br>●ワイヤロープの寿命を長持ちさせます。<br><br>●ワイヤロープ先端をアイ加工する際のワイヤコース・あて金具として。<br><br>●適用ロープ径(mm)：16<br>●L(mm)：92<br>●B(mm)：20<br>●D1(mm)：44<br><br>●旧JIS B2802規格準拠<br><br>●鉄(溶融亜鉛メッキ）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-016】(7592515) 鍛造Ａ型シンブル　１６ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-016】(7592515) 鍛造Ａ型シンブル　１６ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-016】(7592515) 鍛造Ａ型シンブル　１６ｍｍ 受注単位1[rn]
10-22605,,216.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-06】(4971833) 鍛造ワイヤクリップ　６ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤのアイ加工が現場で容易に行えます。<br>●メッキ付の為、耐食性にも優れています。<br>●鍛造品ですので荷重がかかる場面での使用にも適します。<br><br>●ワイヤロープの端末加工に。<br><br>●適用ロープ径(mm)：6<br>●ねじ径：Ｍ6<br>●取り付け個数：4<br>●L(mm)：35<br>●G(mm)：14<br>●C(mm)：30<br><br>●JIS B2809 規格適合品（6mm、9mmは除く）<br><br>●本体：鉄<br>●Uボルト・ナット：鉄<br>●表面処理：ドブメッキ<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-06】(4971833) 鍛造ワイヤクリップ　６ｍｍ　メッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-06】(4971833) 鍛造ワイヤクリップ　６ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-06】(4971833) 鍛造ワイヤクリップ　６ｍｍ　メッキ 受注単位1[rn]
10-22606,,583.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-018】(4971906) 鍛造ワイヤクリップ　１８ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤのアイ加工が現場で容易に行えます。<br>●メッキ付の為、耐食性にも優れています。<br>●鍛造品ですので荷重がかかる場面での使用にも適します。<br><br>●ワイヤロープの端末加工に。<br><br>●適用ロープ径(mm)：18<br>●ねじ径：Ｍ14<br>●取り付け個数：5<br>●L(mm)：80<br>●G(mm)：34<br>●C(mm)：62<br><br>●JIS B2809 規格適合品（6mm、9mmは除く）<br><br>●本体：鉄<br>●Uボルト・ナット：鉄<br>●表面処理：ドブメッキ<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-018】(4971906) 鍛造ワイヤクリップ　１８ｍｍ　メッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-018】(4971906) 鍛造ワイヤクリップ　１８ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-018】(4971906) 鍛造ワイヤクリップ　１８ｍｍ　メッキ 受注単位1[rn]
10-22607,,260.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-09】(4971850) 鍛造ワイヤクリップ　９ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤのアイ加工が現場で容易に行えます。<br>●メッキ付の為、耐食性にも優れています。<br>●鍛造品ですので荷重がかかる場面での使用にも適します。<br><br>●ワイヤロープの端末加工に。<br><br>●適用ロープ径(mm)：9<br>●ねじ径：Ｍ10<br>●取り付け個数：4<br>●L(mm)：46<br>●G(mm)：22<br>●C(mm)：41<br><br>●JIS B2809 規格適合品（6mm、9mmは除く）<br><br>●本体：鉄<br>●Uボルト・ナット：鉄<br>●表面処理：ドブメッキ<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-09】(4971850) 鍛造ワイヤクリップ　９ｍｍ　メッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-09】(4971850) 鍛造ワイヤクリップ　９ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-09】(4971850) 鍛造ワイヤクリップ　９ｍｍ　メッキ 受注単位1[rn]
10-22608,,120.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-780】(7561199) 塩ビ被覆線Ｓフック　白　１００ｍｍ（３個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.13<br>●L(mm)：100<br>●D(mm)：5.0<br>●S(mm)：30<br>●質量(g)：22<br>●色：白<br><br>●100mm<br>●白<br><br>●塩ビ被覆線<br>",『カード対応OK！』■〒ニッサチェイン【A-780】(7561199) 塩ビ被覆線Ｓフック　白　１００ｍｍ（３個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-780】(7561199) 塩ビ被覆線Ｓフック　白　１００ｍｍ（３個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-780】(7561199) 塩ビ被覆線Ｓフック　白　１００ｍｍ（３個入り） 受注単位1[rn]
10-22609,,212.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-012】(7592493) 鍛造Ａ型シンブル　１２ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤロープのアイ部分に直接荷重が掛かることを防止し、形崩れ・摩耗を防止します。<br>●ワイヤロープの寿命を長持ちさせます。<br><br>●ワイヤロープ先端をアイ加工する際のワイヤコース・あて金具として。<br><br>●適用ロープ径(mm)：12<br>●L(mm)：68<br>●B(mm)：15<br>●D1(mm)：34<br><br>●旧JIS B2802規格準拠<br><br>●鉄(溶融亜鉛メッキ）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-012】(7592493) 鍛造Ａ型シンブル　１２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-012】(7592493) 鍛造Ａ型シンブル　１２ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-012】(7592493) 鍛造Ａ型シンブル　１２ｍｍ 受注単位1[rn]
10-22610,,184.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-010】(7592485) 鍛造Ａ型シンブル　１０ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤロープのアイ部分に直接荷重が掛かることを防止し、形崩れ・摩耗を防止します。<br>●ワイヤロープの寿命を長持ちさせます。<br><br>●ワイヤロープ先端をアイ加工する際のワイヤコース・あて金具として。<br><br>●適用ロープ径(mm)：10<br>●L(mm)：58<br>●B(mm)：13<br>●D1(mm)：28<br><br>●旧JIS B2802規格準拠<br><br>●鉄(溶融亜鉛メッキ）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-010】(7592485) 鍛造Ａ型シンブル　１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-010】(7592485) 鍛造Ａ型シンブル　１０ｍｍ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAT-010】(7592485) 鍛造Ａ型シンブル　１０ｍｍ 受注単位1[rn]
10-22611,,392.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-014】(4971884) 鍛造ワイヤクリップ　１４ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤのアイ加工が現場で容易に行えます。<br>●メッキ付の為、耐食性にも優れています。<br>●鍛造品ですので荷重がかかる場面での使用にも適します。<br><br>●ワイヤロープの端末加工に。<br><br>●適用ロープ径(mm)：14<br>●ねじ径：Ｍ12<br>●取り付け個数：4<br>●L(mm)：65<br>●G(mm)：28<br>●C(mm)：53<br><br>●JIS B2809 規格適合品（6mm、9mmは除く）<br><br>●本体：鉄<br>●Uボルト・ナット：鉄<br>●表面処理：ドブメッキ<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-014】(4971884) 鍛造ワイヤクリップ　１４ｍｍ　メッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-014】(4971884) 鍛造ワイヤクリップ　１４ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-014】(4971884) 鍛造ワイヤクリップ　１４ｍｍ　メッキ 受注単位1[rn]
