10-24101,,5457.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br>●全長(mm):600<br>●質量(g):429<br>●先端内径:3mm<br>●100mm単位加工<br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置。『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1[rn]
10-24102,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005204189.jpg?fitin=700:700,1348.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ－７０シリーズ用ホットブローチップ【SK-82】(4001583) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●SK-70シリーズ用ホットブローチップです。",『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;７０シリーズ用ホットブローチップ【SK-82】(4001583) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;７０シリーズ用ホットブローチップ【SK-82】(4001583) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;７０シリーズ用ホットブローチップ【SK-82】(4001583) 受注単位：1[rn]
10-24103,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002809985.jpg?fitin=700:700,665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　０．５Ｃ型【T18-C05】(3559262) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　０．５Ｃ型【T18-C05】(3559262) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　こて先　０．５Ｃ型【T18-C05】(3559262) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　０．５Ｃ型【T18-C05】(3559262) 受注単位：1[rn]
10-24104,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005204124.jpg?fitin=700:700,1584.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ－６０シリーズ用ホットブローチップ【SK-65】(4001435) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●SK-60シリーズ用ホットブローチップ（触媒内蔵）です。",『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;６０シリーズ用ホットブローチップ【SK-65】(4001435) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;６０シリーズ用ホットブローチップ【SK-65】(4001435) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;６０シリーズ用ホットブローチップ【SK-65】(4001435) 受注単位：1[rn]
10-24105,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939631.jpg?fitin=700:700,528.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　ＳＩ型【900M-T-SI】(2554941) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●900シリーズの交換コテ先です。",『カード対応OK！』■〒白光/白光　こて先　ＳＩ型【900M-T-SI】(2554941) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　こて先　ＳＩ型【900M-T-SI】(2554941) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　ＳＩ型【900M-T-SI】(2554941) 受注単位：1[rn]
10-24106,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939618.jpg?fitin=700:700,665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　１．８Ｈ型【900M-T-1.8H】(2554968) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●900シリーズの交換コテ先です。",『カード対応OK！』■〒白光/白光　こて先　１．８Ｈ型【900M-T-1.8H】(2554968) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　こて先　１．８Ｈ型【900M-T-1.8H】(2554968) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　１．８Ｈ型【900M-T-1.8H】(2554968) 受注単位：1[rn]
10-24107,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004382448.jpg?fitin=700:700,216.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　ＣＡ－７【CA7】(3904792) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　ＣＡ&minus;７【CA7】(3904792) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　こて先　ＣＡ&minus;７【CA7】(3904792) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　ＣＡ&minus;７【CA7】(3904792) 受注単位：1[rn]
10-24108,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005204162.jpg?fitin=700:700,1090.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ－７０シリーズ用半田コテチップ【SK-73】(4001494) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●SK-70シリーズ半田コテチップです。",『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;７０シリーズ用半田コテチップ【SK-73】(4001494) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;７０シリーズ用半田コテチップ【SK-73】(4001494) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒エンジニア/エンジニア　ＳＫ&minus;７０シリーズ用半田コテチップ【SK-73】(4001494) 受注単位：1[rn]
10-24109,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002796223.jpg?fitin=700:700,680.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒宝商/コテライザー　こて先ハンディプロ用先端２ｍｍ角度４５度【21918】(3058956) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒宝商/コテライザー　こて先ハンディプロ用先端２ｍｍ角度４５度【21918】(3058956) 受注単位：1：クローバー資材館,『カード対応OK！』■〒宝商/コテライザー　こて先ハンディプロ用先端２ｍｍ角度４５度【21918】(3058956) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒宝商/コテライザー　こて先ハンディプロ用先端２ｍｍ角度４５度【21918】(3058956) 受注単位：1[rn]
10-24110,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003824730.jpg?fitin=700:700,132.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　保護パイプ【B1723】(3678717) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　保護パイプ【B1723】(3678717) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　保護パイプ【B1723】(3678717) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　保護パイプ【B1723】(3678717) 受注単位：1[rn]
10-24111,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811480.jpg?fitin=700:700,1040.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　０．８ＤＬ型【T12-DL08】(2945908) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●鉛フリーはんだ対応です。",『カード対応OK！』■〒白光/白光　こて先　０．８ＤＬ型【T12-DL08】(2945908) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　こて先　０．８ＤＬ型【T12-DL08】(2945908) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　０．８ＤＬ型【T12-DL08】(2945908) 受注単位：1[rn]
