10-20301,,1621.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。<br><br>●ラミネートフローリング材用。<br><br>●山数：15<br>●全長(mm)：82<br>●厚み(mm)：1.25<br>●有効刃長(mm)：59<br>●切断タイプ：直線<br>●パック入数(本)：5<br>●切断能力(mm)木材・合板：1.5～15<br>●切断能力(mm)フローリング材：1.5～15<br>●質量(g)：36<br><br>●適合機種：ボッシュ、マキタ、日立、リョービなどのTシャンク形状のジグソー<br><br>●バイメタル<br>",『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1[rn]
10-20302,,15012.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒盛光/盛光 切箸【HSLD-0927】(7811403) 盛光 本職板金鋏 ＳＬＤ縦切 270mm 発注単位1,作業用品\板金用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●砂鉄系刃金日立安来ＳＬＤ鋼を刃に使用しています。<br>
●表面はクロニッケルメッキ仕上げです。<br>
●本職用板金鋏です。<br>
●板金加工用本職鋏。<br>
●切断能力(mm)鉄板:0.6<br>
●切断能力(mm)銅板:0.6<br>
●切断能力(mm)ステンレス板:0.5<br>
●全長(mm):290<br>
●刃長(mm):67<br>
●タイプ:ステン・鉄板用<br>
●切断能力(mm):0.4<br>
●主対応素材:ステンレス・GL鋼板<br>
●本体:極軟鋼SAE1006<br>
●刃:日立安来刃金SLD鋼",■〒盛光/盛光 切箸【HSLD-0927】(7811403) 盛光 本職板金鋏 ＳＬＤ縦切 270mm 発注単位1：クローバー資材館,■〒盛光/盛光 切箸【HSLD-0927】(7811403) 盛光 本職板金鋏 ＳＬＤ縦切 270mm 発注単位1,作業用品\板金用工具。■〒盛光/盛光 切箸【HSLD-0927】(7811403) 盛光 本職板金鋏 ＳＬＤ縦切 270mm 発注単位1[rn]
10-20303,,2408.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRCF】(7551151) フレックスヘッド　ラチェッティングコンビネーションレンチ　１４ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●フレックスヘッドは前後90度に曲げることが可能です。<br>●デュアルパウル設計で細かいギアと高い耐久性を同時に実現しています。<br>●クロームメッキ仕上げなので汚れから守ります。<br>●切替レバーで簡単に回転方向を切り替えられます。<br>●面接触なのでトルクを確実に伝えます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：14<br>●厚み(mm)スパナ：6.35<br>●厚み(mm)めがね：10.32<br>●全長(mm)：195<br>●質量(g)：154<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRCF】(7551151) フレックスヘッド　ラチェッティングコンビネーションレンチ　１４ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRCF】(7551151) フレックスヘッド　ラチェッティングコンビネーションレンチ　１４ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRCF】(7551151) フレックスヘッド　ラチェッティングコンビネーションレンチ　１４ 受注単位1[rn]
10-20304,,2320.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ ペンチ【K-88】(8107136) ＨＯＺＡＮ ハンドニブラー 発注単位1,作業用品\板金用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●鉄板、アルミ板へ簡単に片手でくり抜き加工ができます。<br>
●ハンドニブラー用の替刃です。<br>
●鉄板、アルミ板へのくり抜き加工。<br>
●切断能力(mm)鉄板:0.3～0.6<br>
●切断能力(mm)銅板:0.5～2.0<br>
●切断能力(mm)ステンレス板:-<br>
●全長(mm):173<br>
●切断能力(mm)アルミ板:0.5～2.0",■〒ホーザン/ＨＯＺＡＮ ペンチ【K-88】(8107136) ＨＯＺＡＮ ハンドニブラー 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ ペンチ【K-88】(8107136) ＨＯＺＡＮ ハンドニブラー 発注単位1,作業用品\板金用工具。■〒ホーザン/ＨＯＺＡＮ ペンチ【K-88】(8107136) ＨＯＺＡＮ ハンドニブラー 発注単位1[rn]
10-20305,,2851.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ワールドツール/アストロプロダクツ【2010000000168】(7587643) ２ＬＥＧプーラー 受注単位1,作業用品\レンチ・スパナ・プーラー\ギヤプーラ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●外掛け使用の2本爪プーラーです。<br>●状況に応じて内掛け使用も可能です。<br>●爪先端に切欠きが付いておりますのでボルトなどに引っかけて使用することも可能です。<br><br><br>●適用プーリ(mm)：40～150<br>●爪の届く長さ(mm)：150<br><br>●アーム爪サイズ：W16×D14×T4～8mm<br>●センターボルトストローク量：150mm<br>●二面幅：21mm<br>●差込角：1/2DR（12.7mm）<br><br>",『カード対応OK！』■〒ワールドツール/アストロプロダクツ【2010000000168】(7587643) ２ＬＥＧプーラー 受注単位1：クローバー資材館,『カード対応OK！』■〒ワールドツール/アストロプロダクツ【2010000000168】(7587643) ２ＬＥＧプーラー 受注単位1,作業用品\レンチ・スパナ・プーラー\ギヤプーラ。『カード対応OK！』■〒ワールドツール/アストロプロダクツ【2010000000168】(7587643) ２ＬＥＧプーラー 受注単位1[rn]
10-20306,,2456.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MRC】(7551347) ラチェッティングコンビネーションレンチ　１２角　１９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デュアルパウル設計で細かいギアと高い耐久性を同時に実現しています。<br>●素早く回転方向を切り替えられるレバー付きです。<br>●面接触で確実にトルクを伝えます。<br>●クロームメッキ仕上げで錆や汚れから守ります。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：19<br>●厚み(mm)スパナ：8.73<br>●厚み(mm)めがね：13.49<br>●全長(mm)：248<br>●質量(g)：254<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MRC】(7551347) ラチェッティングコンビネーションレンチ　１２角　１９ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MRC】(7551347) ラチェッティングコンビネーションレンチ　１２角　１９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MRC】(7551347) ラチェッティングコンビネーションレンチ　１２角　１９ｍｍ 受注単位1[rn]
10-20307,,9277.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【NS1250X13-14】(7727844) ポータブルバンドソー　ステンレス用　１２５０　山数１４ 受注単位5,作業用品\切断用品\バンドソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●100年の伝統を誇るスウェーデンのバーコ社製材料を使用しています。<br>●硬さと柔軟性を合わせ持つ優れた剛性です。<br>●高精度・スピーディーな作業が可能で重切削に最適です。<br><br>●一般鋼材・ステンレスなど難削材の切断に。<br><br>●山数：14<br>●全長(mm)：1250<br>●幅(mm)：13<br>●厚み(mm)：0.64<br>●適合機種：高速HRB-1250、HRB-265・ミルウォーキーBZM-0729-21<br>●質量(g)：99<br><br><br>●コバルトハイスバイメタル<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【NS1250X13-14】(7727844) ポータブルバンドソー　ステンレス用　１２５０　山数１４ 受注単位5：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【NS1250X13-14】(7727844) ポータブルバンドソー　ステンレス用　１２５０　山数１４ 受注単位5,作業用品\切断用品\バンドソー。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【NS1250X13-14】(7727844) ポータブルバンドソー　ステンレス用　１２５０　山数１４ 受注単位5[rn]
10-20308,,1201.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　５枚入り【T-118BF】(3519767) 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。",『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　５枚入り【T-118BF】(3519767) 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　５枚入り【T-118BF】(3519767) 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　５枚入り【T-118BF】(3519767) 受注単位1[rn]
10-20309,,2280.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TGH-300F】(8191135) ＴＲＵＳＣＯ 鉄板ハサミ 大口オフセットタイプ 発注単位1,作業用品\板金用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●鍛造刃の板金ハサミです。<br>
●鉄板等の切断作業。<br>
●切断能力(mm)鉄板:0.78<br>
●切断能力(mm)銅板:0.94<br>
●切断能力(mm)ステンレス板:0.45<br>
●全長(mm):300<br>
●刃長(mm):50",■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TGH-300F】(8191135) ＴＲＵＳＣＯ 鉄板ハサミ 大口オフセットタイプ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TGH-300F】(8191135) ＴＲＵＳＣＯ 鉄板ハサミ 大口オフセットタイプ 発注単位1,作業用品\板金用工具。■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TGH-300F】(8191135) ＴＲＵＳＣＯ 鉄板ハサミ 大口オフセットタイプ 発注単位1[rn]
10-20310,,2081.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRC】(7551142) ラチェッティングコンビネーションレンチ　１２角　１４ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デュアルパウル設計で細かいギアと高い耐久性を同時に実現しています。<br>●素早く回転方向を切り替えられるレバー付きです。<br>●面接触で確実にトルクを伝えます。<br>●クロームメッキ仕上げで錆や汚れから守ります。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：14<br>●厚み(mm)スパナ：6.35<br>●厚み(mm)めがね：10.32<br>●全長(mm)：187<br>●質量(g)：122<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRC】(7551142) ラチェッティングコンビネーションレンチ　１２角　１４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRC】(7551142) ラチェッティングコンビネーションレンチ　１２角　１４ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1214MRC】(7551142) ラチェッティングコンビネーションレンチ　１２角　１４ｍｍ 受注単位1[rn]
10-20311,,25084.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒フナソー【DB10X0.5X2700-120/140】(7595336) 電着ダイヤモンドバンドソー 受注単位1,作業用品\切断用品\バンドソー,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●刃先に工業用ダイヤを電着しているため、通常のバンドソーでは切断できない特殊物、複合材などの切断も可能にします。<br><br>●CFRP・セラミックス・カーボン・ガラス・エンプラ・ゴム・超硬・複合材などの切断に。<br><br>●全長(mm)：2700<br>●幅(mm)：10<br>●厚み(mm)：0.5<br>●適合機種：アンドソーDIA-300L<br>●粒度(#)：120/140<br>●質量(g)：109<br><br><br>●電着ダイヤ<br>",『カード対応OK！』###■〒フナソー【DB10X0.5X2700-120/140】(7595336) 電着ダイヤモンドバンドソー 受注単位1：クローバー資材館,『カード対応OK！』###■〒フナソー【DB10X0.5X2700-120/140】(7595336) 電着ダイヤモンドバンドソー 受注単位1,作業用品\切断用品\バンドソー。『カード対応OK！』###■〒フナソー【DB10X0.5X2700-120/140】(7595336) 電着ダイヤモンドバンドソー 受注単位1[rn]
