10-21301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659938.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８×８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1：クローバー資材館,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1[rn]
10-21302,,1760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【78576】(7569734) 下地センサＳｕｐｅｒ 受注単位1,工事用品\測量用品\下地探し,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●壁裏の金属・木材・プラスチック・電線を探知、点滅と電子音でお知らせします。<br>●スポットライトで印を付ける位置を示します。<br><br>●壁裏の見えない間柱を探すために使用する下地センサー<br><br>●幅(mm)：61<br>●高さ(mm)：153<br>●厚み(mm)：42<br>●製造国：中国<br>●電源：9Vモニター用電池1個付き<br><br>●探知物検出深度：約19mm<br><br>●本体：ABS樹脂<br>",『カード対応OK！』■〒シンワ測定/シンワ【78576】(7569734) 下地センサＳｕｐｅｒ 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【78576】(7569734) 下地センサＳｕｐｅｒ 受注単位1,工事用品\測量用品\下地探し。『カード対応OK！』■〒シンワ測定/シンワ【78576】(7569734) 下地センサＳｕｐｅｒ 受注単位1[rn]
10-21303,,5000.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【78578】(7569742) 下地センサーＨＧ　センタービジョン 受注単位1,工事用品\測量用品\下地探し,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●壁裏の金属・木材・プラスチック・電線を探知、点滅と電子音でお知らせします。<br>●壁の材質や厚さによってセンサーのモードを切り替えられます。<br><br>●壁裏の見えない間柱を探すために使用する下地センサー<br><br>●幅(mm)：78<br>●高さ(mm)：159<br>●厚み(mm)：34<br>●製造国：メキシコ<br>●電源：9Vモニター用電池1個付き<br><br>●探知物検出深度(浅モード)：約19mm<br><br>●本体：ABS樹脂<br>",『カード対応OK！』■〒シンワ測定/シンワ【78578】(7569742) 下地センサーＨＧ　センタービジョン 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【78578】(7569742) 下地センサーＨＧ　センタービジョン 受注単位1,工事用品\測量用品\下地探し。『カード対応OK！』■〒シンワ測定/シンワ【78578】(7569742) 下地センサーＨＧ　センタービジョン 受注単位1[rn]
10-21304,,36006.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【GMD120】(4958543) マルチ探知機 受注単位1,工事用品\測量用品\下地探し,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●金属、通電線、木材、通水している樹脂管を高精度に探知できます。<br>●光と音でわかりやすく結果を表示します。<br><br><br>●幅(mm)：92<br>●高さ(mm)：206<br>●厚み(mm)：85<br>●質量(g)：500<br><br>●探知方向：360°<br>●電源：単３アルカリ乾電池ｘ4本（付属）<br>●最大測定深度：金属120mm、電線60mm、木材60mm、塩ビ管60mm<br>●使用温度範囲：-10℃～40℃<br>●保管温度範囲：20℃～70℃<br><br>",『カード対応OK！』■〒ボッシュ【GMD120】(4958543) マルチ探知機 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【GMD120】(4958543) マルチ探知機 受注単位1,工事用品\測量用品\下地探し。『カード対応OK！』■〒ボッシュ【GMD120】(4958543) マルチ探知機 受注単位1[rn]
10-21305,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825166.jpg?fitin=700:700,180.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけペイントマーカー硬質長【SPEM-YEL  (ﾁｭｳｼﾞ･ﾏﾙｼﾝ･ｷｲ)】(3358844) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●濃いインクで下地をいんぺいするため、筆記線がペンキのように鮮やかです。<br>●高密度で硬質芯だから摩耗が少なく長距離筆記可能で経済的です。<br>●鉄骨・鉄筋・木材への墨つけ作業に最適です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけペイントマーカー硬質長【SPEM-YEL  (ﾁｭｳｼﾞ･ﾏﾙｼﾝ･ｷｲ)】(3358844) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけペイントマーカー硬質長【SPEM-YEL  (ﾁｭｳｼﾞ･ﾏﾙｼﾝ･ｷｲ)】(3358844) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけペイントマーカー硬質長【SPEM-YEL  (ﾁｭｳｼﾞ･ﾏﾙｼﾝ･ｷｲ)】(3358844) 受注単位1[rn]
10-21306,,254.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【78510】(7569661) ペイントマーカーホルダー　中字用 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●片手で簡単にベルトに取り付けられます。<br>●ベルトから外れにくい返し付クリップです。<br>●落下防止用ストラップ穴付です。<br>●片手で簡単にマーカーの抜き差しができます。<br><br>●ペイントマーカーの携帯に便利なホルダー<br><br>●質量(g)：20<br><br>●取付可能ベルトサイズ：幅60mm以内、厚さ4mm以内<br><br>●本体：ナイロン<br>",『カード対応OK！』■〒シンワ測定/シンワ【78510】(7569661) ペイントマーカーホルダー　中字用 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【78510】(7569661) ペイントマーカーホルダー　中字用 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒シンワ測定/シンワ【78510】(7569661) ペイントマーカーホルダー　中字用 受注単位1[rn]
10-21307,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005421988.jpg?fitin=700:700,212.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マーキングチョーク　白【TMC-19  W(ﾎﾜｲﾄ)(3ﾎﾝｲﾘ)】(2533375) 受注単位1,(2533375),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●道路標示・ブロック・コンクリートなどによく書けます。<br>●素材にマーキング後、ぬれても消えにくいです。<br>●どんなところでも使用できるキャップ無しのクレヨンタイプです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マーキングチョーク　白【TMC-19  W(ﾎﾜｲﾄ)(3ﾎﾝｲﾘ)】(2533375) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マーキングチョーク　白【TMC-19  W(ﾎﾜｲﾄ)(3ﾎﾝｲﾘ)】(2533375) 受注単位1,(2533375)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マーキングチョーク　白【TMC-19  W(ﾎﾜｲﾄ)(3ﾎﾝｲﾘ)】(2533375) 受注単位1[rn]
10-21308,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005112417.jpg?fitin=700:700,370.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　２Ｈ【7796】(3981959) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●紛失しにくいショートサイズです。<br>●芯削り機能付です。",『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　２Ｈ【7796】(3981959) 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　２Ｈ【7796】(3981959) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　２Ｈ【7796】(3981959) 受注単位1[rn]
10-21309,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005112402.jpg?fitin=700:700,370.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　ピンク【7785】(3981860) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●紛失しにくいショートサイズです。<br>●芯削り機能付です。",『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　ピンク【7785】(3981860) 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　ピンク【7785】(3981860) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　ピンク【7785】(3981860) 受注単位1[rn]
10-21310,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825201.jpg?fitin=700:700,2563.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　消え～るペン　紫【7711】(3353362) 受注単位10,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●自然に消える、水でも消えます。<br>●1本で細字と太字の使い分けができます。<br>●色によって消えるまでの時間が違います。（ピンク1～5日、白2～10日、紫5～14日）<br>●書いた跡が残っては困る場所に使用、材木へのマーキングに便利です。",『カード対応OK！』■〒たくみ/たくみ　消え～るペン　紫【7711】(3353362) 受注単位10：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　消え～るペン　紫【7711】(3353362) 受注単位10,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ/たくみ　消え～るペン　紫【7711】(3353362) 受注単位10[rn]
10-21311,,356.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【7828】(7515537) スマートチョーク　替芯　緑 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平滑で吸水のない面のマーキングは水消しが可能です。<br><br>●木材、コンクリートなどへのマーキングに。<br><br>●色：緑<br>●芯全長（ｍｍ）：９０<br>●ケースサイズ（ｍｍ）：１４０×４５×９<br><br>●スマートチョーク用替芯<br>●水性５ｍｍ芯　６本入<br><br>●水溶性ワックス<br>",『カード対応OK！』■〒たくみ【7828】(7515537) スマートチョーク　替芯　緑 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【7828】(7515537) スマートチョーク　替芯　緑 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ【7828】(7515537) スマートチョーク　替芯　緑 受注単位1[rn]
10-21312,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005112412.jpg?fitin=700:700,370.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　黄【7794】(3981941) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●紛失しにくいショートサイズです。<br>●芯削り機能付です。",『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　黄【7794】(3981941) 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　黄【7794】(3981941) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆　　黄【7794】(3981941) 受注単位1[rn]
10-21313,,356.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【7827】(7515529) スマートチョーク　替芯　赤 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平滑で吸水のない面のマーキングは水消しが可能です。<br><br>●木材、コンクリートなどへのマーキングに。<br><br>●色：赤<br>●芯全長（ｍｍ）：９０<br>●ケースサイズ（ｍｍ）：１４０×４５×９<br><br>●スマートチョーク用替芯<br>●水性５ｍｍ芯　６本入<br><br>●水溶性ワックス<br>",『カード対応OK！』■〒たくみ【7827】(7515529) スマートチョーク　替芯　赤 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【7827】(7515529) スマートチョーク　替芯　赤 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ【7827】(7515529) スマートチョーク　替芯　赤 受注単位1[rn]
10-21314,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004694208.jpg?fitin=700:700,370.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆替え芯　　白【7788】(3981886) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆替え芯　　白【7788】(3981886) 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆替え芯　　白【7788】(3981886) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ/たくみ　ノック式鉛筆替え芯　　白【7788】(3981886) 受注単位1[rn]
10-21315,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436563.jpg?fitin=700:700,479.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ　赤【M207001P.15】(4088743) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●木材筆記時、ｕｎｉ芯採用で、はっきりした読める濃さです。<br>●芯をしっかりつかみ芯がもぐりこみません。<br>●ローレット金属グリップで軍手でもすべりにくくなっています。<br>●シャープですから片手ノックで芯を繰り出せます。",『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ　赤【M207001P.15】(4088743) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ　赤【M207001P.15】(4088743) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ　赤【M207001P.15】(4088743) 受注単位1[rn]
10-21316,,516.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【7823】(7515481) スマートチョーク　緑 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平滑で吸水のない面のマーキングは水消しが可能です。<br><br>●木材、コンクリートなどへのマーキングに。<br><br>●色：緑<br>●本体全長（ｍｍ）：１３５<br><br>●水性５ｍｍ芯<br><br>●アルミ<br>●ABS<br>●真鍮<br>",『カード対応OK！』■〒たくみ【7823】(7515481) スマートチョーク　緑 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【7823】(7515481) スマートチョーク　緑 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ【7823】(7515481) スマートチョーク　緑 受注単位1[rn]
10-21317,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825170.jpg?fitin=700:700,299.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけシャープ硬質赤【SS13-RED  (1.3MM ｱｶ)】(3358887) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●けがき、指示がはっきり読める濃さです。<br>●1.3mm芯です。<br>●従来粘土芯の約2倍の強度のハイポリマー芯を採用し、水に強いです。<br>●ブロック・コンクリート・クロス・木材への墨つけ作業に最適です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけシャープ硬質赤【SS13-RED  (1.3MM ｱｶ)】(3358887) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけシャープ硬質赤【SS13-RED  (1.3MM ｱｶ)】(3358887) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけシャープ硬質赤【SS13-RED  (1.3MM ｱｶ)】(3358887) 受注単位1[rn]
10-21318,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436456.jpg?fitin=700:700,972.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マイゾックス/マイゾックス　チョークホルダー３色セット【CH-SET】(3081478) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●手の汚れを防ぎ、ポケットにも収納できます。<br>●マグネット付で、スチール机に貼り付きます。",『カード対応OK！』■〒マイゾックス/マイゾックス　チョークホルダー３色セット【CH-SET】(3081478) 受注単位1：クローバー資材館,『カード対応OK！』■〒マイゾックス/マイゾックス　チョークホルダー３色セット【CH-SET】(3081478) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒マイゾックス/マイゾックス　チョークホルダー３色セット【CH-SET】(3081478) 受注単位1[rn]
10-21319,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436786.jpg?fitin=700:700,136.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ替芯　２Ｈ【U202101P2H】(4088891) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●木材筆記時でも、濃く、折れにくくなっています。",『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ替芯　２Ｈ【U202101P2H】(4088891) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ替芯　２Ｈ【U202101P2H】(4088891) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　フィールド建築用２．０ｍｍシャープ替芯　２Ｈ【U202101P2H】(4088891) 受注単位1[rn]
