10-92501,http://tshop.r10s.jp/hotroadtoyohashi/cabinet/1610/7161013407_1.jpg?fitin=700:700,7128.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102,【10000円～送料無料】【定番商品】,ツライチ！に決めるワイトレシリーズに10mmタイプ登場<br>通常のスペーサーでは対応が難しい大幅なオフセット・トレッドの変更に対応可能！<br> 足元がキラリと光る！ワイドトレッドスペーサーです。<br> <br><br>耐久に優れたスチール製です。<br> ボルト、ナットは純正以上の強度と安心の浸炭焼き入れクロムモリブデン鋼　<br><br> <br> ■仕様<br><br> 厚さ：10mm<br> P.C.D：114.3<br> 穴数：5<br> ピッチ：1.5<br> ハブ径：約73mm<br> 入数：2個<br> <br> <br> 【注意事項】<br> ・本製品はショーカー及び競技車両専用パーツです。一般公道での使用はおやめ下さい。<br> ・本製品は2個1セットです。4輪に使用する場合、2セット必要となります。<br> ・本製品はアルミホール専用です。鉄ホイールには使用できません。<br> ・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合があります。必ず充分に確認した上でご使用下さい。<br> ・本製品は必ず単独でご使用下さい。他のスペーサー類との併用は絶対におやめ下さい。<br><br><br>,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102：カー用品のHot Road Second Shop,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102,【10000円～送料無料】【定番商品】。ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102[rn]
10-92502,http://tshop.r10s.jp/hotroadtoyohashi/cabinet/1604/1160426500_1.jpg?fitin=700:700,404.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,メール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3,ホイールスペーサー 3mm,シャープなハンドリング、優れた直進安定性を生み出します。<br><br>P.C.D.100/114.3で4穴・5穴兼用です。<br>2枚入りでコストパフォーマンスに優れたホイールスペーサーです。<br><br>タイヤをさりげなくボディワイドまで広げることでよりいっそうお洒落な外観と優れた安定性を楽しめます。<br><br>■仕様<br>厚さ：3mm<br>外径：135mm<br>内径：79mm<br>ボルト穴径：12.5mm<br>対応PCD：100/114.3 両方対応<br>対応穴数：4穴/5穴 両方対応<br>カラー：シルバー<br>材質：アルミダイカスト<br>数量：2枚入り<br>※ハブボルトが短いときは別売りロングハブボルトをご利用ください。<br>※装着出来ない等の返品は、お受付出来ません。<br><br>■メール便での発送について<br>サイズに制限があるため【4枚（2セット）】までがメール便で発送可能です。<br>それ以上の場合は、宅急便（送料700円～1700円）での発送となりますので<br>予めご了承下さい。<br><br><b><font size=+1>【製品仕様】</font></b><br><table width=600 cellpadding=3 cellspacing=1 bgcolor=#666666><tr bgcolor=#999999><td width=155><font color=#FFFFFF><b>穴数/PCD</b></font></td><td width=110><font color=#FFFFFF><b>厚さ</b></font></td><td width=110><font color=#FFFFFF><b>外径</b></font></td><td width=110><font color=#FFFFFF><b>内径</b></font></td><td width=115><font color=#FFFFFF><b>ボルト穴径</b></font></td></tr><tr align=center bgcolor=#FFFFFF><td>4H 100/114.3兼用<br>5H 100/114.3兼用</td><td>3mm</td><td>135mm</td><td>79mm</td><td>12.5mm</td></tr></table><br><table width=600 border=0 cellspacing=0 cellpadding=0><tr><td width=150>●JANコード</td><td width=450>：4991138300093</td></tr><tr><td>●カラー</td><td>：シルバー</td></tr><tr><td>●材質</td><td>：アルミダイカスト</td></tr></table><br><br><b><font size=+1>【注意事項】</font></b><br>・ハブボルトが短いときは別売りのロングハブボルトをご利用ください。<br>・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合もあります。必ずクリアランス等を十分に確認した上でご使用下さい。<br><br><font color=#FF0000>※装着出来ない等の返品はお受付出来ません。</font>,メール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3：カー用品のHot Road Second Shop,メール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3,ホイールスペーサー 3mm。メール便対応 HKB シルバー ホイールスペーサー 3mm PCD100 PCD114.3 4穴 5穴 2枚入 HKWS3[rn]
10-92503,http://tshop.r10s.jp/carus/cabinet/kyo-ei/wts15mm.jpg?fitin=700:700,9705.6000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ワイドトレッドスペーサー【15mm】プリウスα/40系/トヨタ/PCD 5H-114.3■キックス Kics  W.T.S. ハブユニットシステム【2枚1SET】ワイトレ ツライチ 15ミリ/1.5cm/1.5センチ,安心の日本製■送料無料■ハブリング付き■,"ワイドトレッドスペーサーと専用ハブセントリックリングのSETパッケージ。「W.T.S. ハブユニットシステム」ホイールとハブの隙間を無くし芯ブレを解消。高速走行時のブレ防止で安定性アップ。<br>
送料無料<BR>
画像3枚目の注意事項を確認の上ご購入願います。【TY215】",ワイドトレッドスペーサー【15mm】プリウスα/40系/トヨタ/PCD 5H-114.3■キックス Kics  W.T.S. ハブユニットシステム【2枚1SET】ワイトレ ツライチ 15ミリ/1.5cm/1.5センチ：カルースオートパーツ,車検対応改造純正激安サスペンションエアロ競技用ホイールナットロックナットワイドトレッドスペーサーワイトレHIDシートカバーバッテリーエアクリーナースパークプラグヘッドライト200系ハイエースプリウスヴェルファイアワイドトレッドスペーサー【15mm】プリウスα/40系/トヨタ/PCD 5H-114.3■キックス Kics  W.T.S. ハブユニットシステム【2枚1SET】ワイトレ ツライチ 15ミリ/1.5cm/1.5センチ,安心の日本製■送料無料■ハブリング付き■。ワイドトレッドスペーサー【15mm】プリウスα/40系/トヨタ/PCD 5H-114.3■キックス Kics  W.T.S. ハブユニットシステム【2枚1SET】ワイトレ ツライチ 15ミリ/1.5cm/1.5センチ[rn]
10-92504,http://tshop.r10s.jp/hotroad/cabinet/1503/7150320516_1.jpg?fitin=700:700,1902.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 3mm/D543,,従来のホイールスペーサーとは違い、スペーサーの内径を<br>ハブ径に合わせたスペーサーです。<br><br>ホイール取り付けのセンターのズレをなくし、ハンドリングへの<br>振動、高速走行時の振動を抑制します。<br><br>製造：日本製<br>材質：アルミダイカスト<br>厚さ：3mm<br>4穴/5穴マルチ共用タイプ 2枚セット<br><br>◆適合について◆<br>トヨタ、マツダ、スズキ、ダイハツ車の一部、その他車種で<br>ハブ径54mm、PCD：100の車両<br><br>◆注意◆<br>適合を間違えて購入した場合は、返品・交換はお受けできません。<br><br>,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 3mm/D543：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 3mm/D543,HKB SPORTS (東栄産業)：ホイールスペーサー メーカー別専用設計 ハブ径54mm PCD100 4穴/5穴 トヨタ マツダ スズキ ダイハツ 3mm/D543[rn]
10-92505,http://tshop.r10s.jp/hotroad/cabinet/0812/1081208151_1.jpg?fitin=700:700,6095.2000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ブレイス ブルー ワイドトレッドスペーサー 15mm PCD114.3/P1.5/5H BZ-002/,,ツライチ！フェンダーとホイールのセッティングに<br><br>通常のスペーサーでは対応が難しい大幅なオフセット・トレッドの変更に対応可能！<br>足元がキラリと光る！ブルーアルマイト塗装のワイドトレッドスペーサーです。<br><br><br>スペーサー部は頑丈な鍛造アルミ合金（6061）使用。<br>ボルト・ナットは純正以上の強度と安心の浸炭焼き入れクロムモリブデン鋼。<br>防錆塗装済みです。<br><br><br> ■仕様<br>厚さ：15mm<br>P.C.D：114.3<br>穴数：5<br>ピッチ：1.5<br>ハブ径：73mm<br>入数：2個<br><br><br>【注意事項】<br>・本製品はショーカー及び競技車両専用パーツです。一般公道での使用はおやめ下さい。<br>・本製品は2個1セットです。4輪に使用する場合、2セット必要となります。<br>・本製品はアルミホール専用です。鉄ホイールには使用できません。<br>・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合があります。必ず充分に確認した上でご使用下さい。<br>・本製品は必ず単独でご使用下さい。他のスペーサー類との併用は絶対におやめ下さい。<br><br>,ブレイス ブルー ワイドトレッドスペーサー 15mm PCD114.3/P1.5/5H BZ-002/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットブレイス ブルー ワイドトレッドスペーサー 15mm PCD114.3/P1.5/5H BZ-002/,ブレイス ブルー ワイドトレッドスペーサー 15mm PCD114.3/P1.5/5H BZ-002/[rn]
10-92506,http://tshop.r10s.jp/hotroad/cabinet/1404/7140424503_1.jpg?fitin=700:700,1680.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI：ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P/P-010-2P,,ツライチなど、ホイールのインセット(オフセット)を調整するためのスペーサー<br><br>■仕様<br>HOLE：4H&5H<br>P.C.D.：98～114.3<br>外形：135mm<br>内径：75mm<br>厚み：10mm<br><br>■注意<br>ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを<br>確認の上装着して下さい<br><br>■インセットとは？<br>ホイールを縦に見てホイールの中心と車への取り付け面のズレのこと(旧オフセット)<br>2007年7月11日より国際基準に基づき、従来のオフセットという名称がインセットに変更<br><br><br>,KYO-EI：ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P/P-010-2P：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットKYO-EI：ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P/P-010-2P,KYO-EI：ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P/P-010-2P[rn]
10-92507,http://tshop.r10s.jp/hotroad/cabinet/0812/1081208153_1.jpg?fitin=700:700,6095.2000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ブレイス ブルー ワイドトレッドスペーサー 15mm PCD100/P1.5/4H BZ-004/,,ツライチ！フェンダーとホイールのセッティングに<br><br>通常のスペーサーでは対応が難しい大幅なオフセット・トレッドの変更に対応可能！<br>足元がキラリと光る！ブルーアルマイト塗装のワイドトレッドスペーサーです。<br><br><br>スペーサー部は頑丈な鍛造アルミ合金（6061）使用。<br>ボルト・ナットは純正以上の強度と安心の浸炭焼き入れクロムモリブデン鋼。<br>防錆塗装済みです。<br><br><br> ■仕様<br>厚さ：15mm<br>P.C.D：100<br>穴数：4<br>ピッチ：1.5<br>ハブ径：59mm<br>入数：2個<br><br><br>【注意事項】<br>・本製品はショーカー及び競技車両専用パーツです。一般公道での使用はおやめ下さい。<br>・本製品は2個1セットです。4輪に使用する場合、2セット必要となります。<br>・本製品はアルミホール専用です。鉄ホイールには使用できません。<br>・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合があります。必ず充分に確認した上でご使用下さい。<br>・本製品は必ず単独でご使用下さい。他のスペーサー類との併用は絶対におやめ下さい。<br><br>,ブレイス ブルー ワイドトレッドスペーサー 15mm PCD100/P1.5/4H BZ-004/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットブレイス ブルー ワイドトレッドスペーサー 15mm PCD100/P1.5/4H BZ-004/,ブレイス ブルー ワイドトレッドスペーサー 15mm PCD100/P1.5/4H BZ-004/[rn]
10-92508,http://tshop.r10s.jp/hotroad/cabinet/1404/7140424502_1.jpg?fitin=700:700,880.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI：ホイールスペーサー 5mm PCD98～114.3 4/5H 2枚入り P-005-2P/P-005-2P,,ツライチなど、ホイールのインセット(オフセット)を調整するためのスペーサー<br><br>■仕様<br>HOLE：4H&5H<br>P.C.D.：98～114.3<br>外形：135mm<br>内径：73mm<br>厚み：5mm<br><br>■注意<br>ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを<br>確認の上装着して下さい<br><br>■インセットとは？<br>ホイールを縦に見てホイールの中心と車への取り付け面のズレのこと(旧オフセット)<br>2007年7月11日より国際基準に基づき、従来のオフセットという名称がインセットに変更<br><br><br>,KYO-EI：ホイールスペーサー 5mm PCD98～114.3 4/5H 2枚入り P-005-2P/P-005-2P：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットKYO-EI：ホイールスペーサー 5mm PCD98～114.3 4/5H 2枚入り P-005-2P/P-005-2P,KYO-EI：ホイールスペーサー 5mm PCD98～114.3 4/5H 2枚入り P-005-2P/P-005-2P[rn]
10-92509,http://tshop.r10s.jp/hotroad/cabinet/0812/1081208157_1.jpg?fitin=700:700,7466.4000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ブレイス ブルー ワイドトレッドスペーサー 26mm PCD114.3/P1.5/5H BZ-008/,,ツライチ！フェンダーとホイールのセッティングに<br><br>通常のスペーサーでは対応が難しい大幅なオフセット・トレッドの変更に対応可能！<br>足元がキラリと光る！ブルーアルマイト塗装のワイドトレッドスペーサーです。<br><br><br>スペーサー部は頑丈な鍛造アルミ合金（6061）使用。<br>ボルト・ナットは純正以上の強度と安心の浸炭焼き入れクロムモリブデン鋼。<br>防錆塗装済みです。<br><br><br> ■仕様<br>厚さ：26mm<br>P.C.D：114.3<br>穴数：5<br>ピッチ：1.5<br>ハブ径：73mm<br>入数：2個<br><br><br>【注意事項】<br>・本製品はショーカー及び競技車両専用パーツです。一般公道での使用はおやめ下さい。<br>・本製品は2個1セットです。4輪に使用する場合、2セット必要となります。<br>・本製品はアルミホール専用です。鉄ホイールには使用できません。<br>・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合があります。必ず充分に確認した上でご使用下さい。<br>・本製品は必ず単独でご使用下さい。他のスペーサー類との併用は絶対におやめ下さい。<br><br>,ブレイス ブルー ワイドトレッドスペーサー 26mm PCD114.3/P1.5/5H BZ-008/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットブレイス ブルー ワイドトレッドスペーサー 26mm PCD114.3/P1.5/5H BZ-008/,ブレイス ブルー ワイドトレッドスペーサー 26mm PCD114.3/P1.5/5H BZ-008/[rn]
10-92510,http://tshop.r10s.jp/hotroad/cabinet/1408/7140827201_1.jpg?fitin=700:700,6476.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ブレイス/BRAiTH：ブルー ワイドトレッドスペーサー 20mm PCD100/P1.5/5H/BZ-011,プリウス等に！,ツライチ！フェンダーとホイールのセッティングに<br><br>通常のスペーサーでは対応が難しい大幅なオフセット・トレッドの変更に対応可能！<br>足元がキラリと光る！ブルーアルマイト塗装のワイドトレッドスペーサーです。<br><br><br>スペーサー部は頑丈な鍛造アルミ合金（6061）使用。<br>ボルト・ナットは純正以上の強度と安心の浸炭焼き入れクロムモリブデン鋼。<br>防錆塗装済みです。<br><br><br> ■仕様<br>厚さ：20mm<br>P.C.D：100<br>穴数：5<br>ピッチ：1.5<br>ハブ径：54mm<br>入数：2個<br><br><br>【注意事項】<br>・本製品はショーカー及び競技車両専用パーツです。一般公道での使用はおやめ下さい。<br>・本製品は2個1セットです。4輪に使用する場合、2セット必要となります。<br>・本製品はアルミホール専用です。鉄ホイールには使用できません。<br>・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合があります。必ず充分に確認した上でご使用下さい。<br>・本製品は必ず単独でご使用下さい。他のスペーサー類との併用は絶対におやめ下さい。<br><br>,ブレイス/BRAiTH：ブルー ワイドトレッドスペーサー 20mm PCD100/P1.5/5H/BZ-011：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットブレイス/BRAiTH：ブルー ワイドトレッドスペーサー 20mm PCD100/P1.5/5H/BZ-011,プリウス等に！。ブレイス/BRAiTH：ブルー ワイドトレッドスペーサー 20mm PCD100/P1.5/5H/BZ-011[rn]
10-92511,http://tshop.r10s.jp/hotroad/cabinet/0812/1081201106_1.jpg?fitin=700:700,1156.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,HKB シルバーホイールスペーサー 5mm PCD139.7 6穴 4WD用 4枚入 HKWS4WD/ハイエース/グランビア/ランクル/,,■適合車種<br>ハイエース/グランビア/ランクル/サーフ/キャラバン/エルグランド/サファリ/テラノ/ダットサントラック/デリカ/パジェロ/エスクード/ジムニー等<br><br>シャープなハンドリング、優れた直進安定性を生み出します。<br><br>P.C.D.139.7で6穴用です。<br>4枚入りでコストパフォーマンスに優れた四駆用ホイールスペーサーです。<br><br>タイヤをさりげなくボディワイドまで広げることでよりいっそうお洒落な外観と優れた安定性を楽しめます。<BR><br><br>■仕様<br>厚さ：5mm<br>外径：165mm<br>内径：111mm<br>ボルト穴径：16.5mm<br>対応PCD：139.7 のみ対応<br>対応穴数：6穴 のみ対応<br>カラー：シルバー<br>材質：アルミダイカスト<br>数量：4枚入り<br>※ハブボルトが短いときは別売りロングハブボルトをご利用ください。<br>※装着出来ない等の返品は、お受付出来ません。<br><br>,HKB シルバーホイールスペーサー 5mm PCD139.7 6穴 4WD用 4枚入 HKWS4WD/ハイエース/グランビア/ランクル/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットHKB シルバーホイールスペーサー 5mm PCD139.7 6穴 4WD用 4枚入 HKWS4WD/ハイエース/グランビア/ランクル/,HKB シルバーホイールスペーサー 5mm PCD139.7 6穴 4WD用 4枚入 HKWS4WD/ハイエース/グランビア/ランクル/[rn]
