10-98801,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60059903.jpg?fitin=700:700,672.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,在庫処分！HMY企画カラー手袋で作る　丑完全部材セット,,【セット内容】カラー軍手　１枚、＃２４ワイヤー（つの・尻尾）　１本、つの用スピンドル　１本、江戸打ち（紅白ツイスト）　１本、背当て用金襴　１枚、縁取り用金紐（金襴の柄、紐の種類は変わる事があります）　１本、メタリックリボン　１本、ひずめ用シールフェルト　１枚、鼻用リング（大）　１本、目ボタン（６ｍｍ）　２個、鈴、下敷用フェルト、両面テープ、綿<BR><BR>【ご用意いただく物】＃１５とじ針、目打ち、割り箸　１本、縫い針、手芸用ボンド、タオル<BR>ご注意：持越し品のため、一部パッケージに破損がある場合がございますが、<BR>ご了承のほどお願いいたします。,在庫処分！HMY企画カラー手袋で作る　丑完全部材セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！HMY企画カラー手袋で作る　丑完全部材セット,在庫処分！HMY企画カラー手袋で作る　丑完全部材セット[rn]
10-98802,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60051956.jpg?fitin=700:700,672.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,在庫処分！東芸　3303満開桜の夫婦寅材料セット,,出来上がりのサイズ：約　幅２４．５ｃｍｘ奥行１６．２ｃｍ×高さ１１ｃｍ（敷布含む）<BR>セット内容：ちりめん布地、フエルト、紐、目玉用ボタン、鼻、地巻ワイヤー、俵、小判、稲穂、桜枝、テトロン綿<BR>別売：桜の金屏風　高さ１２ｃｍ<BR>ご準備頂く用具：針、縫い糸、色糸（赤）、ハサミ、ボンド、黒油性ペン、定規、ピンセット<BR><BR>●作り方テキスト付<BR>●布地は裁断済みで、約３～４時間で出来上がります。<BR>●超大人気のちりめん十二支手芸。どなたでも簡単にお作り頂けます。,在庫処分！東芸　3303満開桜の夫婦寅材料セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！東芸　3303満開桜の夫婦寅材料セット,在庫処分！東芸　3303満開桜の夫婦寅材料セット[rn]
10-98803,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60072327.jpg?fitin=700:700,240.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,在庫処分！TERAI  P750サンフラワーメタリックヤーンで作る縁起干支　うし A 白銀材料キット,,出来上がりのサイズ：もうせん　約　幅１２ｃｍ×奥行７．５ｃｍ×高さ７ｃｍ<BR>キット内容：スチボール丸型２種、スチボールタマゴ型　半切２種、ボンテン４種、フェルト２種、メタリックヤーン、動眼２種、クロマル２種、丸カン、ひも、モール、干支の看板<BR>ご準備頂く用具：はさみ、ものさし、ボンド、まち針、つまようじ（ボンド付用）、ラジオペンチ、洗濯バサミ<BR><BR>●作り方テキスト付,在庫処分！TERAI  P750サンフラワーメタリックヤーンで作る縁起干支　うし A 白銀材料キット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！TERAI  P750サンフラワーメタリックヤーンで作る縁起干支　うし A 白銀材料キット,在庫処分！TERAI  P750サンフラワーメタリックヤーンで作る縁起干支　うし A 白銀材料キット[rn]
10-98804,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60060144.jpg?fitin=700:700,508.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,在庫処分！マルケー手芸　No.1480ちりめん手芸　仲よし猪三兄弟材料セット,,"サイズ：約　縦７ｃｍ×横７ｃｍ×高さ５ｃｍ（１個）×３<BR>別売：黒台　縦１８ｃｍ×１２ｃｍ　<BR><BR>ご用意いただく物：ボンド、はさみ、目打、ものさし、待針<BR><BR><BR><FONT color=""#ff0000"">注意：キットには虫ピンが入っています。</FONT><BR>※パーツが多少かわることもございます。<BR>ご注意：持越し品のため、一部パッケージに破損がある場合がございますが、<BR>ご了承のほどお願いいたします。",在庫処分！マルケー手芸　No.1480ちりめん手芸　仲よし猪三兄弟材料セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！マルケー手芸　No.1480ちりめん手芸　仲よし猪三兄弟材料セット,在庫処分！マルケー手芸　No.1480ちりめん手芸　仲よし猪三兄弟材料セット[rn]
10-98805,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60087329.jpg?fitin=700:700,412.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,在庫処分　タカギ繊維 MF-3まきまきうさぎ材料キット,,出来上がりのサイズ：約　縦１０ｃｍ×横１８ｃｍ×高さ９ｃｍ<BR>キット内容：ソフトヤーン（白・クリーム・ピンク）、スチロール球（頭用・体用・尻尾用）、目玉（黒）、鼻（赤）、赤紐、金屏風、もうせん、立て札”招福干支”、紙札”干支”、両面接着シート<BR>ご準備頂く用具：はさみ、両面テープ、ボンド、ものさし、赤ボールペン<BR><BR>●作り方テキスト付<BR>●ホビータイム：６０分,在庫処分　タカギ繊維 MF-3まきまきうさぎ材料キット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分　タカギ繊維 MF-3まきまきうさぎ材料キット,在庫処分　タカギ繊維 MF-3まきまきうさぎ材料キット[rn]
10-98806,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60071946.jpg?fitin=700:700,480.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,在庫処分！PROJECT　ほんまもん　No.1200手染めちりめんで作る　　吉兆　親子卯材料キット,,出来上がりのサイズ：親/約８ｃｍ×８ｃｍ　子/約 ６ｃｍ×５ｃｍ <BR>キット内容：手染めちりめん２種、一越友禅（柄）、一越無地２種、ワイヤー、底芯（親用・子用）、絹とじ糸２種、ボンテン２種、金ビーズ、紐、梅型メルトン、ポリエステル綿<BR>ご準備頂く用具：針、ハサミ、ピンセット、ボンド、ようじ（ボンドを塗る）、糸（乳白色・ピンク・赤）<BR><BR>●作り方テキスト付<BR><BR><BR>※このちりめん布は、このキット専用に染め上げたものです。,在庫処分！PROJECT　ほんまもん　No.1200手染めちりめんで作る　　吉兆　親子卯材料キット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！PROJECT　ほんまもん　No.1200手染めちりめんで作る　　吉兆　親子卯材料キット,在庫処分！PROJECT　ほんまもん　No.1200手染めちりめんで作る　　吉兆　親子卯材料キット[rn]
10-98807,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img59847108.jpg?fitin=700:700,272.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,在庫処分！東芸　3145愛のねずみ　円結び根付材料セット,,出来上がりのサイズ：約　幅４ｃｍｘ長さ１５ｃｍ<BR>セット内容：ちりめん布地、フエルト、紐、目玉ビーズ、鈴、根付紐２種、テトロン綿<BR>ご準備頂く用具：針、糸、色糸、ハサミ、定規、ボンド等<BR><BR>●作り方テキスト付<BR>●布地は裁断済みで、約３～４時間で出来上がります。<BR>●縁起が良くてとってもお洒落な根付が２ヶも作れるお得なキットです。,在庫処分！東芸　3145愛のねずみ　円結び根付材料セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！東芸　3145愛のねずみ　円結び根付材料セット,在庫処分！東芸　3145愛のねずみ　円結び根付材料セット[rn]
10-98808,http://tshop.r10s.jp/ky-kanariya/cabinet/01457743/02357519/img57764425.jpg?fitin=700:700,1289.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,テンシャビーズネックジュエリーキット,ビーズで作るシルクスヌードアクセサリー,シルクチュール（絹100％）のスヌードは縫製済です。<br>  ビーズ部分を手づくりします.<br><br>材料<br>1、丸小ビーズ Ｎo.504 20粒<br>2、パール2.5mm α-45 5粒<br>3、チェコファイアポリッシュビーズ6mm α-6606-32 4粒<br>4、チェコファイアポリッシュビーズ4mm 3 4粒<br>5、チェコファイアポリッシュビーズ8mm 3 α-6608-111 4粒<br>6、チェコファイアポリッシュビーズ3mm 3 α-6603-89 4粒<br>7、スワロフスキー 6mm Ｎo.10 2粒<br>8、スワロフスキー 6mm Ｎo.11 2粒<br>9、座金 9-16-13 G 2つ<br>10、テンシャビーズ α-1411-4 1粒<br>11、マグネットクラスプ　9-2-9 G　1つ<br>12、かしめ玉 α-804 G 2つ アクセサリーコード 3 α-770 シルクスヌード 1<br><br>ご注意：　モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、<br>在庫切れで販売できなくなる場合がございます。<br>,テンシャビーズネックジュエリーキット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンテンシャビーズネックジュエリーキット,ビーズで作るシルクスヌードアクセサリー。テンシャビーズネックジュエリーキット[rn]
10-98809,http://tshop.r10s.jp/ky-kanariya/cabinet/02993942/imgrc0068138238.jpg?fitin=700:700,3920.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,ミユキ　ＭＩＹＵＫＩビーズランプキット用 壁掛用ソケットコード(E17)コンセントタイプ Ｒ６００１３,ミユキビーズ　ビーズランプキット用 壁掛用ソケットコード,"ＭＩＹＵＫＩ　ミユキビーズ<br>ビーズランプキット用<br>壁掛用ソケットコード(E17)コンセントタイプ　<br><br>※ソケットコードのみの販売です。ランプシェード、電球は付属していません。<br>定格電圧：100V<br>適合ランプ：20W<br>ソケット：E17<br>コード：白　長さ2m<br><br>発売元 ： 株式会社ＭＩＹＵＫＩ<BR><br><FONT color=""#ff0000"">ご注意：　クロネコＤＭ便発送　不可です。</FONT><BR>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br><br>",ミユキ　ＭＩＹＵＫＩビーズランプキット用 壁掛用ソケットコード(E17)コンセントタイプ Ｒ６００１３：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンミユキ　ＭＩＹＵＫＩビーズランプキット用 壁掛用ソケットコード(E17)コンセントタイプ Ｒ６００１３,ミユキビーズ　ビーズランプキット用 壁掛用ソケットコード 。ミユキ　ＭＩＹＵＫＩビーズランプキット用 壁掛用ソケットコード(E17)コンセントタイプ Ｒ６００１３[rn]
10-98810,http://tshop.r10s.jp/ky-kanariya/cabinet/02993942/imgrc0068138244.jpg?fitin=700:700,3040.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,ミユキ　ＭＩＹＵＫＩビーズランプキット用 天吊用ソケットコード(E17)引掛けシーリングタイプ Ｒ６００１２,ミユキビーズ　ビーズランプキット用 天吊用ソケットコード,"ＭＩＹＵＫＩ　ミユキビーズ<br>ビーズランプキット用<br>天吊用ソケットコード(E17)引掛けシーリングタイプ　<br><br>※ソケットコードのみの販売です。ランプシェード、電球は付属していません。<br>定格電圧：100V<br>適合ランプ：20W<br>ソケット：E17<br>コード：茶　長さ50cm<br><br>発売元 ： 株式会社ＭＩＹＵＫＩ<BR><br><FONT color=""#ff0000"">ご注意：　クロネコＤＭ便発送　不可です。</FONT><BR>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br><br>",ミユキ　ＭＩＹＵＫＩビーズランプキット用 天吊用ソケットコード(E17)引掛けシーリングタイプ Ｒ６００１２：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンミユキ　ＭＩＹＵＫＩビーズランプキット用 天吊用ソケットコード(E17)引掛けシーリングタイプ Ｒ６００１２,ミユキビーズ　ビーズランプキット用 天吊用ソケットコード 。ミユキ　ＭＩＹＵＫＩビーズランプキット用 天吊用ソケットコード(E17)引掛けシーリングタイプ Ｒ６００１２[rn]
10-98811,http://tshop.r10s.jp/ky-kanariya/cabinet/02993942/imgrc0068138563.jpg?fitin=700:700,7200.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ビーズクラフト道具 > ビーズキット,現品限り ミユキ　ＭＩＹＵＫＩビーズランプキット用 テーブルランプ台,ミユキビーズ　ビーズランプキット用 テーブルランプ台,"ＭＩＹＵＫＩ　ミユキビーズ<br>ビーズランプキット用<br>テーブルランプ台　<br><br>※ランプ台のみの販売です。ランプシェード、電球は付属していません。<br>定格電圧：100V<br>適合ランプ：40W<br>ソケット：E17<br>サイズ：幅225mm×高さ350mm×奥行135mm<BR>コード：黒、長さ約2.1m<br><br><FONT color=""#ff0000"">ご注意：　クロネコＤＭ便発送　不可です。</FONT><BR>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br><br>",現品限り ミユキ　ＭＩＹＵＫＩビーズランプキット用 テーブルランプ台：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン現品限り ミユキ　ＭＩＹＵＫＩビーズランプキット用 テーブルランプ台,ミユキビーズ　ビーズランプキット用 テーブルランプ台 。現品限り ミユキ　ＭＩＹＵＫＩビーズランプキット用 テーブルランプ台[rn]
