10-45601,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60051960.jpg?fitin=700:700,592.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,在庫処分！東芸　3309幸福の夫婦虎材料セット,,出来上がりのサイズ：約　幅２４．５ｃｍｘ奥行１３.５ｃｍ×高さ１４ｃｍ（敷布含む）<BR>セット内容：ちりめん布地、フエルト、紐、目玉ボタン、鼻、小判、赤実、三枚笹、地巻ワイヤー、テトロン綿<BR>別売：招福竹林金屏風　高さ１２ｃｍ<BR>ご準備頂く用具：針、縫い糸、色糸（黒・赤）、ハサミ、ボンド、目打ち、定規、ピンセット、黒油性ペン<BR><BR>●作り方テキスト付<BR>●布地は裁断済みで、約４～５時間で出来上がります。<BR>●作り方は簡単。どなたでも華やかで本格的なちりめん飾りが作れます。,在庫処分！東芸　3309幸福の夫婦虎材料セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！東芸　3309幸福の夫婦虎材料セット,在庫処分！東芸　3309幸福の夫婦虎材料セット[rn]
10-45602,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60051961.jpg?fitin=700:700,592.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,在庫処分！東芸　3302開運白虎の親子材料セット,,出来上がりのサイズ：約　幅２４．５ｃｍｘ奥行１３ｃｍ×高さ１６ｃｍ（敷布含む）<BR>セット内容：ちりめん布地、フエルト、紐、目玉（ボタンとビーズ）、鼻、地巻ワイヤー、小判、三枚笹、赤実、稲穂、テトロン綿<BR>別売：招福竹林金屏風　高さ１２ｃｍ<BR>ご準備頂く用具：針、縫い糸、色糸（赤）、ハサミ、ボンド、黒油性ペン定規、ピンセット<BR><BR>●作り方テキスト付<BR>●布地は裁断済みで、約３～４時間で出来上がります。<BR>●超大人気のちりめん十二支手芸。どなたでも簡単にお作り頂けます。,在庫処分！東芸　3302開運白虎の親子材料セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！東芸　3302開運白虎の親子材料セット,在庫処分！東芸　3302開運白虎の親子材料セット[rn]
10-45603,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/04152266/imgrc0064919128.jpg?fitin=700:700,856.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,ヂャンティ　トムとメリー（ペアー）Tom & MaryNK129　テキスト付手編みキット出来上りサイズ　高さ約20cm（頭～足）,2015年干支シリーズ　未ひつじ　,"<font color=""#ff0000"" size=""4"">★★★　在庫処分　★★★</font><BR><FONT color=""#6a1917"">★中詰綿100ｇは別売です。</font><BR><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""400""> <TR>  <TD bgcolor=""#ffffff"">    <FONT color=""#ff0000""><B>ご注意</B></FONT>    <FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>  </TD> </TR></TABLE><br><font color=""#ff0000"" size=""3"">★(土日祝日を除き）２～４日以内に発送★</font>",ヂャンティ　トムとメリー（ペアー）Tom &amp; MaryNK129　テキスト付手編みキット出来上りサイズ　高さ約20cm（頭～足）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンヂャンティ　トムとメリー（ペアー）Tom &amp; MaryNK129　テキスト付手編みキット出来上りサイズ　高さ約20cm（頭～足）,2015年干支シリーズ　未ひつじ　。ヂャンティ　トムとメリー（ペアー）Tom &amp; MaryNK129　テキスト付手編みキット出来上りサイズ　高さ約20cm（頭～足）[rn]
10-45604,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60051477.jpg?fitin=700:700,512.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,在庫処分！東芸　3245あいの和み牛材料セット,,出来上がりのサイズ：全長９５ｃｍ<BR>セット内容：ちりめん布地、フエルト、紐、目玉用ボタン、丸カン、フリンジ、発砲球、綿、俵、太金糸<BR>ご準備頂く用具：針、縫糸、ハサミ、ボンド、目打、定規等<BR><BR>●作り方テキスト付<BR>●布地は裁断済みで、約３～４時間で出来上がります。<BR>●超大人気のちりめん十二支手芸。どなたでも簡単にお作り頂けます。,在庫処分！東芸　3245あいの和み牛材料セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！東芸　3245あいの和み牛材料セット,在庫処分！東芸　3245あいの和み牛材料セット[rn]
10-45605,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/img60067232.jpg?fitin=700:700,792.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,在庫処分！東芸　Ｈ8663招福の辰(赤)[ミニ羽子板]材料セット,,出来上がりのサイズ：約　幅１５ｃｍｘ×高さ３０ｃｍ<BR>セット内容：布１５種、紐４種、目玉、小判、赤実、笹、シール<BR>別売：羽子板受台(ミニ) Ｎ００４２<BR>サイズ：幅１０．６ｃｍ×高さ１９．７ｃｍ　<BR>ご準備頂く用具：目打ち、ハサミ、ボンド、アイロンまたは電気ゴテ等<BR><BR>●作り方テキスト付<BR>●簡単に作れる十二支の羽子板はお飾りやお年賀のプレゼントにも最適です。<BR><BR>※デザイン権・制作権は東芸販売が所有しています。<BR>布地やパーツの色柄や形状が変更になる場合がございます。<BR>ご注意：持越し品のため、一部パッケージに破損がある場合がございますが、<BR>ご了承のほどお願いいたします。,在庫処分！東芸　Ｈ8663招福の辰(赤)[ミニ羽子板]材料セット：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！東芸　Ｈ8663招福の辰(赤)[ミニ羽子板]材料セット,在庫処分！東芸　Ｈ8663招福の辰(赤)[ミニ羽子板]材料セット[rn]
10-45606,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/3d/imgrc0065048298.jpg?fitin=700:700,1728.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,訳あり！！　ヂャンティ　3-Ｄ（シャドーボックス）用専用額　ＤＳ-841　　額縁に細かい凹みがあります。スリーディメンション 3Dアート 在庫限り,艶のある茶色で楕円窓の3-Ｄ専用額　,3-Ｄプリント専用額<br>額外寸：Ｈ165×Ｗ216×Ｄ33ミリ<br>作画面：楕円　Ｈ57×Ｗ105<br>色：茶（艶あり）<br>３－Ｄとは、３－Dimension pictureと言い、<br>１７～１８世紀のヨーロッパで流行したと<br>言われているデコパージュのひとつです。<br>カットした絵柄を何枚も重ね、立体的に見せる<br>クラフトで、『シャドーボックス』とも呼ばれています。<br>ご注意：　モニターにより、色の見え方が実際の商品　<br>と異なることがございます。<BR>また、注文が集中した場合など、発送が遅れたり、　<br>店頭販売と在庫が重複しているため、　<br>在庫切れで販売できなくなる場合がございます。　<br>,訳あり！！　ヂャンティ　3-Ｄ（シャドーボックス）用専用額　ＤＳ-841　　額縁に細かい凹みがあります。スリーディメンション 3Dアート 在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン訳あり！！　ヂャンティ　3-Ｄ（シャドーボックス）用専用額　ＤＳ-841　　額縁に細かい凹みがあります。スリーディメンション 3Dアート 在庫限り,艶のある茶色で楕円窓の3-Ｄ専用額　。訳あり！！　ヂャンティ　3-Ｄ（シャドーボックス）用専用額　ＤＳ-841　　額縁に細かい凹みがあります。スリーディメンション 3Dアート 在庫限り[rn]
10-45607,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/3d/imgrc0064959703.jpg?fitin=700:700,307.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-1　４枚入りプリントスリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト,プリント外寸：114×148ミリ<br>入数：4枚入り<br>フラワーフェアリーシリーズ：36柄<br>別売りには、テキスト付もあります。　<br><br>３－Ｄとは、３－Dimension pictureと言い、<br>１７～１８世紀のヨーロッパで流行したと<br>言われているデコパージュのひとつです。<br>カットした絵柄を何枚も重ね、立体的に見せる<br>クラフトで、『シャドーボックス』とも呼ばれています。<br>丹精込めた手づくりの味合いは、作る人の感性により<br>個性的な作品となり、一度この作品を作り上げ、<br>家族やお友達に見せたり、プレゼントしたりすると、<br>先ず感嘆の声を聞くことでしょう。　<br>ご注意：　モニターにより、色の見え方が実際の商品　<br>と異なることがございます。<BR>また、注文が集中した場合など、発送が遅れたり、　<br>店頭販売と在庫が重複しているため、　<br>在庫切れで販売できなくなる場合がございます。　<br>,ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-1　４枚入りプリントスリーディメンション 3Dアート 在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-1　４枚入りプリントスリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト。ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-1　４枚入りプリントスリーディメンション 3Dアート 在庫限り[rn]
10-45608,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/3d/imgrc0065045362.jpg?fitin=700:700,1840.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,ヂャンティ　3-Ｄ（シャドーボックス）用9センチ×14センチの3-Ｄプリント用　専用額　スリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト用,3-Ｄプリント専用額<br>額外寸：Ｈ200×Ｗ245×Ｄ45ミリ<br>色：黒（艶あり）に2本の金ラインが入っています。<br><br>３－Ｄとは、３－Dimension pictureと言い、<br>１７～１８世紀のヨーロッパで流行したと<br>言われているデコパージュのひとつです。<br>カットした絵柄を何枚も重ね、立体的に見せる<br>クラフトで、『シャドーボックス』とも呼ばれています。<br>ご注意：　モニターにより、色の見え方が実際の商品　<br>と異なることがございます。<BR>また、注文が集中した場合など、発送が遅れたり、　<br>店頭販売と在庫が重複しているため、　<br>在庫切れで販売できなくなる場合がございます。　<br>,ヂャンティ　3-Ｄ（シャドーボックス）用9センチ&times;14センチの3-Ｄプリント用　専用額　スリーディメンション 3Dアート 在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンヂャンティ　3-Ｄ（シャドーボックス）用9センチ&times;14センチの3-Ｄプリント用　専用額　スリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト用。ヂャンティ　3-Ｄ（シャドーボックス）用9センチ&times;14センチの3-Ｄプリント用　専用額　スリーディメンション 3Dアート 在庫限り[rn]
10-45609,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/3d/imgrc0065316778.jpg?fitin=700:700,3520.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,ヂャンティ　3-Ｄ（シャドーボックス）作品　フラワーフェアリー 白額　ミカエルマス・デージーの妖精スリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せた3-Ｄ作品,フラワーフェアリーの3-Ｄ作品（完成品）　<br>ミカエルマス・デージーの妖精<br>　作品のサイズ：Ｈ200×Ｗ245×Ｄ20ミリ<br>額の色：白（艶あり）に金のラインがはいっています。<br>３－Ｄとは、３－Dimension pictureと言い、<br>１７～１８世紀のヨーロッパで流行したと<br>言われているデコパージュのひとつです。<br>カットした絵柄を何枚も重ね、立体的に見せる<br>クラフトで、『シャドーボックス』とも呼ばれています。<br>ご注意：　モニターにより、色の見え方が実際の商品　<br>と異なることがございます。<BR>また、注文が集中した場合など、発送が遅れたり、　<br>店頭販売と在庫が重複しているため、　<br>在庫切れで販売できなくなる場合がございます。　<br>,ヂャンティ　3-Ｄ（シャドーボックス）作品　フラワーフェアリー 白額　ミカエルマス・デージーの妖精スリーディメンション 3Dアート 在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンヂャンティ　3-Ｄ（シャドーボックス）作品　フラワーフェアリー 白額　ミカエルマス・デージーの妖精スリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せた3-Ｄ作品。ヂャンティ　3-Ｄ（シャドーボックス）作品　フラワーフェアリー 白額　ミカエルマス・デージーの妖精スリーディメンション 3Dアート 在庫限り[rn]
10-45610,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/3d/imgrc0064959704.jpg?fitin=700:700,307.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　４枚入りプリントスリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト,プリント外寸：114×148ミリ<br>入数：4枚入り<br>フラワーフェアリーシリーズ：36柄<br>別売りには、テキスト付もあります。　<br><br>３－Ｄとは、３－Dimension pictureと言い、<br>１７～１８世紀のヨーロッパで流行したと<br>言われているデコパージュのひとつです。<br>カットした絵柄を何枚も重ね、立体的に見せる<br>クラフトで、『シャドーボックス』とも呼ばれています。<br>丹精込めた手づくりの味合いは、作る人の感性により<br>個性的な作品となり、一度この作品を作り上げ、<br>家族やお友達に見せたり、プレゼントしたりすると、<br>先ず感嘆の声を聞くことでしょう。　<br>ご注意：　モニターにより、色の見え方が実際の商品　<br>と異なることがございます。<BR>また、注文が集中した場合など、発送が遅れたり、　<br>店頭販売と在庫が重複しているため、　<br>在庫切れで販売できなくなる場合がございます。　<br>,ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　４枚入りプリントスリーディメンション 3Dアート 在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　４枚入りプリントスリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト。ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　４枚入りプリントスリーディメンション 3Dアート 在庫限り[rn]
10-45611,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56774552.jpg?fitin=700:700,612.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,クロバーちいさなてしごとリボンフラワーのヘアゴムナチュラル７９－８０８クロネコＤＭ便発送　可能,,リボンフラワーのヘアゴム(ナチュラル）<br><br>作品サイズ　：　花の直径約 ６cm 、 製作時間.約２時間<br>                                        　　キット内容　：　リボンフラワー・メーカー(Ｓ)・バイアステープ・レース・ビーズ・ゴム・作り方説明書<br><br>発売元 ： クロバー株式会社<br>クロネコＤＭ便発送　可能<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>,クロバーちいさなてしごとリボンフラワーのヘアゴムナチュラル７９&minus;８０８クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンクロバーちいさなてしごとリボンフラワーのヘアゴムナチュラル７９&minus;８０８クロネコＤＭ便発送　可能,クロバーちいさなてしごとリボンフラワーのヘアゴムナチュラル７９&minus;８０８クロネコＤＭ便発送　可能[rn]
