8-10405,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659938.jpg?fitin=700:700,172.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／４×６．Φ）【RS-1206】(1768018) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／４&times;６．Φ）【RS-1206】(1768018) 受注単位1：クローバー資材館,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／４&times;６．Φ）【RS-1206】(1768018) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／４&times;６．Φ）【RS-1206】(1768018) 受注単位1[rn]
8-10406,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004345485.jpg?fitin=700:700,7428.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒住友軽金属工業/ＳＵＭＩＴＯＭＯ　空調冷媒用軟質銅管１０ｍコイル【NDK-0808-10】(2207915) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●光輝焼鈍により、内外面とも清浄で耐食性に優れています。<br>●1本ごとにビニール袋に入っていますので、持ち運びに便利です。<br>●エア、油などの計装配管に最適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒住友軽金属工業/ＳＵＭＩＴＯＭＯ　空調冷媒用軟質銅管１０ｍコイル【NDK-0808-10】(2207915) 受注単位1：クローバー資材館,『カード対応OK！』■〒住友軽金属工業/ＳＵＭＩＴＯＭＯ　空調冷媒用軟質銅管１０ｍコイル【NDK-0808-10】(2207915) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒住友軽金属工業/ＳＵＭＩＴＯＭＯ　空調冷媒用軟質銅管１０ｍコイル【NDK-0808-10】(2207915) 受注単位1[rn]
8-10407,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004180365.jpg?fitin=700:700,642.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒積水化学工業/Ｋセキスイ　エスロン保温チューブ　４０　内径４９ｍｍ　２．０ｍ【STQ40】(3801373) 受注単位1,工事用品\管工機材\配管保護資材,"<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為、1～10個まで\2160、11～20個までは\4320の別途送料がかかります。<br>それ以上の個数をご希望の際は当店までお問い合わせください。</b></font><br> ※追加送料は別途当店からのメールで訂正されます。<br><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●断熱性に優れ吸水・吸湿の心配がありません。<br>●ワンタッチ式で、テープ付です。<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』###■〒積水化学工業/Ｋセキスイ　エスロン保温チューブ　４０　内径４９ｍｍ　２．０ｍ【STQ40】(3801373) 受注単位1：クローバー資材館,『カード対応OK！』###■〒積水化学工業/Ｋセキスイ　エスロン保温チューブ　４０　内径４９ｍｍ　２．０ｍ【STQ40】(3801373) 受注単位1,工事用品\管工機材\配管保護資材。『カード対応OK！』###■〒積水化学工業/Ｋセキスイ　エスロン保温チューブ　４０　内径４９ｍｍ　２．０ｍ【STQ40】(3801373) 受注単位1[rn]
8-10408,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004524087.jpg?fitin=700:700,8381.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ガラステープ　厚み３．０Ｘ幅５０Ｘ３０ｍ【TGT-3050】(2786346) 受注単位1,(2786346),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●断熱性、柔軟性に優れています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ガラステープ　厚み３．０Ｘ幅５０Ｘ３０ｍ【TGT-3050】(2786346) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ガラステープ　厚み３．０Ｘ幅５０Ｘ３０ｍ【TGT-3050】(2786346) 受注単位1,(2786346)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ガラステープ　厚み３．０Ｘ幅５０Ｘ３０ｍ【TGT-3050】(2786346) 受注単位1[rn]
8-10409,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002967679.jpg?fitin=700:700,12185.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤガミ/ヤガミ　グローブバルブ用保温ジャケット【TJVG-65A】() 受注単位1,工事用品\管工機材\配管保護資材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐水、耐熱性に優れた保温材で、グローブバルブからの放熱を防止し、作業者の火傷防止になります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ヤガミ/ヤガミ　グローブバルブ用保温ジャケット【TJVG-65A】() 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤガミ/ヤガミ　グローブバルブ用保温ジャケット【TJVG-65A】() 受注単位1,工事用品\管工機材\配管保護資材。『カード対応OK！』■〒ヤガミ/ヤガミ　グローブバルブ用保温ジャケット【TJVG-65A】() 受注単位1[rn]
8-10410,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002967677.jpg?fitin=700:700,5932.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-32A】() 受注単位1,工事用品\管工機材\配管保護資材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐水、耐熱性に優れた保温材で、フランジからの放熱を防止し、作業者の火傷防止になります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-32A】() 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-32A】() 受注単位1,工事用品\管工機材\配管保護資材。『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-32A】() 受注単位1[rn]
8-10411,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004382384.jpg?fitin=700:700,9306.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三井住友金属鉱山伸銅/ＭＳＭＭＢＣ　ＺＡＰ－ＳＵＳ　１２５Ａ用（１．３×１５０×２５０）【ZAP-SUS125A】(3894401) 受注単位1,工事用品\管工機材\配管保護資材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●高いライフサイクルコスト性により補修費用の大幅な低減や維持管理の省力化が図れます。<br>●配管と架台の腐食を長期に亘り防ぎます。<br>●新規設備はもちろん、僅かな隙間でも容易に挟み込むことができますので、既設配管でも施工が可能です。<br>●ＺＡＰテープとＺＡＰペーストを併用いただくことで、異種金属腐食や隙間腐食対策も取ることができ、総合的な防食が可能となります。<br>●ご注文は１枚から承ります。<br>●配管系や架台の幅に応じた形状変更が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三井住友金属鉱山伸銅/ＭＳＭＭＢＣ　ＺＡＰ&minus;ＳＵＳ　１２５Ａ用（１．３&times;１５０&times;２５０）【ZAP-SUS125A】(3894401) 受注単位1：クローバー資材館,『カード対応OK！』■〒三井住友金属鉱山伸銅/ＭＳＭＭＢＣ　ＺＡＰ&minus;ＳＵＳ　１２５Ａ用（１．３&times;１５０&times;２５０）【ZAP-SUS125A】(3894401) 受注単位1,工事用品\管工機材\配管保護資材。『カード対応OK！』■〒三井住友金属鉱山伸銅/ＭＳＭＭＢＣ　ＺＡＰ&minus;ＳＵＳ　１２５Ａ用（１．３&times;１５０&times;２５０）【ZAP-SUS125A】(3894401) 受注単位1[rn]
8-10412,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659816.jpg?fitin=700:700,5401.6000,,花・ガーデン・DIY > DIY・工具 > その他,↓#『カード対応OK！』■〒ニチアス/ニチアス　インサルテックステ－プ　幅２５ｍｍｘ３０ｍ　厚み１．５ｍｍ【8401-1525】(2830221) 受注単位1,工事用品\管工機材\配管保護資材,"<p><font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font></p><br><font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●厚手の断熱用ガラステープです。<br>●火傷防止、断熱材として細い配管や、狭いスペースにも簡単に施工できます。<br>●厚くて弾力性がありますのでシール材としても優れた性能を発揮します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",&darr;#『カード対応OK！』■〒ニチアス/ニチアス　インサルテックステ&minus;プ　幅２５ｍｍｘ３０ｍ　厚み１．５ｍｍ【8401-1525】(2830221) 受注単位1：クローバー資材館,&darr;#『カード対応OK！』■〒ニチアス/ニチアス　インサルテックステ&minus;プ　幅２５ｍｍｘ３０ｍ　厚み１．５ｍｍ【8401-1525】(2830221) 受注単位1,工事用品\管工機材\配管保護資材。&darr;#『カード対応OK！』■〒ニチアス/ニチアス　インサルテックステ&minus;プ　幅２５ｍｍｘ３０ｍ　厚み１．５ｍｍ【8401-1525】(2830221) 受注単位1[rn]
8-10413,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002903964.jpg?fitin=700:700,4875.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-15A】() 受注単位1,工事用品\管工機材\配管保護資材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐水、耐熱性に優れた保温材で、フランジからの放熱を防止し、作業者の火傷防止になります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-15A】() 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-15A】() 受注単位1,工事用品\管工機材\配管保護資材。『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-15A】() 受注単位1[rn]
8-10414,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002967677.jpg?fitin=700:700,6906.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-50A】() 受注単位1,工事用品\管工機材\配管保護資材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐水、耐熱性に優れた保温材で、フランジからの放熱を防止し、作業者の火傷防止になります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-50A】() 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-50A】() 受注単位1,工事用品\管工機材\配管保護資材。『カード対応OK！』■〒ヤガミ/ヤガミ　フランジ用保温ジャケット【TJF-50A】() 受注単位1[rn]
8-10415,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004532042.jpg?fitin=700:700,32541.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シリカテープ　厚み１．３Ｘ幅５０Ｘ３０ｍ【TST-1350】(3017109) 受注単位1,(3017109),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●二酸化珪素（SiO2）が95%の高純度シリカ繊維を使用しています。<br>●優れた耐熱性を有し、1000℃での使用に耐える超高温素材です。<br>●耐熱衝撃に優れ、急熱、急冷にも耐えられます。<br>●ガラス繊維以上の耐熱性を有します。<br>●アスベストは一切含みません。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シリカテープ　厚み１．３Ｘ幅５０Ｘ３０ｍ【TST-1350】(3017109) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シリカテープ　厚み１．３Ｘ幅５０Ｘ３０ｍ【TST-1350】(3017109) 受注単位1,(3017109)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シリカテープ　厚み１．３Ｘ幅５０Ｘ３０ｍ【TST-1350】(3017109) 受注単位1[rn]
