17-21699,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371388.jpg?fitin=700:700,8425.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10[rn]
17-21700,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003062937.jpg?fitin=700:700,8104.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　Ｐ級ＶＰコートフライスチップ　ＣＯＡＴ【QOGT0830R-G1  VP15TF】(2481537) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　Ｐ級ＶＰコートフライスチップ　ＣＯＡＴ【QOGT0830R-G1  VP15TF】(2481537) 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　Ｐ級ＶＰコートフライスチップ　ＣＯＡＴ【QOGT0830R-G1  VP15TF】(2481537) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　Ｐ級ＶＰコートフライスチップ　ＣＯＡＴ【QOGT0830R-G1  VP15TF】(2481537) 受注単位10[rn]
17-21701,,5508.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　ソリッドエンドミル【4MFK040-060】(6525032) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,,『カード対応OK！』■〒京セラ/京セラ　ソリッドエンドミル【4MFK040-060】(6525032) 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　ソリッドエンドミル【4MFK040-060】(6525032) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒京セラ/京セラ　ソリッドエンドミル【4MFK040-060】(6525032) 受注単位1[rn]
17-21702,,7046.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSEGL1212K10】(3505120) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSEGL1212K10】(3505120) 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSEGL1212K10】(3505120) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【JSEGL1212K10】(3505120) 受注単位1[rn]
17-21703,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003464843.jpg?fitin=700:700,1762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　小径エンドミル【MS2ESD0350L45S04】(6577130) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　小径エンドミル【MS2ESD0350L45S04】(6577130) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　小径エンドミル【MS2ESD0350L45S04】(6577130) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　小径エンドミル【MS2ESD0350L45S04】(6577130) 受注単位1[rn]
17-21704,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566292.jpg?fitin=700:700,10296.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＭＴ【DCMT150404  NX2525】(1192418) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＭＴ【DCMT150404  NX2525】(1192418) 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＭＴ【DCMT150404  NX2525】(1192418) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＭＴ【DCMT150404  NX2525】(1192418) 受注単位10[rn]
17-21705,,16080.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【DTI3-040 GH130】(7087951) 旋削用溝入れＴＡＣチップ　ＣＯＡＴ 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●溝入れ用インサート<br>●汎用PVDコーティング材種<br><br>●PVDコーティング<br>",『カード対応OK！』■〒タンガロイ【DTI3-040 GH130】(7087951) 旋削用溝入れＴＡＣチップ　ＣＯＡＴ 受注単位10：クローバー資材館,『カード対応OK！』■〒タンガロイ【DTI3-040 GH130】(7087951) 旋削用溝入れＴＡＣチップ　ＣＯＡＴ 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒タンガロイ【DTI3-040 GH130】(7087951) 旋削用溝入れＴＡＣチップ　ＣＯＡＴ 受注単位10[rn]
17-21706,,37502.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ柄付フライス【EPO18R040M32.0-02L】(7014139) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ柄付フライス【EPO18R040M32.0-02L】(7014139) 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ柄付フライス【EPO18R040M32.0-02L】(7014139) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ柄付フライス【EPO18R040M32.0-02L】(7014139) 受注単位1[rn]
17-21707,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005448282.jpg?fitin=700:700,6445.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール/ユニオンツール超硬エンドミルスクエアφ６．６×刃長１６【C-CES2066】 (3409562) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●炭素鋼から焼き入れ鋼（～55HRC）までの水溶性、油性切削油を用いた加工に最適です。<br>●高品質・高性能の低価格エンドミルです。",『カード対応OK！』■〒ユニオンツール/ユニオンツール超硬エンドミルスクエアφ６．６&times;刃長１６【C-CES2066】 (3409562) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール/ユニオンツール超硬エンドミルスクエアφ６．６&times;刃長１６【C-CES2066】 (3409562) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒ユニオンツール/ユニオンツール超硬エンドミルスクエアφ６．６&times;刃長１６【C-CES2066】 (3409562) 受注単位1[rn]
17-21708,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004706767.jpg?fitin=700:700,8104.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【DNMG150402GP  TN60】(1403869) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【DNMG150402GP  TN60】(1403869) 受注単位10：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【DNMG150402GP  TN60】(1403869) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０【DNMG150402GP  TN60】(1403869) 受注単位10[rn]
17-21709,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869856.jpg?fitin=700:700,49184.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ミラクルエンドミル１７．０ｍｍ【VC4JCD1700 (VC-4JC-17)】 (1107801) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1本で生材から焼き入れ鋼まで幅広く使用できます。<br>●ミラクルコーティングの採用により、ノンコート超硬エンドミルの5倍以上の長寿命です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ミラクルエンドミル１７．０ｍｍ【VC4JCD1700 (VC-4JC-17)】 (1107801) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ミラクルエンドミル１７．０ｍｍ【VC4JCD1700 (VC-4JC-17)】 (1107801) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ミラクルエンドミル１７．０ｍｍ【VC4JCD1700 (VC-4JC-17)】 (1107801) 受注単位1[rn]
17-21710,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571680.jpg?fitin=700:700,8635.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＭＳＴＡＲ超硬エンドミル　ＭＳ２ＭＴ　汎用　２枚刃テーパ刃エンドミル【MS2MTD0150T1000】(2987678) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＭＳＴＡＲ超硬エンドミル　ＭＳ２ＭＴ　汎用　２枚刃テーパ刃エンドミル【MS2MTD0150T1000】(2987678) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＭＳＴＡＲ超硬エンドミル　ＭＳ２ＭＴ　汎用　２枚刃テーパ刃エンドミル【MS2MTD0150T1000】(2987678) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＭＳＴＡＲ超硬エンドミル　ＭＳ２ＭＴ　汎用　２枚刃テーパ刃エンドミル【MS2MTD0150T1000】(2987678) 受注単位1[rn]
17-21711,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860607.jpg?fitin=700:700,2477.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル１１．５ｍｍ【P-COD-11.5 (M42-11.5) (11.5MM)】 (1039849) 受注単位1,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高コバルト系ハイス（HSCO-M42）を母材とし、ステンレス、難削材に最適です。<br>●ステンレス鋼、チタン合金硬鋼などの難削材を問題にしない切れ味のドリルです。<br>●先端部シャープな尖鋭の切刃になっており、完全な求心性と2倍以上の食い込み早さで素晴らしい切削性を発揮します。",『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル１１．５ｍｍ【P-COD-11.5 (M42-11.5) (11.5MM)】 (1039849) 受注単位1：クローバー資材館,『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル１１．５ｍｍ【P-COD-11.5 (M42-11.5) (11.5MM)】 (1039849) 受注単位1,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル１１．５ｍｍ【P-COD-11.5 (M42-11.5) (11.5MM)】 (1039849) 受注単位1[rn]
