17-103699,http://tshop.r10s.jp/beautyfive/cabinet/img346/ha4902430505482.jpg?fitin=700:700,244.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン シルキースムースケア コンディショナー 480g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】,　,"<iframe 　　　="""" src=""http://www.rakuten.ne.jp/gold/beautyfive/common/spbnr.html"" width=""100%"" scrolling=""no"" frameborder=""0"" marginheight=""0"" marginwidth=""0""></iframe 　><br>　<br><br>[メーカーまたは輸入元] P＆G<br>[区分] 化粧品(ヘアケア：リンス・コンディショナー)<br>[広告文責] 有限会社ビューティーファイブ TEL：042-767-2790<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/sptap.png width=100%><br><img src=http://image.rakuten.co.jp/beautyfive/cabinet/orderinfo_zaikoari.jpg width=80%>",【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン シルキースムースケア コンディショナー 480g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】：ビューティーファイブ,香水アロマフレグランスアロマテラピーBVLGARICHANELGUCCIESCADACHLOELANCOMECLINIQUEDIORARAMISANNA SUIGIVENCHYケラスターゼアジュバンiphoneサプリメント雑貨【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン シルキースムースケア コンディショナー 480g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】,　。【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン シルキースムースケア コンディショナー 480g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】[rn]
17-103700,http://tshop.r10s.jp/beautyfive/cabinet/img099/ha4902430176040.jpg?fitin=700:700,112.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン プロブイ エクストラダメージケア コンディショナー 200g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】,　,"<iframe 　　　="""" src=""http://www.rakuten.ne.jp/gold/beautyfive/common/spbnr.html"" width=""100%"" scrolling=""no"" frameborder=""0"" marginheight=""0"" marginwidth=""0""></iframe 　><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title1.gif width=100%><br>リペアプロテイン（毛髪補修成分）配合で、ひどく痛んだ髪でも内側から潤い、しっかり補修。<br>14日間でダメージのない健康で輝く美しい髪に。<br><br><br><br>[メーカーまたは輸入元] P＆G<br>[区分] 日本製 化粧品(ヘアケア：リンス・コンディショナー)<br>[広告文責] 有限会社ビューティーファイブ TEL：042-767-2790<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/sptap.png width=100%><br><img src=http://image.rakuten.co.jp/beautyfive/cabinet/orderinfo_zaikoari.jpg width=80%>",【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン プロブイ エクストラダメージケア コンディショナー 200g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】：ビューティーファイブ,香水アロマフレグランスアロマテラピーBVLGARICHANELGUCCIESCADACHLOELANCOMECLINIQUEDIORARAMISANNA SUIGIVENCHYケラスターゼアジュバンiphoneサプリメント雑貨【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン プロブイ エクストラダメージケア コンディショナー 200g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】,　。【最大500円OFFクーポン4/14 10:00～4/19 09:59】 パンテーン プロブイ エクストラダメージケア コンディショナー 200g 【P＆G: ヘアケア リンス・コンディショナー 本体】【P＆G】[rn]
17-103701,http://tshop.r10s.jp/beautyfive/cabinet/img261/ha4513574013476.jpg?fitin=700:700,376.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,【最大500円OFFクーポン4/14 10:00～4/19 09:59】 ローズ＆ハーブ 〈コンディショナー〉 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION ROSE ＆ HARB CONDITIONER】,　,"<iframe 　　　="""" src=""http://www.rakuten.ne.jp/gold/beautyfive/common/spbnr.html"" width=""100%"" scrolling=""no"" frameborder=""0"" marginheight=""0"" marginwidth=""0""></iframe 　><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title1.gif width=100%><br>・ローズの香りとハーブエキス配合<br><br>●うるおい成分ローズエキス配合<br>※みずみずしくうるおい、毛先までしっとりまとまります。<br><br>●５種のハーブエキス配合<br>※セージエキス・カミツレエキス・タイムエキス・ローズマリーエキス・センブリエキス配合！美しく健やかな髪へ！<br>※コンディショニング成分が浸透し艶やかな髪へと導きます。<br>※髪のパサつきをおさえ、指通りなめらかに仕上がります。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title2.gif width=100%><br>ノズルを回して頭部を上げ、中身が出るまで数回押してください。髪を濡らし適量を髪全体に付け、泡立てて洗ってください。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title3.gif width=100%><br>●頭皮に異常があるとき、または頭皮に合わないときはお使いにならないでください。<br>●目に入った場合は、すぐに洗い流して下さい。異常が残るときは医師に相談してください。<br>●乳幼児の手の届かない所に保管して下さい。<br>●万一飲み込んだ時は水や牛乳を飲ませるなどの処置をしてください。以上が残るときは医師に相談してください。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title5.gif width=100%><br>水、ステアリルアルコール、ミネラルオイル、セタノール、グリセリン、ステアルトリモニウムクロリド、ステアロキシプロピルトリモニウムクロリド、ジメチコン、シクロペンタシロキサン、トリデセスー3、（C12－14）パレス5、ポリクオタニウム-10、バラエキス、セージエキス、カミツレエキス、タイムエキス、ローズマリーエキス、センブリエキス、BG、クエン酸、エチルパラベン、香料<br><br><br><br>[メーカーまたは輸入元] TKコーポレーション<br>[区分] 日本製 化粧品(ヘアケア：リンス・コンディショナー)<br>[広告文責] 有限会社ビューティーファイブ TEL：042-767-2790<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/sptap.png width=100%><br><img src=http://image.rakuten.co.jp/beautyfive/cabinet/orderinfo_zaikoari.jpg width=80%>",【最大500円OFFクーポン4/14 10:00～4/19 09:59】 ローズ＆ハーブ 〈コンディショナー〉 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION ROSE ＆ HARB CONDITIONER】：ビューティーファイブ,香水アロマフレグランスアロマテラピーBVLGARICHANELGUCCIESCADACHLOELANCOMECLINIQUEDIORARAMISANNA SUIGIVENCHYケラスターゼアジュバンiphoneサプリメント雑貨【最大500円OFFクーポン4/14 10:00～4/19 09:59】 ローズ＆ハーブ 〈コンディショナー〉 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION ROSE ＆ HARB CONDITIONER】,　。【最大500円OFFクーポン4/14 10:00～4/19 09:59】 ローズ＆ハーブ 〈コンディショナー〉 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION ROSE ＆ HARB CONDITIONER】[rn]
17-103702,http://tshop.r10s.jp/beautyfive/cabinet/img167/ha4513574012769.jpg?fitin=700:700,388.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,【最大500円OFFクーポン4/14 10:00～4/19 09:59】 馬油 コンディショナー 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION HORSE OIL CONDITIONER FOR SHINY HAIR】,　,"<iframe 　　　="""" src=""http://www.rakuten.ne.jp/gold/beautyfive/common/spbnr.html"" width=""100%"" scrolling=""no"" frameborder=""0"" marginheight=""0"" marginwidth=""0""></iframe 　><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title1.gif width=100%><br>●髪と頭皮にやさしいノンシリコンタイプ。<br>●薬効成分ピロクトンオラミン配合でフケ・カユミを防ぎます。<br>●余分な皮脂等で汚れた頭皮や毛髪をすっきりと洗い上げ、頭皮を健やかに保ちます。<br>●きめ細やかな泡立ちで頭皮をいたわりながら、毛穴の奥の汚れまでしっかり洗い落とします。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title2.gif width=100%><br>髪をぬらし、適量を全体につけ、頭皮をマッサージするように洗ってから、よくすすいでください。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title3.gif width=100%><br>●頭皮に湿疹、皮フ炎（かぶれ・ただれ）等の皮膚障害があるときは、悪化させる恐れがあるので使わないでください。<br>●使用中、かぶれ、刺激等の異常が出たら使用を中止し、皮膚科医へご相談ください。<br>●目に入らないように注意し、目に入った時はすぐに洗い流してください。<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/det_title4.gif width=100%><br>●乳幼児の手の届かない所に置いてください。<br><br><br><br>[メーカーまたは輸入元] TKコーポレーション<br>[区分] 日本製 化粧品(ヘアケア：リンス・コンディショナー)<br>[広告文責] 有限会社ビューティーファイブ TEL：042-767-2790<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/sptap.png width=100%>",【最大500円OFFクーポン4/14 10:00～4/19 09:59】 馬油 コンディショナー 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION HORSE OIL CONDITIONER FOR SHINY HAIR】：ビューティーファイブ,香水アロマフレグランスアロマテラピーBVLGARICHANELGUCCIESCADACHLOELANCOMECLINIQUEDIORARAMISANNA SUIGIVENCHYケラスターゼアジュバンiphoneサプリメント雑貨【最大500円OFFクーポン4/14 10:00～4/19 09:59】 馬油 コンディショナー 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION HORSE OIL CONDITIONER FOR SHINY HAIR】,　。【最大500円OFFクーポン4/14 10:00～4/19 09:59】 馬油 コンディショナー 600ml 【TKコーポレーション: ヘアケア リンス・コンディショナー 本体】【TK CORPORATION HORSE OIL CONDITIONER FOR SHINY HAIR】[rn]
17-103703,http://tshop.r10s.jp/ymura7200/cabinet/haircare/moltobene/img57033895.jpg?fitin=700:700,1016.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,モルトベーネ クレイエステ　パック　EX 500g 【詰替／リフィル】,Moltobene EX／,"お取り寄せ品【1週間～２週間程度頂戴します。】<br>
●天然クレイが頭皮を清潔に。<br>
●頭皮のうるおいや柔らかさを高めて緊張をほぐし、リラックスさせます。<br>
●髪のダメージをケアし、しっとり潤いのある髪に仕上げます。<br>
使用方法<br>
シャンプー後、よく水気を取り適量を髪全体になじませ、手に残った液で頭皮をマッサージしてください。<br>
５分程放置し、頭皮がスーとしてきたら頭皮はよくすすぎ、髪にはしなやかさが残る程度にすすいでください。<br>
使用上の注意<br>
頭皮に異常のあるとき、または使用中、使用後に刺激等の異常が現れたときは使用を中止し、皮フ科専門医等へのご相談をおすすめします。<br>
目に入ったときは、水またはぬるま湯ですぐ洗い流してください。<br>
発売元:モルトベーネ<br>",モルトベーネ クレイエステ　パック　EX 500g 【詰替／リフィル】：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスクモルトベーネ クレイエステ　パック　EX 500g 【詰替／リフィル】,Moltobene EX／。モルトベーネ クレイエステ　パック　EX 500g 【詰替／リフィル】[rn]
17-103704,http://tshop.r10s.jp/ymura7200/cabinet/haircare/moltobene/img56991650.jpg?fitin=700:700,959.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,モルトベーネ クレイエステ　パック　EX 300g,Moltobene EX／,"お取り寄せ品【1週間～２週間程度頂戴します。】
<br>
ご使用方法<br>
シャンプー後、よく水気を取り適量を髪全体になじませ、手に残った液で頭皮をマッサージしてください。<br>
５分程放置し、頭皮がスーとしてきたら頭皮はよくすすぎ、髪にはしなやかさが残る程度にすすいでください。<br>
内容量<br>
300g<br>
成分<br>
水、セテアリルアルコール、シクロメチコン、ベヘントリモニウムクロリド、ジメチコン、スクワラン、ステアリン酸グリセリル、ラナクラクレイ、海塩、加水分解シルク、トコフェロール、ピーナッツ油、パルミチン酸レチノール、パンテノール、ローズマリーエキス、セージエキス、セイヨウノコギリソウエキス、スギナエキス、ミツガシワエキス、シラカバ樹皮エキス、イラクサ葉エキス、フキタンポポエキス、ジアルキル(Ｃ１２－１８)ジモニウムクロリド、ＰＰＧ－９ジグリセリル、イソプロパノール、ヒドロキシプロピルセルロース、エチルセルロース、ＰＧ、ＢＧ、(酸化鉄／酸化チタン)焼結物、酸化鉄、ポリエチレン、メチルパラペン、プロピルパラベン、香料<br>",モルトベーネ クレイエステ　パック　EX 300g：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスクモルトベーネ クレイエステ　パック　EX 300g,Moltobene EX／。モルトベーネ クレイエステ　パック　EX 300g[rn]
17-103705,http://tshop.r10s.jp/ymura7200/cabinet/shou-hin05/skherb-con200.jpg?fitin=700:700,133.6000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,シルキーハーブ  コンディショナー  200mL,パール化研／ハーブの香りでリラクゼーション,"<!-- sp html start -->




<table border=""1"" cellpadding=""6"" bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">

<tr bordercolor=""#FFFFFF"">
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF""><br>
◆　シルキーハーブ　◆　コンディショナー　◆</td>
</tr>
<tr bordercolor=""#FFFFFF"">
<td bordercolor=""#CC6633"" bgcolor=""#CC6633""><font color=""#FFFFFF"">シルキーハーブ　コンディショナー</font></td>
</tr>
<tr bordercolor=""#FFFFFF"">
<td bordercolor=""#CC6633"" bgcolor=""#FFFFFF"">◆ トリートメント成分配合でパサつきを抑え、自然でまとまる髪に仕上げます。<br>
ブリーチ毛には、シャンプーとセットでご使用されると効果的です。<br>
<br>
◆ 配合成分　：<br>
水、セテアリルアルコール、ベヘントリモニウムクロリド、ミリスチン酸イソプロピル、　ジメチコン、ミネラルオイル、グリセリン、ステアルトリモニウムクロリド、ステアリン酸グリセリル、グァーヒドロキシプロピルトリモニウムクロリド、ヒドロキシプロピルトリモニウム加水分解ケラチン、セテス-20、ワレモコウエキス、クララエキス、BG、エタノール、イソプロパノール、メチルパラベン,プロピルパラベン、香料</td>
</tr>
<tr bordercolor=""#FFFFFF"">
<td bordercolor=""#FFCC33"" bgcolor=""#FFFFFF"">◆ ご使用上の注意 ◆<br>
・お肌に合わないときは、ご使用をおやめください。<br>
・お肌に異常のある時、又は異常のあらわれた時はご使用をおやめください。<br>
・目に入った場合は、すぐに洗い流してください。<br>
・高温の場所、直射日光のあたる場所には保管しないでください。<br>
・お子様の手の届かない場所に保管してください。<br>
<br>
◆ 内容量 ◆<br>
200ml</td>
</tr>

</table>
<br>
<table border=""1"" cellpadding=""5"" bordercolor=""#FFFFFF"" bgcolor=""#666666"">

<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">区分</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">化粧品｜日本製 ＞＞ヘアケア／コンディショナー</td>
</tr>
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">販売元</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">パール化研株式会社</td>
</tr>
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">広告文責</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">株式会社コスメバンク　072-961-7200</td>
</tr>

</table>
<img width=""100%"" src=""http://image.rakuten.co.jp/ymura7200/cabinet/ct/noki-4.jpg"">

<!-- sp html end -->",シルキーハーブ  コンディショナー  200mL：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスクシルキーハーブ  コンディショナー  200mL,パール化研／ハーブの香りでリラクゼーション。シルキーハーブ  コンディショナー  200mL[rn]
17-103706,http://tshop.r10s.jp/ymura7200/cabinet/paimore/paimore-dc10001.jpg?fitin=700:700,2160.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,パイモア  ディア クリーンパック 1000g 【　詰替用／リフィル　】Dear cleanpack　【　ＨＳＭ★Ｔ　】,【40％OFF！】PAIMORE ／,"お取り寄せ品【納期に5～7営業日程度かかる場合もございます。】<br>
※取引先の都合で納期が遅れる場合もございますので、余裕を持ってご注文をお願いします<br>
毛穴をふさいでいる、古い皮脂や汚れを吸着、除去し、清潔な頭皮を保ちます。死海の泥のミネラル成分で髪と頭皮に潤いを与えます。<br>
ご使用方法<br>
シャンプー後、適量を頭皮と髪になじませ、軽くマッサージをし洗い流して下さい。<br>
内容量<br>
 1000g 【　詰替用／リフィル　】<br>",パイモア  ディア クリーンパック 1000g 【　詰替用／リフィル　】Dear cleanpack　【　ＨＳＭ★Ｔ　】：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスクパイモア  ディア クリーンパック 1000g 【　詰替用／リフィル　】Dear cleanpack　【　ＨＳＭ★Ｔ　】,【40％OFF！】PAIMORE ／。パイモア  ディア クリーンパック 1000g 【　詰替用／リフィル　】Dear cleanpack　【　ＨＳＭ★Ｔ　】[rn]
17-103707,http://tshop.r10s.jp/ymura7200/cabinet/haircare/img56605504.jpg?fitin=700:700,1008.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,爽洗潔（そうせんけつ） マッサージローション 250mL,5000円（税抜）以上お買い上げで送料無料【北海道・沖縄県除外】,"お取寄せ品【3～5営業日程度】<br>
■使用方法■<br>
適量を肌にスプレー、もしくは手にとって塗布して下さい。塗布した後に、肌をたたき込むようにすると、より効果的です。後にベタつきが残りませんので、たっぷりご使用いただけます。 <br>
      <br>
      ■成分表示■<br>
      水、エタノール、メントール、トウガラシエキス、センブリエキス、オレンジ油、カンフル、PEG-60水添ヒマシ油、グリチルリチン酸2K、PEG-20ソルビタンココエート、ノノキシノール-10<br>",爽洗潔（そうせんけつ） マッサージローション 250mL：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスク爽洗潔（そうせんけつ） マッサージローション 250mL,5000円（税抜）以上お買い上げで送料無料【北海道・沖縄県除外】。爽洗潔（そうせんけつ） マッサージローション 250mL[rn]
17-103708,http://tshop.r10s.jp/soukai/cabinet/10/4548514515710.jpg?fitin=700:700,726.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,モウガL モルティ 泡のスカルプクレンジング(160g)【モウガ】,モウガ★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞育毛剤・養毛剤・スカルプケア＞女性育毛剤＞モウガL モルティ 泡のスカルプクレンジング (160g)<br><br>★税抜1900円以上で送料無料★<br><br>【モウガL モルティ 泡のスカルプクレンジングの商品詳細】<br>●新習慣、週に1～2度のシャンプー前のスペシャルケア用クレンジング<br>●炭酸＆植物由来洗浄成分を含んだもっちり濃厚な泡が地肌や髪の汚れをクレンジング<br>●シャンプーでは落としきれない、地肌の皮脂やニオイの元となる蓄積汚れ*をすっきりさせ、毛穴の開放感が味わえます。<br>●乾いた後は根元から髪ふんわり<br>●炭酸の濃厚泡でクレンジングしながらマッサージすることで、頭皮の血流を活発にし調子の良い髪に<br>●天然アロマオイル配合。ほんのりアロマの香りですっきり気分<br>●無添加(シリコン・合成香料・着色料・鉱物油)<br>*毛穴に残った皮脂由来の角栓様物質などの頑固な汚れ、整髪料<br><br>【使用方法】<br>・よく振って缶の頭部を上向きにしてお使いください。<br>・週1～2回、髪を充分にお湯などでぬらし、適量(セミロングヘアでテニスボール1～2コ程度が目安)を手のひらに取り、頭皮にゆきわたらせ、やさしく指の腹でマッサージしながら洗い、よくすすいでください。<br>・その後、いつもどおりシャンプーしてください。<br>・缶を横向きや下向きで使用したり、よく振らずに使用したりすると、ガスだけが出て、中身が残り、最後まで使用できなくなる場合があります。<br><br>【成分】<br>水、エタノール、LPG、コカミドプロピルベタイン、ラウロイルアスパラギン酸Na、BG、テトラオレイン酸ソルペス-40、コカミドDEA、グリセリン、サピンヅストリホリアツス果実エキス、スペアミント油、二酸化炭素、ポリクオタニウム-50、クエン酸、フェノキシエタノール、香料<br>【注意事項】<br>・頭皮に傷・湿しん等の異常がある場合は、使用しないでください。<br>・使用中、赤み・かゆみ・刺激等の異常が現れた場合、使用を中止し、皮フ科専門医へご相談ください。そのまま使用を続けますと症状が悪化することがあります。<br>・目に入った場合は、こすらず、すぐに水またはぬるま湯で充分に洗い流してください。<br>・乳幼児の手の届くところに保管しないでください。<br>・寒冷時、泡になりにくいときはぬるま湯に数分浸してからお使いください。<br>・浴室乾燥機を使う場合は浴室から出してください。<br>＜火気と高温に注意＞<br>・高圧ガスを使用した可燃性の製品であり、危険なため、下記の注意を守ること<br>(1)炎や火気の近くで使用しないこと<br>(2)火気を使用している室内で大量に使用しないこと<br>(3)高温にすると破裂の危険があるため、直射日光の当たる所やストーブ、ファンヒーターの近くなど温度が40度以上となる所に置かないこと<br>(4)火の中に入れないこと<br>(5)使い切って捨てること<br>高圧ガス：LPG、炭酸ガス<br><br>【ブランド】<br>モウガ<br><br>【発売元、製造元、輸入元又は販売元】<br>バスクリン<br><br>バスクリン<br>108-0023　東京都港区芝浦4-3-4　田町きよたビル4F<br>0120-39-8496<br><br>広告文責：株式会社爽快ドラッグ<br><br>[育毛剤・養毛剤・スカルプケア/ブランド：モウガ/],モウガL モルティ 泡のスカルプクレンジング(160g)【モウガ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションモウガL モルティ 泡のスカルプクレンジング(160g)【モウガ】,モウガ★税抜1900円以上で送料無料★。モウガL モルティ 泡のスカルプクレンジング(160g)【モウガ】[rn]
17-103709,http://tshop.r10s.jp/soukai/cabinet/51/4901234308251.jpg?fitin=700:700,845.6000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,プロカリテ ストレートメイクコンディショナーc ラージ(600mL)【プロカリテ】[リンス コンディショナー],プロカリテ / リンス コンディショナー,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞くせ毛用リンス・コンディショナー＞プロカリテ ストレートメイクコンディショナーc ラージ (600mL)<br><br>★税抜1900円以上で送料無料★<br><br>【プロカリテ ストレートメイクコンディショナーc ラージの商品詳細】<br>●翌朝のくせ・うねり・広がりをおさえ、サッとまとまるさらさらな髪に！<br>髪1本1本を毛先までつるつるコーティング。湿気をガードしながら、翌朝のうねり・広がりをおさえ、しなやかな髪をたもちます。さらさらの質感で、ブラッシング時もクシ通りなめらかな髪に！<br>●髪内部にうるおいをたもち、パサつきを防ぎます。<br>●雨の日も広がりにくく、まとまり感をキープします。<br>●グリーンフローラルの香り<br>●弱酸性<br><br>【ご使用法】<br>・シャンプー(またはヘアパック)のあと適量をなじませそのあとよくすすいでください。<br>※プロカリテシリーズであわせてお使いいただけます。<br>※シャンプー→ヘアパック→コンディショナーの順でお使い下さい。<br><br>【成分】<br>水、DPG、セタノール、ジメチコン、ミネラルオイル、ステアルトリモニウムクロリド、加水分解シルク、イソステアロイル加水分解コラーゲン、イソペンチルジオール、ベンジルアルコール、亜硫酸水素Na、クエン酸、パルミチン酸セチル、イソプロパノール、イソステアリン酸、ヒドロキシエチルセルロース、ステアリン酸グリセリル、エタノール、メチルパラベン、プロピルパラベン、香料<br>【注意】<br>・頭皮に異常のある時、又は異常が現れた時は使用しないで下さい。使用を続けますと悪化することがあります。<br>・刺激等の異常があらわれた時は使用をやめ、皮膚科専門医等へご相談ください。使用を続けますと悪化することがあります。<br>・目に入った時は、直ちに洗い流して下さい。<br><br>【ブランド】<br>プロカリテ<br><br>【発売元、製造元、輸入元又は販売元】<br>ウテナ<br><br>(0.6L)<br><br>ウテナ<br>157-8567 東京都世田谷区南烏山1-10-22<br>0120-305-411<br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：プロカリテ/],プロカリテ ストレートメイクコンディショナーc ラージ(600mL)【プロカリテ】[リンス コンディショナー]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションプロカリテ ストレートメイクコンディショナーc ラージ(600mL)【プロカリテ】[リンス コンディショナー],プロカリテ / リンス コンディショナー。プロカリテ ストレートメイクコンディショナーc ラージ(600mL)【プロカリテ】[リンス コンディショナー][rn]
