17-133199,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269347.jpg?fitin=700:700,456.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸,"重さ：40ｇ<br>
糸長：約120ｍ<br>
太さ：棒針5～6号、かぎ針4/0～5/0号<br>
素材：ウール　100％（タスマニアンメリノ）<br>
その他：メリヤス編標準ゲージ22～23目/30～32段<br>
婦人セーター　約9玉、婦人ベスト　約6玉、紳士セーター約12玉<br>
<br>
糸の特徴：豊かな自然の中で育てられた高級ウール、タスマニアンメリノ100％の上質ストレートヤーンです。<br>ぬめり感のあるソフトなタッチは、編みやすく、着心地の良さを実感できます。<br>白度に優れたウールですから、美しい発色を生み出しています。またトップ染で素材の風合いが生き、ロット表示もありません。
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　　タスマニアンメリノ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸。ダイヤ毛糸　　　タスマニアンメリノ[rn]
17-133200,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img61740631.jpg?fitin=700:700,503.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　コスタウーノ,春夏の定番、コスタノーバの良さを生かした単色仕上げ,重さ：35ｇ<br>糸長：115ｍ<br>太さ：棒針5～6号、かぎ針5/0～6/0号<br>素材：レーヨン70%、アクリル30%<br>その他：メリヤス編標準ゲージ22～23目/28～30段<br>婦人セーター　半袖約8玉、婦人ベスト　約6玉、紳士セーター半袖約10玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　　コスタウーノ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　コスタウーノ,春夏の定番、コスタノーバの良さを生かした単色仕上げ。ダイヤ毛糸　　　コスタウーノ[rn]
17-133201,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063574179.jpg?fitin=700:700,336.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）スターメ　Stame （廃盤色の43番のみ）　在庫限り,,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""3"">アルパカのぬめり感とメリノウールのソフトさをブレンド。<BR>かさ高い上質アクリルは糸に軽さをもたらします。<BR>ウェアからマフラー、キャップまで幅広く使えます。</font>      </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛70%（メリノウール50%・アルパカ20%）<BR>アクリル30%</FONT></TD>    </TR>    <TR>      <TD width=""150"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">50g　約100</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針9～11号</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">17目24段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　8～9玉<BR>紳士プルオーバー　10～11玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999""><TR><TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD></TR></TABLE>
<br><br>クロネコＤＭ便便　不可<br><br>",リッチモア毛糸（ハマナカ毛糸）スターメ　Stame （廃盤色の43番のみ）　在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）スターメ　Stame （廃盤色の43番のみ）　在庫限り,リッチモア毛糸（ハマナカ毛糸）スターメ　Stame （廃盤色の43番のみ）　在庫限り[rn]
17-133202,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063557005.jpg?fitin=700:700,662.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）スターメツィードStame　Tweed,,"<font color=""#ff0000"" size=""4"">★★限定色のみ在庫処分★★</font><br><font color=""#2f4f4f"" size=""4"">人気商品スターメにプリント染めを施して、素朴なドニゴール調の表情に。<br>アルパカのぬめり感、メリノのソフトさ、アクリルのバルキー性と最大もらさずメリットを追求。<br>これまでのハードな風合いのツィードからソフト＆ライトなフィーリングへ。<br></font><br><font color=""#6a1917"" size=""4"">[素材]：毛70%（メリノウール50%・アルパカ20%）<br>　　　　　アクリル30%<br>[重さ・長さ]：50g　約100m<br>[使用針]：棒針9～11号<br>　　　　　かぎ針/<br>[標準ゲージ]：17目　24段 <br>[使用糸量]：婦人プルオーバー8～9玉<br>　　　　　　紳士プルオーバー10～11玉</FONT><br><font color=""#ff0000"" size=""4"">ご注意</FONT><font color=""#191970"" size=""4"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため<br>在庫切れで販売できなくなる場合がございます。</FONT><br>
<br><br>クロネコＤＭ便便　不可<br><br>
<font color=""#6a1917"" size=""4"">  
221番廃盤になりました。
<br>
</font>",リッチモア毛糸（ハマナカ毛糸）スターメツィードStame　Tweed：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）スターメツィードStame　Tweed,リッチモア毛糸（ハマナカ毛糸）スターメツィードStame　Tweed[rn]
17-133203,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0067461028.jpg?fitin=700:700,489.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）シルクエレーヌ　SILK HELENE,,"<font color=""#6a1917"" size=""2"">繊細でソフトなメリノウールとバルキー感たっぷりの<br>フレンチウールのブレンドに、シルクの光沢をプラス。<br>使いやすいハイクオリティー・ベーシックヤーン。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛80%・絹20%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g玉巻（約120ｍ）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　5～7号<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">21目31段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　8～9玉<BR>婦人ベスト　5～6玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）シルクエレーヌ　SILK HELENE：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）シルクエレーヌ　SILK HELENE,リッチモア毛糸（ハマナカ毛糸）シルクエレーヌ　SILK HELENE[rn]
17-133204,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0069999789.jpg?fitin=700:700,633.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）タフティ tahti　イタリア製,,"<font color=""#6a1917"" size=""2"">ラメのリリヤーンノップとふんわりモヘヤを交撚したフェミニンファンシー。<br>スーパーキッドモヘヤのソフトさやぬめり感がラメの硬質惑を緩和。<br>棒針、かぎ針、機械編みに対応するユースフルタイプ。<br>星屑のようにロマンチックな編み上がり。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ナイロン47%<br>スーパーキッドモヘヤ24%<br>ポリ工ステル13%<br>レーヨン12%・ウール4%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">20g玉巻（約140m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　4～5号<br>かぎ針　4/0～5/0号</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">21.5目34段（棒針）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　9～10玉<BR>婦人ベスト　5～6玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）タフティ tahti　イタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）タフティ tahti　イタリア製,リッチモア毛糸（ハマナカ毛糸）タフティ tahti　イタリア製[rn]
17-133205,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063574378.jpg?fitin=700:700,446.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）パーセントグラデ－ションPercent Gradation,,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""3"">多色構成でおなじみの「パーセント」のカラーミックスタイプ。<br>染色前の特殊処理によりくっきりとした3色の染め分け。<br>ムーディーな「ムーリネ」効果のあるロングピッチのグラデーションが楽しめます。<br></font>      </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛100%</FONT></TD>    </TR>    <TR>      <TD width=""150"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g　約120</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針5～7号</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">22目30段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　9～10玉<BR>紳士プルオーバー　12～14玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE>
<br><br>クロネコＤＭ便便　不可<br><br>",リッチモア毛糸（ハマナカ毛糸）パーセントグラデ&minus;ションPercent Gradation：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）パーセントグラデ&minus;ションPercent Gradation,リッチモア毛糸（ハマナカ毛糸）パーセントグラデ&minus;ションPercent Gradation[rn]
17-133206,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0070067625.jpg?fitin=700:700,633.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア＜カウント10＞ グラデーションEXCELLENT MOHAIR COUNT10 GRADATION,,"<font color=""#6a1917"" size=""2"">エクセレントモヘア〈カウント10〉の段染めタイプ。クオリティはそのままに、ゆっくりと色調の変化するロングピッチグラデーションに仕上げています。引き揃えに使っていただいても糸の持ち味が引き立ちます。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛76%（スーパーキッドモヘヤ）・ナイロン24%<br></FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">20g玉巻（約200m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　4～5号（1本どり）<br>6～8号（2本どり）<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">25目36段（4～5号）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　8～9玉<BR>婦人ベスト　4～5玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア＜カウント10＞ グラデーションEXCELLENT MOHAIR COUNT10 GRADATION：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）エクセレントモヘア＜カウント10＞ グラデーションEXCELLENT MOHAIR COUNT10 GRADATION,リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア＜カウント10＞ グラデーションEXCELLENT MOHAIR COUNT10 GRADATION[rn]
17-133207,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0067313262.jpg?fitin=700:700,212.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）パーセント　PERCENT（　廃盤色　）在庫限り,,"<font color=""#6a1917"" size=""2"">100色展開の並合太ストレート。<br>使いやすいスタンダードな太さと豊富な色数であらゆるニーズにお応えします。<br>棒針編みからカギ針編み、多色編み込みまで。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛100%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">    40g玉巻（約120m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　5～7号<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">22目30段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　9～10玉<BR>婦人ベスト　5～6玉<br>紳士プルオーバー　12～14玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）パーセント　PERCENT（　廃盤色　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）パーセント　PERCENT（　廃盤色　）在庫限り,リッチモア毛糸（ハマナカ毛糸）パーセント　PERCENT（　廃盤色　）在庫限り[rn]
17-133208,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0067303138.jpg?fitin=700:700,568.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）ヘルシンキ　HELSINKIイタリア製,,"<font color=""#6a1917"" size=""2"">ナイロンリリヤーンにアルパカ、リネン混のスライバーを吹き込んだ<br>ハイ-クオリティータイプ。<br>リネンミックスにより、最旬の寒冷地カラーを<br>ソフトな風合いとコールドな色合いでベストに表現。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">アルパカ46%・リネン33%<br>ナイロン21%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g王巻（約69m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　10～11号<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">14.5目24.5段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　9～10玉<BR>婦人ベスト　5～6玉<BR>紳士プルオーバー　11～12玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）ヘルシンキ　HELSINKIイタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）ヘルシンキ　HELSINKIイタリア製,リッチモア毛糸（ハマナカ毛糸）ヘルシンキ　HELSINKIイタリア製[rn]
17-133209,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063574933.jpg?fitin=700:700,468.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）コパン　Copain,,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""3"">バルキー感あふれるアップランドウール、<br>ソフトタッチのシェットランドウールに光沢のあるブルーフェイスレスターをブレンド。<br>弾力性とぬめり感にすぐれ、3種のメリットが生かされている。<br><br></font>      </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛100%</FONT></TD>    </TR>    <TR>      <TD width=""150"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">50g　約85m</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針12～14号</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">14目18段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　8～9玉<BR>紳士プルオーバー　11～12玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）コパン　Copain：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）コパン　Copain,リッチモア毛糸（ハマナカ毛糸）コパン　Copain[rn]
