17-45499,http://tshop.r10s.jp/yminfo/cabinet/00171276/lp-1.jpg?fitin=700:700,385.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)リングプル　LP-1　,チェーン・ロープの引っ掛け部分がスッキリ！,"【ここがポイント！】 
● ロープやチェーンの固定がスッキリ。使用しない時はリングを凹みの内に収めることができます。 
 
【商品仕様】 
A1 44mm  
A2 32mm 
B1 57mm 
B2 45mm 
L 20.5mm 
T 1mm 
T2 7.5mm 
d 3.5mm 
使用荷重 0.05kN（5kgf） 
材質 SUS304",MM　ステンレス（SUS304)リングプル　LP-1　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)リングプル　LP-1　,チェーン・ロープの引っ掛け部分がスッキリ！。MM　ステンレス（SUS304)リングプル　LP-1　[rn]
17-45500,http://tshop.r10s.jp/yminfo/cabinet/00171276/ah-1.jpg?fitin=700:700,1156.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)埋込みフック4mm　AH-1　写真上　,チェーン・ロープの引っ掛け部分がスッキリ！,"【ここがポイント！】 
● ロープやチェーンの固定がスッキリ。表面のみヘアーライン仕上げ。 
 
【商品仕様】AH-1、AH-2は上寸法図、AH-3は下寸法図 
D 4mm  
L1 60mm 
L2 39mm 
H 22mm 
h 0.8mm 
T 4mm 
使用チェーン φ2-φ3 
使用荷重 0.07kN（7kgf） 
材質 SUS304",MM　ステンレス（SUS304)埋込みフック4mm　AH-1　写真上　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)埋込みフック4mm　AH-1　写真上　,チェーン・ロープの引っ掛け部分がスッキリ！。MM　ステンレス（SUS304)埋込みフック4mm　AH-1　写真上　[rn]
17-45501,http://tshop.r10s.jp/yminfo/cabinet/00201176/img55310321.jpg?fitin=700:700,792.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ステンレス（SUS304）　プレートフック　6mm,ちょっとしたコート掛けなどに！,,ステンレス（SUS304）　プレートフック　6mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングステンレス（SUS304）　プレートフック　6mm,ちょっとしたコート掛けなどに！。ステンレス（SUS304）　プレートフック　6mm[rn]
17-45502,http://tshop.r10s.jp/yminfo/cabinet/00171276/wp-6.jpg?fitin=700:700,269.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)化粧座金　6mm　WP-6　,化粧座金！,"【ここがポイント！】 
● 化粧座金です 
 
【商品仕様】 
L 36mm  
W 3mm 
d 6.8mm 
材質 SUS304",MM　ステンレス（SUS304)化粧座金　6mm　WP-6　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)化粧座金　6mm　WP-6　,化粧座金！。MM　ステンレス（SUS304)化粧座金　6mm　WP-6　[rn]
17-45503,http://tshop.r10s.jp/yminfo/cabinet/00171276/ap-6.jpg?fitin=700:700,1285.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)アンカープレート　9mm　AP-9　,コンクリート埋込みのアンカー,"【ここがポイント！】 
● コンクリート埋め込み用のアンカープレートです 
 
【商品仕様】 
D 9mm  
L 29mm 
H 54mm 
B 66mm 
C 27mm 
A 50mm 
t 4mm 
d 10mm 
使用荷重 0.88kN（90kgf） 
材質 SUS304",MM　ステンレス（SUS304)アンカープレート　9mm　AP-9　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)アンカープレート　9mm　AP-9　,コンクリート埋込みのアンカー。MM　ステンレス（SUS304)アンカープレート　9mm　AP-9　[rn]
17-45504,http://tshop.r10s.jp/yminfo/cabinet/00171276/lp-1.jpg?fitin=700:700,514.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)リングプル　LP-2　,チェーン・ロープの引っ掛け部分がスッキリ！,"【ここがポイント！】 
● ロープやチェーンの固定がスッキリ。使用しない時はリングを凹みの内に収めることができます。 
 
【商品仕様】 
A1 56mm  
A2 43mm 
B1 66mm 
B2 52mm 
L 27.5mm 
T 1mm 
T2 9.5mm 
d 4mm 
使用荷重 0.10kN（10kgf） 
材質 SUS304",MM　ステンレス（SUS304)リングプル　LP-2　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)リングプル　LP-2　,チェーン・ロープの引っ掛け部分がスッキリ！。MM　ステンレス（SUS304)リングプル　LP-2　[rn]
17-45505,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img10383778099.jpg?fitin=700:700,587.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ロングアイボルト Ｍ８,,,ロングアイボルト Ｍ８：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングロングアイボルト Ｍ８,ロングアイボルト Ｍ８[rn]
17-45506,http://tshop.r10s.jp/yminfo/cabinet/00171276/bc-6m50.jpg?fitin=700:700,84.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　カットボルト　M10×50mm　BC-10M50　,重宝するカットボルト,"【ここがポイント！】 
● ただのボルトです。 
 
【商品仕様】 
L 50mm  
ネジ M10",MM　ステンレス（SUS304)　カットボルト　M10&times;50mm　BC-10M50　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　カットボルト　M10&times;50mm　BC-10M50　,重宝するカットボルト。MM　ステンレス（SUS304)　カットボルト　M10&times;50mm　BC-10M50　[rn]
17-45507,http://tshop.r10s.jp/yminfo/cabinet/00171276/bc-6m50.jpg?fitin=700:700,209.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　カットボルト　M10×125mm　BC-10M125　,重宝するカットボルト,"【ここがポイント！】 
● ただのボルトです。 
 
【商品仕様】 
L 125mm  
ネジ M10",MM　ステンレス（SUS304)　カットボルト　M10&times;125mm　BC-10M125　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　カットボルト　M10&times;125mm　BC-10M125　,重宝するカットボルト。MM　ステンレス（SUS304)　カットボルト　M10&times;125mm　BC-10M125　[rn]
17-45508,http://tshop.r10s.jp/yminfo/cabinet/00171276/msb-5.jpg?fitin=700:700,1402.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　スイベルボルト　ミリネジM12　MSB-12　,回転するのでロープ等よじれない,"【ここがポイント！】 
● 頭が回転するのでつないだチェーン・ロープがよじれにくい！ 
 
【商品仕様】 
D 11.5mm  
L 65mm 
W 25mm 
H 26mm 
B 24mm 
ネジ M12 
使用荷重 2.16N（220kgf） 
材質 SUS304",MM　ステンレス（SUS304)　スイベルボルト　ミリネジM12　MSB-12　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　スイベルボルト　ミリネジM12　MSB-12　,回転するのでロープ等よじれない。MM　ステンレス（SUS304)　スイベルボルト　ミリネジM12　MSB-12　[rn]
17-45509,http://tshop.r10s.jp/yminfo/cabinet/00171276/ibo-6m.jpg?fitin=700:700,1134.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　オープンアイボルト　ミリネジM6　IBO-6M　,ドライバーでネジを固定,"【ここがポイント！】 
● ドライバーで簡単に開けることができます。
ボルト施工後にパイプなどを簡単に通すことができます 
 
【商品仕様】 
D 5mm  
L 25mm 
H 36mm 
B 14mm 
S 35mm 
A 11mm 
ネジ M6 
使用荷重 0.29N（30kgf） 
材質 SUS304",MM　ステンレス（SUS304)　オープンアイボルト　ミリネジM6　IBO-6M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　オープンアイボルト　ミリネジM6　IBO-6M　,ドライバーでネジを固定。MM　ステンレス（SUS304)　オープンアイボルト　ミリネジM6　IBO-6M　[rn]
