17-21599,,878.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０×２３５ｍｍ　六角軸シャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●木材の深穴加工に最適なドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：6<br>●溝長(mm)：160<br>●全長(mm)：235<br>●シャンク径(mm)：6<br>●質量(g)：38<br><br>●適合機種：電気ドリル<br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０&times;２３５ｍｍ　六角軸シャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０&times;２３５ｍｍ　六角軸シャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０&times;２３５ｍｍ　六角軸シャンク 受注単位1[rn]
17-21600,,4218.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【7501800】(7666501) 空洞貫通用木工ドリル　１８．０×８００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：18<br>●溝長(mm)：120<br>●全長(mm)：800<br>●シャンク径(mm)：9<br>●質量(g)：530<br><br>●適合機種：電気ドリル<br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【7501800】(7666501) 空洞貫通用木工ドリル　１８．０&times;８００ｍｍ　ストレートシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【7501800】(7666501) 空洞貫通用木工ドリル　１８．０&times;８００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【7501800】(7666501) 空洞貫通用木工ドリル　１８．０&times;８００ｍｍ　ストレートシャンク 受注単位1[rn]
17-21601,,3562.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【63301400】(7665598) コバルトハイス木工ドリル　１４．０×１６０ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●材質に５％のコバルトを含有し、耐熱性が650度まで増しており、やわらかい木材から硬い木材まで幅広い対象に使用が可能です。<br><br>●被削材：木材。<br><br>●刃径(mm)：14<br>●溝長(mm)：108<br>●全長(mm)：160<br>●シャンク径(mm)：10<br><br>●適合機種：電気ドリル<br><br>●コバルトハイス（HSS-CO）<br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【63301400】(7665598) コバルトハイス木工ドリル　１４．０&times;１６０ｍｍ　ストレートシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【63301400】(7665598) コバルトハイス木工ドリル　１４．０&times;１６０ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【63301400】(7665598) コバルトハイス木工ドリル　１４．０&times;１６０ｍｍ　ストレートシャンク 受注単位1[rn]
17-21602,,7463.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０×４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：20<br>●溝長(mm)：120<br>●全長(mm)：400<br>●質量(g)：320<br>●シャンク：SDSplus<br><br>●適合機種：電気ドリル<br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1[rn]
17-21603,,2136.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０×６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：14<br>●溝長(mm)：120<br>●全長(mm)：600<br>●シャンク径(mm)：10<br>●質量(g)：300<br><br>●適合機種：電気ドリル<br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０&times;６００ｍｍ　ストレートシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０&times;６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０&times;６００ｍｍ　ストレートシャンク 受注単位1[rn]
17-21604,,8383.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０×４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：22<br>●溝長(mm)：120<br>●全長(mm)：400<br>●質量(g)：320<br>●シャンク：SDSplus<br><br>●適合機種：電気ドリル<br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1[rn]
17-21605,,5983.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０×６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：24<br>●溝長(mm)：120<br>●全長(mm)：600<br>●シャンク径(mm)：12<br>●質量(g)：530<br><br>●適合機種：電気ドリル<br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０&times;６００ｍｍ　ストレートシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０&times;６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０&times;６００ｍｍ　ストレートシャンク 受注単位1[rn]
17-21606,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005475332.jpg?fitin=700:700,14117.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７×３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●鋼・鋳鉄加工用に特化したWSTARドリルシリーズの新ラインナップです。<br>●新材種「DP3020」により、鋼・鋳鉄加工において従来の2倍以上の工具寿命を実現しています。<br>●トリプルマージン採用により、ガイド性の向上、クーラント清流化によるマージン部の損傷抑制で、優れた加工穴精度の維持が可能です。<br>●新クーラント穴形状（TRI CoolingテクノロジーR）により刃先の冷却・潤滑効率がアップ、特にMQL加工において優れた効果を発揮します。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７&times;３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７&times;３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７&times;３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1[rn]
17-21607,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571704.jpg?fitin=700:700,17010.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1[rn]
17-21608,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566972.jpg?fitin=700:700,1895.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1[rn]
17-21609,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838240.jpg?fitin=700:700,737.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1[rn]
