17-135499,http://tshop.r10s.jp/select-tool/cabinet/ikou_20091228/img10183227286.jpg?fitin=700:700,2000.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,エビ印 ハイブリッドモンキーレンチUM３６ [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],6時間限定10％OFFクーポン配布中～11/10 1:59,"手にスッとなじみ、狭い場所での作業や薄形ボルトナットの使用もこなす優れもの。<br>
同口開き従来品より約60％も軽く、JIS強度をクリアする十分な強度を持ち、手の疲れを半減する大胆なフォルム。<br>全長：245mm　最大口開：36mm　ボルトナット寸法：M24　重量：280g",エビ印 ハイブリッドモンキーレンチUM３６ [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品エビ印 ハイブリッドモンキーレンチUM３６ [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],6時間限定10％OFFクーポン配布中～11/10 1:59。エビ印 ハイブリッドモンキーレンチUM３６ [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135500,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433313627.jpg?fitin=700:700,3376.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-2528-F 奥行25×幅379×高さ41mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：25×28mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行25×幅379×高さ41mm　重量525g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-2528-F 奥行25&times;幅379&times;高さ41mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-2528-F 奥行25&times;幅379&times;高さ41mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-2528-F 奥行25&times;幅379&times;高さ41mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135501,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433313610.jpg?fitin=700:700,3072.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-2427-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：24×27mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行24×幅367×高さ39mm　重量440g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-2427-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-2427-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-2427-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135502,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433314471.jpg?fitin=700:700,3184.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-13/16X7/8-F D21×幅322×高さ32.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br><br>【仕様】<br>●サイズ：13/16×7/8inch。<br>●45度×6度スタンダード。<br>●十二角。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行21×幅322×高さ32.5mm　重量324g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-13/16X7/8-F D21&times;幅322&times;高さ32.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-13/16X7/8-F D21&times;幅322&times;高さ32.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-13/16X7/8-F D21&times;幅322&times;高さ32.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135503,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433313528.jpg?fitin=700:700,1824.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-1719-F 奥行18×幅287×高さ28mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：17×19mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行18×幅287×高さ28mm　重量220g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-1719-F 奥行18&times;幅287&times;高さ28mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-1719-F 奥行18&times;幅287&times;高さ28mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-1719-F 奥行18&times;幅287&times;高さ28mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135504,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433313511.jpg?fitin=700:700,1728.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-1618-F 奥行18×幅265×高さ27mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：16×18mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行18×幅265×高さ27mm　重量180g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-1618-F 奥行18&times;幅265&times;高さ27mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-1618-F 奥行18&times;幅265&times;高さ27mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-1618-F 奥行18&times;幅265&times;高さ27mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135505,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433313498.jpg?fitin=700:700,1568.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-1317-F 奥行16×幅252×高さ25.5mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：13×17mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行16×幅252×高さ25.5mm　重量135g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-1317-F 奥行16&times;幅252&times;高さ25.5mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-1317-F 奥行16&times;幅252&times;高さ25.5mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-1317-F 奥行16&times;幅252&times;高さ25.5mm [ スパナ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135506,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433313436.jpg?fitin=700:700,1304.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-1012-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：10×12mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行13×幅207×高さ18.5mm　重量70g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-1012-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-1012-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-1012-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135507,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/4989433313382.jpg?fitin=700:700,1216.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-0608-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：6×8mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行10×幅157×高さ13mm　重量27g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-0608-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-0608-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-0608-F [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135508,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/05/4989433314280.jpg?fitin=700:700,1912.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-7/16X1/2F D14×幅218×高さ19.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：スパナその他,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br><br>【仕様】<br>●サイズ：7/16×1/2inch。<br>●45度×6度スタンダード。<br>●十二角。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行14×幅218×高さ19.5mm　重量80g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-7/16X1/2F D14&times;幅218&times;高さ19.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-7/16X1/2F D14&times;幅218&times;高さ19.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],作業工具：スパナ：スパナその他。ＫＴＣ ロングメガネレンチ M5-7/16X1/2F D14&times;幅218&times;高さ19.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
17-135509,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/2012/4989433313689.jpg?fitin=700:700,8648.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ＫＴＣ ロングメガネレンチ M5-3236-F 奥行28×幅490×高さ52.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],送料無料 作業工具：スパナ：ロングメガネレンチ,【用途】<br>六角ボルト・ナットを締め緩めする為のめがねレンチ。<br><br>【機能・特徴】<br>トルク伝達を最大限に発揮できる45度×6度のオフセット角度です。<br>窪んだ場所のボルト・ナットにも掛かりやすく、ヘッドを裏返しての使用も可能です。<br>サイズ表示は大きく見やすい鍛造浮出し刻印です。<br>柄は、しなりに強く、軽量化も図れるI型断面形状です。<br>ＫＴＣ独自のＮパワーフィット形状採用でボルト・ナットにやさしく、レンチの強度も向上しました。<br><br>【仕様】<br>●サイズ：32×36mm。<br>●45度×6度スタンダード。<br>●十二角。<br>●Nパワーフィット。<br><br>【材質】<br>●特殊工具鋼。<br><br>【商品サイズ】奥行28×幅490×高さ52.5mm　重量950g<br><br>【注意事項・その他】<br>工具は本来の使用目的以外には使用しないでください。割れ、欠け、磨耗、変形の異常が認められた場合は、使用しないで下さい。無理な姿勢で作業しないで下さい。改造しないで下さい。<br><br>,ＫＴＣ ロングメガネレンチ M5-3236-F 奥行28&times;幅490&times;高さ52.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＴＣ ロングメガネレンチ M5-3236-F 奥行28&times;幅490&times;高さ52.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ],送料無料 作業工具：スパナ：ロングメガネレンチ。ＫＴＣ ロングメガネレンチ M5-3236-F 奥行28&times;幅490&times;高さ52.5mm [ ボルト ナット ネジ 締め付け diy 作業工具 大工道具 通販 ][rn]
