17-109699,,1398.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も同時に兼ね備えており、工具には最適な材質です。<br>●剪定鋏１１０４の下部替刃です。<br>●全長(mm):95<br>●タイプ:下部<br>●高炭素刃物鍛造鋼（クロムコーティング）<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1[rn]
17-109700,,3849.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【94453】(4425634)刈込鋏４２４５用替刃 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も同時に兼ね備えており、工具には最適な材質です。<br>●全長(mm):170<br>●高品位合金鋼<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【94453】(4425634)刈込鋏４２４５用替刃 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【94453】(4425634)刈込鋏４２４５用替刃 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【94453】(4425634)刈込鋏４２４５用替刃 受注単位1[rn]
17-109701,,1459.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91001】(4425553)剪定鋏１１１４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も同時に兼ね備えており、工具には最適な材質です。<br>●剪定鋏１１１４の下部替刃です。<br>●全長(mm):100<br>●タイプ:下部<br>●高炭素刃物鍛造鋼（クロムコーティング）<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91001】(4425553)剪定鋏１１１４用替刃２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91001】(4425553)剪定鋏１１１４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91001】(4425553)剪定鋏１１１４用替刃２ 受注単位1[rn]
17-109702,,4728.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30L】(4850301)太枝切鋏ロッパーＬ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ネジが緩みにくい緩み止め金具付きです。<br>●手が疲れにくい衝撃吸収機構です。<br>●抜群の切断力：サイズで38ｍｍ<br>●枝の剪定作業<br>●切断能力(mm):38<br>●刃長(mm):78<br>●全長(mm):778<br>●刃部材質:高炭素刃物鋼(ＳＫ-5)<br>●最大切断枝径(mm):38<br>●適合替刃:なし<br>●個装サイズ800×300×38<br>●黒染め加工<br>●高強度アルミ合金<br>●グリップ部：ＰＰ<br>●刃カバー<br>",『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30L】(4850301)太枝切鋏ロッパーＬ 受注単位1：クローバー資材館,『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30L】(4850301)太枝切鋏ロッパーＬ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30L】(4850301)太枝切鋏ロッパーＬ 受注単位1[rn]
17-109703,,492.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91011】(4912616)ショックアブソーバー 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●剪定鋏1114、1104、1100用のショックアブソーバーです。<br>●適合機種:1100、1104、1114<br>●品名:ショックアブソーバー<br>●質量(g):6<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91011】(4912616)ショックアブソーバー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91011】(4912616)ショックアブソーバー 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91011】(4912616)ショックアブソーバー 受注単位1[rn]
17-109704,,5572.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【4195】(4865324)刈込鋏４１９５ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使い勝手のいいサイズの刈込みハサミです。<br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も兼ね備えており、工具には最適な材質です。<br>●庭木・生垣の剪定や刈込作業に。<br>●切断能力(mm):35<br>●刃長(mm):95<br>●全長(mm):450<br>●高品位刃物鋼（クロムコーティング）<br>●柄:アルミニウム<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【4195】(4865324)刈込鋏４１９５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【4195】(4865324)刈込鋏４１９５ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【4195】(4865324)刈込鋏４１９５ 受注単位1[rn]
17-109705,,4180.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30S】(4850327)太枝切鋏ロッパーＳ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ネジが緩みにくい緩み止め金具付きです。<br>●手が疲れにくい衝撃吸収機構です。<br>●抜群の切断力：Ｓサイズで34ｍｍ<br>●枝の剪定作業。<br>●切断能力(mm):34<br>●刃長(mm):78<br>●全長(mm):482<br>●刃部材質:高炭素刃物鋼(ＳＫ-5)<br>●最大切断枝径(mm):34<br>●適合替刃:なし<br>●個装サイズ500×200×38<br>●黒染め加工<br>●高強度アルミ合金<br>●グリップ部：ＰＰ<br>●刃カバー<br>",『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30S】(4850327)太枝切鋏ロッパーＳ 受注単位1：クローバー資材館,『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30S】(4850327)太枝切鋏ロッパーＳ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒アルスコーポレーション（株）/アルス 【LPB30S】(4850327)太枝切鋏ロッパーＳ 受注単位1[rn]
17-109706,,3100.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1755】(4864557)剪定鋏１７５５ ２００ｍｍ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も同時に兼ね備えており、工具には最適な材質です。<br>●植物の剪定作業や採果作業に。<br>●切断能力(mm):20<br>●刃長(mm):60<br>●全長(mm):200<br>●刃部:高炭素刃物鍛造鋼（黒染め）<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1755】(4864557)剪定鋏１７５５ ２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1755】(4864557)剪定鋏１７５５ ２００ｍｍ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1755】(4864557)剪定鋏１７５５ ２００ｍｍ 受注単位1[rn]
17-109707,,3431.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1756】(4864565)剪定鋏１７５６ １９５ｍｍ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●硬さの異なる材質がハンドル分に組み合わせて使用されているエルゴノミクスハンドルにより疲労を軽減します。<br>●刃部背側のノッチ部分で2mm程度の鉄線の切断も可能です。<br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も同時に兼ね備えており、工具には最適な材質です。<br>●植物の剪定作業や採果作業に。<br>●切断能力(mm):20<br>●刃長(mm):60<br>●全長(mm):195<br>●刃部:高炭素刃物鍛造鋼（黒染め）<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1756】(4864565)剪定鋏１７５６ １９５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1756】(4864565)剪定鋏１７５６ １９５ｍｍ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【1756】(4864565)剪定鋏１７５６ １９５ｍｍ 受注単位1[rn]
17-109708,,1471.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91007】(4865740)剪定鋏１１００用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●剪定鋏１１００の下部替刃です。<br>●タイプ:下部<br>●適合機種:1100<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91007】(4865740)剪定鋏１１００用替刃２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91007】(4865740)剪定鋏１１００用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91007】(4865740)剪定鋏１１００用替刃２ 受注単位1[rn]
17-109709,http://tshop.r10s.jp/clover9608/cabinet/ayaka8/bsh-120.jpg?fitin=700:700,5505.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』リョービ/RYOBI　充電式剪定ばさみ【BSH-120】最大切断枝径φ12ｍｍ,リョービ\ガーデン機器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>


充電式剪定ばさみ<br>
<br>
<br>
BSH-120<br>
<br>
●電気の力で手軽に剪定<br>
●剪定した「かさばる枝」を捨てやすいサイズに<br>
　小さくカット<br>
●作業途中の継足し充電ができる<br>
　リチウムイオン電池<br>
●充電時間 約60分<br>
●連続作業も楽な軽量ボディ（600ｇ）<br>
●LED搭載<br>
<br>
メーカー希望小売価格　10,700円 (税別)<br>
<br>
・最大切断枝径：12mm<br>
・リチウムイオン電池内蔵式 3.6V､ 1,300mAh<br>
・充電器：BC-364L<br>
・充電時間：約60分<br>
・質量：0.6kg<br>
<br>",『カード対応OK！』リョービ/RYOBI　充電式剪定ばさみ【BSH-120】最大切断枝径φ12ｍｍ：クローバー資材館,『カード対応OK！』リョービ/RYOBI　充電式剪定ばさみ【BSH-120】最大切断枝径φ12ｍｍ,リョービ\ガーデン機器。『カード対応OK！』リョービ/RYOBI　充電式剪定ばさみ【BSH-120】最大切断枝径φ12ｍｍ[rn]
