17-21499,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005492034.jpg?fitin=700:700,3240.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1[rn]
17-21500,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495083.jpg?fitin=700:700,4082.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　Φ２ＸＲ０．１Ｘ１６【MHR230R 2XR0.1X16】(4255020) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　Φ２ＸＲ０．１Ｘ１６【MHR230R 2XR0.1X16】(4255020) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　Φ２ＸＲ０．１Ｘ１６【MHR230R 2XR0.1X16】(4255020) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　Φ２ＸＲ０．１Ｘ１６【MHR230R 2XR0.1X16】(4255020) 受注単位1[rn]
17-21501,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495382.jpg?fitin=700:700,4665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ４３０Ｒ　Φ１ＸＲ０．３Ｘ１２【MHR430R 1XR0.3X12】(4257707) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ４３０Ｒ　Φ１ＸＲ０．３Ｘ１２【MHR430R 1XR0.3X12】(4257707) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ４３０Ｒ　Φ１ＸＲ０．３Ｘ１２【MHR430R 1XR0.3X12】(4257707) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ４３０Ｒ　Φ１ＸＲ０．３Ｘ１２【MHR430R 1XR0.3X12】(4257707) 受注単位1[rn]
17-21502,,22072.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ【UVX-TI-5FL 16XR4X48】(7637721) ＦＸコート　５刃　チタン合金加工用不等リードエンドミル　ＵＶＸ‐ＴＩ‐ 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溝・側面切削から複雑なポケット加工、びびりやすい加工にも対応。難易度の高いチタン合金加工において安定と高能率を実現しました。<br><br>●被削材：チタン合金。<br><br>●刃径(mm)：16<br>●刃長(mm)：32<br>●全長(mm)：100<br>●シャンク径(mm)：16<br>●コーナR：R4<br>●首下長(mm)：48<br>●首径(mm)：15.5<br>●刃数：5<br><br>●表面処理：ＦＸコーティング<br>●ねじれ角41°/42°/43°<br><br>●超硬合金(Carbide)<br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ【UVX-TI-5FL 16XR4X48】(7637721) ＦＸコート　５刃　チタン合金加工用不等リードエンドミル　ＵＶＸ‐ＴＩ‐ 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ【UVX-TI-5FL 16XR4X48】(7637721) ＦＸコート　５刃　チタン合金加工用不等リードエンドミル　ＵＶＸ‐ＴＩ‐ 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ【UVX-TI-5FL 16XR4X48】(7637721) ＦＸコート　５刃　チタン合金加工用不等リードエンドミル　ＵＶＸ‐ＴＩ‐ 受注単位1[rn]
17-21503,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002567215.jpg?fitin=700:700,4970.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ０．６ＸＲ０．１×４【HLRS 2006-01-040E】(3329101) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,,『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ０．６ＸＲ０．１&times;４【HLRS 2006-01-040E】(3329101) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ０．６ＸＲ０．１&times;４【HLRS 2006-01-040E】(3329101) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒ユニオンツール　超硬エンドミル　ロングネックラジアス　φ０．６ＸＲ０．１&times;４【HLRS 2006-01-040E】(3329101) 受注単位1[rn]
17-21504,,6577.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ショート刃　ＨＱＳ１７【HQS17】(4292693) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ショート刃　ＨＱＳ１７【HQS17】(4292693) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ショート刃　ＨＱＳ１７【HQS17】(4292693) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ショート刃　ＨＱＳ１７【HQS17】(4292693) 受注単位1[rn]
17-21505,,12587.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ロングシャンク　ＨＱＬＳ２２【HQLS22】(4292286) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ロングシャンク　ＨＱＬＳ２２【HQLS22】(4292286) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ロングシャンク　ＨＱＬＳ２２【HQLS22】(4292286) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒日立ツール　ラフィングエンドミル　ロングシャンク　ＨＱＬＳ２２【HQLS22】(4292286) 受注単位1[rn]
17-21506,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863589.jpg?fitin=700:700,35942.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ノンコート【CMRAD2000】 (6850260) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●アルミニウムの高効率加工が可能です。切りくずをきれいに排出する構造で損傷が少なく、長寿命です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ノンコート【CMRAD2000】 (6850260) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ノンコート【CMRAD2000】 (6850260) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ超硬ノンコート【CMRAD2000】 (6850260) 受注単位1[rn]
17-21507,,24608.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　エキストラロング刃　ＨＱＸＬ３０Ｘ１２５【HQXL30X125】(4292928) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　エキストラロング刃　ＨＱＸＬ３０Ｘ１２５【HQXL30X125】(4292928) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ラフィングエンドミル　エキストラロング刃　ＨＱＸＬ３０Ｘ１２５【HQXL30X125】(4292928) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒日立ツール　ラフィングエンドミル　エキストラロング刃　ＨＱＸＬ３０Ｘ１２５【HQXL30X125】(4292928) 受注単位1[rn]
17-21508,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869860.jpg?fitin=700:700,16497.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋミラクルテーパネックボールエンドミル【VCXBR0300T0300 (VC-XB-3R-3)】 (1624989) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ミラクルコーティング採用により、ノンコート超硬エンドミルの5倍以上の長寿命です。<br>●首部をテーパにしたボールエンドミルです。<br>●当社独自のチッピングに強い切れ刃形状を採用しています。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋミラクルテーパネックボールエンドミル【VCXBR0300T0300 (VC-XB-3R-3)】 (1624989) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋミラクルテーパネックボールエンドミル【VCXBR0300T0300 (VC-XB-3R-3)】 (1624989) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋミラクルテーパネックボールエンドミル【VCXBR0300T0300 (VC-XB-3R-3)】 (1624989) 受注単位1[rn]
17-21509,,33509.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マパール【CPM140-2000Z06-F0040-16-HP383】(7754922) ＣＰＭｉｌｌ－Ｕｎｉ－Ｒｏｕｇｈ＆Ｆｉｎｉｓｈ　「ＣＰＭ１４０」 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●新接続方式「ＣＦＳ」を採用しました。<br>●５μm以下と高い振れ精度を約束します。<br>●容易な操作と高い安定性が特長です。<br>●ラフ＆フィニッシュのデザインです。<br><br>●被削材：炭素鋼・合金鋼・鋳鉄・ステンレス・軽合金。<br><br>●刃径(mm)：20<br>●刃長(mm)：25<br>●全長(mm)：35<br>●シャンク径(mm)：16<br>●刃数：6<br><br>●表面処理：HP383コーティング<br>●ねじれ角45°<br><br>●超微粒子超硬合金（Micro Grain Carbide）<br>",『カード対応OK！』■〒マパール【CPM140-2000Z06-F0040-16-HP383】(7754922) ＣＰＭｉｌｌ&minus;Ｕｎｉ&minus;Ｒｏｕｇｈ＆Ｆｉｎｉｓｈ　「ＣＰＭ１４０」 受注単位1：クローバー資材館,『カード対応OK！』■〒マパール【CPM140-2000Z06-F0040-16-HP383】(7754922) ＣＰＭｉｌｌ&minus;Ｕｎｉ&minus;Ｒｏｕｇｈ＆Ｆｉｎｉｓｈ　「ＣＰＭ１４０」 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒マパール【CPM140-2000Z06-F0040-16-HP383】(7754922) ＣＰＭｉｌｌ&minus;Ｕｎｉ&minus;Ｒｏｕｇｈ＆Ｆｉｎｉｓｈ　「ＣＰＭ１４０」 受注単位1[rn]
