9-12803,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ブラシ形状が円盤型で、外面に向かって放射状に毛が植わっています。<br>●円盤状のブラシの中心に10mmの穴が開いていて工具、機械などに同径の軸がついていれば取り付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1[rn]
9-12804,,4082.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0093-9665】(7678754) スキルタッチ　１００Ｘ２Ｘ１５ｍｍ　ＡＣ１２０　２０枚入り 受注単位1,作業用品\研削研磨用品\研削砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●砥粒の種類により、金属のほか合成樹脂、大理石、コンクリートなどの非金属の表面研磨、曲面研磨もできます。<br><br>●鋳鉄、非鉄金属、石材、コンクリートなどの研削作業に。<br><br>●粒度(#)：120<br>●外径(mm)：100<br>●厚み(mm)：2<br>●穴径(mm)：15<br>●最高使用回転数(rpm)：13600<br>●質量(g)：800<br><br>●砥材：AC<br>●最高使用周速度：72m/s(4300m/min)<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0093-9665】(7678754) スキルタッチ　１００Ｘ２Ｘ１５ｍｍ　ＡＣ１２０　２０枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0093-9665】(7678754) スキルタッチ　１００Ｘ２Ｘ１５ｍｍ　ＡＣ１２０　２０枚入り 受注単位1,作業用品\研削研磨用品\研削砥石。『カード対応OK！』■〒日立工機/日立【0093-9665】(7678754) スキルタッチ　１００Ｘ２Ｘ１５ｍｍ　ＡＣ１２０　２０枚入り 受注単位1[rn]
9-12805,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005146500.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒柳瀬/ヤナセ　液体研削剤　アルミニウム用【YHK-51】(3809951) 受注単位1,作業用品\研削研磨用品\みがき剤,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●液体のためバフに馴染みやすく、手作業のウエスなどでも使用しやすくなっています。<br>●100mlと小分けで無駄があまりでません。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒柳瀬/ヤナセ　液体研削剤　アルミニウム用【YHK-51】(3809951) 受注単位1：クローバー資材館,『カード対応OK！』■〒柳瀬/ヤナセ　液体研削剤　アルミニウム用【YHK-51】(3809951) 受注単位1,作業用品\研削研磨用品\みがき剤。『カード対応OK！』■〒柳瀬/ヤナセ　液体研削剤　アルミニウム用【YHK-51】(3809951) 受注単位1[rn]
9-12806,,1283.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0031-4067】(7675453) サンディングディスク　１２５ｍｍ　Ｃ－Ｐ４０　（１０入） 受注単位1,作業用品\研削研磨用品\ディスクペーパー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●石材・木材など幅広い用途の研削・研磨に使用できます。<br><br>●鋳鉄・非鉄金属・石材・合成樹脂・コンクリートの研磨に。<br><br>●粒度(#)：40<br>●外径(mm)：125<br>●穴径(mm)：16<br>●最高使用回転数(rpm)：11000<br>●質量(g)：300<br><br>●最高使用周速度：72m/s(4300m/min)<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0031-4067】(7675453) サンディングディスク　１２５ｍｍ　Ｃ&minus;Ｐ４０　（１０入） 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0031-4067】(7675453) サンディングディスク　１２５ｍｍ　Ｃ&minus;Ｐ４０　（１０入） 受注単位1,作業用品\研削研磨用品\ディスクペーパー。『カード対応OK！』■〒日立工機/日立【0031-4067】(7675453) サンディングディスク　１２５ｍｍ　Ｃ&minus;Ｐ４０　（１０入） 受注単位1[rn]
9-12807,,2544.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-106-12-1-0】(7571780) ハンドオバーグカット　インダストリアルパック　荒目　刃長３００ 受注単位1,作業用品\研削研磨用品\ヤスリ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エッジと面とが平行です。<br>●面は単目、荒目、片方のエッジは単目です。<br>●あらゆる平面に有効で、Obergカットにより、ほとんどの材料で削りカスを速やかに排除し、滑らかな仕上りを実現します。<br><br><br>●タイプ：荒目<br>●全長(mm)：370<br>●刃長(mm)：300<br>●刃幅(mm)：30<br>●刃厚(mm)：6.0<br>●形状：平<br>●質量(g)：372<br>●適応ヤスリ柄コード：13<br><br><br>●高性能合金鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-106-12-1-0】(7571780) ハンドオバーグカット　インダストリアルパック　荒目　刃長３００ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-106-12-1-0】(7571780) ハンドオバーグカット　インダストリアルパック　荒目　刃長３００ 受注単位1,作業用品\研削研磨用品\ヤスリ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-106-12-1-0】(7571780) ハンドオバーグカット　インダストリアルパック　荒目　刃長３００ 受注単位1[rn]
9-12808,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850088.jpg?fitin=700:700,8048.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（テーパー型）シングルカット（刃径：１６．０【SB7C05S】(3217787) 受注単位1,作業用品\研削研磨用品\超硬バー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（テーパー型）シングルカット（刃径：１６．０【SB7C05S】(3217787) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（テーパー型）シングルカット（刃径：１６．０【SB7C05S】(3217787) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（テーパー型）シングルカット（刃径：１６．０【SB7C05S】(3217787) 受注単位1[rn]
9-12809,,4439.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イチグチ/ＡＣ　フラップホイル【AF8015-120】(3065359) 受注単位5,作業用品\研削研磨用品\フラップ軸付ホイール,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●加工物の形状によくなじみます。<br>●自生作用で常に新しい砥粒面で研磨ができます。<br>●空冷作用のため、熱によるワークのひずみや、焼けがほとんど入りません。<br>●研磨時の騒音や振動が少ないため、作業が快適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イチグチ/ＡＣ　フラップホイル【AF8015-120】(3065359) 受注単位5：クローバー資材館,『カード対応OK！』■〒イチグチ/ＡＣ　フラップホイル【AF8015-120】(3065359) 受注単位5,作業用品\研削研磨用品\フラップ軸付ホイール。『カード対応OK！』■〒イチグチ/ＡＣ　フラップホイル【AF8015-120】(3065359) 受注単位5[rn]
9-12810,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002606665.jpg?fitin=700:700,238.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アストラマジック　穴あり　Φ１２５　５枚入　２４０＃【TAM-125A#240 (125MM5ﾏｲｲﾘ)】(2584417) 受注単位1,(2584417),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●アランダム砥粒を使用した吸じん式Wアクションサンダー用ペーパーです。（一部穴径が合わない物もあります。）<br>●吸じん式ダブルアクションサンダーに対応した穴付マジックテープタイプディスクです。6つの穴から粉じんを吸い込みます。<br>●パターンコート研磨布紙は、砥粒が規則正しくパターンコーティングされ、叩く、削る、磨くの相乗効果が発揮されます。<br>●パターンコーティングにより従来品に比べ目づまりが少なく強力な研磨力が得られます。また通気による冷却効果があり焼けが起こりにくくなります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アストラマジック　穴あり　Φ１２５　５枚入　２４０＃【TAM-125A#240 (125MM5ﾏｲｲﾘ)】(2584417) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アストラマジック　穴あり　Φ１２５　５枚入　２４０＃【TAM-125A#240 (125MM5ﾏｲｲﾘ)】(2584417) 受注単位1,(2584417)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アストラマジック　穴あり　Φ１２５　５枚入　２４０＃【TAM-125A#240 (125MM5ﾏｲｲﾘ)】(2584417) 受注単位1[rn]
9-12811,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662856.jpg?fitin=700:700,6975.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ナカニシ/ナカニシ　ダイヤモンドカッティングディスク電着タイプ　シャンク径φ３【14081】(2974169) 受注単位1,作業用品\研削研磨用品\ダイヤモンドバー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●電着タイプはダイヤ砥粒の突き出し量が大きく、集中度も高く、大変研削力に優れています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ナカニシ/ナカニシ　ダイヤモンドカッティングディスク電着タイプ　シャンク径φ３【14081】(2974169) 受注単位1：クローバー資材館,『カード対応OK！』■〒ナカニシ/ナカニシ　ダイヤモンドカッティングディスク電着タイプ　シャンク径φ３【14081】(2974169) 受注単位1,作業用品\研削研磨用品\ダイヤモンドバー。『カード対応OK！』■〒ナカニシ/ナカニシ　ダイヤモンドカッティングディスク電着タイプ　シャンク径φ３【14081】(2974169) 受注単位1[rn]
9-12812,,1138.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スーパーツール/スーパー 超硬バー【SB1A03CR】(8192237) スーパー スーパー超硬バ－ 3ミリ(ダブルカット)円筒コーナーＲ刃型 発注単位1,作業用品\研削研磨用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●刃先にRがついているため、コントロールがしやすく、コーナーR加工ができます。<br>
●円筒型のバーとしては問題であった、刃先のチッピング防止効果があります。<br>
●加工のスタート時から研削力を発揮し、仕上りも良好です。<br>
●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。<br>
●刃先にＲがついているため、加工のコントロールがしやすく、加工範囲が広がりコーナーＲ加工が出来ます。<br>
●形状:円筒型（ダブルカット）<br>
●刃径(mm):3.0<br>
●刃長(mm):14.0<br>
●軸径(mm):3<br>
●軸長(mm):24.0<br>
●タイプ:オール超硬<br>
●最高使用回転数(rpm):50000<br>
●刃先形状:円筒コーナーＲ刃型（ダブルカット）<br>
●コーナー（R）:0.7<br>
●刃先×刃長×軸径×軸長(mm):3×14×3×24<br>
●オール超硬<br>
●作業時は必ず安全帽、安全メガネなどの保護具をご着用ください。<br>
●最高使用回転数は推奨値です。<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒スーパーツール/スーパー 超硬バー【SB1A03CR】(8192237) スーパー スーパー超硬バ&minus; 3ミリ(ダブルカット)円筒コーナーＲ刃型 発注単位1：クローバー資材館,■〒スーパーツール/スーパー 超硬バー【SB1A03CR】(8192237) スーパー スーパー超硬バ&minus; 3ミリ(ダブルカット)円筒コーナーＲ刃型 発注単位1,作業用品\研削研磨用品。■〒スーパーツール/スーパー 超硬バー【SB1A03CR】(8192237) スーパー スーパー超硬バ&minus; 3ミリ(ダブルカット)円筒コーナーＲ刃型 発注単位1[rn]
9-12813,,1447.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-210-04-1-2】(7572590) エルゴハンドル付　甲丸荒目　刃長１００ 受注単位1,作業用品\研削研磨用品\ヤスリ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エッジは先端に向かって細くなっており、4インチと6インチは先細、8インチ以上は半先細です。<br>●複目です。<br>●凹面、平面、大きな穴のヤスリがけ、バリ取りに適しています。<br><br><br>●タイプ：荒目<br>●全長(mm)：225<br>●刃長(mm)：100<br>●刃幅(mm)：10.0<br>●刃厚(mm)：3.0<br>●形状：半丸<br>●質量(g)：52<br>●適応ヤスリ柄コード：5.2<br><br><br>●高性能合金鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-210-04-1-2】(7572590) エルゴハンドル付　甲丸荒目　刃長１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-210-04-1-2】(7572590) エルゴハンドル付　甲丸荒目　刃長１００ 受注単位1,作業用品\研削研磨用品\ヤスリ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-210-04-1-2】(7572590) エルゴハンドル付　甲丸荒目　刃長１００ 受注単位1[rn]
