13-25701,http://tshop.r10s.jp/akibamac/cabinet/05065716/4989999082869.jpg?fitin=700:700,520.8000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山E－GRIP ダスター刷毛用 70MM 筋違型 ハンドルセット TEGD70HS,,■先端が交換できます。<br><br>■一切金属を使用していないので「燃えるゴミ」として処分できます。<br><br>■環境に配慮した商品です。<br><br>■ハンドルに缶エンドフックが付いているので、ペール缶などにかけることができます。<br><br>■持ちやすい構造のグリップです。<br><br>■先端が交換できる刷毛のハンドルと先端刷毛のセットになります。<br><br>【用途】<br>・水性塗料、油性塗料、ラッカーなどの塗装用。<br>・水性接着剤の塗布用。<br><br>【仕様】<br>全長(mm)：255、タイプ：ダスター用（筋違型）、刷毛幅(mm)：70、毛丈(mm)：45、毛先品番：TEGD-70S、ハンドル品番：TEG-70HS、質量(g)：63<br>適合塗料：油性◎<br><br>【材質／仕上】<br>■柄：ポリプロピレン（PP）■スペア上部：ポリプロピレン（PP）<br><br>【原産国】<br>中国,トラスコ中山E&minus;GRIP ダスター刷毛用 70MM 筋違型 ハンドルセット TEGD70HS：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山E&minus;GRIP ダスター刷毛用 70MM 筋違型 ハンドルセット TEGD70HS,トラスコ中山E&minus;GRIP ダスター刷毛用 70MM 筋違型 ハンドルセット TEGD70HS[rn]
13-25702,http://tshop.r10s.jp/akibamac/cabinet/05065172/4976124253638.jpg?fitin=700:700,373.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ニッペホームプロダクツアクリルラッカースプレーTRY（つやなしブラック） 300ML,,■高光沢で乾燥が早く、乾くと日光や雨に強い塗膜になります。<br>■有害な鉛化合物、トルエンは原料として配合していません。<br>■簡単にガス抜きが出来るガス抜きキャップ付きです。<br>■塗り面積（2回塗り）：0.6～1.1m2<br>■乾燥時間：夏約30分 冬約50分,ニッペホームプロダクツアクリルラッカースプレーTRY（つやなしブラック） 300ML：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンニッペホームプロダクツアクリルラッカースプレーTRY（つやなしブラック） 300ML,ニッペホームプロダクツアクリルラッカースプレーTRY（つやなしブラック） 300ML[rn]
13-25703,http://tshop.r10s.jp/akibamac/cabinet/05065886/4989999149487.jpg?fitin=700:700,944.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山スモールローラー受け皿セット万能用＃6 TPR15S6UZSET,,■ローラー（万能用）とハンドルとローラー皿がセットになった商品です。<br><br>■耐久性に優れた万能ローラーです。<br><br>■万能タイプですので、多少の凹凸面の塗装に最適です。<br><br>■PPコアと毛材を熱溶融接着法で接着しているので、溶剤にも強い設計になっています。<br><br>【用途】<br>・水性、油性、ニス、接着剤の塗装に。<br><br>【仕様】<br>品名：スモールローラー受け皿セット万能用＃6、セット内容：ローラー(TPR-15S-6)、ハンドル(TRF-S)、ローラー皿(TPT175)、質量(g)：450<br>原産国：ローラー：日本、ローラー用ハンドル：中国、ローラー皿：台湾,トラスコ中山スモールローラー受け皿セット万能用＃6 TPR15S6UZSET：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山スモールローラー受け皿セット万能用＃6 TPR15S6UZSET,トラスコ中山スモールローラー受け皿セット万能用＃6 TPR15S6UZSET[rn]
13-25704,http://tshop.r10s.jp/akibamac/cabinet/05066154/4989999468106.jpg?fitin=700:700,319.2000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山スパチュラ 100mm TS208,,■欠け・割れに強いPP樹脂ハンドルに滑り止めチェッカリング加工をしています。<br><br>■金属がハンドル末端まで貫通した頑強設計です。<br><br>■ペンキ塗り、調合に適しています。<br><br>【用途】<br>・食品関連。<br><br>【仕様】<br>全長(mm)：212、刃幅(mm)：24、刃長(mm)：100、刃厚(mm)：1、質量(g)：53<br>貫通型、硬度HRC50度<br><br>【材質／仕上】<br>■刃：ステンレス刃物鋼（SUS420J2）■グリップ：ポリプロピレン（PP）<br><br>【注意】<br>・ハンマーでの使用厳禁。<br>・SUS420J2は磁気を帯びます。<br><br>【原産国】<br>日本,トラスコ中山スパチュラ 100mm TS208：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山スパチュラ 100mm TS208,トラスコ中山スパチュラ 100mm TS208[rn]
13-25705,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03189414/imgrc0066259702.gif?fitin=700:700,332.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【SOFT99 ソフト99】99工房【ゆうパケット300円】タッチアップペン / S-77 s77ホワイトパール【17177】スズキ ＃Z7T,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"ボデーの小さなキズ・ハガレの補修に便利な筆付きカーペイント。<br><br>
１・塗る面のゴミ、油分、ワックス、サビ等をよく落としてください。<br>
２・使用前、容器を上下によく振りカチカチ音をさせながら中の塗料を混ぜてください。<br>
３・筆に適量含ませ手早く塗ってください。<br>
４・重ね塗りは下の塗料がよく乾いてから混ぜてください。<br>",【SOFT99 ソフト99】99工房【ゆうパケット300円】タッチアップペン / S-77 s77ホワイトパール【17177】スズキ ＃Z7T：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【SOFT99 ソフト99】99工房【ゆうパケット300円】タッチアップペン / S-77 s77ホワイトパール【17177】スズキ ＃Z7T,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【SOFT99 ソフト99】99工房【ゆうパケット300円】タッチアップペン / S-77 s77ホワイトパール【17177】スズキ ＃Z7T[rn]
13-25706,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03189414/imgrc0065979080.gif?fitin=700:700,611.2000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【SOFT99 ソフト99】99工房 【送料450円】ボデーペン ホワイトプラサフ / 300ml【BP-31 BP31】【08030】【キズ消し】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カラー塗装の前に！強力な密着性と高い防錆力、パテのざらつきを隠し平滑に！<br>隠ぺい力の低いホワイト・イエロー・レッド系カラーペイントの下塗り塗料として使うと発色が格段に向上。<br>
カラーペイントの塗り重ね回数を減らせるので、経済的。<br>失敗も減り、スピーディに美しく仕上がります。<br>
バレー式ボタン採用で、ラクにきれいにスプレーできます。<br>さらにワイド＆スポットとタテ＆ヨコの4パターンスプレー機能により、大きな補修、小さな補修等、様々な補修に便利。<br>
<br>
<font size=""5""color=""#ff0000"">色カラーの選択はお間違いの無き用、
メーカーページにてご確認ください。</font>
<br>",【SOFT99 ソフト99】99工房 【送料450円】ボデーペン ホワイトプラサフ / 300ml【BP-31 BP31】【08030】【キズ消し】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【SOFT99 ソフト99】99工房 【送料450円】ボデーペン ホワイトプラサフ / 300ml【BP-31 BP31】【08030】【キズ消し】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【SOFT99 ソフト99】99工房 【送料450円】ボデーペン ホワイトプラサフ / 300ml【BP-31 BP31】【08030】【キズ消し】[rn]
13-25707,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03189414/imgrc0065975566.gif?fitin=700:700,1504.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ウレタンクリアー / 320ml【B-44 B44】【08006】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"プロも使用している本格2液性ウレタン塗料！<br>
ボデーペンの上塗りクリアーとして使用すると、超強靭・超光沢のウレタンコートに仕上がります。<br>
塗った直後の重厚でなめらかな塗膜を乾燥後も持続。<br>その見事な光沢は他の追随を許しません。<br>
ガソリンにも溶けない強靭なコーティング塗膜は密着度にも優れ、ボディのゆがみ・たわみにもひび割れやハガレを起こしません。<br>
純アクリル塗膜「ボデーペン」の塗膜表層と分子結合して強く密着し、強靭なウレタン塗膜を形成します。<br><br>
<br>
<font size=""5""color=""#ff0000"">色カラーの選択はお間違いの無き用
<br>メーカーページにてご確認ください。こちらをクリック!!</font>
<br>
<font size=""5"">送料はシステムの関係上、注文個数分加算されてしまいますが店舗にて<br>
必ず450円に修正をさせて頂きます。ご安心下さい。</font>
<br>",【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ウレタンクリアー / 320ml【B-44 B44】【08006】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ウレタンクリアー / 320ml【B-44 B44】【08006】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ウレタンクリアー / 320ml【B-44 B44】【08006】[rn]
13-25708,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03189414/imgrc0065975564.gif?fitin=700:700,448.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ボカシ剤 / 300ml【B-35 b35】【08004】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"補修箇所を目立たなくキレイに！<br>旧塗膜との境目に使用して、色ズレ・光沢の差をぼかし目立たなくします。<br>
スプレーした後のスプレーダスト(=ザラザラした外周部)を溶かして平滑にし、ツヤを出す効果があります。<br>
カラーペイントをスプレーする直前にも、広い範囲に 「ボカシ剤」をスプレーしておくことでカラーペイントの白っぽいザラザラの発生を効果的に抑えることができます。<br>
バレー式ボタン採用で、ラクにきれいにスプレーできます。<br>
さらに、ワイド&スポットとタテ&ヨコの4パターンスプレー機能により、大きな補修、小さな補修等、様々な補修に便利。<br><br>
<br>
<font size=""5""color=""#ff0000"">色カラーの選択はお間違いの無き用
<br>メーカーページにてご確認ください。こちらをクリック!!</font>
<br>
<font size=""5"">送料はシステムの関係上、注文個数分加算されてしまいますが店舗にて<br>
必ず450円に修正をさせて頂きます。ご安心下さい。</font>
<br>",【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ボカシ剤 / 300ml【B-35 b35】【08004】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ボカシ剤 / 300ml【B-35 b35】【08004】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / ボカシ剤 / 300ml【B-35 b35】【08004】[rn]
13-25709,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03189414/imgrc0065975565.gif?fitin=700:700,608.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / つや消し黒 / 300ml【B-36 b36】【08005】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"焼付塗装に迫る性能を持つ、ストレートアクリル樹脂塗料。<br>バレー式ボタン採用で、ラクにきれいにスプレーできます。<br>
さらに、ワイド&スポットとタテ&ヨコの4パターンスプレー機能により、大きな補修、小さな補修等、様々な補修に便利。<br>
ワイパーアームの塗装劣化の補修やバンパーなど光の反射を防ぎたい部分に最適なスプレーペイントです。<br><br>
<br>
<font size=""5""color=""#ff0000"">色カラーの選択はお間違いの無き用
<br>メーカーページにてご確認ください。こちらをクリック!!</font>
<br>
<font size=""5"">送料はシステムの関係上、注文個数分加算されてしまいますが店舗にて<br>
必ず450円に修正をさせて頂きます。ご安心下さい。</font>
<br>",【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / つや消し黒 / 300ml【B-36 b36】【08005】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / つや消し黒 / 300ml【B-36 b36】【08005】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【SOFT99 ソフト99】 99工房 【送料450円】 ボデーペン / つや消し黒 / 300ml【B-36 b36】【08005】[rn]
13-25710,http://tshop.r10s.jp/akibamac/cabinet/05010337/4560343371015.jpg?fitin=700:700,2281.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,アイマークステンシル 4 文字サイズ250×125mm AST82,,吹付用のステンシルプレートです。,アイマークステンシル 4 文字サイズ250&times;125mm AST82：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンアイマークステンシル 4 文字サイズ250&times;125mm AST82,アイマークステンシル 4 文字サイズ250&times;125mm AST82[rn]
13-25711,http://tshop.r10s.jp/akibamac/cabinet/05039503/4957139513528.jpg?fitin=700:700,4304.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【送料無料】ロックペイント051-0035 02 ロック ロックライン ムエンエロー 4kg (51003502),,●速乾性で強靭な塗膜を形成し、付着性に優れています。<br>●耐水性、耐摩耗性、耐油性に優れています。<br>●道路や駐車場、倉庫などの区画線引き、路面表示。<br>●色:イエロー<br>●容量(L):2.6<br>●塗布面積:8～10[[平米]]（2回塗り）<br>●指触乾燥時間:10分（20℃）<br>●塗り重ね可能時間:2時間以上（20℃）<br>●一液型油性つやけし<br>●材質／仕上：○油性アルキド系<br><br>●ご注意：※コンクリート系には不適です。,【送料無料】ロックペイント051-0035 02 ロック ロックライン ムエンエロー 4kg (51003502)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ロックペイント051-0035 02 ロック ロックライン ムエンエロー 4kg (51003502),【送料無料】ロックペイント051-0035 02 ロック ロックライン ムエンエロー 4kg (51003502)[rn]
13-25712,http://tshop.r10s.jp/akibamac/cabinet/05039503/4953871022700.jpg?fitin=700:700,864.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,エル日昌養生用PFシートPF900－S 900mm×200m PF900S,,■コロナ処理品です。<br><br>■(塗装はく離防止タイプ)。<br><br>■粘着はありません。<br><br>■ノンカッタータイプで、手で切れます(方向性良くカットできます)。<br><br>【用途】<br>・建築外壁塗装用・内壁塗装用・湿式建材用・板金塗装用。<br><br>【仕様】<br>色：透明、幅(mm)：900、長さ(m)：200、厚み(mm)：0.01、質量(kg)：2<br>手で切断可能<br><br>【材質／仕上】<br>■ポリエチレン（PE）フィルム<br><br>【原産国】<br>日本,エル日昌養生用PFシートPF900&minus;S 900mm&times;200m PF900S：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエル日昌養生用PFシートPF900&minus;S 900mm&times;200m PF900S,エル日昌養生用PFシートPF900&minus;S 900mm&times;200m PF900S[rn]
13-25713,http://tshop.r10s.jp/akibamac/cabinet/05065985/4989999416497.jpg?fitin=700:700,205.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山徳用ニス刷毛竹柄 5号 TPB424,,■安くて仕上げに優れ、細かい所にも美しく塗れます。<br><br>【用途】<br>・油性、ニス用。<br><br>【仕様】<br>刷毛幅(mm)：15、毛丈(mm)：26、全長(mm)：220、質量(g)：13、玉厚（mm）：10<br><br>【材質／仕上】<br>■毛：山羊毛■柄：竹<br><br>【原産国】<br>中国,トラスコ中山徳用ニス刷毛竹柄 5号 TPB424：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山徳用ニス刷毛竹柄 5号 TPB424,トラスコ中山徳用ニス刷毛竹柄 5号 TPB424[rn]
