13-6601,,4762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●10.8Vリチウムイオン用充電器。",『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1：クローバー資材館,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー。『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1[rn]
13-6602,,856.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-170-06-2-0】(7572433) インダストリアルパック　三角中目　刃長１５０ 受注単位1,作業用品\研削研磨用品\ヤスリ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●断面は正三角形、先端に向かって細くなっています。<br>●面は複目です。<br>●角や内角のバリ取り、ヤスリがけ、穴や大きな隅肉、凹面のヤスリがけに適しています。<br>●先細デザインのため、平面のヤスリがけに向いています。<br><br><br>●タイプ：中目<br>●全長(mm)：205<br>●刃長(mm)：150<br>●刃幅(mm)：11<br>●刃厚(mm)：11<br>●形状：三角<br>●質量(g)：57<br>●適応ヤスリ柄コード：04<br><br><br>●高性能合金鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-170-06-2-0】(7572433) インダストリアルパック　三角中目　刃長１５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-170-06-2-0】(7572433) インダストリアルパック　三角中目　刃長１５０ 受注単位1,作業用品\研削研磨用品\ヤスリ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1-170-06-2-0】(7572433) インダストリアルパック　三角中目　刃長１５０ 受注単位1[rn]
13-6603,,5878.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ボッシュ/ボッシュ 電動工具【GDE16PLUS】(7834977) ボッシュ ハンマードリル用吸じんアダプター 発注単位1,作業用品\電動工具・油圧工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●SDS-plusハンマードリル用吸じんアダプターです。<br>
●クリーナーと接続して使用します。(適合クリーナー:GAS10型、GAS10PS型、GAS25型、GAS50型)<br>
●適合機種:GBH2-26、GBH2-28、GBH3-28DRE、GBH18V-EC、GBH18V-ECN、GBH36Vシリーズ<br>
●最大穴あけ径(mm):16<br>
●有効長（mm）:120<br>
●大口径アダプター使用時最大穴あけ径：82mm",■〒ボッシュ/ボッシュ 電動工具【GDE16PLUS】(7834977) ボッシュ ハンマードリル用吸じんアダプター 発注単位1：クローバー資材館,■〒ボッシュ/ボッシュ 電動工具【GDE16PLUS】(7834977) ボッシュ ハンマードリル用吸じんアダプター 発注単位1,作業用品\電動工具・油圧工具。■〒ボッシュ/ボッシュ 電動工具【GDE16PLUS】(7834977) ボッシュ ハンマードリル用吸じんアダプター 発注単位1[rn]
13-6604,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005436102.jpg?fitin=700:700,726.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ベベル型ブラシ　Φ２５　モノエイト【253B-11】(4026811) 受注単位1,(4026811),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●コンパクトで高速回転軸のため操作しやすく、作業性に優れたベベル型ブラシです。<br>●軸付なので取り付け交換が容易です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ベベル型ブラシ　Φ２５　モノエイト【253B-11】(4026811) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ベベル型ブラシ　Φ２５　モノエイト【253B-11】(4026811) 受注単位1,(4026811)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ベベル型ブラシ　Φ２５　モノエイト【253B-11】(4026811) 受注単位1[rn]
13-6605,,165337.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒育良精機/育良【ISK-LB50SX】(4940237) ライトボーラー　ＩＳＫ－ＬＢ５０ＳＸ 受注単位1,作業用品\電動工具・油圧工具\磁気ボール盤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●11.5～50mmまでの広範囲な穴あけが可能です。<br>●切削液自動滴下装置付です。<br>●スイングヘッド付です。（左右20mm・20mm、前後10mm・10mmの穴あけ位置調節可能）<br>●高輝度LEDを搭載しています。<br><br><br>●穴あけ能力(mm)：11.5～50<br>●最大板厚(mm)：50<br>●ストローク(mm)：66<br>●マグネット寸法(mm)：70×160×48<br>●最大磁力(N)：6370<br>●定格電流(A)：8.5<br>●電源(V)：100<br>●消費電力(W)：850<br>●質量(kg)：10.5<br>●無負荷回転数(min[[の-1乗]])：550<br>●無負荷回転数(min[[の-1乗]])：550<br><br><br>",『カード対応OK！』■〒育良精機/育良【ISK-LB50SX】(4940237) ライトボーラー　ＩＳＫ&minus;ＬＢ５０ＳＸ 受注単位1：クローバー資材館,『カード対応OK！』■〒育良精機/育良【ISK-LB50SX】(4940237) ライトボーラー　ＩＳＫ&minus;ＬＢ５０ＳＸ 受注単位1,作業用品\電動工具・油圧工具\磁気ボール盤。『カード対応OK！』■〒育良精機/育良【ISK-LB50SX】(4940237) ライトボーラー　ＩＳＫ&minus;ＬＢ５０ＳＸ 受注単位1[rn]
13-6606,,5404.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒柳瀬/ヤナセ　ＧＰディスク１２０＃【GP100SA120】(3224261) 受注単位10,作業用品\研削研磨用品\ディスクペーパー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●研磨布が基盤から立っているため、弾性があり、加工物によく馴染みます。<br>●基板の直径が研磨布の外形より小さいため、角の研磨もでき、二面同時研磨もできます。<br>●発熱性がなく、被研磨物を変質させません。",『カード対応OK！』■〒柳瀬/ヤナセ　ＧＰディスク１２０＃【GP100SA120】(3224261) 受注単位10：クローバー資材館,『カード対応OK！』■〒柳瀬/ヤナセ　ＧＰディスク１２０＃【GP100SA120】(3224261) 受注単位10,作業用品\研削研磨用品\ディスクペーパー。『カード対応OK！』■〒柳瀬/ヤナセ　ＧＰディスク１２０＃【GP100SA120】(3224261) 受注単位10[rn]
13-6607,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005026017.jpg?fitin=700:700,3866.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　円筒形超硬ロータリーバーシングルカット【BAHA1020M06】(4134290) 受注単位1,作業用品\研削研磨用品\超硬バー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●硬度ＨＲＣ６７までの材料の切削が可能です。<br>●ヘッド部硬度はおよそ１５００ＨＶです。",『カード対応OK！』■〒スナップオン・ツールズ/バーコ　円筒形超硬ロータリーバーシングルカット【BAHA1020M06】(4134290) 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　円筒形超硬ロータリーバーシングルカット【BAHA1020M06】(4134290) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ　円筒形超硬ロータリーバーシングルカット【BAHA1020M06】(4134290) 受注単位1[rn]
13-6608,,259096.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立　シャーレンチ【WS22G】(3908135) 受注単位1,作業用品\電動工具・油圧工具\シャーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●継ぎコード使用時でも締め付けスピードが落ちにくいです。<br>●クラス最軽量です。<br>●高効率で経済的なブラシレスモーターを搭載しています。<br>●ツールレスで簡単、迅速にソケットが交換できます。<br>●滑りにくく操作しやすいソフトグリップハンドルを採用しています。",『カード対応OK！』■〒日立工機/日立　シャーレンチ【WS22G】(3908135) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立　シャーレンチ【WS22G】(3908135) 受注単位1,作業用品\電動工具・油圧工具\シャーレンチ。『カード対応OK！』■〒日立工機/日立　シャーレンチ【WS22G】(3908135) 受注単位1[rn]
13-6609,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004358761.jpg?fitin=700:700,504.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　サンダーＲ１０型中目【SA-R10C】(3772675) 受注単位1,作業用品\研削研磨用品\ヤスリ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●サンドペーパーの6倍以上の速さで削れ、約100倍長持ちします。<br>●研削面に対してどの方向にも削れます。<br>●刃は簡単に取り替えられます。<br>●木・アルミ・プラスチック研削工具です。<br>●作業性・耐久性が抜群です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　サンダーＲ１０型中目【SA-R10C】(3772675) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　サンダーＲ１０型中目【SA-R10C】(3772675) 受注単位1,作業用品\研削研磨用品\ヤスリ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　サンダーＲ１０型中目【SA-R10C】(3772675) 受注単位1[rn]
13-6610,,2527.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミニター/ミニモ【EA5112】(4991567) クッションサンダー　積層＃３２０　Φ２５ 受注単位1,作業用品\電動工具・油圧工具\マイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●加工素材へのあたりがソフトでなじみが良く、平面、曲面を問わず作業ができます。<br>●研削時の発熱が少なく被削材の研削焼けが起こりません。<br><br>●適合素材：工具鋼、合金鋼、樹脂、ゴム、一般鋼、ステンレス、アルミニウム、銅<br><br>●外径(mm)：25<br>●軸径(mm)：3.0<br>●最高使用回転数(rpm)：5000<br>●粒度(#)：320<br>●全長(mm)：52.0<br>●幅(mm)：8<br><br>●積層タイプ<br><br>",『カード対応OK！』■〒ミニター/ミニモ【EA5112】(4991567) クッションサンダー　積層＃３２０　Φ２５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミニター/ミニモ【EA5112】(4991567) クッションサンダー　積層＃３２０　Φ２５ 受注単位1,作業用品\電動工具・油圧工具\マイクログラインダー。『カード対応OK！』■〒ミニター/ミニモ【EA5112】(4991567) クッションサンダー　積層＃３２０　Φ２５ 受注単位1[rn]
13-6611,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002606519.jpg?fitin=700:700,1744.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクペーパー７型　Φ１８０Ｘ２２．２　＃１４　１０枚入【TG7-14 (180MM#14)】(2567342) 受注単位1,(2567342),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●バルカナイズドファイバー基板を使用し、耐熱性に優れたディスク研磨材です。<br>●シリコンカーバイド砥粒を使用しています。<br>●ディスクグラインダーに装着してサビ取り、バリ取り、塗膜はく離、石材研磨などを効率良く行えます。（エア・電動兼用）<br>●周速度は4300m/min以下でご使用ください。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクペーパー７型　Φ１８０Ｘ２２．２　＃１４　１０枚入【TG7-14 (180MM#14)】(2567342) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクペーパー７型　Φ１８０Ｘ２２．２　＃１４　１０枚入【TG7-14 (180MM#14)】(2567342) 受注単位1,(2567342)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクペーパー７型　Φ１８０Ｘ２２．２　＃１４　１０枚入【TG7-14 (180MM#14)】(2567342) 受注単位1[rn]
