11-72601,http://tshop.r10s.jp/hatawa-koko/cabinet/05113867/imgrc0077581250.jpg?fitin=700:700,1728.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,メルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】,ヘンプやマイクロラメ、ロゼッタコードにも使えます,"<BR><font size=""3"" color=""#F006666""><B>

<BR><BR>
こちらはお取り寄せ商品になります。
<br><br>発送までに10日間程度お時間を頂戴いたします。<BR>
*ご注文の数によっては発送が遅くなる場合があります。メールにてご連絡いたします。<br>
*予告なくメーカー廃盤となる場合がございます。</font></B>
<br>
<BR><br>",メルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】：旗の村松・手芸の村松,手芸毛糸旗生地ファスナー染料のぼり旗国旗手芸材料裁縫スチボール動眼梵天バラ徽章送料無料クロバーエコクラフトリッチモアはさみダイロンメルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】,ヘンプやマイクロラメ、ロゼッタコードにも使えます。メルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】[rn]
11-72602,http://tshop.r10s.jp/hatawa-koko/cabinet/hamanaka/img68747671.jpg?fitin=700:700,496.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,【送料無料】ハマナカ　カニカンキットセット1組入3袋単位でのご注文をお願いいたします,品質保証☆ハマナカの副資材。送料無料でお届けいたします☆,,【送料無料】ハマナカ　カニカンキットセット1組入3袋単位でのご注文をお願いいたします：旗の村松・手芸の村松,手芸毛糸旗生地ファスナー染料のぼり旗国旗手芸材料裁縫スチボール動眼梵天バラ徽章送料無料クロバーエコクラフトリッチモアはさみダイロン【送料無料】ハマナカ　カニカンキットセット1組入3袋単位でのご注文をお願いいたします,品質保証☆ハマナカの副資材。送料無料でお届けいたします☆。【送料無料】ハマナカ　カニカンキットセット1組入3袋単位でのご注文をお願いいたします[rn]
11-72603,http://tshop.r10s.jp/hatawa-koko/cabinet/05113867/imgrc0077581183.jpg?fitin=700:700,1296.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,【送料無料】メルヘンアート　ヘンプトゥワイン中タイプ　草木染・藍染同色3個セットのお値段です9種類からお選びください【ゆうパケ又は定形外】,上質な原草を紡績し、日本の高度な染色技術で染めています,,【送料無料】メルヘンアート　ヘンプトゥワイン中タイプ　草木染・藍染同色3個セットのお値段です9種類からお選びください【ゆうパケ又は定形外】：旗の村松・手芸の村松,手芸毛糸旗生地ファスナー染料のぼり旗国旗手芸材料裁縫スチボール動眼梵天バラ徽章送料無料クロバーエコクラフトリッチモアはさみダイロン【送料無料】メルヘンアート　ヘンプトゥワイン中タイプ　草木染・藍染同色3個セットのお値段です9種類からお選びください【ゆうパケ又は定形外】,上質な原草を紡績し、日本の高度な染色技術で染めています。【送料無料】メルヘンアート　ヘンプトゥワイン中タイプ　草木染・藍染同色3個セットのお値段です9種類からお選びください【ゆうパケ又は定形外】[rn]
11-72604,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1285_1.jpg?fitin=700:700,4320.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,スーパーレジンＵＶクリスタルランプ＜３６Ｗ＞　【レジン】【レジンクラフトシリーズ】,スーパーレジンＵＶクリスタルランプ,"◆３６Ｗ
トレーにフレームが約６ケ入ります。
硬化時間目安：約３～５分
タイマー約２分スイッチがあります
硬化時間の目安としてお使いください
トレーは引出式です

●本体仕様
100Ｖ・50/60Ｈｚ共用
電源コード長さ約160ｃｍ
外径寸法　約W218ｍｍ×D248mm×H100ｍｍ
製品質量　本体約890ｇ　ランプ約30ｇ

【レジンクラフト基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、ＵＶクリスタルランプ9ＷもしくはＵＶクリスタルランプ３６Ｗにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。


●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",スーパーレジンＵＶクリスタルランプ＜３６Ｗ＞　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼスーパーレジンＵＶクリスタルランプ＜３６Ｗ＞　【レジン】【レジンクラフトシリーズ】,スーパーレジンＵＶクリスタルランプ。スーパーレジンＵＶクリスタルランプ＜３６Ｗ＞　【レジン】【レジンクラフトシリーズ】[rn]
11-72605,http://tshop.r10s.jp/yanagiya/cabinet/item15/yng2014-3772_1.jpg?fitin=700:700,345.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,ペベオ・ヴィトラーユ　レジンクラフトの着色に最適　　カラー材、vitrail　レジン液に混ぜれば透明感のある美しい色がつくれます　溶剤系絵の具　レジンクラフト周辺副資材【レジン】【レジンクラフトシリーズ】,レジン液に混ぜ美しい透明感と色彩を,"<img src=""http://image.rakuten.co.jp/yanagiya/cabinet/item15/yng2014-3772_1.jpg"" alt=""ペベオ・ヴィトラーユ　レジンクラフトの着色に最適　　カラー材"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/yanagiya/cabinet/item15/yng2014-3772_2.jpg"" alt=""ペベオ・ヴィトラーユ　レジンクラフトの着色に最適　　カラー材"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/yanagiya/cabinet/item15/yng2014-3772_3.jpg"" alt=""ペベオ・ヴィトラーユ　レジンクラフトの着色に最適　　カラー材"" width=""100%""><br>

<br>
内容量：２０ｍｌ<br>

素材：アルキド樹脂・顔料・石油系溶剤
<br>
フランス製<br>
<br>
<br>



レジンクラフトのカラー材、ガラス・金属の色付けにも♪<br>

レジン液につまようじなどで１～２滴加えてよく混ぜ合わせて硬化。<br>

2色以上混ぜ合わせてお好きな色を作ることもできます。1色でも量の加減で濃淡を調整できます。<br>

美しい透明感と色彩をお楽しみください。<br>
<br>


●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",ペベオ・ヴィトラーユ　レジンクラフトの着色に最適　　カラー材、vitrail　レジン液に混ぜれば透明感のある美しい色がつくれます　溶剤系絵の具　レジンクラフト周辺副資材【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼペベオ・ヴィトラーユ　レジンクラフトの着色に最適　　カラー材、vitrail　レジン液に混ぜれば透明感のある美しい色がつくれます　溶剤系絵の具　レジンクラフト周辺副資材【レジン】【レジンクラフトシリーズ】,レジン液に混ぜ美しい透明感と色彩を。ペベオ・ヴィトラーユ　レジンクラフトの着色に最適　　カラー材、vitrail　レジン液に混ぜれば透明感のある美しい色がつくれます　溶剤系絵の具　レジンクラフト周辺副資材【レジン】【レジンクラフトシリーズ】[rn]
11-72606,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1277_1.jpg?fitin=700:700,1080.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,UVクラフトレジン液　＜２５ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】,ＵＶクラフトレジン液　紫外線硬化樹脂液,"内容量：２５ｇ
成分：特殊アクリレート樹脂
硬化スピードが速い！紫外線硬化樹脂液

◆太陽光にあてる場合は晴天日で約５～３０分で固まります。
（液の厚み、紫外線光量により異なります）
◆先細の形状で、流しやすい！
◆紫外線に当てないと硬化しないため、作業しやすい


【基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、ＵＶクリスタルランプにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。

【注意事項】
火気厳禁　第四類第三石油類
取扱いには十分ご注意ください

●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",UVクラフトレジン液　＜２５ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼUVクラフトレジン液　＜２５ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】,ＵＶクラフトレジン液　紫外線硬化樹脂液。UVクラフトレジン液　＜２５ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】[rn]
11-72607,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1282_1.jpg?fitin=700:700,633.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,【納期未定】　クラフトレジン拭き取り液　＜１００ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】,クラフトレジン拭き取り液　硬化前のUVレジン液を取る洗浄液,"内容量：１００ｇ
成分：水・エタノール・トリエタノールアミン等
硬化前のＵＶレジン液を取る洗浄液。布などに含ませて拭き取ってください。

【レジンクラフト基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、別売りのＵＶクリスタルランプ9Ｗもしくは別売りのＵＶクリスタルランプ３６Ｗにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。




●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",【納期未定】　クラフトレジン拭き取り液　＜１００ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼ【納期未定】　クラフトレジン拭き取り液　＜１００ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】,クラフトレジン拭き取り液　硬化前のUVレジン液を取る洗浄液。【納期未定】　クラフトレジン拭き取り液　＜１００ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】[rn]
11-72608,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1279_1.jpg?fitin=700:700,2088.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,UVソフトレジン液　＜５５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】,ＵＶソフトレジン液　ソフトな感触の仕上,"内容量：５５ｇ
成分：特殊アクリレート樹脂
ＵＶソフトレジン液　ソフトな感触の仕上がりでコーティング等に最適

◆太陽光にあてる場合は晴天日で約５～３０分で固まります。
（液の厚み、紫外線光量により異なります）
◆先細の形状で、流しやすい！
◆紫外線に当てないと硬化しないため、作業しやすい


【基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、ＵＶクリスタルランプにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。

【注意事項】
火気厳禁　第四類第三石油類
取扱いには十分ご注意ください

●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",UVソフトレジン液　＜５５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼUVソフトレジン液　＜５５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】,ＵＶソフトレジン液　ソフトな感触の仕上。UVソフトレジン液　＜５５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】[rn]
11-72609,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1276_1.jpg?fitin=700:700,2088.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,UVクラフトレジン液　＜55ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】,ＵＶクラフトレジン液　紫外線硬化樹脂液,"内容量：５５ｇ
成分：特殊アクリレート樹脂
硬化スピードが速い！紫外線硬化樹脂液

◆太陽光にあてる場合は晴天日で約５～３０分で固まります。
（液の厚み、紫外線光量により異なります）
◆先細の形状で、流しやすい！
◆紫外線に当てないと硬化しないため、作業しやすい


【基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、ＵＶクリスタルランプにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。

【注意事項】
火気厳禁　第四類第三石油類
取扱いには十分ご注意ください

●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",UVクラフトレジン液　＜55ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼUVクラフトレジン液　＜55ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】,ＵＶクラフトレジン液　紫外線硬化樹脂液。UVクラフトレジン液　＜55ｇ＞　硬化スピードが速い！紫外線硬化樹脂液　【レジン】【レジンクラフトシリーズ】[rn]
11-72610,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1283_1.jpg?fitin=700:700,273.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,クラフトレジン拭き取り液　＜３０ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】,クラフトレジン拭き取り液　硬化前のUVレジン液を取る洗浄液,"内容量：３０ｇ
成分：水・エタノール・トリエタノールアミン等
硬化前のＵＶレジン液を取る洗浄液。布などに含ませて拭き取ってください。

【レジンクラフト基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、別売りのＵＶクリスタルランプ9Ｗもしくは別売りのＵＶクリスタルランプ３６Ｗにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。




●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",クラフトレジン拭き取り液　＜３０ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼクラフトレジン拭き取り液　＜３０ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】,クラフトレジン拭き取り液　硬化前のUVレジン液を取る洗浄液。クラフトレジン拭き取り液　＜３０ｇ＞硬化前のUVレジン液を取る洗浄液　【レジン】【レジンクラフトシリーズ】[rn]
11-72611,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1290_1.jpg?fitin=700:700,576.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,ジェルレジン　＜１２ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】,ジェルレジン　２種類の駅を混ぜ合わせるレジンクラフト,"◆２種類の液体を混ぜ合わせて製作するレジンクラフトです。立体物ができ、本格的な作品が製作出来ます。
◆セット内容<Br>
      ・樹脂液（主液）　・硬化液　・手袋１枚　・マドラー１本　・取扱説明書<br><Br>
成分：主液／エポキシ樹脂　硬化液／ポリエーテルアミン

【ジェルレジン　基本の作り方】
１.　作業をする前に手袋をします。
２.　クラフトカップを使用し、先に主液を量り、次に硬化液を2：1の割合で計量しいれます。
３.　付属のマドラーで一方向に混ぜ合わせます。初めは気泡により白く濁っていますが次第に透明になります。混ぜムラが無くなるまでよく混ぜ合わせましょう。
４.液をそそぐ　
立体作品に使用する場合：シリコン型等の型抜きに３の混合液をレジンマドラーに伝わせて静かに流し込みます。深さ3ｃｍ以上の場合は数回に分けて固めましょう。
平面作品のコーティングに使用する場合：作品の中央から静かに流します

５.　ご使用前に付属の説明書をお読み下さい。




●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",ジェルレジン　＜１２ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼジェルレジン　＜１２ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】,ジェルレジン　２種類の駅を混ぜ合わせるレジンクラフト。ジェルレジン　＜１２ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】[rn]
