11-25501,,4628.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：800<br>●色：ブルーグレー<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：3<br>●質量(g)：85<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1[rn]
11-25502,,5948.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　イエロー色【STB-30A】(3754243) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ワイヤのナイロンコーティングにより耐久性・静粛性・安全性を確保します。<br>●ハンドル外周部は滑りにくいエラストマー樹脂で操作性を更に向上します。<br>●ツールの落下防止機構を標準装備しています。<br>●RoHS指令適合製品です。",『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　イエロー色【STB-30A】(3754243) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　イエロー色【STB-30A】(3754243) 受注単位1,作業用品\電動工具・油圧工具\ツールバランサー。『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　イエロー色【STB-30A】(3754243) 受注単位1[rn]
11-25503,,7648.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【Z43F 600】(1218565) 金型砥石　ＹＨＺ　６００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●S45C～SKD11まで幅広く対応可能です。<br><br>●金型用研磨砥石、中仕上げ用。<br><br>●粒度(#)：600<br>●色：青<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：5<br>●質量(g)：144<br><br>●砥石の硬さ：ソフトタイプ<br><br>",『カード対応OK！』■〒大和製砥所/チェリー【Z43F 600】(1218565) 金型砥石　ＹＨＺ　６００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【Z43F 600】(1218565) 金型砥石　ＹＨＺ　６００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【Z43F 600】(1218565) 金型砥石　ＹＨＺ　６００ 受注単位1[rn]
11-25504,,3106.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　アイボルトタイプ　イエロー色【STB-15B】(3754227) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ワイヤのナイロンコーティングにより摩耗粉の発生を無くし耐久性・静粛性・安全性を確保します。<br>●荷重調整が簡単なダイヤル式ハンドルです。<br>●RoHS指令適合製品です。",『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　アイボルトタイプ　イエロー色【STB-15B】(3754227) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　アイボルトタイプ　イエロー色【STB-15B】(3754227) 受注単位1,作業用品\電動工具・油圧工具\ツールバランサー。『カード対応OK！』■〒中発販売/Ｒｅｅｌｅｘ　ツールバランサー　アイボルトタイプ　イエロー色【STB-15B】(3754227) 受注単位1[rn]
11-25505,,8548.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【M46D 400】(1217917) 金型砥石　ＹＴＭ　４００＃ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●最終・鏡面仕上げ用です。<br>●磨き加工に最適な結合条件を備え、ガラス、非鉄金属にも使用可能です。粒度は色で識別できます。<br><br>●金型用研磨砥石、最終仕上げ、鏡面仕上げ用。<br><br>●粒度(#)：400<br>●色：緑<br>●長さ(mm)：100<br>●幅(mm)：6<br>●厚み(mm)：3<br>●質量(g)：100<br><br><br>",『カード対応OK！』■〒大和製砥所/チェリー【M46D 400】(1217917) 金型砥石　ＹＴＭ　４００＃ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【M46D 400】(1217917) 金型砥石　ＹＴＭ　４００＃ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【M46D 400】(1217917) 金型砥石　ＹＴＭ　４００＃ 受注単位1[rn]
11-25506,,4864.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【S63D 320】(4167881) 金型砥石　ＹＨＳ（硫黄入り）　３２０＃ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●硫黄を含浸させた砥石です。<br>●粗仕上げ、中仕上げ用砥石です。<br>●仕上げ面が均一に仕上がります。<br>●湿式で使用ください。<br><br>●フライス、旋盤加工の面仕上げ。<br>●硬い砥石なので角部の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：320<br>●色：黄<br>●長さ(mm)：150<br>●幅(mm)：13<br>●厚み(mm)：3<br>●質量(g)：125<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>●硫黄含浸<br>",『カード対応OK！』■〒大和製砥所/チェリー【S63D 320】(4167881) 金型砥石　ＹＨＳ（硫黄入り）　３２０＃ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【S63D 320】(4167881) 金型砥石　ＹＨＳ（硫黄入り）　３２０＃ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【S63D 320】(4167881) 金型砥石　ＹＨＳ（硫黄入り）　３２０＃ 受注単位1[rn]
11-25507,,7355.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C46D 800】(4167694) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：800<br>●色：ブルーグレー<br>●長さ(mm)：100<br>●幅(mm)：6<br>●厚み(mm)：3<br>●質量(g)：80<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C46D 800】(4167694) 金型砥石　Ｃ（カーボン）　８００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C46D 800】(4167694) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C46D 800】(4167694) 金型砥石　Ｃ（カーボン）　８００ 受注単位1[rn]
11-25508,,8554.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C43F 1200】(4167554) 金型砥石　Ｃ（カーボン）　１２００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：1200<br>●色：ブルーグレー<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：5<br>●質量(g)：144<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C43F 1200】(4167554) 金型砥石　Ｃ（カーボン）　１２００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C43F 1200】(4167554) 金型砥石　Ｃ（カーボン）　１２００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C43F 1200】(4167554) 金型砥石　Ｃ（カーボン）　１２００ 受注単位1[rn]
11-25509,,1122.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【AO-1004M】(4088522) ジーベックセラミック砥石　橙　＃４００　１００ｘ４ｘ１ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●「折れない」「割れない」「欠けない」、目づまりしません。<br>●面精度が均一です。<br><br>●超音波研磨機。<br>●往復、左右運動工具。(空気、電気）<br><br>●粒度(#)：400<br>●色：橙<br>●長さ(mm)：100<br>●幅(mm)：4<br>●厚み(mm)：1<br>●質量(g)：1.2<br><br><br>●アルミナ繊維<br>",『カード対応OK！』■〒大和製砥所/チェリー【AO-1004M】(4088522) ジーベックセラミック砥石　橙　＃４００　１００ｘ４ｘ１ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【AO-1004M】(4088522) ジーベックセラミック砥石　橙　＃４００　１００ｘ４ｘ１ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【AO-1004M】(4088522) ジーベックセラミック砥石　橙　＃４００　１００ｘ４ｘ１ 受注単位1[rn]
11-25510,,840.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【F4】(1214021) 油砥石　角　Ａ細目 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●強靭な材質のA砥粒を主原料として作られています。<br><br>●鉄や鋼など抗張力の高いもののバリ取りや取りシロの多い粗仕上げに最適。<br><br>●タイプ：A細目<br>●形状：角<br>●長さ(mm)：100<br>●幅(mm)：25<br>●厚み(mm)：13<br><br><br>",『カード対応OK！』■〒大和製砥所/チェリー【F4】(1214021) 油砥石　角　Ａ細目 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【F4】(1214021) 油砥石　角　Ａ細目 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【F4】(1214021) 油砥石　角　Ａ細目 受注単位1[rn]
11-25511,,6523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【M43F 800】(1218093) 金型砥石　ＹＴＭ　８００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●最終・鏡面仕上げ用です。<br>●磨き加工に最適な結合条件を備え、ガラス、非鉄金属にも使用可能です。粒度は色で識別できます。<br><br>●金型用研磨砥石、最終仕上げ、鏡面仕上げ用。<br><br>●粒度(#)：800<br>●色：桃色<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：5<br>●質量(g)：150<br><br><br>",『カード対応OK！』■〒大和製砥所/チェリー【M43F 800】(1218093) 金型砥石　ＹＴＭ　８００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【M43F 800】(1218093) 金型砥石　ＹＴＭ　８００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【M43F 800】(1218093) 金型砥石　ＹＴＭ　８００ 受注単位1[rn]
