16-26301,,412.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4”プラスビットＥ63型 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●1/4インチ（6.35mm）のE6.3型プラスビットです。<br>
●あらゆる産業のねじ締め<br>
●刃先:[[(+)]]3<br>
●全長(mm):50<br>
●塗装色:クローム<br>
●差込角(mm):6.35<br>
●シャンク径:6.35mm<br>
●DIN3126、ISO1173、E6.3型<br>
●クロムバナジウム鋼<br>
●全身焼き入れ",■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1：クローバー資材館,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1,作業用品\ドライバービット。■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1[rn]
16-26302,,252.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒新亀製作所/サンフラッグ 電動工具【13-ESB-2-6-65】(7767951) サンフラッグ ブロンズ両頭ビット2本組＃2Ｘ6．0Ｘ65mm 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●精密性に優れた特殊表面加工により、ビスの食いつきが抜群です。<br>
●ねばり強く、耐摩耗性・耐衝撃性に優れています。<br>
●充電・電動ドライバー用ビットとして。<br>
●刃先:[[(+)]]2×[[(-)]]6<br>
●全長(mm):65<br>
●パック入数(本):2<br>
●シャンク径:6.35mm<br>
●刃先:マグネット入り<br>
●特殊鋼",■〒新亀製作所/サンフラッグ 電動工具【13-ESB-2-6-65】(7767951) サンフラッグ ブロンズ両頭ビット2本組＃2Ｘ6．0Ｘ65mm 発注単位1：クローバー資材館,■〒新亀製作所/サンフラッグ 電動工具【13-ESB-2-6-65】(7767951) サンフラッグ ブロンズ両頭ビット2本組＃2Ｘ6．0Ｘ65mm 発注単位1,作業用品\ドライバービット。■〒新亀製作所/サンフラッグ 電動工具【13-ESB-2-6-65】(7767951) サンフラッグ ブロンズ両頭ビット2本組＃2Ｘ6．0Ｘ65mm 発注単位1[rn]
16-26303,,530.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【SST142150】(4940563) サキスボトーションビットＳＳＴ　２本組（両頭）＋２×１５０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●くびれ部のクッション効果で電動インパクトの衝撃を吸収し、ビットが跳ねる事がなく、スムーズに打ち込めます。<br>●トーション効果により耐久性もUPします。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●ダクト、サイディングなどでのドリルネジ作業。<br>●根太打ち、コンパネ取り付け、2X4などのロングビス、プラグレスビスもOK。<br>●各種リフォーム向けのロングサイズも用意。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：150<br>●質量(g)：64<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●マグネット入り <br>●両頭ビット<br><br>●工業用特殊合金鋼<br>",『カード対応OK！』■〒ベッセル【SST142150】(4940563) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【SST142150】(4940563) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;１５０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【SST142150】(4940563) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;１５０ｍｍ 受注単位1[rn]
16-26304,,3952.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒新亀製作所/サンフラッグ 電動工具【LG-6100】(7768516) サンフラッグ ＬグリップスリムＰＲＯ差替タイプ 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●「差替タイプ」＆「小型ヘッド」で極小スペースでの作業がスムーズかつスピーディーに行えます。<br>
●１８Ｖ対応でパワフルな作業が可能です。<br>
●コーススレッド全長120mmまで打ち込み可能です。（75mmまで推奨）<br>
●機械の入りにくい箇所・奥まった箇所・壁際での作業に。<br>
●全長(mm):134<br>
●差込角(mm):6.35<br>
●ヘッド幅(mm):57<br>
●シャンク径:6.35mm<br>
●最大トルク(kgf.cm):500(49Nm)<br>
●ハンドル<br>
●スリスタビット<br>
●差替式ビット",■〒新亀製作所/サンフラッグ 電動工具【LG-6100】(7768516) サンフラッグ ＬグリップスリムＰＲＯ差替タイプ 発注単位1：クローバー資材館,■〒新亀製作所/サンフラッグ 電動工具【LG-6100】(7768516) サンフラッグ ＬグリップスリムＰＲＯ差替タイプ 発注単位1,作業用品\ドライバービット。■〒新亀製作所/サンフラッグ 電動工具【LG-6100】(7768516) サンフラッグ ＬグリップスリムＰＲＯ差替タイプ 発注単位1[rn]
16-26305,,194.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒新亀製作所/サンフラッグ 電動工具【BH10】(7768133) サンフラッグ ビットホルダー10本組 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ビットがばらけず、保管に便利です。<br>
●シャンク径6.35mmのビットを収納できます。<br>
●ビットの収納に。<br>
●全長(mm):84<br>
●適用:10本用<br>
●ポリエチレン",■〒新亀製作所/サンフラッグ 電動工具【BH10】(7768133) サンフラッグ ビットホルダー10本組 発注単位1：クローバー資材館,■〒新亀製作所/サンフラッグ 電動工具【BH10】(7768133) サンフラッグ ビットホルダー10本組 発注単位1,作業用品\ドライバービット。■〒新亀製作所/サンフラッグ 電動工具【BH10】(7768133) サンフラッグ ビットホルダー10本組 発注単位1[rn]
16-26306,,296.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBL-20】(7652348) 六角ロングビット　１５０Ｌ　２．０ｍｍ 受注単位1,作業用品\ドライバービット\片頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●六角穴ねじ（キャップスクリュー・セットスクリューなど）のねじ締めに最適です。<br><br>●機械組み立て、解体作業、機器メンテナンス、工場内作業。<br><br>●全長(mm)：150<br>●硬さ：H<br>●対辺(mm)：2.0<br><br>●シャンク径：6.35mm<br><br>●特殊鋼<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBL-20】(7652348) 六角ロングビット　１５０Ｌ　２．０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBL-20】(7652348) 六角ロングビット　１５０Ｌ　２．０ｍｍ 受注単位1,作業用品\ドライバービット\片頭ビット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBL-20】(7652348) 六角ロングビット　１５０Ｌ　２．０ｍｍ 受注単位1[rn]
16-26307,,140.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBI-20】(7652275) 六角ビット　６５Ｌ　２．０ｍｍ 受注単位1,作業用品\ドライバービット\片頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●六角穴ねじ（キャップスクリュー・セットスクリューなど）のねじ締めに最適です。<br><br>●機械組み立て、解体作業、機器メンテナンス、工場内作業。<br><br>●全長(mm)：65<br>●対辺(mm)：2.0<br>●硬さ：H<br><br>●シャンク径：6.35mm<br><br>●特殊鋼<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBI-20】(7652275) 六角ビット　６５Ｌ　２．０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBI-20】(7652275) 六角ビット　６５Ｌ　２．０ｍｍ 受注単位1,作業用品\ドライバービット\片頭ビット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【THBI-20】(7652275) 六角ビット　６５Ｌ　２．０ｍｍ 受注単位1[rn]
16-26308,,140517.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TIT44S-BK】(7672110) インポートツールセット　４４点　ブラック色 受注単位1,作業用品\工具セット\整備用工具セット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●各工具カテゴリにおける、世界のトップブランド工具を厳選した、最高グレードの工具セットです。<br>●安全面、作業効率を高める機能性もさることながら、「こだわり」のデザイン、質感をしっかりと実感していただくことができます。<br>●自らの仕事と道具に高い意識を持つ、「プロ」のための最上位工具セットです。<br><br><br>●ケース色：ブラック<br>●ケース寸法(mm)間口×奥行×高さ：412×220×289<br>●セット内容(点)：44<br>●差込角(mm)：12.7<br>●差込角：12.7mm（1/2inch）<br>●工具箱サイズ（mm）間口Ｘ奥行Ｘ高さ：470Ｘ220Ｘ343<br><br>●三段開き工具箱<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TIT44S-BK】(7672110) インポートツールセット　４４点　ブラック色 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TIT44S-BK】(7672110) インポートツールセット　４４点　ブラック色 受注単位1,作業用品\工具セット\整備用工具セット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TIT44S-BK】(7672110) インポートツールセット　４４点　ブラック色 受注単位1[rn]
16-26309,,236032.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒京都機械工具/ＫＴＣ【SK8300A】(4974085) ハイメカツ－ルセット 受注単位1,作業用品\工具セット\整備用工具セット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●一般機械、装置、建機、重機、自動車などあらゆる機械類の整備に対応します。<br>●ハイメカツールセットは、整備に必要な工具を豊富に組み入れたシリーズ最高級のセットです。<br>●ケースは機能性、作業性、効率性を高めるEKW-1007シリーズを採用しています。<br><br>●自動車整備・機械整備に最適<br><br>●ケース色：シルバー<br>●ケース寸法(mm)間口×奥行×高さ：740×470×910<br>●セット内容(点)：212<br><br><br>",『カード対応OK！』##■〒京都機械工具/ＫＴＣ【SK8300A】(4974085) ハイメカツ&minus;ルセット 受注単位1：クローバー資材館,『カード対応OK！』##■〒京都機械工具/ＫＴＣ【SK8300A】(4974085) ハイメカツ&minus;ルセット 受注単位1,作業用品\工具セット\整備用工具セット。『カード対応OK！』##■〒京都機械工具/ＫＴＣ【SK8300A】(4974085) ハイメカツ&minus;ルセット 受注単位1[rn]
16-26310,,408.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-150】(7686986) ネジに喰いつくビット２本組　＋２Ｘ１５０ｍｍ　ＭＧ付 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ねじとかん合する面に形成されたダブルの突起がネジに喰いつく画期的な構造の電動用ダブルビットです。<br>●オリジナル特殊合金鋼を使用しており、優秀な耐久性を発揮いたします。<br>●ＪＩＳ規格及びＪＣＩＳ規格などに基づき、厳しい寸法精度で製作し、ネジとのかん合は抜群です。<br>●表面が硬く均一で錆びに強い無電解ニッケル仕上げです。<br><br>●焼入れをしていないコースレッド・木ネジの取り付けに最適です。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：150<br><br>●シャンク径：6.35mm<br><br>●オリジナル特殊合金<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-150】(7686986) ネジに喰いつくビット２本組　＋２Ｘ１５０ｍｍ　ＭＧ付 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-150】(7686986) ネジに喰いつくビット２本組　＋２Ｘ１５０ｍｍ　ＭＧ付 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-150】(7686986) ネジに喰いつくビット２本組　＋２Ｘ１５０ｍｍ　ＭＧ付 受注単位1[rn]
16-26311,,1683.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACMH9-EH】(7536488) カラービット＆エクステンションホルダーセット　ハンドル付 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラス・マイナス・六角レンチのカラービットとビットの延長ができるエクステンションホルダーのセットです。<br><br><br>●全長(mm)：65<br>●質量(g)：241<br><br><br>●ビット：クロムモリブデンバナジウム鋼<br>●エクステンションホルダー：合金鋼、真鍮<br>●ハンドル：ＰＰ＋ＴＰＥ<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACMH9-EH】(7536488) カラービット＆エクステンションホルダーセット　ハンドル付 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACMH9-EH】(7536488) カラービット＆エクステンションホルダーセット　ハンドル付 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACMH9-EH】(7536488) カラービット＆エクステンションホルダーセット　ハンドル付 受注単位1[rn]
16-26312,,785.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACM5-2130】(4729994) カラービット５本組　＋２×１３０ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●両頭タイプです。<br>●両端部非塗装で刃先精度が抜群です。<br><br><br>●刃先：[[(+)]]2<br>●全長(mm)：130<br>●塗装色：黄<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACM5-2130】(4729994) カラービット５本組　＋２&times;１３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACM5-2130】(4729994) カラービット５本組　＋２&times;１３０ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACM5-2130】(4729994) カラービット５本組　＋２&times;１３０ 受注単位1[rn]
