16-132501,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/imgrc0070131103.jpg?fitin=700:700,352.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　メリノスタイル極太,,"<font color=""#2f4f4f"" size=""3"">
手編み糸に最適なクリンプの多いミクロンタイプの特別にセレクトされたメリノウールを使用。<br></font>
<BR>
<FONT color=""#000066"">[素材]</FONT>
<FONT color=""#660033"">　　　：ウール(メリノ)100%<BR></FONT>
<BR>
<FONT color=""#000066"">[重さ・長さ]</FONT>
<FONT color=""#660033"">：40g　約65m</FONT><BR>
<FONT color=""#000066"">[使用針]</FONT>
<FONT color=""#660033"">　　：棒針　9～11号<BR>
　　　　　　　かぎ針　8/0～9/0号</FONT><BR>
<FONT color=""#000066"">[標準ゲージ]</FONT>
<FONT color=""#660033"">：　</FONT><BR>
<FONT color=""#000066"">[使用糸量]</FONT>
<FONT color=""#660033"">　：婦人プルオーバー　10玉<BR>
　　　　　　　紳士プルオーバー　12～13玉</FONT><BR>
<BR>
<FONT color=""#ff0000"">ご注意</FONT>
<FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と<BR>
異なることがございます。また注文が集中した場合など、<BR>
発送が遅れたり、店頭販売と在庫が重複しているため在庫<BR>
切れで販売できなくなる場合がございます。
</FONT>
<br>クロネコＤＭ便　不可<br><br>",ダルマ毛糸　メリノスタイル極太：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　メリノスタイル極太,ダルマ毛糸　メリノスタイル極太[rn]
16-132502,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/imgrc0064104090.jpg?fitin=700:700,416.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　さらっとウール中細,最高品質「エクストラファインメリノ防縮加工」を100％使用,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#333333"" size=""3"">数多くのメリノ種の中からも厳選し、最高品質「エクストラファインメリノ（19.5ミクロン）」を100％使用しています。 <br>防縮加工することにより、編み目の美しさ、上質な光沢感はもちろん、触れた時のさらっとしたさわやかな質感も生まれました。 <br>どこまでも柔らかく繊細な肌触りで、肌に直接ふれるウエアやマフラーなど、秋・冬・春の３シーズンにかけてお使いいただけます。 </font>       </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ウール(エクストラファインメリノ・防縮加工)100%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g　約122m</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　3～4号<br>かぎ針　3/0～4/0号</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">27～29目 14～15段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー長袖　14～15玉<BR>紳士プルオーバー長袖　17～19玉</FONT></TD>    </TR></TABLE><br><font color=""#ff0000"" size=""4"">＊色番号６番・１０番・１３番は廃盤色になりました。</font><br><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE>",ダルマ毛糸　さらっとウール中細：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　さらっとウール中細,最高品質「エクストラファインメリノ防縮加工」を100％使用。ダルマ毛糸　さらっとウール中細[rn]
16-132503,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/imgrc0067644561.jpg?fitin=700:700,300.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸 コンビネーションウール 在庫限り,ダルマ手編糸,"<font color=""#6a1917"" size=""2"">単色と2色撚りの糸を、コンビーネーション（組み合わせ）で編む毛糸。<br>一見、単色に見えるネイビーや赤、白のカラーはウールをトップ染めすることで深みを持たせています。<br> 色の組み合わせによりシンプルな編み地が引き立ち、洗練されたイメージになります。 </font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ウール100%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g王巻（約38m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　15号～7mm<br>かぎ針　7～8mm</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">12～13目・16.5～17段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　14～15玉<BR>婦人ベスト　9～10玉<BR>紳士プルオーバー　18～19玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE><br><br>クロネコＤＭ便便　不可<br><br>",ダルマ毛糸 コンビネーションウール 在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸 コンビネーションウール 在庫限り,ダルマ手編糸。ダルマ毛糸 コンビネーションウール 在庫限り[rn]
16-132504,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/img58034293.jpg?fitin=700:700,691.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【楽天ランキング入賞商品】ダルマ毛糸　絹のレース糸＃３０,ダルマ　絹のレース糸＃３０　上質なシルクの艶と手ざわり,"【楽天ランキング4位入賞商品】<br>
2016年10月7日極細毛糸ランキング４位受賞しました。<br>
ありがとうございます。<br>
<img src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/02991264/imgrc0070511888.jpg""><br> 
<BR>
ダルマ　絹のレース糸＃３０<br>上質なシルクの艶と手ざわりのちょっと贅沢な絹１００％レース糸。<br>ストールやカーディガンなどが艶やかに仕上がります。<br>重さ：20ｇ、糸長：約148ｍ<br>太さ：レース針2～4号<br>素材：絹　100％<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることが<br>ございます。また、注文が集中した場合など、発送が遅れたり、<br>在庫切れで販売できなくなる可能性がございます。",【楽天ランキング入賞商品】ダルマ毛糸　絹のレース糸＃３０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン【楽天ランキング入賞商品】ダルマ毛糸　絹のレース糸＃３０,ダルマ　絹のレース糸＃３０　上質なシルクの艶と手ざわり。【楽天ランキング入賞商品】ダルマ毛糸　絹のレース糸＃３０[rn]
16-132505,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/img61740908.jpg?fitin=700:700,332.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　　ＳＡＳＡＷＡＳＨＩ（笹和紙）,くま笹を原料にした和紙の糸　,"色番　1,2,3,8,9,11は６月末以降入荷予定です。<br>重さ：25ｇ<br>糸長：73ｍ<br>太さ：かぎ針5/0～7/0号<br>素材：指定外繊維（くま笹和紙）100％<br>その他：帽子、バッグなどこものに<br>糸の特徴：吸湿性・くま笹を原料にした和紙の糸。くま笹の持つ天然の抗菌、防臭、ＵＶカット効果が特徴です。<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダルマ毛糸　　ＳＡＳＡＷＡＳＨＩ（笹和紙）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　　ＳＡＳＡＷＡＳＨＩ（笹和紙）,くま笹を原料にした和紙の糸　。ダルマ毛糸　　ＳＡＳＡＷＡＳＨＩ（笹和紙）[rn]
16-132506,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/img62006467.jpg?fitin=700:700,268.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　　リネン＆ラメ,ベルギー地方のリネンに上品なラメを加えました。,重さ：25ｇ<br>糸長：109ｍ<br>太さ：棒針3～4号、かぎ針4/0～5/0号<br>素材：レーヨン60%、麻（リネン）25%、ポリエステル8%、ナイロン7%<br><br>その他：22～24目 10～11段(長編)<br>婦人ベスト　約7玉　<br>糸の特徴：ベルギーのコルトレイク地方でていねいに育てられたリネンに上品なラメを加えました。<br>ナチュラルで繊細なかぎ針編みに。<br> <br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダルマ毛糸　　リネン＆ラメ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　　リネン＆ラメ,ベルギー地方のリネンに上品なラメを加えました。。ダルマ毛糸　　リネン＆ラメ[rn]
16-132507,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/img59801029.jpg?fitin=700:700,180.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　無撚糸コットン（　廃盤品　）在庫限り,綿そのままのやわらかさを活かした撚りをかけない糸,"重さ：25ｇ<br>
糸長：82ｍ<br>
太さ：棒針4～5号、かぎ針4/0～5/0号<br>
素材：綿100%<br>
その他：メリヤス編標準ゲージ25～26目/35～36段<br>婦人ベスト　約9玉<br>
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>クロネコＤＭ便不可",ダルマ毛糸　無撚糸コットン（　廃盤品　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　無撚糸コットン（　廃盤品　）在庫限り,綿そのままのやわらかさを活かした撚りをかけない糸。ダルマ毛糸　無撚糸コットン（　廃盤品　）在庫限り[rn]
16-132508,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068044439.jpg?fitin=700:700,537.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分 パーキー　エクトリーグラミー,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛（クロイウール）100％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">25ｇ玉巻（約600m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",在庫処分 パーキー　エクトリーグラミー：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分 パーキー　エクトリーグラミー,在庫処分 パーキー　エクトリーグラミー[rn]
16-132509,http://tshop.r10s.jp/ky-kanariya/cabinet/02027889/imgrc0069977763.jpg?fitin=700:700,300.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分 イズスタジオ　シープファー在庫限り,メリヤスでもこもこのファーが編める,重さ：30ｇ<br>糸長：約34ｍ<br>素材：ウール90％、ナイロン10％<br><br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることが<br>ございます。また、注文が集中した場合など、発送が遅れたり、<br>店頭販売と在庫が重複しているため、在庫切れで販売できなくなる<br>可能性がございます。<br><br>クロネコＤＭ便不可,在庫処分 イズスタジオ　シープファー在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分 イズスタジオ　シープファー在庫限り,メリヤスでもこもこのファーが編める。在庫処分 イズスタジオ　シープファー在庫限り[rn]
16-132510,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/03186368/imgrc0067457760.jpg?fitin=700:700,560.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分 ソックス毛糸　ロッキー　MEILENWEIT ROCKY,イタリア製　LANA GROSSA　マルチカラーの毛糸,"<font color=""#6a1917"" size=""3"">マルチカラーの毛糸が編み方によってどんな模様を作っていくのか？<BR>出来上がりが楽しみな毛糸です。<BR>★素材　：　ウォッシュウール80％　ナイロン20％<BR>★仕立　：　1玉 / 100ｇ　　長さ / 420ｍ<BR>★参考使用棒針１号</font><BR>ご注意 モニターにより、色の見え方が実際の商品と異なることがございます。また注文が集中した場合など、<BR>      発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。",在庫処分 ソックス毛糸　ロッキー　MEILENWEIT ROCKY：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分 ソックス毛糸　ロッキー　MEILENWEIT ROCKY,イタリア製　LANA GROSSA　マルチカラーの毛糸。在庫処分 ソックス毛糸　ロッキー　MEILENWEIT ROCKY[rn]
16-132511,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/img62092416.jpg?fitin=700:700,292.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分 リッチモア毛糸（ハマナカ毛糸）バカラエポック＜ファイン＞（　廃盤色　）在庫限り,人気商品バカラエポックの細番手タイプとして登場,"重さ：30ｇ<br>
糸長：140ｍ<br>
太さ：棒針4&#12316;5号・かぎ針4/0&#12316;5/0号<br>
素材：毛89%（アルパカ33%・ウール40%・モヘヤ16%）・
ナイロン11%
<br>
その他：メリヤス編標準ゲージ25目35段（棒針）・23目12段（かぎ針）<br>
婦人セーター8～9玉、婦人ベスト５～6玉<br>
<br>
糸の特徴：しっとりとしたソフトな風合いと<br>
深みのあるグラデーション効果。<br>
 付加価値の高い中細ヤーン。棒針はもとより、<br>
かぎ針、機械編みにも幅広く対応。<br>
<br>
　<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。
<br><br>クロネコＤＭ便便　不可<br><br>",在庫処分 リッチモア毛糸（ハマナカ毛糸）バカラエポック＜ファイン＞（　廃盤色　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分 リッチモア毛糸（ハマナカ毛糸）バカラエポック＜ファイン＞（　廃盤色　）在庫限り,人気商品バカラエポックの細番手タイプとして登場。在庫処分 リッチモア毛糸（ハマナカ毛糸）バカラエポック＜ファイン＞（　廃盤色　）在庫限り[rn]
