16-69801,http://tshop.r10s.jp/dtc/cabinet/20170127n4/4901080724717.jpg?fitin=700:700,530.4000,,ダイエット・健康 > デンタルケア > 歯磨き粉,アース製薬薬用シュミテクトコンプリートワンEX 90g〔歯磨き粉〕,,【歯磨き粉】薬用シュミテクトコンプリートワンEX 90g,アース製薬薬用シュミテクトコンプリートワンEX 90g〔歯磨き粉〕：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneアース製薬薬用シュミテクトコンプリートワンEX 90g〔歯磨き粉〕,アース製薬薬用シュミテクトコンプリートワンEX 90g〔歯磨き粉〕[rn]
16-69802,http://tshop.r10s.jp/dtc/cabinet/20170207n22/4987643122077.jpg?fitin=700:700,984.0000,,ダイエット・健康 > デンタルケア > 歯磨き粉,サンギアパガード プレミオ １００ｇ (ｱﾊﾟｶﾞｰﾄﾞﾌﾟﾚﾐｵ10),　,エナメル質を修復する独自成分「薬用ハイドロキシアパタイト」に、パール成分を新配合。従来品比で歯面光沢度がアップ。アパガード史上最高のツヤと輝き,サンギアパガード プレミオ １００ｇ (ｱﾊﾟｶﾞｰﾄﾞﾌﾟﾚﾐｵ10)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンギアパガード プレミオ １００ｇ (ｱﾊﾟｶﾞｰﾄﾞﾌﾟﾚﾐｵ10),　。サンギアパガード プレミオ １００ｇ (ｱﾊﾟｶﾞｰﾄﾞﾌﾟﾚﾐｵ10)[rn]
16-69803,http://tshop.r10s.jp/dtc/cabinet/20151205r/0000045076411.jpg?fitin=700:700,726.4000,,ダイエット・健康 > デンタルケア > 歯磨き粉,ウェルテックコンクール ジェルコートF 90g,,"歯磨剤とフッ素コート剤がひとつになった！
一歩すすんだジェルタイプのウ蝕・歯周病予防ハミガキ。",ウェルテックコンクール ジェルコートF 90g：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneウェルテックコンクール ジェルコートF 90g,ウェルテックコンクール ジェルコートF 90g[rn]
16-69804,http://tshop.r10s.jp/dtc/cabinet/20170207n22/4987643120059.jpg?fitin=700:700,792.8000,,ダイエット・健康 > デンタルケア > 歯磨き粉,サンギアパガード エムプラス １２５ｇ (ｱﾊﾟｶﾞｰﾄﾞｴﾑﾌﾟﾗｽ1),　,エナメル質を修復する独自成分「薬用ハイドロキシアパタイト」に、パール成分を新配合。従来品比で歯面光沢度がアップ。アパガード史上最高のツヤと輝き,サンギアパガード エムプラス １２５ｇ (ｱﾊﾟｶﾞｰﾄﾞｴﾑﾌﾟﾗｽ1)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンギアパガード エムプラス １２５ｇ (ｱﾊﾟｶﾞｰﾄﾞｴﾑﾌﾟﾗｽ1),　。サンギアパガード エムプラス １２５ｇ (ｱﾊﾟｶﾞｰﾄﾞｴﾑﾌﾟﾗｽ1)[rn]
16-69805,http://tshop.r10s.jp/dtc/cabinet/20150320a/4987643121056.jpg?fitin=700:700,808.0000,,ダイエット・健康 > デンタルケア > 歯磨き粉,サンギアパガード スモーキン １００ｇ (ｱﾊﾟｶﾞｰﾄﾞｽﾓｰｷﾝ10),　,エナメル質を修復する独自成分「薬用ハイドロキシアパタイト」に、パール成分を新配合。従来品比で歯面光沢度がアップ。アパガード史上最高のツヤと輝き。,サンギアパガード スモーキン １００ｇ (ｱﾊﾟｶﾞｰﾄﾞｽﾓｰｷﾝ10)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンギアパガード スモーキン １００ｇ (ｱﾊﾟｶﾞｰﾄﾞｽﾓｰｷﾝ10),　。サンギアパガード スモーキン １００ｇ (ｱﾊﾟｶﾞｰﾄﾞｽﾓｰｷﾝ10)[rn]
16-69806,http://tshop.r10s.jp/dtc/cabinet/20160314n/4901616009622.jpg?fitin=700:700,98.4000,,ダイエット・健康 > デンタルケア > 歯磨き粉,サンスターサンスターDo 薬用こどもハミガキ(イチゴ)70g〔歯磨き粉〕 (ﾄﾞｩｰｸﾘｱｺﾄﾞﾓﾊﾐｶﾞ),,歯へのカルシウムの取り込みを促進して歯質を強化することでムシ歯に負けない強い歯にするハミガキ。,サンスターサンスターDo 薬用こどもハミガキ(イチゴ)70g〔歯磨き粉〕 (ﾄﾞｩｰｸﾘｱｺﾄﾞﾓﾊﾐｶﾞ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンスターサンスターDo 薬用こどもハミガキ(イチゴ)70g〔歯磨き粉〕 (ﾄﾞｩｰｸﾘｱｺﾄﾞﾓﾊﾐｶﾞ),サンスターサンスターDo 薬用こどもハミガキ(イチゴ)70g〔歯磨き粉〕 (ﾄﾞｩｰｸﾘｱｺﾄﾞﾓﾊﾐｶﾞ)[rn]
16-69807,http://tshop.r10s.jp/dtc/cabinet/20170207n6/4901616007864.jpg?fitin=700:700,198.4000,,ダイエット・健康 > デンタルケア > 歯磨き粉,サンスター GUM 電動ハブラシ用デンタルジェル＜医薬部外品＞ 65g,,"■CPC（塩化セチルピリジニウム）の殺菌作用とグリチルリチン酸ジカリウムのハグキの抗炎症作用で歯周病を予防します。
■歯とハグキにやさしい低研磨タイプで電動ハブラシの使用に適しています。
※普通のハブラシでもご使用いただけます。",サンスター GUM 電動ハブラシ用デンタルジェル＜医薬部外品＞ 65g：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンスター GUM 電動ハブラシ用デンタルジェル＜医薬部外品＞ 65g,サンスター GUM 電動ハブラシ用デンタルジェル＜医薬部外品＞ 65g[rn]
16-69808,http://tshop.r10s.jp/dtc/cabinet/20170127n4/4901616214859.jpg?fitin=700:700,318.4000,,ダイエット・健康 > デンタルケア > 歯磨き粉,サンスターDoクリアLEDひとり磨き用替ブラシ (DOｸﾘｱLEDﾋﾄﾘﾊﾌﾞﾗ),,,サンスターDoクリアLEDひとり磨き用替ブラシ (DOｸﾘｱLEDﾋﾄﾘﾊﾌﾞﾗ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンスターDoクリアLEDひとり磨き用替ブラシ (DOｸﾘｱLEDﾋﾄﾘﾊﾌﾞﾗ),サンスターDoクリアLEDひとり磨き用替ブラシ (DOｸﾘｱLEDﾋﾄﾘﾊﾌﾞﾗ)[rn]
16-69809,http://tshop.r10s.jp/soukai/cabinet/14/49354614.jpg?fitin=700:700,1040.0000,,ダイエット・健康 > デンタルケア > 歯磨き粉,スマイルコスメティック ホワイトニングペースト(85mL)【スマイルコスメティック】[ホワイトニング 歯磨き粉 口臭予防],スマイルコスメティック / ホワイトニング 歯磨き粉 口臭予防,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞歯磨き粉 ハミガキ＞ホワイトニング歯磨き粉＞スマイルコスメティック ホワイトニングペースト (85mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z14/z49354614.jpg' width='100%'><br><br>商品区分：(医薬部外品)<br><br>【スマイルコスメティック ホワイトニングペーストの商品詳細】<br>●イオンクレンジング成分がブラッシングにより、歯のキメの蓄積くすみを除去し、歯本来の白さを取り戻す！<br>●ホワイトパウダーがブラッシングにより、舌の汚れ(舌苔)を除去して口中を浄化し、口臭を予防する。<br><br>【効能・効果】<br>・歯を白くする<br>・口中を浄化する<br>・口中を爽快にする<br>・むし歯の発生及び進行の予防<br><br>【ご使用方法】<br>・オーバーキャップをはずして、ノズルを歯ブラシに近づけます。<br>・ハミガキがやわらかいため、ノズル部分をゆっくり押し、たれないように適量(1プッシュ約0.4mL)を歯ブラシにのせてご使用ください。<br>・歯みがきしながら、舌も軽くみがきましょう。<br>・みがいた後はお口をすすぎ、はきだしてください。<br><br>【成分】<br>湿潤剤・・・ソルビット液、グリセリン、PG、PEG-8<br>清掃剤・・・無水ケイ酸A<br>発泡剤・・・ヤシ油脂肪酸アミドプロピルベタイン液、POE硬化ヒマシ油、ラウリル硫酸Na<br>洗浄剤・・・ポリリン酸Na、炭酸水素Na<br>粘結剤・・・PVP、キサンタンガム<br>粘度調整剤・・・無水ケイ酸、ポリアクリル酸Na<br>香味剤・・・香料(ホワイトミントタイプ)、サッカリンNa<br>清涼剤・・・メントール<br>有効成分・・・フッ化ナトリウム<br>pH調整剤・・・水酸化Na<br>保存剤・・・パラベン<br>着色剤・・・雲母Ti、黄4<br><br>【使用上のご注意】<br>・発疹・かゆみなどの異常があらわれたときは使用を中止し、商品を持参し、医師に相談してください。<br>・直射日光の当たらない場所に保管してください。<br>・舌を強くみがくと傷つけることがあります。<br><br>【ブランド】<br>スマイルコスメティック<br><br>【発売元、製造元、輸入元又は販売元】<br>イシュア<br><br>(Smile Cosmetique スマイルコスメティクス スマイルコスメティックス)<br><br>/(/F206809/F238901/F242301/)/<br><br>イシュア<br>107-0062 東京都港区南青山4-17-33<br>0120-140-405<br><br>広告文責：株式会社爽快ドラッグ<br><br>[歯磨き粉 ハミガキ/ブランド：スマイルコスメティック/],スマイルコスメティック ホワイトニングペースト(85mL)【スマイルコスメティック】[ホワイトニング 歯磨き粉 口臭予防]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションスマイルコスメティック ホワイトニングペースト(85mL)【スマイルコスメティック】[ホワイトニング 歯磨き粉 口臭予防],スマイルコスメティック / ホワイトニング 歯磨き粉 口臭予防。スマイルコスメティック ホワイトニングペースト(85mL)【スマイルコスメティック】[ホワイトニング 歯磨き粉 口臭予防][rn]
16-69810,http://tshop.r10s.jp/soukai/cabinet/45/49354645.jpg?fitin=700:700,1200.0000,,ダイエット・健康 > デンタルケア > 歯磨き粉,スマイルコスメティック ティースホワイトパック ハミガキ(6セット)【スマイルコスメティック】[歯磨き粉 口臭予防],スマイルコスメティック / 歯磨き粉 口臭予防,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞歯磨き粉 ハミガキ＞ホワイトニング歯磨き粉＞スマイルコスメティック ティースホワイトパック ハミガキ (6セット)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z45/z49354645.jpg' width='100%'><br><br>【スマイルコスメティック ティースホワイトパック ハミガキの商品詳細】<br>●お肌をパックするように、歯をパックして、歯の蓄積くすみ(着色汚れ)を除去！<br>通常の歯みがきでは落ちにくい、歯のキメに付着した「蓄積くすみ」に、イオンクレンジング成分が高濃度で浸透吸着。ブラッシングですっきり除去して、歯本来の白さとツヤを取り戻し、歯をつるつるに仕上げます。<br><br>【使用方法】<br>(1)シートを白色フィルムからはがし、上下の歯に貼ります。<br>(2)そのまま3分間、貼り付けたままにします。(口を閉じてもかまいません)<br>(3)シートを歯から取り外し、歯に残ったペーストで、(通常お使いになっている)歯ブラシを使用してブラッシングし、その後水ですすいでください。<br><br>【成分】<br>水、シリカ(清掃剤)、ソルビトール(湿潤剤)、ヒドロキシエチルセルロース(粘結剤)、PEG-20水添ヒマシ油(発泡剤)、アルギン酸Na(粘結剤)、三リン酸5Na(清掃助剤)、香料(マイルドシトラスミントタイプ)、ラウリル硫酸Na(発泡剤)、サッカリンNa(甘味剤)、PG<br>【使用上の注意】<br>・口内炎・傷口・湿疹等、粘膜に異常がある場合には、直接つけないでください。<br>・発疹・発赤などの異常やかゆみ、傷みをともなう刺激・知覚過敏などの症状があらわれたときは、使用を中止し、商品を持参して医師に相談してください。<br>・口の中の粘膜が弱い方は、刺激等の症状が出る場合があります。<br>・寝ながらの使用、長時間の使用、1日に2袋以上の使用はしないで下さい。<br>・直射日光や高温の場所を避けて、なるべく涼しい所に保管してください。<br>・子供の手の届かないところに保管してください。子供や体の不自由な方が使用する場合は、保護者などの管理のもとで使用してください。<br>・抗生物質投与等により内部から変色している歯や義歯は、本品では白くできません。<br>・本品は、歯に付着したくすみを除去するもので、歯本来の白さ以上に白くはなりません。<br><br>【ブランド】<br>スマイルコスメティック<br><br>【発売元、製造元、輸入元又は販売元】<br>イシュア<br><br>(Smile Cosmetique スマイルコスメティクス スマイルコスメティックス)<br><br>/(/F238902/F242301/)/<br><br>イシュア<br>107-0062 東京都港区南青山4-17-33<br>0120-140-405<br><br>広告文責：株式会社爽快ドラッグ<br><br>[歯磨き粉 ハミガキ/ブランド：スマイルコスメティック/],スマイルコスメティック ティースホワイトパック ハミガキ(6セット)【スマイルコスメティック】[歯磨き粉 口臭予防]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションスマイルコスメティック ティースホワイトパック ハミガキ(6セット)【スマイルコスメティック】[歯磨き粉 口臭予防],スマイルコスメティック / 歯磨き粉 口臭予防。スマイルコスメティック ティースホワイトパック ハミガキ(6セット)【スマイルコスメティック】[歯磨き粉 口臭予防][rn]
16-69811,http://tshop.r10s.jp/soukai/cabinet/31/4901301278531.jpg?fitin=700:700,577.6000,,ダイエット・健康 > デンタルケア > 歯磨き粉,ディープクリーン 薬用ハミガキ(100g)【kao1610T】【ディープクリーン】[口臭予防 花王],ディープクリーン / 口臭予防 花王★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/sd/sale/saleitem_20170420.gif' border='0' width='100%'><br><br>お店TOP＞バス・洗面＞歯磨き粉 ハミガキ＞大人用歯磨き粉＞ディープクリーン 薬用ハミガキ (100g)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：医薬部外品<br><br>【ディープクリーン 薬用ハミガキの商品詳細】<br>歯槽膿漏・歯肉炎を予防。カテキンEX（茶エキス-1）を閉じ込めたゲルカプセルが、薬用成分とともにハブラシの毛先に押され、歯と歯ぐきの間の奥へ。「高分散処方」でより歯と歯ぐきの間の奥まで、さっと広がり、深く到達。<br>カテキンEXのはたらきで歯ぐきキュッとひきしまり感！<br>抗炎症成分 β-グリチルレチン酸、血行促進成分 酢酸トコフェロール、殺菌成分 塩化セチルピリジニウム、歯質強化成分 フッ素＊配合。<br>緑茶ミントの香味。<br>＊モノフルオロリン酸ナトリウム<br><br>【成分】<br>清浄剤：エリスリトール<br>基剤：ソルビット液、水<br>湿潤剤：PG、濃グリセリン<br>粘度調整剤：無水ケイ酸<br>清掃剤：無水ケイ酸<br>発泡剤：ラウリル硫酸塩、ステアリン酸POEソルビタン、ラウロイルメチルタウリンNa、POE水添ヒマシ油<br>薬用成分：モノフルオロリン酸ナトリウム、酢酸DL-α-トコフェロール、β-グリチルレチン酸、塩化セチルピリジニウム<br>香味剤：香料（緑茶ミントタイプ）、スクラロース<br>矯味剤：硫酸Mg<br>粘結剤：カラギーナン、カンテン末、CMC・Na、PVP、キサンタンガム<br>着色剤：酸化Ti、カラメル、青1<br>コーティング剤：ポリリン酸Na<br>溶剤：エタノール<br>pH調整剤：DL-リンゴ酸、乳酸カルシウム水和物、水酸化ナトリウム液<br>収れん剤：茶エキス-1<br>安定剤：ビタミンC・Na<br>防腐剤：パラベン<br><br>【ブランド】<br>ディープクリーン<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'>ヘアケア、スキンケア用品　0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス　0120-165-696<br>飲料（ヘルシア）　0120-165-697<br>紙おむつ、生理用品　0120-165-695<br>洗濯、掃除、食器洗い用品　0120-165-693<br>ペットケア　0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>(薬用歯磨き 薬用歯磨 薬用歯みがき)<br><br>/(/F229601/F249606/F269407/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[歯磨き粉 ハミガキ/ブランド：ディープクリーン/],ディープクリーン 薬用ハミガキ(100g)【kao1610T】【ディープクリーン】[口臭予防 花王]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションディープクリーン 薬用ハミガキ(100g)【kao1610T】【ディープクリーン】[口臭予防 花王],ディープクリーン / 口臭予防 花王★税抜1900円以上で送料無料★。ディープクリーン 薬用ハミガキ(100g)【kao1610T】【ディープクリーン】[口臭予防 花王][rn]
