16-101401,http://tshop.r10s.jp/akibamac/cabinet/05065716/4989999082838.jpg?fitin=700:700,404.8000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山E－GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS,,■先端が交換できます。<br><br>■一切金属を使用していないので「燃えるゴミ」として処分できます。<br><br>■環境に配慮した商品です。<br><br>■ハンドルに缶エンドフックが付いているので、ペール缶などにかけることができます。<br><br>■持ちやすい構造のグリップです。<br><br>■先端が交換できる刷毛のハンドルと先端刷毛のセットになります。<br><br>【用途】<br>・水性塗料、油性塗料、ラッカーなどの塗装用。<br>・水性接着剤の塗布用。<br><br>【仕様】<br>全長(mm)：245、タイプ：ダスター用（筋違型）、刷毛幅(mm)：50、毛丈(mm)：45、毛先品番：TEGD-50S、ハンドル品番：TEG-50HS、質量(g)：52<br>適合塗料：油性◎<br><br>【材質／仕上】<br>■柄：ポリプロピレン（PP）■スペア上部：ポリプロピレン（PP）<br><br>【原産国】<br>中国,トラスコ中山E&minus;GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山E&minus;GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS,トラスコ中山E&minus;GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS[rn]
16-101402,http://tshop.r10s.jp/akibamac/cabinet/05065886/4989999233407.jpg?fitin=700:700,1501.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山PCホーム刷毛 8号 24mm 10本入 TPB38710,,■サビが出ない、安全刷毛です。<br><br>【用途】<br>・油性、ニス用。<br>・補修、工作用。<br><br>【仕様】<br>刷毛幅(mm)：24、毛丈(mm)：25、全長(mm)：185、質量(g)：70、玉厚（mm）：4<br><br>【材質／仕上】<br>■毛：山羊毛■柄：木（枠：ポリプロピレン（PP））<br><br>【原産国】<br>中国,トラスコ中山PCホーム刷毛 8号 24mm 10本入 TPB38710：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山PCホーム刷毛 8号 24mm 10本入 TPB38710,トラスコ中山PCホーム刷毛 8号 24mm 10本入 TPB38710[rn]
16-101403,http://tshop.r10s.jp/akibamac/cabinet/05065172/4976124421105.jpg?fitin=700:700,442.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ニッペホームプロダクツ水性つやありEXE（ブラックチョコレート） 0.2L (ｽｲｾｲﾂﾔｱﾘEXE0.2L),,■イヤな臭いのない無臭タイプの塗料です。<br>■乾きが早く、乾くと日光や雨に強い塗膜となります。<br>■塗料の粘度が高く塗りにくい時は、水で少しうすめて下さい。<br>■塗り面積（1回塗り）：約2m2（タタミ約1.2枚分）<br>■乾燥時間：夏1時間/冬2時間,ニッペホームプロダクツ水性つやありEXE（ブラックチョコレート） 0.2L (ｽｲｾｲﾂﾔｱﾘEXE0.2L)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンニッペホームプロダクツ水性つやありEXE（ブラックチョコレート） 0.2L (ｽｲｾｲﾂﾔｱﾘEXE0.2L),ニッペホームプロダクツ水性つやありEXE（ブラックチョコレート） 0.2L (ｽｲｾｲﾂﾔｱﾘEXE0.2L)[rn]
16-101404,http://tshop.r10s.jp/akibamac/cabinet/05065887/4989999332803.jpg?fitin=700:700,7800.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【送料無料】トラスコ中山TTM-1000-O TRUSCO ツインテープマスカー 1000X100m 屋外用 (TTM1000O),,●滑りにくく、破れにくいノンスリップタイプのシートの両端にテープがついていますのでシートロールを転がすだけで床面の養生が可能です。<br>●複数の作業者でシートを抑える必要がなく、楽に養生作業ができます。<br>●長い廊下や広い範囲の養生に威力を発揮します。<br>●便利なカッター付きです。<br>●強粘着タイプです。<br>●床養生に。<br>●幅(mm):1000<br>●長さ(m):100<br>●厚み(mm):0.05<br>●タイプ:屋外用<br>●質量(ｋｇ):5.5<br>●テープ色：緑<br>●材質／仕上：○ポリクロステープ・ノンスリップタイプポリエチレンフィルム<br>●セット内容／付属品：○カッター<br>●ご注意：※ハンドル使用時はハンドル先端で床等を傷つけないようにご注意下さい。※作業開始時はシートを少し引き出して床面にテープ部を接着して下さい。※テープが塗装等を傷めることがありますので目立たない箇所で試してご使用下さい。,【送料無料】トラスコ中山TTM-1000-O TRUSCO ツインテープマスカー 1000X100m 屋外用 (TTM1000O)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】トラスコ中山TTM-1000-O TRUSCO ツインテープマスカー 1000X100m 屋外用 (TTM1000O),【送料無料】トラスコ中山TTM-1000-O TRUSCO ツインテープマスカー 1000X100m 屋外用 (TTM1000O)[rn]
16-101405,http://tshop.r10s.jp/akibamac/cabinet/05002039/4538995000980.jpg?fitin=700:700,29592.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【送料無料】アネスト岩田コーティングWA-0609 アネスト岩田 片角自動ガン ノズル口径 Φ0.5 (WA0609),,自動機やロボットなどにセットして使う量産用スプレーガンです。接液部はステンレス製ですから水溶性の液体を吹く場合も問題ありません。,【送料無料】アネスト岩田コーティングWA-0609 アネスト岩田 片角自動ガン ノズル口径 Φ0.5 (WA0609)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】アネスト岩田コーティングWA-0609 アネスト岩田 片角自動ガン ノズル口径 Φ0.5 (WA0609),【送料無料】アネスト岩田コーティングWA-0609 アネスト岩田 片角自動ガン ノズル口径 Φ0.5 (WA0609)[rn]
16-101406,http://tshop.r10s.jp/akibamac/cabinet/05065172/4976124035043.jpg?fitin=700:700,3024.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ニッペホームプロダクツ水性エコエバー 1．6L ホワイト HWX0011.6,,■耐久性・耐候性・密着性に優れた水性つやありシリコンアクリル塗料です。<br><br>■酸性雨・酸性雪・紫外線・排ガス・塩害に強く、汚れにくい塗料です。<br><br>【用途】<br>・屋内外の木部・鉄部・コンクリートなどに。<br><br>【仕様】<br>色：白、容量(L)：1.6、質量(kg)：2.37<br>塗布面積：11～16[[平米]]（1回塗り）、乾燥時間：約30分～1時間(夏30℃)、約2時間(冬10℃）、塗り重ね可能時間：4時間以上(20℃)<br><br>【原産国】<br>日本,ニッペホームプロダクツ水性エコエバー 1．6L ホワイト HWX0011.6：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンニッペホームプロダクツ水性エコエバー 1．6L ホワイト HWX0011.6,ニッペホームプロダクツ水性エコエバー 1．6L ホワイト HWX0011.6[rn]
16-101407,http://tshop.r10s.jp/akibamac/cabinet/05065985/4989999359688.jpg?fitin=700:700,582.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山TPB-543 TRUSCO 多用途刷毛 豚毛 50mm (TPB543),,●弾力性のある豚毛を使用していますのでエポキシ塗料・高粘度塗料でも運びや返しが楽に出来ます。<br>●水性・油性塗料、防水塗料、防虫・防腐剤等に適応します。<br>●屋内外のあらゆる塗装に。<br>●刷毛幅(mm):50<br>●毛丈(mm):35<br>●全長(mm):210<br>●質量(g):30<br>●毛厚(mm):9<br>●玉厚(ｍｍ):９<br>●材質／仕上：○毛:豚毛○柄:木<br><br>,トラスコ中山TPB-543 TRUSCO 多用途刷毛 豚毛 50mm (TPB543)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山TPB-543 TRUSCO 多用途刷毛 豚毛 50mm (TPB543),トラスコ中山TPB-543 TRUSCO 多用途刷毛 豚毛 50mm (TPB543)[rn]
16-101408,http://tshop.r10s.jp/akibamac/cabinet/05065172/4976124300158.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ニッペホームプロダクツメタル用下塗りスプレー 300ML (ﾒﾀﾙｼﾀﾇﾘｽﾌﾟﾚｰ300),,■塗料の密着の悪い非鉄金属にメタル下塗りスプレーを下塗りしますと、上塗りの密着が向上します。<br>■塗り面積（1回塗り）1．6～1．8（タタミ1枚分）<br>■乾燥時間・・・夏：約20分/冬：約40分,ニッペホームプロダクツメタル用下塗りスプレー 300ML (ﾒﾀﾙｼﾀﾇﾘｽﾌﾟﾚｰ300)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンニッペホームプロダクツメタル用下塗りスプレー 300ML (ﾒﾀﾙｼﾀﾇﾘｽﾌﾟﾚｰ300),ニッペホームプロダクツメタル用下塗りスプレー 300ML (ﾒﾀﾙｼﾀﾇﾘｽﾌﾟﾚｰ300)[rn]
16-101409,http://tshop.r10s.jp/akibamac/cabinet/05039503/4957139605582.jpg?fitin=700:700,510.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ロックペイントH62-8805 65 ロック 元気アクリルラッカースプレー ねずみ 300ml (H62880565),,●ダブル霧化ノズルで霧が細かくたれにくいです。<br>●つやが良く、速乾性です。<br>●電気製品、自転車、家具、工作品などの鉄部、木部、コンクリート<br>●色:ねずみ<br>●容量(L):0.3<br>●質量(g):335<br>●塗布面積:0.8[[平米]]<br>●乾燥時間:20～30分(夏)、30分～1時間(冬)<br>●塗り重ね可能時間:30分以上(20℃)<br>●材質／仕上：○アクリルラッカー<br><br>,ロックペイントH62-8805 65 ロック 元気アクリルラッカースプレー ねずみ 300ml (H62880565)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンロックペイントH62-8805 65 ロック 元気アクリルラッカースプレー ねずみ 300ml (H62880565),ロックペイントH62-8805 65 ロック 元気アクリルラッカースプレー ねずみ 300ml (H62880565)[rn]
16-101410,http://tshop.r10s.jp/akibamac/cabinet/05065172/4976124253232.jpg?fitin=700:700,262.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ニッペホームプロダクツラッカースプレー JPAN 300ml 透明クリヤー 221T004300,,■乾燥が早く、塗りやすいスプレー塗料です。<br><br>【用途】<br>・建築工事、土木工事などのマーキングに。<br>・鉄部・木部に。<br><br>【仕様】<br>色：透明クリヤー、容量(L)：0.3、質量(g)：290<br>塗布面積：0.5～1[[平米]]、乾燥時間：約30分(夏30℃)、50分(冬10℃)、塗り重ね可能時間：2時間以上（20℃）<br><br>【原産国】<br>日本,ニッペホームプロダクツラッカースプレー JPAN 300ml 透明クリヤー 221T004300：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンニッペホームプロダクツラッカースプレー JPAN 300ml 透明クリヤー 221T004300,ニッペホームプロダクツラッカースプレー JPAN 300ml 透明クリヤー 221T004300[rn]
16-101411,http://tshop.r10s.jp/akibamac/cabinet/05065887/4989999332810.jpg?fitin=700:700,10072.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【送料無料】トラスコ中山TTM-H TRUSCO ツインテープマスカー用ハンドル (TTMH),,●ツインテープマスカー用のハンドルです。<br>●床養生に。<br>●幅(mm):1130<br>●長さ(mm):1605<br>●質量(ｋｇ):4<br>●組立式<br>●材質／仕上：○スチール○アルミ<br><br>●ご注意：※ハンドル使用時はハンドル先端で床を傷つけないようにご注意ください。,【送料無料】トラスコ中山TTM-H TRUSCO ツインテープマスカー用ハンドル (TTMH)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】トラスコ中山TTM-H TRUSCO ツインテープマスカー用ハンドル (TTMH),【送料無料】トラスコ中山TTM-H TRUSCO ツインテープマスカー用ハンドル (TTMH)[rn]
