16-66601,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_003/img10445157558.jpg?fitin=700:700,792.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,ミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】,,"テフロンはとても滑りがよいため、ニット・合成皮革・
ゴム・ビニール・シート地など引っ掛かり易く
滑り難い生地を縫う場合、スムースに引きつれを
起こすことなく素晴らしい効果を発揮します。
テフロンが摩耗したらお買い替えください。<BR>
ミシンの押え金が斜めのものには使用できません。<br>",ミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】,ミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】[rn]
16-66602,http://tshop.r10s.jp/stylistgoto/cabinet/yuko/yuuko2/pt-6010-m1.jpg?fitin=700:700,480.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,切り取ってそのまま使える型紙（パターン）おとなの【二部式ゆかた】（帯つき）レディ実物大型紙と説明書つきです。,,"おとなの【二部式ゆかた】(帯つき)の型紙です。<br>
ゆかたは着たいけど、自分ではうまく着付けられない！という方におすすめです♪上下が別々になったゆかたと、ただ巻き付けるだけの帯で、簡単ゆかた美人！！この夏は、ゆかたで沢山出かけちゃおう！<BR>
★適した布地<BR>
やや薄手から中肉タイプの生地<br>
綿サテン/ソフトブロード/先染チェック/ソフトピケ<br>
★必要な材料<br>
◎下衣<br>
綿テープ(2cm幅)　200cm<br>
◎帯<br>
綾テープ(2cm幅)　330cm<br>
接着芯　長さ160×幅91cm<br>
帯芯(約35cm幅)　160cm<br>
針金(または針金ハンガーを利用)　長さ40cm<br>
※針金の太さは針金ハンガー程度<br>
実店舗共有在庫です。
ご注文頂くタイミングによっては在庫切れのため欠品となる場合もございます。
ご了承のうえご注文下さいます様お願い申し上げます。在庫切れの場合でも通常は2～3日遅れでお届けすることができますが大幅に遅れる場合はメールにてご連絡差し上げます。",切り取ってそのまま使える型紙（パターン）おとなの【二部式ゆかた】（帯つき）レディ実物大型紙と説明書つきです。：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプ切り取ってそのまま使える型紙（パターン）おとなの【二部式ゆかた】（帯つき）レディ実物大型紙と説明書つきです。,切り取ってそのまま使える型紙（パターン）おとなの【二部式ゆかた】（帯つき）レディ実物大型紙と説明書つきです。[rn]
16-66603,http://tshop.r10s.jp/stylistgoto/cabinet/yuko/yuuko2/d-469-m1.jpg?fitin=700:700,360.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,アイロンかけてしるしがつく型紙（パターン）【こどもケープ】フリース地使用幼男女児（身長95～115cm）アイロン転写型紙でしるしつけがとっても楽チンです♪,,"アイロン転写タイプ【こどもケープ】の型紙です。<br>
もこもこふわふわのフリースで作るかわいいケープです。アイロンをかけてしるしがつく『アイロン転写型紙』なので面倒なしるしつけがとっても楽に出来ます。同じ型紙で4～5回転写出来ます。<BR>
★必要な材料<br>
布地(フリース)　長さ80×幅148cm<br>
ふちどり用のフリーステープ(1.8cm幅)　370cm<br>
ボタン(2.3cm)　1コ<br>
実店舗共有在庫です。
ご注文頂くタイミングによっては在庫切れのため欠品となる場合もございます。
ご了承のうえご注文下さいます様お願い申し上げます。
在庫切れの場合でも通常は2～3日遅れでお届けすることができますが大幅に遅れる場合はメールにてご連絡差し上げます。",アイロンかけてしるしがつく型紙（パターン）【こどもケープ】フリース地使用幼男女児（身長95～115cm）アイロン転写型紙でしるしつけがとっても楽チンです♪：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプアイロンかけてしるしがつく型紙（パターン）【こどもケープ】フリース地使用幼男女児（身長95～115cm）アイロン転写型紙でしるしつけがとっても楽チンです♪,アイロンかけてしるしがつく型紙（パターン）【こどもケープ】フリース地使用幼男女児（身長95～115cm）アイロン転写型紙でしるしつけがとっても楽チンです♪[rn]
16-66604,http://tshop.r10s.jp/stylistgoto/cabinet/yuko/yuuko2/pt-4191-m1.jpg?fitin=700:700,320.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,切り取ってそのまま使える型紙（パターン）【変身マント】 こども男女（身長88～125cm）ハロウィン・お遊戯会・サンタクロース実物大型紙と説明書つきです。,,"【変身マント】ハロウィン・お遊戯会・サンタクロースの型紙（パターン）です。
幼稚園、学校、地域への行事が多い秋！こんな服を手づくりして、参加してみませんか？かんたん仕上げのマントに衿もとや帽子プラスで変身！いずれも作り方は超かんたんで工作気分♪<BR>
★適した布地<BR>
中くらいの厚さの生地～やや厚手タイプの生地
<br><br>
ご注文頂くタイミングによっては在庫切れのため欠品となる場合もございます。
ご了承のうえご注文下さいます様お願い申し上げます。在庫切れの場合でも*通常は2~3日遅れでお届けすることができますが大幅に遅れる場合はメールにてご連絡差し上げます。",切り取ってそのまま使える型紙（パターン）【変身マント】 こども男女（身長88～125cm）ハロウィン・お遊戯会・サンタクロース実物大型紙と説明書つきです。：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプ切り取ってそのまま使える型紙（パターン）【変身マント】 こども男女（身長88～125cm）ハロウィン・お遊戯会・サンタクロース実物大型紙と説明書つきです。,切り取ってそのまま使える型紙（パターン）【変身マント】 こども男女（身長88～125cm）ハロウィン・お遊戯会・サンタクロース実物大型紙と説明書つきです。[rn]
16-66605,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_001/img10444286423.jpg?fitin=700:700,720.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】２８ｍｍ,,"デザインの美しさと使いやすさを両立させました。<BR>
使いやすさと機能がいっぱいです！！<BR>
★ハンドルをねかせても立ててもきれいにカット<BR>
★手にフィットする持ちやすいハンドル<br>
★カットする布の枚数に合わせて刃の回転を調節<br>
★左手でも使える親切設計<br>",手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】２８ｍｍ：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプ手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】２８ｍｍ,手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】２８ｍｍ[rn]
16-66606,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_001/img10444286400.jpg?fitin=700:700,1044.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】４５ｍｍ,,"デザインの美しさと使いやすさを両立させました。<BR>
使いやすさと機能がいっぱいです！！<BR>
★ハンドルをねかせても立ててもきれいにカット<BR>
★手にフィットする持ちやすいハンドル<br>
★カットする布の枚数に合わせて刃の回転を調節<br>
★左手でも使える親切設計<br>",手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】４５ｍｍ：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプ手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】４５ｍｍ,手にフィットする 持ちやすいハンドルクロバー【ロータリーカッター】４５ｍｍ[rn]
16-66607,http://tshop.r10s.jp/stylistgoto/cabinet/yuko/yuuko3/olfa-41b-m1.jpg?fitin=700:700,921.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,ORFA ロータリーカッターL型45mmキルティングやフリース、レザーなどのボリュームのある生地もスイスイカットできます。,,"布・紙・レザー・ゴムシートなど・・・切りにくい素材を簡単にカットすることができます。円形刃を転がして、切りたいラインをなぞるようにして、押さえ切りします。<BR>
オルファ独自の高品質円形刃で、快適なカッティングをお約束します。エッジ付き定規と一緒に使えます。曲線や重ねてカットすることもできます。左利きでも使える親切設計です。<br>
★刃のサイズ<BR>
直径４５ミリ刃<BR>
実店舗共有在庫です。
ご注文頂くタイミングによっては在庫切れのため欠品となる場合もございます。
ご了承のうえご注文下さいます様お願い申し上げます。
在庫切れの場合でも通常は2～3日遅れでお届けすることができますが大幅に遅れる場合はメールにてご連絡差し上げます。",ORFA ロータリーカッターL型45mmキルティングやフリース、レザーなどのボリュームのある生地もスイスイカットできます。：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプORFA ロータリーカッターL型45mmキルティングやフリース、レザーなどのボリュームのある生地もスイスイカットできます。,ORFA ロータリーカッターL型45mmキルティングやフリース、レザーなどのボリュームのある生地もスイスイカットできます。[rn]
16-66608,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_001/img10444286426.jpg?fitin=700:700,288.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,ホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃28mm】,,"布切りに適したオリジナルの刃はホルダーがついているので
取替えが安全で簡単です。<BR>
直接刃に触らなくても交換できるクロバー独自の刃は
刃先を特に布に適した角度とし、きめ細やかな仕上げを
施しています。切れ味が良く耐久性にも優れています。<BR>
★入り数<BR>
　2枚入<BR>",ホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃28mm】：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃28mm】,ホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃28mm】[rn]
16-66609,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_001/img10444286421.jpg?fitin=700:700,252.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,ホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃45mm】,,"布切りに適したオリジナルの刃はホルダーがついているので
取替えが安全で簡単です。<BR>
直接刃に触らなくても交換できるクロバー独自の刃は
刃先を特に布に適した角度とし、きめ細やかな仕上げを
施しています。切れ味が良く耐久性にも優れています。<BR>
★入り数<BR>
　1枚入<BR>",ホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃45mm】：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃45mm】,ホルダー付きで刃の交換が簡単♪クロバー ロータリーカッター【替刃45mm】[rn]
16-66610,http://tshop.r10s.jp/stylistgoto/cabinet/yuko/yuuko3/rb28-2-m1.jpg?fitin=700:700,288.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,ORFA ロータリーカッター≪円形刃２８ミリ替刃（2枚入り）≫,,"ORFA ロータリーカッターS型28mmに適合した替刃です。カッターナイフの専門メーカー＜オルファ＞がおとどけする高品質円形刃です。最高の切れ味と耐久性をお約束します。<BR>
★入り数<BR>
2枚入<BR>
実店舗共有在庫です。
ご注文頂くタイミングによっては在庫切れのため欠品となる場合もございます。
ご了承のうえご注文下さいます様お願い申し上げます。
在庫切れの場合でも通常は2～3日遅れでお届けすることができますが大幅に遅れる場合はメールにてご連絡差し上げます。",ORFA ロータリーカッター≪円形刃２８ミリ替刃（2枚入り）≫：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプORFA ロータリーカッター≪円形刃２８ミリ替刃（2枚入り）≫,ORFA ロータリーカッター≪円形刃２８ミリ替刃（2枚入り）≫[rn]
16-66611,http://tshop.r10s.jp/stylistgoto/cabinet/yuko/yuuko3/rb18-2-m1.jpg?fitin=700:700,252.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,ORFA ロータリーカッター≪円形刃１８ミリ替刃（2枚入り）≫,,"ORFA ホビーロータリー18mmに適合した替刃です。カッターナイフの専門メーカー＜オルファ＞がおとどけする高品質円形刃です。最高の切れ味と耐久性をお約束します。<BR>
★入り数<BR>
2枚入<BR>
実店舗共有在庫です。
ご注文頂くタイミングによっては在庫切れのため欠品となる場合もございます。
ご了承のうえご注文下さいます様お願い申し上げます。
在庫切れの場合でも通常は2～3日遅れでお届けすることができますが大幅に遅れる場合はメールにてご連絡差し上げます。",ORFA ロータリーカッター≪円形刃１８ミリ替刃（2枚入り）≫：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプORFA ロータリーカッター≪円形刃１８ミリ替刃（2枚入り）≫,ORFA ロータリーカッター≪円形刃１８ミリ替刃（2枚入り）≫[rn]
