16-99701,http://tshop.r10s.jp/voice/cabinet/hb33160.jpg?fitin=700:700,1378.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス ローズ,　,"手書きの手紙の醍醐味、封ろうに使うワックス。
<br>色バリエーション豊かな４本セット
<br>（約40押し分）。長さ約8cm",ＨＥＲＢＩＮ シーリングワックス ローズ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス ローズ,　。ＨＥＲＢＩＮ シーリングワックス ローズ[rn]
16-99702,http://tshop.r10s.jp/voice/cabinet/hb32311.jpg?fitin=700:700,1033.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス 2本セット ブルー,　,"手軽に試せる2本セット（約30押し分）。
<br>長さ約12cm",ＨＥＲＢＩＮ シーリングワックス 2本セット ブルー：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス 2本セット ブルー,　。ＨＥＲＢＩＮ シーリングワックス 2本セット ブルー[rn]
16-99703,http://tshop.r10s.jp/voice/cabinet/hb32351.jpg?fitin=700:700,1033.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス 2本セット アイボリー,　,"手軽に試せる2本セット（約30押し分）。
<br>長さ約12cm
<font color=""red"">ご好評いただき完売しました。</font>",ＨＥＲＢＩＮ シーリングワックス 2本セット アイボリー：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス 2本セット アイボリー,　。ＨＥＲＢＩＮ シーリングワックス 2本セット アイボリー[rn]
16-99704,http://tshop.r10s.jp/voice/cabinet/hb33051.jpg?fitin=700:700,1551.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス パーリーアイボリー,　,"手書きの手紙の醍醐味、封ろうに使うワックス。
<br>色バリエーション豊かな４本セット
<br>（約40押し分）。長さ約8cm",ＨＥＲＢＩＮ シーリングワックス パーリーアイボリー：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス パーリーアイボリー,　。ＨＥＲＢＩＮ シーリングワックス パーリーアイボリー[rn]
16-99705,http://tshop.r10s.jp/voice/cabinet/bungu3/abx-gs.jpg?fitin=700:700,1278.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,アブラクサス　バーナー,　,"シーリングワックスを熱で溶かします。 <BR>
別途アルコールが必要です。<BR>",アブラクサス　バーナー：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨アブラクサス　バーナー,　。アブラクサス　バーナー[rn]
16-99706,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-2l-02_1.jpg?fitin=700:700,1382.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜スカラップレクタングル＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦127×横85×高さ67mm<br>
抜き型のサイズ　縦27×横45mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜スカラップレクタングル＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜スカラップレクタングル＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜スカラップレクタングル＞[rn]
16-99707,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-4l-01_1.jpg?fitin=700:700,1982.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップスクエア＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦152×横110×高さ85mm<br>
抜き型のサイズ　縦横各56mm（2と1/4インチ）<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップスクエア＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップスクエア＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップスクエア＞[rn]
16-99708,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-3l-02_1.jpg?fitin=700:700,1641.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　３L（本体若草色）　＜2.5インチサークル＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
こちらのパンチは、必ずコピー用紙2枚程度以上の<br>
厚さの紙でお使いください。<br>本体サイズ　縦132×横95×高さ77mm<br>
抜き型のサイズ　縦横各44mm（1と3/4インチ）<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　３L（本体若草色）　＜2.5インチサークル＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　３L（本体若草色）　＜2.5インチサークル＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　３L（本体若草色）　＜2.5インチサークル＞[rn]
16-99709,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-3l-01_1.jpg?fitin=700:700,1641.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　３L（本体若草色）　＜スクエア＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦132×横95×高さ77mm<br>
抜き型のサイズ　縦横各44mm（1と3/4インチ）<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　３L（本体若草色）　＜スクエア＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　３L（本体若草色）　＜スクエア＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　３L（本体若草色）　＜スクエア＞[rn]
16-99710,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-4l-04_1.jpg?fitin=700:700,1982.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップサークル＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦152×横110×高さ85mm<br>
抜き型のサイズ　縦65×横73mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップサークル＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップサークル＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　４L（本体ピンク）　＜スカラップサークル＞[rn]
16-99711,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-2l-03_1.jpg?fitin=700:700,1382.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜デイジー＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦127×横85×高さ67mm<br>
抜き型のサイズ　直径50mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜デイジー＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜デイジー＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜デイジー＞[rn]
