16-27601,,660.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●トップランナー制度対応、2017年度省エネ法目標基準達成のLED電球です。<br>
●口金サイズがE26口金なので、照明器具を替えることなくご使用いただけます。<br>
●密閉形器具にもご使用可能です。<br>
●長寿命約40000時間でランプ交換の手間が少ないLED電球です。<br>
●明るさ(lm):485<br>
●外径(mm):58<br>
●全長(mm):107<br>
●定格寿命(時間):40000<br>
●消費電力(W):4.9<br>
●標準消費電力料金:0.13円/h<br>
●口金:E26<br>
●相当電球(W形):40<br>
●配光角度:120度<br>
●光源色:電球色<br>
●光源色:電球色相当<br>
●電源:AC100V(50/60Hz)<br>
●配光角度:120度<br>
●定格寿命：40001時間<br>
●アルミ、ポリカーボネート、PBT",■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1[rn]
16-27602,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002608566.jpg?fitin=700:700,980.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キセノン球　７５Ｗ【TXL-75W】(2874547) 受注単位1,(2874547),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キセノン球　７５Ｗ【TXL-75W】(2874547) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キセノン球　７５Ｗ【TXL-75W】(2874547) 受注単位1,(2874547)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キセノン球　７５Ｗ【TXL-75W】(2874547) 受注単位1[rn]
16-27603,,20783.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒日立アプライアンス/日立【NE42AN-J14A】(7734263) 照明器具 受注単位1,工事用品\作業灯・照明用品\天井照明器具,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ＬＥＤ光源部分と器具が一体型で、器具高さ40mmの薄型デザインです。<br><br><br>●明るさ(lm)：5500<br>●消費電力(W)：41.8<br>●幅(mm)：200<br>●長さ(mm)：1255<br>●高さ(mm)：40<br>●タイプ：照度補正機能付<br>●電圧(V)：100～242<br>●全光束(lm)：5500<br><br><br>",『カード対応OK！』###■〒日立アプライアンス/日立【NE42AN-J14A】(7734263) 照明器具 受注単位1：クローバー資材館,『カード対応OK！』###■〒日立アプライアンス/日立【NE42AN-J14A】(7734263) 照明器具 受注単位1,工事用品\作業灯・照明用品\天井照明器具。『カード対応OK！』###■〒日立アプライアンス/日立【NE42AN-J14A】(7734263) 照明器具 受注単位1[rn]
16-27604,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790421.jpg?fitin=700:700,2788.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ強力ＬＥＤヘッドライト（レッド）【THLX-2213A-R】(3292509) 受注単位1,(3292509),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●明るさ2段階（強、弱）、点滅機能付です。<br>●下方向への角度調整が可能です（0°～90°）。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ強力ＬＥＤヘッドライト（レッド）【THLX-2213A-R】(3292509) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ強力ＬＥＤヘッドライト（レッド）【THLX-2213A-R】(3292509) 受注単位1,(3292509)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ強力ＬＥＤヘッドライト（レッド）【THLX-2213A-R】(3292509) 受注単位1[rn]
16-27605,,121727.2000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒ティーネットジャパン/ネオビーナス 照明器具【NV1000XCW-FB15C】(8192795) ネオビーナス 1000Ｘ／15° 直付け型(アームＢタイプ) 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●安心の日本製です。<br>
●-40℃～+60℃と広い使用環境温度です。<br>
●レンズ選択で自由な照明設計ができます。<br>
●日亜化学工業（株）製LEDチップを採用しています。<br>
●超軽量化を実現（マグネシウム合金採用）しました。<br>
●高効率専用電源（日本製）を採用しております。<br>
●屋内、屋外の照明にお使い頂けます。<br>
●屋内、屋外の照明にお使い頂けます。<br>
●明るさ(lm):33000<br>
●消費電力(W):264(AC200V)/272(AC100V)<br>
●標準消費電力料金:4.22円/h<br>
●電源(V):AC100～254<br>
●配光角度(度):15<br>
●幅(mm):113<br>
●高さ(mm):423<br>
●相当水銀灯(W形):1000<br>
●外径(mm):380<br>
●全長(mm):296<br>
●長さ(mm):423<br>
●タイプ:直付け型(アームBタイプ)<br>
●配光角度:15<br>
●演色性:Ra70<br>
●定格寿命(時間):60000h(55℃)/50000h(60℃)<br>
●光源色:白色<br>
●相当W数:MF700<br>
●定格電圧(V):AC100～254<br>
●電圧(V):AC100V～254V<br>
●相当水銀灯(W形):1000W形 メタルハライドランプ700W形<br>
●全光束(lm):33000<br>
●光源色:白色(5000K)<br>
●電源周波数：50/60Hz<br>
●電源別<br>
●保護等級:IP67<br>
●定格電圧：AC100V～AC254V（許容範囲AC90V～AC279V）<br>
●筐体：マグネシウム合金<br>
●取り付けには別途工事が必要です。",###■〒ティーネットジャパン/ネオビーナス 照明器具【NV1000XCW-FB15C】(8192795) ネオビーナス 1000Ｘ／15&deg; 直付け型(アームＢタイプ) 発注単位1：クローバー資材館,###■〒ティーネットジャパン/ネオビーナス 照明器具【NV1000XCW-FB15C】(8192795) ネオビーナス 1000Ｘ／15&deg; 直付け型(アームＢタイプ) 発注単位1,工事用品\作業灯・照明用品。###■〒ティーネットジャパン/ネオビーナス 照明器具【NV1000XCW-FB15C】(8192795) ネオビーナス 1000Ｘ／15&deg; 直付け型(アームＢタイプ) 発注単位1[rn]
16-27606,,678.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTG-LL】(7518587) 投光器用ガード　特大 受注単位1,工事用品\作業灯・照明用品\投光器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●適合機種：NTG-500W、NTG-505W<br>●質量(g)：198<br>●部品名：ガード　特大<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTG-LL】(7518587) 投光器用ガード　特大 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTG-LL】(7518587) 投光器用ガード　特大 受注単位1,工事用品\作業灯・照明用品\投光器。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TTG-LL】(7518587) 投光器用ガード　特大 受注単位1[rn]
16-27607,,24786.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ハタヤリミテッド/ハタヤ ランプ【LDS-307K】(8194038) ハタヤ 30ＷＬＥＤ投光器 ドラムスタンドタイプ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●防雨型コードドラムを装備してます。<br>
●照明プラス電源の１台２役です。<br>
●明るさ(lm):2400<br>
●コード長さ(m):7<br>
●消費電力(W):30<br>
●電源(V):100<br>
●電線種(mm[[の2乗]]):ソフトンケーブルVCT2.0<br>
●本体寸法(mm)幅×奥行×高さ:294×312×462<br>
●高さ(mm):462<br>
●幅(mm):294<br>
●奥行(mm):312<br>
●全光束(lm):2400<br>
●30W高輝度LED<br>
●電線仕様:ソフトンケーブルVCT 2.0m[[の2乗]]×3芯<br>
●電線長／7m<br>
●コンセント定格／2P・15A・125V接地付<br>
●2P接地付×２個付<br>
●防雨カバー付点灯スイッチ付<br>
●屋外用<br>
●屋外用<br>
●電線仕様:VCT2.0m[[の2乗]]×3芯<br>
●コード長さ:7m",■〒ハタヤリミテッド/ハタヤ ランプ【LDS-307K】(8194038) ハタヤ 30ＷＬＥＤ投光器 ドラムスタンドタイプ 発注単位1：クローバー資材館,■〒ハタヤリミテッド/ハタヤ ランプ【LDS-307K】(8194038) ハタヤ 30ＷＬＥＤ投光器 ドラムスタンドタイプ 発注単位1,工事用品\作業灯・照明用品。■〒ハタヤリミテッド/ハタヤ ランプ【LDS-307K】(8194038) ハタヤ 30ＷＬＥＤ投光器 ドラムスタンドタイプ 発注単位1[rn]
16-27608,,11664.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX420NENCLE9】(8185914) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●従来蛍光灯と比較して同等以上の明るさで約48％省エネです。<br>
●本体の電源端子台からの配線を直接電源ユニットに接続することができるダイレクトコネクタ接続で施工性が向上しました。<br>
●高効率から機能付きまで用途に応じて選べるライトバーです。<br>
●明るさ(lm):2500<br>
●消費電力(W):16.9<br>
●幅(mm):80<br>
●高さ(mm):50<br>
●長さ(mm):1225<br>
●電圧(V):100～242<br>
●タイプ:40形1灯タイプ<br>
●光源色:昼白色<br>
●色温度:5000K<br>
●LED内蔵・電源ユニット内蔵<br>
●ライトバータイプ：一般タイプ・非調光<br>
●光源寿命：40000時間<br>
●直付型<br>
●本体：亜鉛鋼板（白色）<br>
●ライトバー：ポリカーボネート（乳白）",■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX420NENCLE9】(8185914) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1：クローバー資材館,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX420NENCLE9】(8185914) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1,工事用品\作業灯・照明用品。■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX420NENCLE9】(8185914) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1[rn]
16-27609,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005448900.jpg?fitin=700:700,8845.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　フラットライト１０Ｗ　昼光色　本体黒　バイスタイプ【LEN-F10V-BK】(4237595) 受注単位1,工事用品\作業灯・照明用品\投光器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●水銀灯に代わる“次世代照明”器具です。<br>●紫外線を発生させないので虫が寄りにくく、熱の発生も少ないです。安定器内蔵一体型スリムボディ",『カード対応OK！』■〒日動工業/日動　フラットライト１０Ｗ　昼光色　本体黒　バイスタイプ【LEN-F10V-BK】(4237595) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　フラットライト１０Ｗ　昼光色　本体黒　バイスタイプ【LEN-F10V-BK】(4237595) 受注単位1,工事用品\作業灯・照明用品\投光器。『カード対応OK！』■〒日動工業/日動　フラットライト１０Ｗ　昼光色　本体黒　バイスタイプ【LEN-F10V-BK】(4237595) 受注単位1[rn]
16-27610,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003839520.jpg?fitin=700:700,1360.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤヘッドライト【SHL-12P】(3686701) 受注単位1,工事用品\作業灯・照明用品\ヘッドライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●防雨型です。<br>●スイッチで4灯・8灯・12灯・12灯点滅に切り替え可能です。<br>●超高輝度スーパーLED12個使用しています。<br>●10m先で新聞が読めます<br>●アルカリ単4電池×3付き<br>●ヘッドベルト付き<br>●スイッチで4P点灯→8P点灯→12P点灯→12P点滅に切替出来ます",『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤヘッドライト【SHL-12P】(3686701) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤヘッドライト【SHL-12P】(3686701) 受注単位1,工事用品\作業灯・照明用品\ヘッドライト。『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤヘッドライト【SHL-12P】(3686701) 受注単位1[rn]
16-27611,,10206.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ハタヤリミテッド/ハタヤ ランプ【RGL-5L】(8194028) ハタヤ ＬＥＤ作業灯 20Ｗ電球色ビームタイプ 電線5ｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ステンレスなど反射しやすい場所での金属反射を抑える電球色タイプです。<br>
●ビーム角/60度です。<br>
●明るさ(lm):1550<br>
●外径×長さ(mm):φ169×255<br>
●最大口開き(mm):75<br>
●コード長さ(m):5<br>
●口金:E26<br>
●消費電力(W):20<br>
●電源(V):100<br>
●電線種(mm[[の2乗]]):ソフトンケーブルVCT0.75<br>
●球寿命(時間):40000<br>
●全光束(lm):1550<br>
●電線仕様:ソフトンケーブルVCT0.75m[[の2乗]]×2芯<br>
●二十絶縁構造<br>
●75mmバイス付<br>
●ビーム角:60度<br>
●屋外用<br>
●本体:アルミニウム合金<br>
●75mmバイス付",■〒ハタヤリミテッド/ハタヤ ランプ【RGL-5L】(8194028) ハタヤ ＬＥＤ作業灯 20Ｗ電球色ビームタイプ 電線5ｍ 発注単位1：クローバー資材館,■〒ハタヤリミテッド/ハタヤ ランプ【RGL-5L】(8194028) ハタヤ ＬＥＤ作業灯 20Ｗ電球色ビームタイプ 電線5ｍ 発注単位1,工事用品\作業灯・照明用品。■〒ハタヤリミテッド/ハタヤ ランプ【RGL-5L】(8194028) ハタヤ ＬＥＤ作業灯 20Ｗ電球色ビームタイプ 電線5ｍ 発注単位1[rn]
