16-131601,http://tshop.r10s.jp/akibamac/cabinet/04576511/4991829103156.jpg?fitin=700:700,32608.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,【送料無料】ハヤミ工産 テレビ台 SV6315,,55v～65v型テレビ対応リビングボードです。,【送料無料】ハヤミ工産 テレビ台 SV6315：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ハヤミ工産 テレビ台 SV6315,【送料無料】ハヤミ工産 テレビ台 SV6315[rn]
16-131602,http://tshop.r10s.jp/akibamac/cabinet/04576511/4968373213891.jpg?fitin=700:700,21630.4000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,【送料無料】朝日木材加工 AS-SH1190-W (ASSH1190W) 【お届け日時指定不可】,,60V-70V-80V伸縮マルチラック＜光沢ホワイト＞です。,【送料無料】朝日木材加工 AS-SH1190-W (ASSH1190W) 【お届け日時指定不可】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】朝日木材加工 AS-SH1190-W (ASSH1190W) 【お届け日時指定不可】,【送料無料】朝日木材加工 AS-SH1190-W (ASSH1190W) 【お届け日時指定不可】[rn]
16-131603,http://tshop.r10s.jp/akibamac/cabinet/04576511/4991829103163.jpg?fitin=700:700,38792.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,【送料無料】ハヤミ工産 テレビ対応リビングボード SV6318 【お届け日時指定不可】,,60v～70v型テレビ対応リビングボードです。,【送料無料】ハヤミ工産 テレビ対応リビングボード SV6318 【お届け日時指定不可】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ハヤミ工産 テレビ対応リビングボード SV6318 【お届け日時指定不可】,【送料無料】ハヤミ工産 テレビ対応リビングボード SV6318 【お届け日時指定不可】[rn]
16-131604,http://tshop.r10s.jp/gold/spacelab/item_images/az/cart/az-ttf-118-1.jpg?fitin=700:700,18800.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,送料無料 トローリーローボード TVボード TTF-118 リビングボード ローボード ローテーブル トロリー TVボード トローリーテーブル 車輪付き アンティーク アメリカン ビンテージ インダストリアル レトロ 古木風 カフェ  アイアン サーファー,,"<!-- snapp capture start --><img src=""http://www.rakuten.ne.jp/gold/spacelab/compass/az-ttf-118.jpg?1468817049"" width=""100%""/><!-- snapp capture end -->■サイズ：W 120 X D 50 X H 33<br>■材質：天然木 アイアン ラッカー塗装<br>■原産地：中国<br><br>●北海道・沖縄および島しょ部は別途料金となりますので事前お問合せ願います。",送料無料 トローリーローボード TVボード TTF-118 リビングボード ローボード ローテーブル トロリー TVボード トローリーテーブル 車輪付き アンティーク アメリカン ビンテージ インダストリアル レトロ 古木風 カフェ  アイアン サーファー：スペースラボ,送料無料 トローリーローボード TVボード TTF-118 リビングボード ローボード ローテーブル トロリー TVボード トローリーテーブル 車輪付き アンティーク アメリカン ビンテージ インダストリアル レトロ 古木風 カフェ  アイアン サーファー,送料無料 トローリーローボード TVボード TTF-118 リビングボード ローボード ローテーブル トロリー TVボード トローリーテーブル 車輪付き アンティーク アメリカン ビンテージ インダストリアル レトロ 古木風 カフェ  アイアン サーファー[rn]
16-131605,http://tshop.r10s.jp/gold/sesame-kagu/item/ca40-150br/mv_01b.jpg?fitin=700:700,11192.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,最大500円OFFクーポン配布中♪4/19(水)まで! スチール×木製が◎のワイドテレビ台。テレビボード 幅150cm ローボード TV台 TVボード テレビラック TVラック レトロ ヴィンテージ ビンテージ アイアン ウォールナット ＜Caron/Ca40-150＞,テレビ台 テレビボード 150cm幅 アイアン スチール,"<img src=""http://www.rakuten.ne.jp/gold/sesame-kagu/item/ca40-150br/img_01.jpg"" width=""100%"" /><br />
<br />

<img src=""http://www.rakuten.ne.jp/gold/sesame-kagu/item/ca40-150br/img_02.jpg"" width=""100%"" /><br />
<br />

<img src=""http://www.rakuten.ne.jp/gold/sesame-kagu/item/ca40-150br/img_03.jpg"" width=""100%"" /><br />
<br />

<img src=""http://www.rakuten.ne.jp/gold/sesame-kagu/item/ca40-150br/img_04.jpg"" width=""100%"" /><br />
<br />

<img src=""http://www.rakuten.ne.jp/gold/sesame-kagu/item/ca40-150br/img_05.jpg"" width=""100%"" /><br />
<br />

<img src=""http://www.rakuten.ne.jp/gold/sesame-kagu/item/ca40-150br/img_06a.jpg"" width=""100%"" /><br />
<br />

<img src=""http://www.rakuten.ne.jp/gold/sesame-kagu/common/img/base/item/bnr_natural_wood01.jpg"" width=""100%"" /><br />
<br />

<table border=""1"" bordercolor=""#CCC"" cellspacing=""0"" cellpadding=""7"" width=""100%"">
<tr>
<th width=""23%"" bgcolor=""#fffaf0"">商品名</th>
<td width=""77%"">カロン ローボード Ca40-150BR</td>
</tr>
<tr>
<th bgcolor=""#fffaf0"">サイズ</th>
<td>【本体サイズ】<br />W150×D35×H40(cm)<br />
【オープン部内寸】<br />W142(左右各70cm)×D35×H15(cm)
</td>
</tr>
<tr>
<th bgcolor=""#fffaf0"">素材</th>
<td>
天板:MDF(ウォールナット突板)<br />脚部:スチール
</td>
</tr>
<tr>
<th bgcolor=""#fffaf0"">耐荷重</th>
<td>天板:30kg</td>
</tr>
<tr>
<th bgcolor=""#fffaf0"">生産国</th>
<td>台湾</td>
</tr>
<tr>
<th bgcolor=""#fffaf0"">備考</th>
<td>お客様組立商品<br>
<b>※テレビのご使用について</b><br />の対応サイズは目安です。
ご使用になるテレビの商品重量をご確認の上、耐荷重の範囲内でご使用ください。
</td>
</tr>
<tr>
<th bgcolor=""#fffaf0"">配&nbsp;送<br />
について
</th>
<td>■1～2営業日以内の出荷となり、お届け先住所によっては発送から到着まで1週間程掛かる場合もございます。<br />
■<font color=""#e05757"">沖縄・離島</font>に関しましては<font color=""#e05757"">別途中継料金</font>がかかります。<br />
■商品管理は徹底しておりますが商品違い・破損・不具合等ございましたらご連絡をお願いいたします。迅速に対応（交換・返品等）いたします。</td>
</tr>
</table>
<br />
<center>
＼ サイズ違いはこちら♪ ／<br />★ 幅100cm ローボード（テレビ台） ★
<br />
<br />
＼ カロンシリーズのページはこちら♪ ／<br />

<img src=""http://image.rakuten.co.jp/sesame-kagu/cabinet/event/caron_series_bnr.jpg"" width=""100%"" >
<br>

</center>
<br />",最大500円OFFクーポン配布中♪4/19(水)まで! スチール&times;木製が◎のワイドテレビ台。テレビボード 幅150cm ローボード TV台 TVボード テレビラック TVラック レトロ ヴィンテージ ビンテージ アイアン ウォールナット ＜Caron/Ca40-150＞：SESAME（セサミ）家具・インテリア,家具インテリア一人暮らし女性ソファキッチン収納棚テーブルドレッサー収納ベッド北欧通販収納家具ソファーローテーブル最大500円OFFクーポン配布中♪4/19(水)まで! スチール&times;木製が◎のワイドテレビ台。テレビボード 幅150cm ローボード TV台 TVボード テレビラック TVラック レトロ ヴィンテージ ビンテージ アイアン ウォールナット ＜Caron/Ca40-150＞,テレビ台 テレビボード 150cm幅 アイアン スチール。最大500円OFFクーポン配布中♪4/19(水)まで! スチール&times;木製が◎のワイドテレビ台。テレビボード 幅150cm ローボード TV台 TVボード テレビラック TVラック レトロ ヴィンテージ ビンテージ アイアン ウォールナット ＜Caron/Ca40-150＞[rn]
16-131606,http://tshop.r10s.jp/kag-2/cabinet/ad_0921/00/15001-16500/040500365.jpg?fitin=700:700,12000.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,★ポイント５倍★ヴィンテージ調伸縮スライドボード【Fanni】ファンニ[CK][1D][00],【楽天カード利用で】2017/04/14(金)18:00&rarr;04/22(土)09:59,"<img src=""http://image.rakuten.co.jp/kag-2/cabinet/ad_0921/170414_p5_sp.jpg"" width=""100%""><br><br><img src=""http://image.rakuten.co.jp/honkeya/cabinet/sp/160305_sp_kagu_w650.jpg"" width=""100%""><br><br><img src=""http://www.rakuten.ne.jp/gold/honkeya/compass/33023283-040500365.jpg"" width=""100%""/><br><br><img src=""http://image.rakuten.co.jp/honkeya/cabinet/sp/160305_sp_kagu_w650.jpg"" width=""100%"">",★ポイント５倍★ヴィンテージ調伸縮スライドボード【Fanni】ファンニ[CK][1D][00]：kagu＊kagu ～家具と雑貨のお店～,★ポイント５倍★ヴィンテージ調伸縮スライドボード【Fanni】ファンニ[CK][1D][00],【楽天カード利用で】2017/04/14(金)18:00&rarr;04/22(土)09:59。★ポイント５倍★ヴィンテージ調伸縮スライドボード【Fanni】ファンニ[CK][1D][00][rn]
16-131607,http://tshop.r10s.jp/country-house/cabinet/00325340/ks_furniture/ks-t-02_main01.jpg?fitin=700:700,30320.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,クーポンで10％OFF サイズ変更可 テレビ台 無垢テレビボード カントリー 家具 150 北欧 テイスト シンプル ナチュラル モダン 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具,北欧 ナチュラル モダン 家具 送料無料,"<table border=""0"" width=""100%"" bgcolor=""#cc0000"">     <tr>    <td>    <center><font size=""3"" color=""#ffffff""><b>オリジナル家具クーポンセール</b></font><font size=""3"" color=""#ffff00""><b><br>    オリジナル家具クーポンで10％OFF対象品</b></font><font size=""3"" color=""#ffffff""><b><br>    4月17日10：00～4月20日23：59まで開催中<br></b></font>    </center>    <center><b><font size=""4"" color=""#ffff00"">クーポン取得はこちら</font></b><br>    <br>    <font size=""3"" color=""#ffffff"">対象品はこちら</font></center>    </td>  </tr></table><!--イベント-->

製作期間2週間～3週間程度
<br>
<br>
<table width=""100%"">
 
    <tr>
      <td width=""50%"" bgcolor=""#ffff00"">
      <center><font size=""3"">■離島・沖縄のお客様へ</font></center>
      </td>
      <td  bgcolor=""#ffc0a2"">
      <center><font size=""3"">※6ヶ月安心保証</font></center>
      </td>
    </tr>

</table>
<br>

<table border=""0"" width=""100%"">
  
    <tr>
      <td align=""center""><img src=""http://www.rakuten.ne.jp/gold/country-house/cabinet/ks-t/ks-t-02_sp1.jpg"" width=""90%""></td>
    </tr>
    <tr>
      <td align=""center""><img src=""http://www.rakuten.ne.jp/gold/country-house/cabinet/ks-t/ks-t-02_sp2.jpg"" width=""90%""></td>
    </tr>
    <tr>
      <td align=""center""><img src=""http://image.rakuten.co.jp/country-house/cabinet/00325340/ks_furniture/ks_op_handle_n01.jpg"" width=""90%""><br>
    <br>
    画像のカラー：ステインチーク<br>
    サイズ　W 150 x D40 x H39cm<br>
      </td>
    </tr>
    <tr>
      <td align=""center""><b><font size=""+1"" color=""#666666"">MADE IN JAPAN</font></b><br>
    <font size=""+1""><b><font>日本製のハンドメイド　手作り家具<br>
    </font><br></b>

K's Furnitureシリーズは、ご注文を頂いてからカントリーハウスの工房にて<br>
    一つ一つ心を込めて家具職人により手作り生産されます。<BR>
    <br>
    オリジナル家具をデザインから製作・販売まで自社で行なっておりますので<br>
    デザインの変更やサイズの変更・フルオーダーなどをお受けすることが可能です。<BR>
      <br>
      </font></td>
    </tr>
    <tr>
      <td align=""center"" bgcolor=""#ffff00""><b><font size=""5"">選べる9色カラー</font></b><br>
      <br>
    <b><font size=""4"">カラー見本はこちら</font></b></td>
    </tr>
 
</table><br>
<table cellspacing=""0"" Bordercolor=""#5f5f5f"" width=""100%"" bgcolor=""#cccccc"">  <tr>
    <td bgcolor=""#000000"">
    <center><font color=""#ffffff"" size=""4""><b>男のインテリア</b></font></center>
    <center><font color=""#ffffff"" size=""4""><b>K's furniture TOPページ</b></font></center>
    </td>
  </tr><tr>
    <td><center><b>お得なお知らせや会員様限定イベントが届く</b></center>
    <center>＞＞
    <font size=""3""><font color=""#000000"">カントリーハウスのメルマガに登録</font></font></center>
    </td>
  </tr></table>
<br><table border=""0"" width=""100%"">      <tr>    <td bgcolor=""#804000""><center><b><font color=""#ffffff"">お買い得！ ダイニングセット・テーブル特集</font></b></center></td>  </tr>    <tr>    <td bgcolor=""#000099""><center><b><font color=""#ffffff"">キッチンの模様替えに　無垢パイン材　食器棚特集</font></b></center></td>  </tr>    <tr>    <td bgcolor=""#999900""><center><b><font color=""#ffffff"">人気のテレビ台特集</font></b></center></td>  </tr>  </table><br>【drmtct2012】 【2half】
<br><center><b><font size=""+1"" color=""#0000ff"">電話で問合せする<br>
0940-62-9731</font></b></center><br><center><b><font color=""#ff0000"">※カラー保留でご注文も可能</font></b></center>",クーポンで10％OFF サイズ変更可 テレビ台 無垢テレビボード カントリー 家具 150 北欧 テイスト シンプル ナチュラル モダン 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具：家具・雑貨のカントリーハウス,収納家具カントリー家具カントリー雑貨ホーロー雑貨ナチュラル雑貨学習机カントリー学習机無垢ダイニングセットアメリカンカントリーラングカレンダーキッチン雑貨キッチン家具大人カワイイ激安家具アウトレット家具アウトレットカントリー家具テレビ台パイン材の家具ティアラステンドグラスクーポンで10％OFF サイズ変更可 テレビ台 無垢テレビボード カントリー 家具 150 北欧 テイスト シンプル ナチュラル モダン 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具,北欧 ナチュラル モダン 家具 送料無料。クーポンで10％OFF サイズ変更可 テレビ台 無垢テレビボード カントリー 家具 150 北欧 テイスト シンプル ナチュラル モダン 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具[rn]
16-131608,http://tshop.r10s.jp/country-house/cabinet/00325340/ks_furniture/ks-t-01_main01.jpg?fitin=700:700,28800.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,クーポンで10％OFF サイズ変更可 カントリー家具 カントリー 家具 テレビ台 テレビキャビネット テレビボード 無垢 150 ナチュラル 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具,カントリー家具 ナチュラル モダン 家具 送料無料,"<table border=""0"" width=""100%"" bgcolor=""#cc0000"">     <tr>    <td>    <center><font size=""3"" color=""#ffffff""><b>オリジナル家具クーポンセール</b></font><font size=""3"" color=""#ffff00""><b><br>    オリジナル家具クーポンで10％OFF対象品</b></font><font size=""3"" color=""#ffffff""><b><br>    4月17日10：00～4月20日23：59まで開催中<br></b></font>    </center>    <center><b><font size=""4"" color=""#ffff00"">クーポン取得はこちら</font></b><br>    <br>    <font size=""3"" color=""#ffffff"">対象品はこちら</font></center>    </td>  </tr></table><!--イベント-->

製作期間2週間～3週間程度
<br>
<br>
<table width=""100%"">
 
    <tr>
      <td width=""50%"" bgcolor=""#ffff00"">
      <center><font size=""3"">■離島・沖縄のお客様へ</font></center>
      </td>
      <td  bgcolor=""#ffc0a2"">
      <center><font size=""3"">※6ヶ月安心保証</font></center>
      </td>
    </tr>

</table>
<br>

<table border=""0"" width=""100%"">
  
    <tr>
      <td align=""center""><img src=""http://www.rakuten.ne.jp/gold/country-house/cabinet/ks-t/ks-t-01_sp1.jpg"" width=""90%""></td>
    </tr>
    <tr>
      <td align=""center""><img src=""http://www.rakuten.ne.jp/gold/country-house/cabinet/ks-t/ks-t-01_sp2.jpg"" width=""90%""></td>
    </tr>
    <tr>
      <td align=""center""><img src=""http://image.rakuten.co.jp/country-house/cabinet/00325340/ks_furniture/ks_op_handle_n01.jpg"" width=""90%""><br>
    <br>
    画像のカラー：ステインチーク<br>
    サイズ　W 150 x D40 x H39cm<br>
      </td>
    </tr>
    <tr>
      <td align=""center""><b><font size=""+1"" color=""#666666"">MADE IN JAPAN</font></b><br>
    <font size=""+1""><b><font>日本製のハンドメイド　手作り家具<br>
    </font><br></b>

K's Furnitureシリーズは、ご注文を頂いてからカントリーハウスの工房にて<br>
    一つ一つ心を込めて家具職人により手作り生産されます。<BR>
    <br>
    オリジナル家具をデザインから製作・販売まで自社で行なっておりますので<br>
    デザインの変更やサイズの変更・フルオーダーなどをお受けすることが可能です。<BR>
      <br>
      </font></td>
    </tr>
    <tr>
      <td align=""center"" bgcolor=""#ffff00""><b><font size=""5"">選べる9色カラー</font></b><br>
      <br>
    <b><font size=""4"">カラー見本はこちら</font></b></td>
    </tr>
 
</table>
<br>
<table cellspacing=""0"" Bordercolor=""#5f5f5f"" width=""100%"" bgcolor=""#cccccc"">  <tr>
    <td bgcolor=""#ffac84"">
    <center><font color=""#ff0000""><font color=""#ff0000"" size=""4""><b>新着家具　NEWアイテム</b></font></font></center>
    <center>新しい仲間が登場！</center>
    </td>
  </tr><tr>
    <td><center><b>お得なお知らせや会員様限定イベントが届く</b></center>
    <center>＞＞
    <font size=""3""><font color=""#000000"">カントリーハウスのメルマガに登録</font></font></center>
    </td>
  </tr></table>
 <table border=""0"" width=""100%"" bgcolor=""#66b3ff"">     <tr>    <td>    <center><font size=""3"" color=""#ffff00""><b>大型家具 開梱設置サービス対象品<br>
    </b></font></center>    </td>  </tr></table><br><br><table border=""0"" width=""100%"">      <tr>    <td bgcolor=""#804000""><center><b><font color=""#ffffff"">お買い得！ ダイニングセット・テーブル特集</font></b></center></td>  </tr>    <tr>    <td bgcolor=""#000099""><center><b><font color=""#ffffff"">キッチンの模様替えに　無垢パイン材　食器棚特集</font></b></center></td>  </tr>    <tr>    <td bgcolor=""#999900""><center><b><font color=""#ffffff"">人気のテレビ台特集</font></b></center></td>  </tr>  </table><br>【drmtct2012】 【2half】<br><center><b><font size=""+1"" color=""#0000ff"">電話で問合せする<br>
0940-62-9731</font></b></center><br><center><b><font color=""#ff0000"">※カラー保留でご注文も可能</font></b></center>",クーポンで10％OFF サイズ変更可 カントリー家具 カントリー 家具 テレビ台 テレビキャビネット テレビボード 無垢 150 ナチュラル 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具：家具・雑貨のカントリーハウス,収納家具カントリー家具カントリー雑貨ホーロー雑貨ナチュラル雑貨学習机カントリー学習机無垢ダイニングセットアメリカンカントリーラングカレンダーキッチン雑貨キッチン家具大人カワイイ激安家具アウトレット家具アウトレットカントリー家具テレビ台パイン材の家具ティアラステンドグラスクーポンで10％OFF サイズ変更可 カントリー家具 カントリー 家具 テレビ台 テレビキャビネット テレビボード 無垢 150 ナチュラル 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具,カントリー家具 ナチュラル モダン 家具 送料無料。クーポンで10％OFF サイズ変更可 カントリー家具 カントリー 家具 テレビ台 テレビキャビネット テレビボード 無垢 150 ナチュラル 家具 ナチュラル家具 パイン材 木製 アンティーク レトロ ビンテージ 風 日本製 ローボード ラック オーダー家具 ハンドメイド 手作り家具[rn]
16-131609,http://tshop.r10s.jp/kokoroes/cabinet/simple/457/4573458150536.jpg?fitin=700:700,55854.4000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,日本製(高級家具) 天然木アルダー材角脚シリーズ 160幅テレビボード fk0010【北海道・沖縄・東北・離島等の地域は別途送料あり】,日本製/国産/大川家具/完成品,"<p><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""></p>日本製　大川家具　完成品 <br>天然木アルダー材を使用し、オイル仕上げで木の素材感と温かみを出しています。<br>天板にはアルダー材突き板を使用、天板耐荷重約60kg<br>前板天然木アルダー材使用の大型引出はフルオープンレール使用で引出全体まで引き出せます。<br>前面ガラスにはアブストラクト(抽象的な)模様のガラスを採用。<br>本体背面化粧仕上げ<br>脚高さ:10cm<br>天然木アルダー材角脚シリーズには、160幅テレビボードと、4段チェスト(幅34と幅68)、5段チェスト(幅34と幅68)の5種類があり、お部屋に合わせてコーディネイトできます。<br>サイズ:160 x 45 x 39.2cm<br>本体重量:25kg<br>生産国:日本<br>材質・天板:天然木突板(アルダー材)オイル仕上げ<br>材質・前板:天然木(アルダー材)オイル仕上げ<br>引出内寸(左右共通):幅34x奥行32x高さ21(側板15)cm<br>収納部左内寸:幅16.5x奥行34x高さ24.5cm<br>収納部右上段内寸:幅54x奥行34x高さ10.5cm、右下段内寸:幅54x奥行34x高さ12cm<br>製品仕様:完成品(本体背面:化粧仕上げ)<br><br>【大型家具配送に関する注意事項】<br>
この商品は通常配送と違い、大型家具配送の扱いとなります。<br>
1、北海道・沖縄県・青森県・岩手県・宮城県・秋田県・山形県・福島県・
　　その他離島への配送は別途見積となります。<br>
　　また一部地域は配送不可の場合あります。<br>
　　(サイト内記載の運賃表と異なりますのでご注意ください)<br>
2、お届け日の指定はご希望に添えない場合があることを予めご了承ください。<br>
　　ご注文確認のメールでお届け予定日をご案内いたします。<br>
　　また配達時間の指定はできません。<br>
　　お届け予定の目安:ご注文から約7日から約10日後のお届け<br>
　　(日曜・祝日は配達できない場合があります)<br>
3、配達はお客様玄関渡しです。玄関から家の中などへの搬入はいたしません。<br>
4、組立・設置のご希望がある場合は、必ずご注文時に明記してください。<br>
　　設置場所などを確認の上、別途見積いたします。(ご注文確定後は受付不可)<br>",日本製(高級家具) 天然木アルダー材角脚シリーズ 160幅テレビボード fk0010【北海道・沖縄・東北・離島等の地域は別途送料あり】：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier日本製(高級家具) 天然木アルダー材角脚シリーズ 160幅テレビボード fk0010【北海道・沖縄・東北・離島等の地域は別途送料あり】,日本製/国産/大川家具/完成品。日本製(高級家具) 天然木アルダー材角脚シリーズ 160幅テレビボード fk0010【北海道・沖縄・東北・離島等の地域は別途送料あり】[rn]
16-131610,http://tshop.r10s.jp/kokoroes/cabinet/simple/457/4573458154008.jpg?fitin=700:700,53516.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,天然木自然塗装シリーズ 幅120テレビボード INU-00017【北海道・沖縄・東北・離島等の地域は別途送料あり】,天然木樺材に自然系オイル仕上げした家具シリーズ,"<p><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""></p>サイズ:120.2 x 40 x 39.5cm<br>本体重量:25kg<br>生産国:中国<br>材質:樺材　自然系オイル仕上げ<br>デッキ収納部内寸:幅45x奥行35x高さ(上部)7cm、(下部)9cm<br>引出内寸(フルスライドレール使用):幅26x奥行32x高さ15(側板12.5)cm<br>脚高さ:13cm<br>天然木樺材に自然系オイル仕上げした家具シリーズ。<br>樺材は硬質できめが細かく、天然植物油を主成分のオイル仕上げで、高級感だけでなく環境にもやさしい。<br>引き出し内部は、防湿に優れた桐無垢材使用。<br>脚部のみ取付式<br>【大型家具配送に関する注意事項】<br>
この商品は通常配送と違い、大型家具配送の扱いとなります。<br>
1、北海道・沖縄県・青森県・岩手県・宮城県・秋田県・山形県・福島県・<br>
　　その他離島への配送は別途見積となります。<br>
　　また一部地域は配送不可の場合あります。<br>
　　(サイト内記載の運賃表と異なりますのでご注意ください)<br>
2、お届け日の指定はご希望に添えない場合があることを予めご了承ください。<br>
　　ご注文確認のメールでお届け予定日をご案内いたします。<br>
　　また配達時間の指定はできません。<br>
　　お届け予定の目安:ご注文から約7日から約10日後のお届け<br>
　　(日曜・祝日は配達できない場合があります)<br>
3、配達はお客様玄関渡しです。玄関から家の中などへの搬入はいたしません。<br>
4、組立・設置のご希望がある場合は、必ずご注文時に明記してください。<br>
　　設置場所などを確認の上、別途見積いたします。(ご注文確定後は受付不可)<br>",天然木自然塗装シリーズ 幅120テレビボード INU-00017【北海道・沖縄・東北・離島等の地域は別途送料あり】：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier天然木自然塗装シリーズ 幅120テレビボード INU-00017【北海道・沖縄・東北・離島等の地域は別途送料あり】,天然木樺材に自然系オイル仕上げした家具シリーズ。天然木自然塗装シリーズ 幅120テレビボード INU-00017【北海道・沖縄・東北・離島等の地域は別途送料あり】[rn]
16-131611,http://tshop.r10s.jp/kokoroes/cabinet/j155new/sh_001/gr-tvb40_a.jpg?fitin=700:700,6641.6000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,《素敵なインテリア》シンプルテレビ台ＥＬＭＡエルマー,テレビ台/シンプルテレビ台,"<p><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""></p><img src=""http://image.rakuten.co.jp/shozaioh/cabinet/sp/gr-tvb40_sf01.jpg"" alt=""シンプルテレビ台ＥＬＭＡ【エルマー】"" width=""100%""><img src=""http://image.rakuten.co.jp/shozaioh/cabinet/sp/gr-tvb40_sf02.jpg"" alt=""シンプルテレビ台ＥＬＭＡ【エルマー】"" width=""100%""><br /><br /><br />【商品について】■外寸：幅90×奥行き38.5×高さ44.5cm<br />■引き出し内寸： 幅23.3×奥行き27.5×深さ11cm （2杯）<br />■ガラス扉内寸：幅56×奥行き32×高さ33.5cm（可動棚1枚付属）<br />■カラー：ダークブラン・ナチュラル<br />■耐荷重：液晶テレビ～37型対応<br /><br /><br>【注意事項】<br>■本商品はメーカーより直送にてお届けさせていただく商品ですので下記事項をご承諾いただきますようお願いいたします。<br>※ご注文を頂いてからの在庫確認・発注手配となります。<br>※ご注文のタイミングによっては欠品となる事があります。<br>※日時指定等が承れない事があります。<br>※商品代引決済はご利用できません。<br>商品発送後のキャンセルや別住所への転送はできません。",《素敵なインテリア》シンプルテレビ台ＥＬＭＡエルマー：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier《素敵なインテリア》シンプルテレビ台ＥＬＭＡエルマー,テレビ台/シンプルテレビ台。《素敵なインテリア》シンプルテレビ台ＥＬＭＡエルマー[rn]
