2-85794,http://tshop.r10s.jp/dtc/cabinet/20150627r/4953103456853.jpg?fitin=700:700,926.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム T-E7A-2620WH 一括&個別スイッチ付 省エネタップ(6個口/2.0m/ホワイト) (TE7A2620WH),　,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■待機電力をまとめて節約できる一括スイッチと、接続機器ごとにON/OFFでき、個別に節約できる個別スイッチが付いた省エネタップです。<br>■ACアダプタや大きめのプラグを接続してもスイッチに干渉しにくい、斜め配置のスイッチを採用しています。<br>■差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>■ACアダプタを接続しても隣の差込口に干渉しにくいように、1個の差込口を離れて配置しています。<br>■プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>■電源コードには、社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。<br>■狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>■プラグ仕様は2ピン式で、便利な6個口タイプです。<br><br>【仕様】<br>本体差込口形状：2ピン<br>本体差込口個数：6個口<br>プラグ仕様：2ピン・スイングプラグ<br>コード長：2.0m<br>定格：125V・15A・1500W<br>スイッチ：集中・個別両用スイッチ<br>二重被ふく：○<br>スイングプラグ：○<br>カラー：ホワイト<br>材質：本体:ABS樹脂、プラグ:PVC 差込口:ユリア樹脂<br>外形寸法：幅310mm×奥行50mm×高さ32mm ※コード部分及びプラグ部分を除く<br>質量：438g<br>使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br><br></font></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:300px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",エレコム T-E7A-2620WH 一括&amp;個別スイッチ付 省エネタップ(6個口/2.0m/ホワイト) (TE7A2620WH)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneエレコム T-E7A-2620WH 一括&amp;個別スイッチ付 省エネタップ(6個口/2.0m/ホワイト) (TE7A2620WH),　。エレコム T-E7A-2620WH 一括&amp;個別スイッチ付 省エネタップ(6個口/2.0m/ホワイト) (TE7A2620WH)[rn]
2-85795,http://tshop.r10s.jp/dtc/cabinet/20170207n9/4950190351726.jpg?fitin=700:700,867.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,バッファロー BSTAPPS2620WH 2ピン式電源タップ(6個口タイプ/雷サージ防止/集中スイッチ付/2m),　,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■2ピン6個口の電源タップ<br>■集中スイッチ付きで電気の消費を抑えるエコタイプ<br>■落雷による機器の故障を防ぐ雷サージガード付<br>■スイングプラグで、狭い場所でも壁にピッタリ！<br>■差込口は、安心の2重構造で熱に強い！<br>■安心のトラッキング現象防止プラグ<br>■コードは二重被ふくを採用<br>■ビニール袋パッケージで環境に優しい<br>■RoHS基準値準拠<br><br></font></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:300px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",バッファロー BSTAPPS2620WH 2ピン式電源タップ(6個口タイプ/雷サージ防止/集中スイッチ付/2m)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneバッファロー BSTAPPS2620WH 2ピン式電源タップ(6個口タイプ/雷サージ防止/集中スイッチ付/2m),　。バッファロー BSTAPPS2620WH 2ピン式電源タップ(6個口タイプ/雷サージ防止/集中スイッチ付/2m)[rn]
2-85796,http://tshop.r10s.jp/dtc/cabinet/20150627r/4953103457034.jpg?fitin=700:700,700.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム T-K1A-A2625WH 雷ガードタップ(6個口/2.5m/ホワイト) (TK1A2625WH),　,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■パソコンやテレビなどの精密機器を雷から守る雷ガードタップ<br>雷サージから電子機器を守る、高性能雷サージ吸収素子を内蔵した、雷ガードタップです。プラグ仕様は2ピン式で、便利な6個口タイプです。<br>■雷によるパソコンやAV機器等の電子機器への被害を防ぐ<br>一般に雷の被害は、直撃雷によるものはまれで、配電線や通信ケーブル近辺の落雷によって生じる誘導雷が多く、被害は広範囲に広がります。この誘導雷により発生する雷サージ（瞬間的な高電圧）が家屋内に進入すると電気的に接続されている電気製品が破損する恐れがあります。本製品には、最大サージ電圧12,500Vの高性能雷サージ吸収素子（バリスタ）を内蔵しており、雷によるパソコンやAV機器等の電子機器への被害防止に有効です。<br>※直撃雷を受けた場合には機器を保護できません。<br>※許容量を超える過電流が流れた場合、吸収素子が破損し、機器を保護できない場合があります。<br>※本製品では、電話線などコンセント以外から進入する雷サージから機器を保護することはできません。<br>※最大サージ電圧12500VはJEC210/212規格に基づく数値です。IEC6100-4-5規格では最大サージ電圧は4,500Vになります。<br>■絶縁キャップ付きで火災を防ぐ<br>プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>■狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>■電源コードには、一般社団法人日本配線システム工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。<br>■差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br><br>【仕様】<br>本体差込口形状：2ピン<br>本体差込口個数：6個口<br>プラグ仕様：2ピン・スイングプラグ<br>コード長：2.5m<br>定格：125V・15A・1500W<br>雷ガード：○<br>絶縁キャップ付きプラグ：○<br>二重被ふく：○<br>スイングプラグ：○<br>カラー：ホワイト<br>材質：本体:ABS樹脂、プラグ:PVC 差込口:ユリア樹脂<br>外形寸法：幅220mm×奥行44mm×高さ25mm ※コード部分及びプラグ部分を除く<br>質量：335g<br>使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>電気用品安全法：PSE適合<br><br></font></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:300px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",エレコム T-K1A-A2625WH 雷ガードタップ(6個口/2.5m/ホワイト) (TK1A2625WH)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneエレコム T-K1A-A2625WH 雷ガードタップ(6個口/2.5m/ホワイト) (TK1A2625WH),　。エレコム T-K1A-A2625WH 雷ガードタップ(6個口/2.5m/ホワイト) (TK1A2625WH)[rn]
2-85797,http://tshop.r10s.jp/dtc/cabinet/20150321r/4950190337157.jpg?fitin=700:700,198.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,バッファロー 変換アダプター(microSDカード⇒SDカード) BSCRMSDA,　,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■ライトプロテクトタグ標準搭載<br>ライトプロテクトタグ標準搭載だから、データの誤消去を簡単に防げます。<br><br>■特定有害物質使用制限指令「RoHS指令」に準拠<br>2006年7月からEU圏で施行された電子機器に対する特定有害物質使用制限指令「RoHS指令」に準拠しています。<br><br>※microSDカードは付属しておりません。 <br><br>本体サイズ(H×W×D) mm 2.1×24×32mm（SDカードサイズ） <br>本体重量 約2g <br>変換タイプ microSDカード⇒SDカード <br>対応機種 SDカードスロット搭載機器（デジタルカメラ、PDA、携帯電話、ビデオカメラ、オーディオプレーヤー、カードリーダーなど） <br>対応メディア microSDカード <br>付属品 マニュアル/保証書（マニュアルに記載） <br> 【規格】SD Memory Card Specification Ver.1.10準拠 <br> 【ライトプロテクト機能】有り（SDカードと同様） <br> 【動作環境】温度：0～55℃、湿度：30～80％（結露なきこと） <br><br></font></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:300px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",バッファロー 変換アダプター(microSDカード&rArr;SDカード) BSCRMSDA：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneバッファロー 変換アダプター(microSDカード&rArr;SDカード) BSCRMSDA,　。バッファロー 変換アダプター(microSDカード&rArr;SDカード) BSCRMSDA[rn]
2-85798,http://tshop.r10s.jp/dtc/cabinet/00269579/4966307113835.jpg?fitin=700:700,119.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ HP4(海外用電源プラグＯタイプ),　,"●出張や海外旅行の必需品です。
●海外で日本の電気製品を使うための変換プラグです。<DIV align=""center"">
<CENTER>
<TABLE border=""0"" cellspacing=""0"" width=""600"" style=""border-collapse: collapse"" bordercolor=""#111111"" cellpadding=""0"">
  <TBODY>
    <TR>
      <TD width=""621""></TD>
    </TR>
  </TBODY>
</TABLE>
</CENTER>
</DIV>",ヤザワ HP4(海外用電源プラグＯタイプ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneヤザワ HP4(海外用電源プラグＯタイプ),　。ヤザワ HP4(海外用電源プラグＯタイプ)[rn]
2-85799,http://tshop.r10s.jp/dtc/cabinet/00295451/4969887832486.jpg?fitin=700:700,1023.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 変換アダプタ［3P→引掛］ 抜け止め TAP-AD5N (TAPAD5N),　,"<br><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">〔変換アダプタ（3P→引掛）〕3Pプラグを引掛式へ変換できる変換アダプター。【抜け止め】■ 3Pプラグを引掛式へ変換することができます。■ 3P差込口が抜け止めになっており、不意の抜け落ちを防止できます。<br><br></font></td></tr></table><table cellspacing=""0"" cellpadding=""4"" border=""1"" width=""710"" bordercolor=""#cccccc""><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">商品名</font></td><td width=""530""><font size=""2"">変換アダプタ［3P→引掛］　抜け止め　TAP-AD5N</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">メーカー</font></td><td width=""530""><font size=""2"">サンワサプライ</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">型番</font></td><td width=""530""><font size=""2"">TAP-AD5N</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">JANコード</font></td><td width=""530""><font size=""2"">4969887832486</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">色</font></td><td width=""530""><font size=""2"">ホワイト</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">本体サイズ</font></td><td width=""530""><font size=""2"">W34×D34×H34.5mm</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">消費電力</font></td><td width=""530""><font size=""2"">【定格容量】15A・125V（1500Wまで）</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">仕様</font></td><td width=""530""><font size=""2"">【生産国】日本</font></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:300px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",サンワサプライ 変換アダプタ［3P&rarr;引掛］ 抜け止め TAP-AD5N (TAPAD5N)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンワサプライ 変換アダプタ［3P&rarr;引掛］ 抜け止め TAP-AD5N (TAPAD5N),　。サンワサプライ 変換アダプタ［3P&rarr;引掛］ 抜け止め TAP-AD5N (TAPAD5N)[rn]
2-85800,http://tshop.r10s.jp/dtc/cabinet/00997480/4953103035164.jpg?fitin=700:700,356.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム T-H32N (OA雷アダプタ) (TH32N),　,"<table width=""710""><tr><td><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""580"" id=""AutoNumber1""><tr><td>アース用コード150mm付です。AV機器やOA機器に悪影響を及ぼす電源ノイズを低減します。<br><br></td></tr></table><table cellspacing=""0"" cellpadding=""4"" border=""1"" width=""580"" bordercolor=""#111111"" style=""border-collapse: collapse""><tr><td width=180 bgcolor =""#F0F0F0""><font size=""2"">タイプ</font></td><td width=400><font size=""2"">OAアダプタ</font></td></tr><tr><td width=180 bgcolor =""#F0F0F0""><font size=""2"">定格</font></td><td width=400><font size=""2"">125V・15A・1500W</font></td></tr><tr><td width=180 bgcolor =""#F0F0F0""><font size=""2"">備考１</font></td><td width=400><font size=""2"">使用目的・用途：OAタップ等の3Pコネクタを2Pに変換できます</font></td></tr><tr><td width=180 bgcolor =""#F0F0F0""><font size=""2"">備考2</font></td><td width=400><font size=""2"">アース用コード150mm付,AV機器やOA機器に悪影響を及ぼす電源ノイズを低減します</font></td></tr></table></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:300px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",エレコム T-H32N (OA雷アダプタ) (TH32N)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneエレコム T-H32N (OA雷アダプタ) (TH32N),　。エレコム T-H32N (OA雷アダプタ) (TH32N)[rn]
2-85801,http://tshop.r10s.jp/dtc/cabinet/00802826/4966307214389.jpg?fitin=700:700,517.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ AC/USB変換アダプター(ホワイト) HM100WHUSB,　,"<table width=""710""><tr><td><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""580"" id=""AutoNumber1""><tr><td>◆iPodなどのデジタル機器に電源供給可能なUSBポート付きです。◆プラグは収納式なので、持ち運びに便利です。<br><br></td></tr></table><table cellspacing=""0"" cellpadding=""4"" border=""1"" width=""580"" bordercolor=""#111111"" style=""border-collapse: collapse""><tr><td width=180 bgcolor =""#F0F0F0""><font size=""2"">色</font></td><td width=400><font size=""2"">ホワイト</font></td></tr><tr><td width=180 bgcolor =""#F0F0F0""><font size=""2"">本体サイズ(H×W×D) mm</font></td><td width=400><font size=""2"">約(W)35×(H)35×(D)32mm</font></td></tr><tr><td width=180 bgcolor =""#F0F0F0""><font size=""2"">本体重量</font></td><td width=400><font size=""2"">27g</font></td></tr></table></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>
<div style=""width:710px; height:220px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",ヤザワ AC/USB変換アダプター(ホワイト) HM100WHUSB：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneヤザワ AC/USB変換アダプター(ホワイト) HM100WHUSB,　。ヤザワ AC/USB変換アダプター(ホワイト) HM100WHUSB[rn]
2-85802,http://tshop.r10s.jp/dtc/cabinet/00269579/4966307113811.jpg?fitin=700:700,119.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ HP2(海外用電源プラグＢタイプ),　,"●出張や海外旅行の必需品です。
●海外で日本の電気製品を使うための変換プラグです。<!--

-->



<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>

<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>
<br>
<div style=""width:710px; height:280px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",ヤザワ HP2(海外用電源プラグＢタイプ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneヤザワ HP2(海外用電源プラグＢタイプ),　。ヤザワ HP2(海外用電源プラグＢタイプ)[rn]
2-85803,http://tshop.r10s.jp/dtc/cabinet/20101109d/4969887831052.jpg?fitin=700:700,243.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ TAP-AD1N (3P→2P変換アダプタ) [EU RoHS指令準拠] (TAPAD1N),　,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""580"" id=""AutoNumber1""><tr><td>●3Pプラグに差し込むだけで、ご家庭の2Pコンセントで使用できます。●アースコードには絶縁カバーが付いており、安全です。●RoHS指令に対応した製品です。</td></tr></table><DIV align=""center"">
<CENTER>
<TABLE border=""0"" cellspacing=""0"" width=""600"" style=""border-collapse: collapse"" bordercolor=""#111111"" cellpadding=""0"">
  <TBODY>
    <TR>
      <TD width=""621""></TD>
    </TR>
  </TBODY>
</TABLE>
</CENTER>
</DIV>",サンワサプライ TAP-AD1N (3P&rarr;2P変換アダプタ) [EU RoHS指令準拠] (TAPAD1N)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneサンワサプライ TAP-AD1N (3P&rarr;2P変換アダプタ) [EU RoHS指令準拠] (TAPAD1N),　。サンワサプライ TAP-AD1N (3P&rarr;2P変換アダプタ) [EU RoHS指令準拠] (TAPAD1N)[rn]
2-85804,http://tshop.r10s.jp/dtc/cabinet/01737566/4966307113866.jpg?fitin=700:700,147.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ 海外旅行用変換プラグ (B3タイプ) HP7-WH,　,"<br><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■対応地域： B3タイプ<br>■定格入力： 250V 10A<br><br>※海外の地域毎にコンセントの差込口の形状は異なります。ご購入の前に滞在される国のプラグ形状・電源電圧を必ずご確認ください。<br>※変換プラグは電圧を変換するアダプタではありません。電圧を変換する際には変圧器が必要です。<br><br></font></td></tr></table><!--
<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>
-->

<div style=""width: 700px; margin: 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei5.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:100px; margin:0 5px; overflow:hidden;"">

</div>


<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>

<div style=""width:710px; height:300px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",ヤザワ 海外旅行用変換プラグ (B3タイプ) HP7-WH：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneヤザワ 海外旅行用変換プラグ (B3タイプ) HP7-WH,　。ヤザワ 海外旅行用変換プラグ (B3タイプ) HP7-WH[rn]
