6-12303,,2041.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●切断スピードが速くステンレスの切断に最適です。<br><br>●ステンレス・金属の切断に。<br><br>●砥材：AZ<br>●粒度(#)：60<br>●硬度：SBF<br>●外径(mm)：105<br>●刃厚(mm)：1.0<br>●穴径(mm)：15<br>●最高使用回転数(rpm)：14500<br>●質量(g)：300<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石。『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1[rn]
6-12304,,935.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トーケン/トーケン　切断砥石スーパーツインザー１０５ｍｍ【RA-105ST】(3110362) 受注単位5,作業用品\切断用品\切断砥石,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐久性と切れ味を追求し、当社比で耐久性1.7倍、切れ味1.2倍を実現しました。<br>●強力なグラスファイバーで補強してありますので切断中のショックに強く、割れても飛散しません。<br>●一般金属・ステンレス等のあらゆる金属に最適です。切断材料による「金属用」「ステンレス用」と砥石選択が不要です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トーケン/トーケン　切断砥石スーパーツインザー１０５ｍｍ【RA-105ST】(3110362) 受注単位5：クローバー資材館,『カード対応OK！』■〒トーケン/トーケン　切断砥石スーパーツインザー１０５ｍｍ【RA-105ST】(3110362) 受注単位5,作業用品\切断用品\切断砥石。『カード対応OK！』■〒トーケン/トーケン　切断砥石スーパーツインザー１０５ｍｍ【RA-105ST】(3110362) 受注単位5[rn]
6-12305,,9693.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士製砥/富士　切断砥石ス－パ－雷鳥４０５Ｘ２．８Ｘ２５．４【R405】(3936562) 受注単位10,作業用品\切断用品\切断砥石,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●両面補強で安全性と耐久性に優れています。<br>●特に棒材、中厚物により性能を発揮し、カット数も格段にのびます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士製砥/富士　切断砥石ス&minus;パ&minus;雷鳥４０５Ｘ２．８Ｘ２５．４【R405】(3936562) 受注単位10：クローバー資材館,『カード対応OK！』■〒富士製砥/富士　切断砥石ス&minus;パ&minus;雷鳥４０５Ｘ２．８Ｘ２５．４【R405】(3936562) 受注単位10,作業用品\切断用品\切断砥石。『カード対応OK！』■〒富士製砥/富士　切断砥石ス&minus;パ&minus;雷鳥４０５Ｘ２．８Ｘ２５．４【R405】(3936562) 受注単位10[rn]
6-12306,,5556.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34042239】(7662297) 切断砥石　“ディープカット”　１２５Ｘ１．２Ｘ２２．２３ｍｍ 受注単位25,作業用品\切断用品\切断砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●新開発の「ディープカットプロテクション」機能は、砥石の内径部分に特製のメタルリングを採用したことで、砥石がワークと過度に接触することでの破断リスクを減らしています。<br>●十分な深さまで切断砥石を突っ切ることが可能です。<br><br>●一般鋼、ステンレス鋼などの切断作業に。<br><br>●砥材：TA<br>●粒度(#)：60<br>●硬度：P<br>●外径(mm)：125<br>●刃厚(mm)：1.2<br>●穴径(mm)：22.23<br>●最高使用回転数(rpm)：12250<br><br>●★★★プレミアムタイプ（難削材に対しても極めて高いパフォーマンスを発揮）<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34042239】(7662297) 切断砥石　&ldquo;ディープカット&rdquo;　１２５Ｘ１．２Ｘ２２．２３ｍｍ 受注単位25：クローバー資材館,『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34042239】(7662297) 切断砥石　&ldquo;ディープカット&rdquo;　１２５Ｘ１．２Ｘ２２．２３ｍｍ 受注単位25,作業用品\切断用品\切断砥石。『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34042239】(7662297) 切断砥石　&ldquo;ディープカット&rdquo;　１２５Ｘ１．２Ｘ２２．２３ｍｍ 受注単位25[rn]
6-12307,,14883.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士製砥/富士　切断砥石ＥＸつるぎ４０５Ｘ３Ｘ２５．４【EX405】(3936503) 受注単位25,作業用品\切断用品\切断砥石,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●経済性と切れ味を重視し、焼けの少ない両面ラフサイド仕上げです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士製砥/富士　切断砥石ＥＸつるぎ４０５Ｘ３Ｘ２５．４【EX405】(3936503) 受注単位25：クローバー資材館,『カード対応OK！』■〒富士製砥/富士　切断砥石ＥＸつるぎ４０５Ｘ３Ｘ２５．４【EX405】(3936503) 受注単位25,作業用品\切断用品\切断砥石。『カード対応OK！』■〒富士製砥/富士　切断砥石ＥＸつるぎ４０５Ｘ３Ｘ２５．４【EX405】(3936503) 受注単位25[rn]
6-12308,,5431.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本レヂボン/レヂボン　飛騨の匠　３０５×２．５×２５．４　Ａ３０Ｐ【HT30525-A30】(3557359) 受注単位10,作業用品\切断用品\切断砥石,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●匠の技が生み出した高性能切断砥石です。<br>●両面補強構造による破壊耐性と特殊製法による剛性は安全性に優れます。<br>●コスト・切れ味・安全性、三つの安心設計が皆様のニーズに応えます。<br>●コスト低減を実現する優れた作業量です。<br>●極薄が生み出す超速の切れ味です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本レヂボン/レヂボン　飛騨の匠　３０５&times;２．５&times;２５．４　Ａ３０Ｐ【HT30525-A30】(3557359) 受注単位10：クローバー資材館,『カード対応OK！』■〒日本レヂボン/レヂボン　飛騨の匠　３０５&times;２．５&times;２５．４　Ａ３０Ｐ【HT30525-A30】(3557359) 受注単位10,作業用品\切断用品\切断砥石。『カード対応OK！』■〒日本レヂボン/レヂボン　飛騨の匠　３０５&times;２．５&times;２５．４　Ａ３０Ｐ【HT30525-A30】(3557359) 受注単位10[rn]
6-12309,,4705.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34022959】(7748469) コードレスグラインダー対応切断砥石　“ＡＣＣＵ”　１２５Ｘ１Ｘ２ 受注単位25,作業用品\切断用品\切断砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●充電式のディスクグラインダーでも、最高のパフォーマンスを発揮する、切断砥石です。<br>●屋外など電源が無い場所での切断作業に最適です。<br><br>●一般鋼、ステンレス鋼などの切断作業に。<br><br>●砥材：A<br>●粒度(#)：60<br>●硬度：Q<br>●外径(mm)：125<br>●刃厚(mm)：1<br>●穴径(mm)：22.23<br>●最高使用回転数(rpm)：12250<br><br>●★★★プレミアムタイプ（難削材に対しても極めて高いパフォーマンスを発揮）<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34022959】(7748469) コードレスグラインダー対応切断砥石　&ldquo;ＡＣＣＵ&rdquo;　１２５Ｘ１Ｘ２ 受注単位25：クローバー資材館,『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34022959】(7748469) コードレスグラインダー対応切断砥石　&ldquo;ＡＣＣＵ&rdquo;　１２５Ｘ１Ｘ２ 受注単位25,作業用品\切断用品\切断砥石。『カード対応OK！』■〒ＴＹＲＯＬＩＴ社/ＴＹＲＯＬＩＴ【34022959】(7748469) コードレスグラインダー対応切断砥石　&ldquo;ＡＣＣＵ&rdquo;　１２５Ｘ１Ｘ２ 受注単位25[rn]
6-12310,,74764.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-47】(4985974) 防爆６ピース工具セット 受注単位1,作業用品\絶縁・防爆工具\工具セット（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防爆スタンダード6点セットです。<br><br>●工場。<br>●防爆が必要な環境。<br><br>●セット内容(点)：6<br>●質量(kg)：1.48<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-47】(4985974) 防爆６ピース工具セット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-47】(4985974) 防爆６ピース工具セット 受注単位1,作業用品\絶縁・防爆工具\工具セット（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-47】(4985974) 防爆６ピース工具セット 受注単位1[rn]
6-12311,,155293.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-48】(4985982) 防爆１１ピース工具セット 受注単位1,作業用品\絶縁・防爆工具\工具セット（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防爆スタンダード11点セットです。<br><br>●工場。<br>●防爆が必要な環境。<br><br>●セット内容(点)：11<br>●質量(kg)：4.63<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-48】(4985982) 防爆１１ピース工具セット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-48】(4985982) 防爆１１ピース工具セット 受注単位1,作業用品\絶縁・防爆工具\工具セット（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-48】(4985982) 防爆１１ピース工具セット 受注単位1[rn]
6-12312,,44970.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-46】(4985966) 防爆４ピース工具セット 受注単位1,作業用品\絶縁・防爆工具\工具セット（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防爆スタンダード４点セットです。<br><br>●工場。<br>●防爆が必要な環境。<br><br>●セット内容(点)：4<br>●質量(kg)：1.02<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-46】(4985966) 防爆４ピース工具セット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-46】(4985966) 防爆４ピース工具セット 受注単位1,作業用品\絶縁・防爆工具\工具セット（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-46】(4985966) 防爆４ピース工具セット 受注単位1[rn]
6-12313,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002607203.jpg?fitin=700:700,109058.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアールブリケーター【FTR-65G】(1265342) 受注単位1,(1265342),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●エアコンプレッサーと接続して使います。<br>●各種の機械や車輌などのグリスアップに威力を発揮するコンパクトなルブリケーター。<br>●市販のペール缶をキャビネット内に収納して使用できます。<br>●使用空気圧力/0.39～0.88MPa。<br>●ガンは1台に1本付属しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアールブリケーター【FTR-65G】(1265342) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアールブリケーター【FTR-65G】(1265342) 受注単位1,(1265342)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアールブリケーター【FTR-65G】(1265342) 受注単位1[rn]
