14-69601,,21336.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1[rn]
14-69602,,6200.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD0300】(6695931)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD0300】(6695931)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD0300】(6695931)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD0300】(6695931)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1[rn]
14-69603,,25544.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD1600】(6696058)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD1600】(6696058)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD1600】(6696058)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒三菱マテリアル（株）/三菱Ｋ 【VQSVRD1600】(6696058)ＳＭＡＲＴ ＭＩＲＡＣＬＥ エンドミル 制振ラフィングエンドミル 受注単位1[rn]
14-69604,,55004.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒マパール（株）/マパール【SCM460-1200Z08R-F0020HA-HC619】(4910745)ＯｐｔｉＭｉｌｌ－Ｃｏｍｐｏｓｉｔｅ（ＳＣＭ４６０）複合材用エンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●CFRP等、複合材における多刃による高能率加工（高送り）を実現しました。<br>●右ねじれ仕様により切粉は上方へ上がります。<br>●被削材:CFRPなど、複合材。<br>●刃径(mm):12<br>●刃長(mm):32<br>●全長(mm):83<br>●シャンク径(mm):12<br>●刃数:8<br>●表面処理:HC619ダイヤモンドコーティング<br>●ねじれ角:右ねじれ/8°<br>●超微粒子超硬合金（Micro Grain Carbide）<br>",『カード対応OK！』■〒マパール（株）/マパール【SCM460-1200Z08R-F0020HA-HC619】(4910745)ＯｐｔｉＭｉｌｌ&minus;Ｃｏｍｐｏｓｉｔｅ（ＳＣＭ４６０）複合材用エンドミル 受注単位1：クローバー資材館,『カード対応OK！』■〒マパール（株）/マパール【SCM460-1200Z08R-F0020HA-HC619】(4910745)ＯｐｔｉＭｉｌｌ&minus;Ｃｏｍｐｏｓｉｔｅ（ＳＣＭ４６０）複合材用エンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬ラフィングエンドミル。『カード対応OK！』■〒マパール（株）/マパール【SCM460-1200Z08R-F0020HA-HC619】(4910745)ＯｐｔｉＭｉｌｌ&minus;Ｃｏｍｐｏｓｉｔｅ（ＳＣＭ４６０）複合材用エンドミル 受注単位1[rn]
14-69605,,5434.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-PC-EBD-R0.1X0.5X2.5】(6329934)超硬エンドミルＷＸＬコーティング（２刃ペンシルネックボールエンド形） 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●硬質潤滑被膜ＷＸＬコートの効果により金型材加工から銅電極加工まで幅広い用途で威力を発揮します。<br>●被削材：炭素鋼・合金鋼・工具鋼（HRC40まで）・プリハードン鋼（HRC55まで）・ステンレス鋼・鋳鉄・ダクタイル鋳鉄（HB350まで）・銅合金・アルミ合金・チタン合金・耐熱合金。<br>●ボール半径(mm):0.1<br>●刃長(mm):0.16<br>●全長(mm):45<br>●シャンク径(mm):4<br>●刃数:2<br>●首下長（mm）：2.5<br>●表面処理:ＷＸＬコーティング<br>●ねじれ角３０°<br>●超硬合金（Carbide)<br>",『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-PC-EBD-R0.1X0.5X2.5】(6329934)超硬エンドミルＷＸＬコーティング（２刃ペンシルネックボールエンド形） 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-PC-EBD-R0.1X0.5X2.5】(6329934)超硬エンドミルＷＸＬコーティング（２刃ペンシルネックボールエンド形） 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-PC-EBD-R0.1X0.5X2.5】(6329934)超硬エンドミルＷＸＬコーティング（２刃ペンシルネックボールエンド形） 受注単位1[rn]
14-69606,,2471.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.6X10X4】(6339352)ダブルエクセルシリーズ 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●硬質潤滑被膜ＷＸＬコートの効果により金型材加工から銅電極加工まで幅広い用途で威力を発揮します。<br>●被削材：炭素鋼・合金鋼・工具鋼（HRC40まで）・プリハードン鋼（HRC55まで）・ステンレス鋼・鋳鉄・ダクタイル鋳鉄（HB350まで）・銅合金・アルミ合金・チタン合金・耐熱合金。<br>●ボール半径(mm):0.6<br>●刃長(mm):1<br>●全長(mm):45<br>●シャンク径(mm):4<br>●刃数:2<br>●首下長（mm）：10<br>●表面処理:ＷＸＬコーティング<br>●ねじれ角３０°<br>●超硬合金（Carbide)<br>",『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.6X10X4】(6339352)ダブルエクセルシリーズ 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.6X10X4】(6339352)ダブルエクセルシリーズ 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.6X10X4】(6339352)ダブルエクセルシリーズ 受注単位1[rn]
14-69607,,7712.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【PHX-PC-DBT-R1X1X30】(6328938)超硬エンドミル フェニックス（ペンシルネックボール） 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●深彫り加工の常識を変える高能率加工を実現します。<br>●被削材：炭素鋼・合金鋼・工具鋼（HRC40まで）・プリハードン鋼（HRC60まで）・ステンレス鋼・鋳鉄・ダクタイル鋳鉄（HB350まで）。<br>●ボール半径(mm):1<br>●刃長(mm):3<br>●全長(mm):80<br>●シャンク径(mm):6<br>●刃数:3<br>●首下長（mm）：30<br>●表面処理:ＷＸＳコーティング<br>●ねじれ角45°<br>●超硬合金（Carbide)<br>",『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【PHX-PC-DBT-R1X1X30】(6328938)超硬エンドミル フェニックス（ペンシルネックボール） 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【PHX-PC-DBT-R1X1X30】(6328938)超硬エンドミル フェニックス（ペンシルネックボール） 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【PHX-PC-DBT-R1X1X30】(6328938)超硬エンドミル フェニックス（ペンシルネックボール） 受注単位1[rn]
14-69608,,4314.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒ユニオンツール（株）/ユニオンツール 【CSELB2012-160】(4852478)超硬エンドミルロングネックボール 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■〒ユニオンツール（株）/ユニオンツール 【CSELB2012-160】(4852478)超硬エンドミルロングネックボール 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール（株）/ユニオンツール 【CSELB2012-160】(4852478)超硬エンドミルロングネックボール 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒ユニオンツール（株）/ユニオンツール 【CSELB2012-160】(4852478)超硬エンドミルロングネックボール 受注単位1[rn]
14-69609,,1696.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.5X5X4】(6339263)ダブルエクセルシリーズ 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●硬質潤滑被膜ＷＸＬコートの効果により金型材加工から銅電極加工まで幅広い用途で威力を発揮します。<br>●被削材：炭素鋼・合金鋼・工具鋼（HRC40まで）・プリハードン鋼（HRC55まで）・ステンレス鋼・鋳鉄・ダクタイル鋳鉄（HB350まで）・銅合金・アルミ合金・チタン合金・耐熱合金。<br>●ボール半径(mm):0.5<br>●刃長(mm):0.8<br>●全長(mm):45<br>●シャンク径(mm):4<br>●刃数:2<br>●首下長（mm）：5<br>●表面処理:ＷＸＬコーティング<br>●ねじれ角３０°<br>●超硬合金（Carbide)<br>",『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.5X5X4】(6339263)ダブルエクセルシリーズ 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.5X5X4】(6339263)ダブルエクセルシリーズ 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒オーエスジー（株）/ＯＳＧ【WXL-LN-EBD-R0.5X5X4】(6339263)ダブルエクセルシリーズ 受注単位1[rn]
14-69610,,11104.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒京セラ（株）/京セラ 【KGDR1212JX-1.3】(6539017)突切り用ホルダ 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■〒京セラ（株）/京セラ 【KGDR1212JX-1.3】(6539017)突切り用ホルダ 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ（株）/京セラ 【KGDR1212JX-1.3】(6539017)突切り用ホルダ 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒京セラ（株）/京セラ 【KGDR1212JX-1.3】(6539017)突切り用ホルダ 受注単位1[rn]
14-69611,,7983.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒三菱マテリアル（株）/三菱【AOMT123620PEER-M MP7130】(6676740)ＡＰＸ３０００用 ＰＶＤコーテッドインサート ステンレス鋼加工用 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■〒三菱マテリアル（株）/三菱【AOMT123620PEER-M MP7130】(6676740)ＡＰＸ３０００用 ＰＶＤコーテッドインサート ステンレス鋼加工用 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱マテリアル（株）/三菱【AOMT123620PEER-M MP7130】(6676740)ＡＰＸ３０００用 ＰＶＤコーテッドインサート ステンレス鋼加工用 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱マテリアル（株）/三菱【AOMT123620PEER-M MP7130】(6676740)ＡＰＸ３０００用 ＰＶＤコーテッドインサート ステンレス鋼加工用 受注単位10[rn]
