14-105101,http://tshop.r10s.jp/beautykura/cabinet/phiten/item-phiten77.jpg?fitin=700:700,1020.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ファイテン ロックインカラー トリートメント 240g,,,ファイテン ロックインカラー トリートメント 240g：Ｂｅａｕｔｙ　Ｋｕｒａ,ミルボンセフィーヌレブロンナカノイオニートスセビオナプラハツモールビバニーズビーバンジョアクレイツノビィーシュワルツコフゲルマニウムクリアッシュリゲッタバーネルハホニコ米ぬか美人リアルケラスターゼファイテン ロックインカラー トリートメント 240g,ファイテン ロックインカラー トリートメント 240g[rn]
14-105102,http://tshop.r10s.jp/beautykura/cabinet/phiten/item-phiten77.jpg?fitin=700:700,2176.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ファイテン ロックインカラー トリートメント 700g,,,ファイテン ロックインカラー トリートメント 700g：Ｂｅａｕｔｙ　Ｋｕｒａ,ミルボンセフィーヌレブロンナカノイオニートスセビオナプラハツモールビバニーズビーバンジョアクレイツノビィーシュワルツコフゲルマニウムクリアッシュリゲッタバーネルハホニコ米ぬか美人リアルケラスターゼファイテン ロックインカラー トリートメント 700g,ファイテン ロックインカラー トリートメント 700g[rn]
14-105103,http://tshop.r10s.jp/beautykura/cabinet/phiten/item-phiten77.jpg?fitin=700:700,2416.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ファイテン ロックインカラー トリートメント 700g ポンプ・スタンドホルダー付き,,,ファイテン ロックインカラー トリートメント 700g ポンプ・スタンドホルダー付き：Ｂｅａｕｔｙ　Ｋｕｒａ,ミルボンセフィーヌレブロンナカノイオニートスセビオナプラハツモールビバニーズビーバンジョアクレイツノビィーシュワルツコフゲルマニウムクリアッシュリゲッタバーネルハホニコ米ぬか美人リアルケラスターゼファイテン ロックインカラー トリートメント 700g ポンプ・スタンドホルダー付き,ファイテン ロックインカラー トリートメント 700g ポンプ・スタンドホルダー付き[rn]
14-105104,http://tshop.r10s.jp/beautykura/cabinet/phiten/item-tsuyabata.jpg?fitin=700:700,1280.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ファイテン　ツヤ-パタ 業務用 200g,,,ファイテン　ツヤ-パタ 業務用 200g：Ｂｅａｕｔｙ　Ｋｕｒａ,ミルボンセフィーヌレブロンナカノイオニートスセビオナプラハツモールビバニーズビーバンジョアクレイツノビィーシュワルツコフゲルマニウムクリアッシュリゲッタバーネルハホニコ米ぬか美人リアルケラスターゼファイテン　ツヤ-パタ 業務用 200g,ファイテン　ツヤ-パタ 業務用 200g[rn]
14-105105,http://tshop.r10s.jp/belmo/cabinet/img145/co4511413521182.jpg?fitin=700:700,752.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】,　,"<iframe 　　　="""" src=""http://www.rakuten.ne.jp/gold/belmo/common/spbnr.html"" width=""100%"" scrolling=""no"" frameborder=""0"" marginheight=""0"" marginwidth=""0""></iframe 　><br><font color=crimson><b>※こちらは取寄商品になります。<br>具体的な納期に関してましては、ご注文後、担当よりメールにてご案内させていただきます。<br>(仕入先の在庫状況によっては、欠品・廃盤の場合や、発送までに1週間以上のお時間をいただく場合もございます。)<br><br></b></font>　<br><br>[メーカーまたは輸入元] DHC<br>[区分] 化粧品(ヘアケア：トリートメント・ヘアパック)<br>[広告文責] 株式会社ベルモ TEL：042-767-2722<br><br><img src=http://www.rakuten.ne.jp/gold/belmo/images/common/sptap.png width=100%><br><img src=http://image.rakuten.co.jp/belmo/cabinet/orderinfo_tori_10.jpg width=80%>",【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】：ビューティーファクトリー：ベルモ,香水フレグランス化粧品コスメブルガリクロエグッチエスカーダスキンケアランコムヘアケアスポーツキッチン玩具健康食品日用品サプリ雑貨アロマ送料無料クーポンポイント【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】,　。【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】[rn]
14-105106,http://tshop.r10s.jp/beautyfive/cabinet/img145/co4511413521182.jpg?fitin=700:700,752.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】,　,"<iframe 　　　="""" src=""http://www.rakuten.ne.jp/gold/beautyfive/common/spbnr.html"" width=""100%"" scrolling=""no"" frameborder=""0"" marginheight=""0"" marginwidth=""0""></iframe 　><br><font color=crimson><b>※こちらは取寄商品になります。<br>具体的な納期に関してましては、ご注文後、担当よりメールにてご案内させていただきます。<br>(仕入先の在庫状況によっては、欠品・廃盤の場合や、発送までに1週間以上のお時間をいただく場合もございます。)<br><br></b></font>　<br><br>[メーカーまたは輸入元] DHC<br>[区分] 化粧品(ヘアケア：トリートメント・ヘアパック)<br>[広告文責] 有限会社ビューティーファイブ TEL：042-767-2790<br><br><img src=http://www.rakuten.ne.jp/gold/beautyfive/images/common/sptap.png width=100%><br><img src=http://image.rakuten.co.jp/beautyfive/cabinet/orderinfo_tori_10.jpg width=80%>",【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】：ビューティーファイブ,香水アロマフレグランスアロマテラピーBVLGARICHANELGUCCIESCADACHLOELANCOMECLINIQUEDIORARAMISANNA SUIGIVENCHYケラスターゼアジュバンiphoneサプリメント雑貨【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】,　。【最大500円OFFクーポン4/14 10:00～4/19 09:59】 DHC MEN スカルプケアトリートメント 200g 【DHC: ヘアケア トリートメント・ヘアパック 本体】【DHC】[rn]
14-105107,http://tshop.r10s.jp/aplusstyle/cabinet/imgrc0065776506.jpg?fitin=700:700,640.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ロレアル ガルニエ　ダメージイレイサー　シャンプー　384mL[GARNIER ダメージヘア用 正規輸入品],ロレアル発の『ガルニエ』日本上陸！こっくりリッチな使用感!!,"ロレアル発の『ガルニエ』が日本上陸！
こっくりリッチなダメージ補修で髪まとまる!!


世界中で好評化を維持する『ロレアル』が発信するライン『ガルニエ』がついに日本上陸！
乾燥や加齢、紫外線などでダメージをうけた髪のために高品質の植物オイル＆植物由来成分がダメージヘアを内側と外側からしっかりと補修・保湿。髪にぜいたくな潤いと上品なツヤを与えてくれます。
あらゆるタイプの髪質にうるおい＆しなやかさをプラスしてくれるので、洗い上がりはしっとりするん♪傷んでパサつきがちな髪も素直ににまとまります。

環境に配慮したパッケージで再生プラスチックを採用。使い終わったら小さく折りたためるエコなボトルです。 

<hr>
フィトケラチンと植物オイルたっぷりでリッチな使用感です♪<hr>

《内容量》384mL<br>

《製造国》アメリカ <br><hr>",ロレアル ガルニエ　ダメージイレイサー　シャンプー　384mL[GARNIER ダメージヘア用 正規輸入品]：A＋Style,ダウニースナグルソフトソープアイボリードーンタイドグローバブルズ海外ブランドロレアル ガルニエ　ダメージイレイサー　シャンプー　384mL[GARNIER ダメージヘア用 正規輸入品],ロレアル発の『ガルニエ』日本上陸！こっくりリッチな使用感!!。ロレアル ガルニエ　ダメージイレイサー　シャンプー　384mL[GARNIER ダメージヘア用 正規輸入品][rn]
14-105108,http://tshop.r10s.jp/hot-market/cabinet/beauty/imgrc0068584874.jpg?fitin=700:700,2419.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,くせ毛用 スプレー ストパー剤 レディース メンズ ケラチン トリートメント ロングヘアー くせ毛　業務用 メンズ 縮毛矯正剤 縮毛 ストパー縮毛後 改善 天然パーマ ワックス 天パー 髪型 シャンプー 髪型 うねり 治す 直す 前髪 クセ毛のための まっすぐ金のミスト,クセ毛が驚くほどまとまりやすくなる。まっすぐ金のミスト。,"<img src=""http://thumbnail.image.shashinkan.rakuten.co.jp/shashinkan-core/showPhoto/?pkey=64bf6431812e03dded4c9406c94fa95086e33813.88.2.2.2a1.jpg""><br><br>
<img src=""http://thumbnail.image.shashinkan.rakuten.co.jp/shashinkan-core/showPhoto/?pkey=8416bca98e8e00d6df64074264dfd33fafcda160.88.2.2.2a1.jpg""><br><br><img src=""http://thumbnail.image.shashinkan.rakuten.co.jp/shashinkan-core/showPhoto/?pkey=557d26d5cacb136f7bfedbc049483dac7b30ea0d.88.2.2.2a1.jpg""><br><br>
<b><FONT size=“7"" color=""black"">
シャンプー前にシュッシュするだけ。<br>
使った初日から、昨日まで悩んでいた<br>
自分の髪のまとまりやすさに驚くことでしょう。<br><br>

湿気で爆発して恥ずかしい、まとまらない、朝セットするのが憂鬱、色んな髪型に挑戦したい・・・・。<br><br>

だから、くせ毛はもう嫌！！と思った事があれば、一度使って頂きたいです。<br>
<br>
ずっとストレートに憧れていました。<br>
<br>
今、これを書いている私（店長）は、小学生の頃からくせ毛をいじられ、髪型で悩み、高校生の頃になって<br><br>
バイト代が4万円くらいなのに、1万円もする<br>
縮毛矯正をかけたりしていました。<br><br>

大人になった今は、くせがなぜか弱くなり、<br>
まいっか、くらいの軽い感じになりました。<br><br>

初めて金のミストを使ったのは数ヶ月前ですが、
一瞬で髪質が変わってくせが穏やかになったので、
驚きました。<br><br>
学生の頃に、この金のミストに出会っていれば、きっと悩みも少なかったんだろうな、と思います。<br><br>

使い方は非常に簡単で、シャンプー前にシュッシュして、
髪になじませて、その後普通にシャンプーするだけ。<br><br>

朝寝ぐせ直しに使ったり、洗い流さなくても平気です。<br><br>

届いたらまず鏡の前で自分の髪を触ってから<br>
髪にシュッシュしてみてください。1分も経たないうちに
サラッサラで落ち着いた髪型になるので嬉しくなると思います。<br>
<br>
「なぜ、髪が柔らかくなってまっすぐになるのか。」<br><br>

アルカリイオンとケラチン、そして純金の不思議な作用で、髪表面を1本1本包み込み、ケアします。<br><br>
更に使い続ける事により、髪が毎日アルカリ温泉に入るような感じで、<br>
更にサラサラで、艶のある髪へ変化していきます。<br><br>

これを使えば超ストレートになるの？<br>
<br>
正直にお話すると、超ストレートにはなりません。<br>
薬品の縮毛矯正剤ではないんです。<br>
<br>
髪に栄養を与えて、傷みから守ってあげる。<br>
すると、1本1本が自然とサラサラになって、<br>
まとまってくれる、という仕組みなんです。<br><br>
<br>
オイルフリーだから、重くならず、べたつかず<br>
何もつけていないような軽い仕上がりになります。<br><br>

髪を柔らかくしたい。でも傷めたくない。<br>
<br>
一般的な縮毛矯正とは、専門的にいうと<br><br>
クセ毛の毛の内部、「シスチン結合」というものが不均一になっているので、これを一度切断し、真っすぐな状態で再び結合させ、高熱（160～180℃）によって固定させる事で矯正させています。<br><br>現在は髪に優しい縮毛矯正も出てきてはいるようですが、科学薬剤や高熱が、人間の髪に良いとは中々思えません。<br><br>

じゃあ金のミストは毎日使っても平気なの？<br><br>
はい、安心して毎日お使いいただけます。<br><br>
なぜなら、金のミストは<br>
「無添加」「オイルフリー」「無香料」「主成分は水」<br><br>
そして、安心・安全の「日本製」です。　<br><br>

天然アルカリイオンや金の栄養を髪に与える事で髪を元気にするので<br>
毎日のケアに気兼ねなくお使い頂けます。<br><br>

まずは1本だけ試しに購入頂き、初日の髪質の変化を実感して下さい。<br><br>
送料無料！<br>

</FONT></b>
<br>
<br>",くせ毛用 スプレー ストパー剤 レディース メンズ ケラチン トリートメント ロングヘアー くせ毛　業務用 メンズ 縮毛矯正剤 縮毛 ストパー縮毛後 改善 天然パーマ ワックス 天パー 髪型 シャンプー 髪型 うねり 治す 直す 前髪 クセ毛のための まっすぐ金のミスト：Hot Market,LED ミラー 拡大鏡 10倍 雑貨 5倍お姫様ミラー LEDブライトミラー壁掛け 女優ミラー 卓上ミラーメーカー 化粧鏡 ライト付きトントン tongtong tontonledミラー 卓上ミラー  肩叩き棒 肩たたき棒卓上 スタンドミラー 化粧品おしゃれ メイクアップミラーKTL800XT led拡大鏡折りたたみ メイクミラー 肩こり解消グッズ送料無料 ハリウッドミラー保湿 肩こり 改善 腰痛 筋肉痛マッサージ器 ネックレス 磁気ネックレス肩こり・腰痛・筋肉痛枕 解消グッズ マッサージ 肩凝りプルンデ プルリナスパ 肩たたき棒肩たたき 簡易マッサージグッズプリンセスミラー タッチ LEDタッチセンサー 電池クセ毛 シャンプー 直しくせ毛用 スプレー ストパー剤 レディース メンズ ケラチン トリートメント ロングヘアー くせ毛　業務用 メンズ 縮毛矯正剤 縮毛 ストパー縮毛後 改善 天然パーマ ワックス 天パー 髪型 シャンプー 髪型 うねり 治す 直す 前髪 クセ毛のための まっすぐ金のミスト,クセ毛が驚くほどまとまりやすくなる。まっすぐ金のミスト。。くせ毛用 スプレー ストパー剤 レディース メンズ ケラチン トリートメント ロングヘアー くせ毛　業務用 メンズ 縮毛矯正剤 縮毛 ストパー縮毛後 改善 天然パーマ ワックス 天パー 髪型 シャンプー 髪型 うねり 治す 直す 前髪 クセ毛のための まっすぐ金のミスト[rn]
14-105109,http://tshop.r10s.jp/soukai/cabinet/42/4901872831142.jpg?fitin=700:700,227.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,スーパーマイルド コンディショナー レギュラー(220mL)【スーパーマイルド】[リンス],スーパーマイルド / リンス★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞ダメージケアリンス・コンディショナー＞スーパーマイルド コンディショナー レギュラー (220mL)<br><br>★税抜1900円以上で送料無料★<br><br>【スーパーマイルド コンディショナー レギュラーの商品詳細】<br>●キューティクルプロテクター採用で、髪の大切な成分を守ります。<br>●スーパーモイスチャービタE配合で、乾燥・摩擦から髪を保護します。<br>●翌朝も、なめらかでまとまりのある髪に仕上げます。<br>●ナチュラルで、フレッシュな、すがすがしいグリーンの香りです。<br><br><br>【成分】<br>水、イソペンチルジオール、ジメチコン、ベヘニルアルコール、ステアリルアルコール、パルミチン酸オクチル、ステアルトリモニウムクロリド、ソルビトール、アミノプロピルジメチコン、PEG-90M、タウリン、加水分解カラスムギタンパク、コムギ胚芽油、セタノール、イソプロピルパノール、クエン酸、BG、フェノキシエタノール、香料<br><br>【ブランド】<br>スーパーマイルド<br><br>【発売元、製造元、輸入元又は販売元】<br>エフティ資生堂<br><br>(0.22L)<br><br>エフティ資生堂<br>105-8310 東京都港区東新橋1丁目6番2号<br>0120-81-4710<br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：スーパーマイルド/],スーパーマイルド コンディショナー レギュラー(220mL)【スーパーマイルド】[リンス]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションスーパーマイルド コンディショナー レギュラー(220mL)【スーパーマイルド】[リンス],スーパーマイルド / リンス★税抜1900円以上で送料無料★。スーパーマイルド コンディショナー レギュラー(220mL)【スーパーマイルド】[リンス][rn]
14-105110,http://tshop.r10s.jp/soukai/cabinet/92/4901872896592.jpg?fitin=700:700,639.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,スーパーマイルド ヘア＆スカルプマスク(200g)【スーパーマイルド】[ヘアパック ヘアマスク],スーパーマイルド / ヘアパック ヘアマスク,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞トリートメント＞ダメージヘアトリートメント＞スーパーマイルド ヘア＆スカルプマスク (200g)<br><br>★税抜1900円以上で送料無料★<br><br>【スーパーマイルド ヘア＆スカルプマスクの商品詳細】<br>●信頼できるもので髪そのものを美しく。ゆとりのあるときはじっくり地肌マッサージ。忙しいときは、なじませて洗い流すだけのヘアトリートメントとして使える、髪と地肌のためのマスクです。純国産オーガニックハーブ配合エッセンスが、髪そのものが生まれ変わったかのようなさらさらなめらかな美髪にします。<br>●髪と地肌のうるおいを守る弱酸性です。<br>●自然のすがすがしい風を感じるような、グリーンフローラルの香り<br><br>【ご使用方法】<br>・週2回を目安に、髪と地肌をまんべんなく包み込むようにたっぷりとご使用ください。<br>(1)シャンプー後、髪の水気を充分に切り、マスカット1コ程度を地肌全体にいきわたらせます。(使用量はセミロングが目安です)<br>(2)もう一度同じ量をとり、傷んだ毛先中心に髪全体になじませます。その後、指の腹を使って、地肌全体をくるくると動かすように、やさしくマッサージします。<br>(3)5分ほど放置してから、地肌を中心によくすすぎます。<br><br>【成分】<br>水、ソルビトール、イソペンチルジオール、ジメチコン、セタノール、ベヘントリモニウムクロリド、ミネラルオイル、ベヘニルアルコール、アミノプロピルジメチコン、タマリンドガム、ステアルトリモニウムクロリド、ハッカ油、ステアリルジヒドロキシプロピルジモニウムオリゴ糖、トウガラシエキス、カミツレ花エキス、ローズマリーエキス、イソプロパノール、DPG、BG、PG、クエン酸、エタノール、フェノキシエタノール、香料<br>【ご注意】<br>・目に入らないようにご注意ください。もし入った場合は、すぐに水かぬるま湯で洗い流してください。<br>・乳幼児の手の届かないところにおいてください。<br>・頭皮に傷、はれもの、湿疹など異常があるときは使わないでください。<br>・使用中や使用後に、刺激などの異常があらわれたときは使用を中止してください。<br><br>【ブランド】<br>スーパーマイルド<br><br>【発売元、製造元、輸入元又は販売元】<br>エフティ資生堂<br><br>(0.2kg)<br><br>エフティ資生堂<br>105-8310 東京都港区東新橋1丁目6番2号<br>0120-81-4710<br><br>広告文責：株式会社爽快ドラッグ<br><br>[トリートメント/ブランド：スーパーマイルド/],スーパーマイルド ヘア＆スカルプマスク(200g)【スーパーマイルド】[ヘアパック ヘアマスク]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションスーパーマイルド ヘア＆スカルプマスク(200g)【スーパーマイルド】[ヘアパック ヘアマスク],スーパーマイルド / ヘアパック ヘアマスク。スーパーマイルド ヘア＆スカルプマスク(200g)【スーパーマイルド】[ヘアパック ヘアマスク][rn]
14-105111,http://tshop.r10s.jp/soukai/cabinet/70/4936201055470.jpg?fitin=700:700,986.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,レコル ノンシリコンスカルプトリートメント ホワイト(500mL)【レコル】[ヘアトリートメント],レコル / ヘアトリートメント★税抜1900円以上で送料無料★,お店TOP＞バス・洗面＞トリートメント＞フケ・かゆみ・スキャルプケア用＞レコル ノンシリコンスカルプトリートメント ホワイト (500mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z70/z4936201055470.jpg' width='100%'><br><br>【レコル ノンシリコンスカルプトリートメント ホワイトの商品詳細】<br>●潤い封じこめ毛先ぷるん<br>●無添加ノンシリコンでもしっとり潤う白泥トリートメント<br>●海の恵みたっぷり白泥でミネラルパック。頭皮しっとり、艶やかな美髪に<br>●アボカド油・カミツレ花エキス・ローズヒップ油など自然の恵みを贅沢に配合。清潔でうるおいのある頭皮と艶髪に<br>●イル・ド・フランス産の白泥・ブルターニュ産海藻エキス配合<br>●ノンシリコン・石油系界面活性剤フリー・無鉱物油・無合成着色料・無合成香料・パラベンフリー・弱酸性<br>●シトラスピールアロマの香り<br><br>【使用方法】<br>・シャンプーの後軽く水気を切り、適量を手のひらにとって髪全体になじませてください。その後、指の腹で頭皮をよくマッサージしてください。マッサージ後はよくすすいでください。<br><br>【成分】<br>水、水添ナタネ油アルコール、グリセリン、ステアルトリモニウムブロミド、カオリン、ホウライシダ葉エキス、ナンバンクサフジ葉エキス、レウカスセファロテス葉エキス、加水分解シルク、ハチミツ、ヨーグルト液、カミツレ花エキス、アボカド油、ローズヒップ油、イランイラン花油、オレンジ果皮油、チョウジ葉油、チョウジ花油、パルマローザ油、ベルガモット果実油、マンダリンオレンジ果皮油、ラベンダー油、ローマカミツレ花油、ライム油、BG、トリ(カプリル酸／カプリン酸)グリセリン、オクチルドデカノール、ステアリン酸グリセリル、イソプロパノール、メントール、ヒドロキシエチルセルロース、フェノキシエタノール<br>【注意事項】<br>・頭皮に傷、はれもの、湿疹等異常のある時はお使いにならないでください。<br>・使用中に赤み、はれ、かゆみ、刺激等の異常が現れた場合はご使用を中止し、皮膚科専門医等へのご相談をおすすめいたします。<br>・目に入らないようご注意ください。目に入った時はすぐに洗い流してください。目に異物感が残る場合は眼科専門医等へご相談ください。<br>・乳幼児の手の届かないところに保管してください。<br>・高温多湿や低温の場所、直射日光の当たる場所には保管しないでください。<br>※ポンプのつまりを防ぐためチューブ部分が底面につかないように設定しております。<br><br>【ブランド】<br>レコル<br><br>【発売元、製造元、輸入元又は販売元】<br>コスメテックスローランド<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>/(/F251904/)/<br><br>コスメテックスローランド<br>107-6013 東京都港区赤坂1-12-32<br>03-3585-9301<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[トリートメント/ブランド：レコル/],レコル ノンシリコンスカルプトリートメント ホワイト(500mL)【レコル】[ヘアトリートメント]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションレコル ノンシリコンスカルプトリートメント ホワイト(500mL)【レコル】[ヘアトリートメント],レコル / ヘアトリートメント★税抜1900円以上で送料無料★。レコル ノンシリコンスカルプトリートメント ホワイト(500mL)【レコル】[ヘアトリートメント][rn]
