14-188801,http://tshop.r10s.jp/bebike/cabinet/shimano/y04110000_1.jpg?fitin=700:700,728.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike,プレミアムグリス 50g (Y04110000) シマノ　自転車 グリス,"プレミアムグリス 50g （旧名称：デュラエースグリス） (Y04110000) シマノ<br><BR><BR>耐水性・耐熱性・耐圧性にすぐれ水や汚れの侵入を防ぎ、製品本来の性能を十分に発揮させます。稼働部の抵抗を減らし、ゴムシール部を傷める恐れもありません。<BR><BR>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/shimano7/premiumgrease.jpg""><br>
<table width=""100%"" cellpadding=""10"">
  <tr>
    <td>プレミアムグリス 50g Y04110000</td>
  </tr>
  <tr>
    <td>プレミアムグリス 100g チューブ入り Y04110200</td>
  </tr>
  <tr>
    <td> プレミアムグリス 500g Y04110010 </td>
  </tr>
</table>",シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイシマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike,プレミアムグリス 50g (Y04110000) シマノ　自転車 グリス。シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike[rn]
14-188802,http://tshop.r10s.jp/bebike/cabinet/shimano/y04110010-1.jpg?fitin=700:700,4137.6000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,シマノ プレミアムグリス 500g Y04110010 自転車 グリス bebike,シマノ プレミアムグリス 500g Y04110010 自転車 グリス,"シマノ プレミアムグリス 500g Y04110010 自転車 グリス<BR><BR><BR>
耐水性・耐熱性・耐圧性にすぐれ水や汚れの侵入を防ぎ、製品本来の性能を十分に発揮させます。稼働部の抵抗を減らし、ゴムシール部を傷める恐れもありません。<BR><BR><BR><BR>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/shimano7/premiumgrease.jpg""><br>
<table width=""100%"" cellpadding=""10"">
  <tr>
    <td>プレミアムグリス 50g Y04110000</td>
  </tr>
  <tr>
    <td>プレミアムグリス 100g チューブ入り Y04110200</td>
  </tr>
  <tr>
    <td> プレミアムグリス 500g Y04110010 </td>
  </tr>
</table>",シマノ プレミアムグリス 500g Y04110010 自転車 グリス bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイシマノ プレミアムグリス 500g Y04110010 自転車 グリス bebike,シマノ プレミアムグリス 500g Y04110010 自転車 グリス。シマノ プレミアムグリス 500g Y04110010 自転車 グリス bebike[rn]
14-188803,http://tshop.r10s.jp/bebike/cabinet/option15/feedback-17094.jpg?fitin=700:700,26400.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,Feedback Sports フィードバッグスポーツ チームエディション ツールキット Team Edition Tool Kit(18 tools) 自転車 ツールキット bebike,FEEDBACK Sports ツールキット,"Feedback Sports フィードバッグスポーツ チームエディション ツールキット Team Edition Tool Kit(18 tools) 自転車 ツールキット bebike
<br>
<font size=""2""><br>
ワークスタンドに吊り下げて使用可能なツールキット。
18の工具に24の用途をもたせており、遠征先での本格的なメンテナンスにも対応可能な心強い構成です。<br>
<br>
・8mm Lハンドル 6角レンチ<br>
・10mm Lハンドル 6角レンチ<br>
・2/2.5/3mm 3WAY 6角レンチ<br>
・4/5/6mm 3WAY 6角レンチ<br>
・T25/T27/T30 3WAY トルクスレンチ<br>
・タイヤレバーｘ２<br>
・スポークレンチ/バルブエクステンダー用レンチ<br>
・ローター修正器<br>
・BB/フリーホイールリムーバー<br>
・ペダルレンチ<br>
・バルブコアツール（米・仏）<br>
・ピック（90&deg;＋０&deg;）<br>
・プラスドライバー＃０ /アジャスティングキャップツール<br>
・プラスドライバー＃２&nbsp;<br>
・1/4 マイナスドライバー<br>
・チェーン切り<br>
・カセットプライヤー<br>
・ワイヤーカッター</font><br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17094.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17094-01.jpg"" alt="""" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17094-03.jpg"" alt="""" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17094-02.jpg"" alt="""" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17094-04.jpg"" alt="""" width=""100%"">",Feedback Sports フィードバッグスポーツ チームエディション ツールキット Team Edition Tool Kit(18 tools) 自転車 ツールキット bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイFeedback Sports フィードバッグスポーツ チームエディション ツールキット Team Edition Tool Kit(18 tools) 自転車 ツールキット bebike,FEEDBACK Sports ツールキット。Feedback Sports フィードバッグスポーツ チームエディション ツールキット Team Edition Tool Kit(18 tools) 自転車 ツールキット bebike[rn]
14-188804,http://tshop.r10s.jp/bebike/cabinet/option15/feedback-17149.jpg?fitin=700:700,14400.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,Feedback Sports フィードバッグスポーツ　Ride Prep Tool Kit (11 tools)　自転車 ツールキット bebike,FEEDBACK Sports ツールキット,"Feedback Sports フィードバッグスポーツ　Ride Prep Tool Kit (11 tools)　自転車 ツールキット bebike
<br>
<font size=""2""><br></font>
<p><font size=""2"">レースイベントなどで使用頻度が高いツールをのみを組み合わせたキットです。<br>
  コンパクトで使い勝手が良く、携帯性の高い内容となってます。</font></p>
<p><font size=""2"">・8mm Lハンドル 6角レンチ<br>
  ・2/2.5/3mm 3WAY 6角レンチ<br>
  ・4/5/6mm 3WAY 6角レンチ<br>
  ・T25/T27/T30 3WAY トルクスレンチ<br>
  ・タイヤレバーｘ２<br>
  ・スポークレンチ/バルブエクステンダー用レンチ<br>
  ・ローター修正器<br>
  ・ペダルレンチ<br>
  ・バルブコアツール（米・仏）<br>
  ・プラスドライバー＃0/アジャスティングキャップツール<br>
  ・チェーン切り</font></p>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17149.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17149-01.jpg"" alt="""" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17149-03.jpg"" alt="""" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17149-02.jpg"" alt="""" width=""100%""><br>",Feedback Sports フィードバッグスポーツ　Ride Prep Tool Kit (11 tools)　自転車 ツールキット bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイFeedback Sports フィードバッグスポーツ　Ride Prep Tool Kit (11 tools)　自転車 ツールキット bebike,FEEDBACK Sports ツールキット。Feedback Sports フィードバッグスポーツ　Ride Prep Tool Kit (11 tools)　自転車 ツールキット bebike[rn]
14-188805,http://tshop.r10s.jp/bebike/cabinet/option15/feedback-17092.jpg?fitin=700:700,14400.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,Feedback Sports フィードバッグスポーツ　T-Handle Kit T-7　自転車 ツールキット bebike,FEEDBACK Sports ツールキット,"Feedback Sports フィードバッグスポーツ　T-Handle Kit T-7　自転車 ツールキット bebike
<br>
<font size=""2""><br>
ハンドル周辺やシート周辺など、細かなポジションのセッティング用に特化したキット。
スピーディで確実な作業を可能とするT型形状を採用し、使い勝手にも優れています。 <br>
六角レンチ
・2mm　・2.5mm　・3mm
・4mm　・5mm　・6mm
<br>
トルクスレンチ
・T-25</font><br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17092.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17092-01.jpg"" alt="""" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17092-03.jpg"" alt="""" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/feedback-17092-02.jpg"" alt="""" width=""100%""><br>",Feedback Sports フィードバッグスポーツ　T-Handle Kit T-7　自転車 ツールキット bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイFeedback Sports フィードバッグスポーツ　T-Handle Kit T-7　自転車 ツールキット bebike,FEEDBACK Sports ツールキット。Feedback Sports フィードバッグスポーツ　T-Handle Kit T-7　自転車 ツールキット bebike[rn]
14-188806,http://tshop.r10s.jp/bebike/cabinet/option10/ktc-gek085-r3.jpg?fitin=700:700,21600.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,KTC GEK085-R3 デジラチェ(17～85 N・m) 自転車 工具,KTC デジラチェ(17～85 N・m),"KTC GEK085-R3 デジラチェ(17～85 N・m) 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option10/ktc-gek085-r3.jpg"" width=""100%""><br>
<br>
パワーセンサ搭載固定グリップ採用。<br>
作業姿勢や習熟度にかかわらず、さらに簡単・ハイレベルなトルク管理が可能となった、進化形デジタルトルクツール。<br>
設定トルクをメモリすることで、いつでもすぐに使えます（プリセットモード：5件）。<br>
多彩な測定モードをカスタム設定することで、幅広いシーンに適応できます。<br>
トルク単位換算機能付き。国際基準（ISO）をクリア。<br>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""3""><b>仕様</b></td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">重量</td>
    <td bgcolor=""#FFFFFF"">440g</td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">設定範囲</td>
    <td bgcolor=""#FFFFFF"">17～85N・m</td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">差込角</td>
    <td bgcolor=""#FFFFFF"">9.5sq. </td>
  </tr>
</table>",KTC GEK085-R3 デジラチェ(17～85 N・m) 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイKTC GEK085-R3 デジラチェ(17～85 N・m) 自転車 工具,KTC デジラチェ(17～85 N・m)。KTC GEK085-R3 デジラチェ(17～85 N・m) 自転車 工具[rn]
14-188807,http://tshop.r10s.jp/bebike/cabinet/baner/noimage.jpg?fitin=700:700,2635.2000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,KTC WM-200-F モンキレンチ 自転車 工具,KTC モンキレンチ,"KTC WM-200-F モンキレンチ 自転車 工具<br>
<br>

<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""3""><b>仕様</b></td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">最大開口</td>
    <td bgcolor=""#FFFFFF"">30mm</td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">全長</td>
    <td bgcolor=""#FFFFFF"">213mm</td>
  </tr>
  <tr valign=""top""> 
    <td width=""30%"" bgcolor=""#FFFFFF"">重量</td>
    <td bgcolor=""#FFFFFF"">240g</td>
  </tr>
</table>",KTC WM-200-F モンキレンチ 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイKTC WM-200-F モンキレンチ 自転車 工具,KTC モンキレンチ。KTC WM-200-F モンキレンチ 自転車 工具[rn]
14-188808,http://tshop.r10s.jp/bebike/cabinet/option5/wakos-a334.jpg?fitin=700:700,1280.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,WAKO'S（ワコーズ） メンテルーブ A334  自転車 ルブリカント  和光ケミカル  bebike,【5400円(税込)以上送料無料】,"WAKO'S（ワコーズ） メンテルーブ A334 【自転車】【ルブリカント】【和光ケミカル】
<br><br>
<br>
機器をコントロールするケープルやワイヤー類、高速回転する小型べアリング、自転車やフォーリフトのチエーンなど、高い荷重にさらされたり精密な動作性を求められるシステムを長期間スムーズに稼働させるには、高い潤滑陛や防錆性を持つだけでなく、狭いクリアランスでも潤滑部位に的確に到達できる浸透性も求められます。　

ＷAKO’Sメンテルーブ（以下、 MTL）は発売以来、産業分野のみならずホビーの世界においても高い評価を頂いていますが、この度、 MTL の基本特性（高い浸透性・優れた潤滑性や防錆力）はそのままに、ベースオイル・添加剤処方の大幅な見直しと溶剤処方の最適化により、安全性を高めた第2石油類処方としてフルモデルチエンジ致しました。また水置　換性を付与するとともに温度特性もさらに向上し、冷凍倉庫など幅広い温度範囲で使用することができます。さらに手にフィットするFP缶を採用することで、より使いやすくしています。",WAKO'S（ワコーズ） メンテルーブ A334  自転車 ルブリカント  和光ケミカル  bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイWAKO'S（ワコーズ） メンテルーブ A334  自転車 ルブリカント  和光ケミカル  bebike,【5400円(税込)以上送料無料】。WAKO'S（ワコーズ） メンテルーブ A334  自転車 ルブリカント  和光ケミカル  bebike[rn]
14-188809,http://tshop.r10s.jp/bebike/cabinet/option4/img61425119.jpg?fitin=700:700,936.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,KURE チェーンルブ ドライ 潤滑油 ドライタイプ 130ml E-1602-12L (4972444016021) ルブリカント 呉工業 自転車 bebike,KURE チェーンルブ ドライ 潤滑油 ドライタイプ E-1602-12L,"KURE チェーンルブ ドライ 潤滑油　ドライタイプ　130ml E-1602-12L<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option7/kure-dry1.jpg"" width=""100%""><BR>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option7/kure-dry2.jpg"" width=""100%""><BR>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option7/kure-dry3.jpg"" width=""100%""><BR>
<br>
<br>
●抜群の浸透力で細部まで浸透。摩擦抵抗を低減し、スムーズな走りが持続します。<br>
●汚れ・ホコリ等の付着を抑え、チェーンを摩耗から防ぎます。<br>
●すぐれた水置換効果により、湿気や水分を除去しサビの発生も防ぎます。<br>
●成分:ナノセラミックス(ボロン)、PTFE(フッ素樹脂)、エステル化学合成油、防錆剤、石油系溶剤<br>
●容量:130ml<br>
●製品サイズ(H×W×D):160×55×35(mm)<br>
●製品重量:140g",KURE チェーンルブ ドライ 潤滑油 ドライタイプ 130ml E-1602-12L (4972444016021) ルブリカント 呉工業 自転車 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイKURE チェーンルブ ドライ 潤滑油 ドライタイプ 130ml E-1602-12L (4972444016021) ルブリカント 呉工業 自転車 bebike,KURE チェーンルブ ドライ 潤滑油 ドライタイプ E-1602-12L。KURE チェーンルブ ドライ 潤滑油 ドライタイプ 130ml E-1602-12L (4972444016021) ルブリカント 呉工業 自転車 bebike[rn]
14-188810,http://tshop.r10s.jp/bebike/cabinet/option4/img61430545.jpg?fitin=700:700,1080.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,KURE チェーンルブ セミウェット潤滑油　セミウェットタイプ　200ml E-1601-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike,KURE チェーンルブ セミウェット潤滑油　セミウェットタイプ,"KURE チェーンルブ セミウェット潤滑油　セミウェットタイプ　200ml<br>
●細部まで浸透し、強力な潤滑効果(低フリクション&耐摩耗)を長期間持続します。
●すぐれた水置換効果により、湿気や水分を除去しサビの発生も防ぎます。
●チェーンへの付着性にすぐれ、オイルの悲惨を抑えます。
●成分:液化チタン、ナノセラミックス(ボロン)、有機モリブデン、防錆剤、潤滑油
●容量:200ml
 ●製品サイズ:180×Φ53(mm)
 ●製品重量:210g",KURE チェーンルブ セミウェット潤滑油　セミウェットタイプ　200ml E-1601-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイKURE チェーンルブ セミウェット潤滑油　セミウェットタイプ　200ml E-1601-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike,KURE チェーンルブ セミウェット潤滑油　セミウェットタイプ。KURE チェーンルブ セミウェット潤滑油　セミウェットタイプ　200ml E-1601-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike[rn]
14-188811,http://tshop.r10s.jp/bebike/cabinet/option4/img61430612.jpg?fitin=700:700,1080.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,KURE パーツクリーナー マルチ　パーツ洗浄液　380ml E-1603-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike,KURE パーツクリーナー マルチ　パーツ洗浄液　380ml,"KURE パーツクリーナーマルチ　パーツ洗浄剤　380ml<br>
●付着したグリースや油分を強力な洗浄力とジェット噴射できれいに落とします。
●速乾性で残渣がなく、拭き取り不要です。
●成分:高純度石油系溶剤
●容量:380ml
 ●製品サイズ:200×Φ66(mm)
 ●製品重量:390g",KURE パーツクリーナー マルチ　パーツ洗浄液　380ml E-1603-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイKURE パーツクリーナー マルチ　パーツ洗浄液　380ml E-1603-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike,KURE パーツクリーナー マルチ　パーツ洗浄液　380ml。KURE パーツクリーナー マルチ　パーツ洗浄液　380ml E-1603-12L ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike[rn]
