14-103301,http://tshop.r10s.jp/brico/cabinet/34/04912033-282209_1.jpg?fitin=700:700,410.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き,"■らくちん微調整・3次元調整・ワンタッチ着脱・開き角度調整可能<br><br>
●規格：NS-4050<br>
●入り数：1個入り<br>
●かぶせ（セット）：全かぶせ<br>
●キャッチ：キャッチ付<br>
●カップの直径：40mm<br>
●カップの深さ：13.8mm<br>
●材質：スチール/ニッケルメッキ仕上<br>
●付属ネジ：皿タッピングφ3.5×16mm（4本入） <br><br>
<font color=""#ff0000"">※1個だけが壊れた場合でもその扉についている全ての丁番を取り替えて下さい。</font><br>
<br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。<br>

メール便の詳細はこちら</font>",【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き。【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209[rn]
14-103302,http://tshop.r10s.jp/brico/cabinet/33/4903757279049_1.jpg?fitin=700:700,456.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】WAKI 超振動吸収騒音防止 ハネナイトスポンジ HNS001 約5mm×85mm×120mm,驚きの衝撃吸収力！　,"【特長】<br>
●衝撃・振動吸収・静音性に優れた制振ゴムスポンジです。<br>
●外力を受けても、ほとんど反発せずにエネルギーを吸収します。<br>
●素材自体に汚染性がない為、色移行の心配がほとんどない安全な素材です。<br>
●欧州RoHS指令対象物質を含まない環境にやさしい素材です。<br>
<br>
【ハネナイトの使用例】<br>
●自動車・OA機器・家電製品の静音、振動防止部材<br>
●産業機器の防振材<br>
●建築分野での静音、振動吸収材<br>
●その他スポーツ、娯楽、楽器等の緩衝材等<br>
<br>
［材質］NBR（発泡ニトリルゴム）<br>
［サイズ］85×120mm<br>
［厚み］5mm<br>
［硬度］25（SRIS C）<br>
<br>
【使用上の注意】<br>
●基本的に色移りしない非移行性の材料を使用しておりますが、ワックスや薬品類、紫外線や温度等の使用環境により、接地面への汚染の恐れがあります。ご注意ください。<br>
●屋外での使用は劣化の原因となります。使用しないでください。<br>
●火気厳禁です。直接火に近づけてのご使用は絶対にしないでください。<br>
●電気絶縁には使用できません。",【メール便可】WAKI 超振動吸収騒音防止 ハネナイトスポンジ HNS001 約5mm&times;85mm&times;120mm：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】WAKI 超振動吸収騒音防止 ハネナイトスポンジ HNS001 約5mm&times;85mm&times;120mm,驚きの衝撃吸収力！　。【メール便可】WAKI 超振動吸収騒音防止 ハネナイトスポンジ HNS001 約5mm&times;85mm&times;120mm[rn]
14-103303,http://tshop.r10s.jp/brico/cabinet/66/04721161-563466_1.jpg?fitin=700:700,155.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾×2m巻 ホワイト 4571102563466,かんたん！キレイ！強力！,"■粘着タイプなので裏面の紙をはがして貼るだけの簡単作業！<br>
■環境に優しい非塩ビ・ノントルエンタイプ<br><br>
●棚板の木口補修に<br>
●家具・建具・テーブル等の装飾に<br><br>
［サイズ］18mm巾×2m巻<br><br>
【材質表示】<br>
基材：ABS樹脂<br>
粘着剤：アクリル系<br>
はくり紙：紙<br><br>
<font color=""#ff0000"">※実際の色合いと画面上の色見本とは多少異なることがあります。</font><br><br>
※こちらの商品は4個まで1メール便での発送が可能です。",【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ホワイト 4571102563466：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ホワイト 4571102563466,かんたん！キレイ！強力！。【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ホワイト 4571102563466[rn]
14-103304,http://tshop.r10s.jp/brico/cabinet/34/04912101-282131_1.jpg?fitin=700:700,492.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】WAKI 和気産業 スライド丁番 半かぶせ ダンパー付 カップ径40mm NS-4051-D 4903757282131,ゆっくり閉まるから静か・安全！　105&deg;/85&deg;開き,"■手をはさんでも痛くない・静かに閉まる・らくちん微調整・3次元調整・ワンタッチ着脱・開き角度調整可能<br><br>
●規格：NS-4051-D<br>
●入り数：1個入り<br>
●かぶせ（セット）：半かぶせ<br>
●ダンパー：ダンパー付<br>
●カップの直径：40mm<br>
●カップの深さ：13.8mm<br>
●材質：スチール/ニッケルメッキ仕上<br>
●付属ネジ：皿タッピングφ3.5×16mm（4本入） <br><br>
<font color=""#ff0000"">※1個だけが壊れた場合でもその扉についている全ての丁番を取り替えて下さい。</font><br><br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。<br>

メール便の詳細はこちら</font>",【メール便可〒】WAKI 和気産業 スライド丁番 半かぶせ ダンパー付 カップ径40mm NS-4051-D 4903757282131：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】WAKI 和気産業 スライド丁番 半かぶせ ダンパー付 カップ径40mm NS-4051-D 4903757282131,ゆっくり閉まるから静か・安全！　105&deg;/85&deg;開き。【メール便可〒】WAKI 和気産業 スライド丁番 半かぶせ ダンパー付 カップ径40mm NS-4051-D 4903757282131[rn]
14-103305,http://tshop.r10s.jp/brico/cabinet/28/04721086-563428_1.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾×2m巻 ナチュラルオーク,かんたん！キレイ！強力！,"■粘着タイプなので裏面の紙をはがして貼るだけの簡単作業！<br>
■環境に優しい非塩ビ・ノントルエンタイプ<br><br>
●棚板の木口補修に<br>
●家具・建具・テーブル等の装飾に<br><br>
［サイズ］18mm巾×2m巻<br><br>
【材質表示】<br>
基材：ABS樹脂<br>
粘着剤：アクリル系<br>
はくり紙：紙<br><br>
<font color=""#ff0000"">※実際の色合いと画面上の色見本とは多少異なることがあります。</font><br><br>
※こちらの商品は4個まで1メール便での発送が可能です。",【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ナチュラルオーク：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ナチュラルオーク,かんたん！キレイ！強力！。【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ナチュラルオーク[rn]
14-103306,http://tshop.r10s.jp/brico/cabinet/48/04912118-282148_1.jpg?fitin=700:700,398.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】WAKI 和気産業 スライド丁番 インセット ダンパー付 カップ径40mm NS-4052-D 4903757282148,ゆっくり閉まるから静か・安全！　105&deg;/85&deg;開き,"■手をはさんでも痛くない・静かに閉まる・らくちん微調整・3次元調整・ワンタッチ着脱・開き角度調整可能<br><br>
●規格：NS-4052-D<br>
●入り数：1個入り<br>
●かぶせ（セット）：インセット<br>
●ダンパー：ダンパー付<br>
●カップの直径：40mm<br>
●カップの深さ：13.8mm<br>
●材質：スチール/ニッケルメッキ仕上<br>
●付属ネジ：皿タッピングφ3.5×16mm（4本入） <br><br>
<font color=""#ff0000"">※1個だけが壊れた場合でもその扉についている全ての丁番を取り替えて下さい。</font><br><br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。<br>

メール便の詳細はこちら</font>",【メール便可〒】WAKI 和気産業 スライド丁番 インセット ダンパー付 カップ径40mm NS-4052-D 4903757282148：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】WAKI 和気産業 スライド丁番 インセット ダンパー付 カップ径40mm NS-4052-D 4903757282148,ゆっくり閉まるから静か・安全！　105&deg;/85&deg;開き。【メール便可〒】WAKI 和気産業 スライド丁番 インセット ダンパー付 カップ径40mm NS-4052-D 4903757282148[rn]
14-103307,http://tshop.r10s.jp/brico/cabinet/81/04721208-563381_1.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾×2m巻 ライトオーク,かんたん！キレイ！強力！,"■粘着タイプなので裏面の紙をはがして貼るだけの簡単作業！<br>
■環境に優しい非塩ビ・ノントルエンタイプ<br><br>
●棚板の木口補修に<br>
●家具・建具・テーブル等の装飾に<br><br>
［サイズ］18mm巾×2m巻<br><br>
【材質表示】<br>
基材：ABS樹脂<br>
粘着剤：アクリル系<br>
はくり紙：紙<br><br>
<font color=""#ff0000"">※実際の色合いと画面上の色見本とは多少異なることがあります。</font><br><br>
※こちらの商品は4個まで1メール便での発送が可能です。",【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ライトオーク：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ライトオーク,かんたん！キレイ！強力！。【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ライトオーク[rn]
14-103308,http://tshop.r10s.jp/brico/cabinet/43/04721048-563343_1.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾×2m巻 ダークビーチ 4571102563343,かんたん！キレイ！強力！,"■粘着タイプなので裏面の紙をはがして貼るだけの簡単作業！<br>
■環境に優しい非塩ビ・ノントルエンタイプ<br><br>
●棚板の木口補修に<br>
●家具・建具・テーブル等の装飾に<br><br>
［サイズ］18mm巾×2m巻<br><br>
【材質表示】<br>
基材：ABS樹脂<br>
粘着剤：アクリル系<br>
はくり紙：紙<br><br>
【ご使用上の注意】<br>
●テープを貼る面のほこり・水分をよく拭き取ってください。<br>
●粘着剤に手を触れたり、貼り直しをすると粘着力が弱くなります。<br>
●貼ってから粘着剤効果が出るまで数時間かかります。<br>
●肌に貼る等、用途以外での使用はしないでください。<br>
●幼児の手の届かない、直射日光が当たらない暗所にて保管してください。<br>
●のりがついた場合はアルコール、灯油等でふき取ってください。 
※実際の色合いと画面上の色見本とは多少異なることがあります。",【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ダークビーチ 4571102563343：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ダークビーチ 4571102563343,かんたん！キレイ！強力！。【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ダークビーチ 4571102563343[rn]
14-103309,http://tshop.r10s.jp/brico/cabinet/05/04721246-563305_1.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾×2m巻 ライトビーチ,かんたん！キレイ！強力！,"■粘着タイプなので裏面の紙をはがして貼るだけの簡単作業！<br>
■環境に優しい非塩ビ・ノントルエンタイプ<br><br>
●棚板の木口補修に<br>
●家具・建具・テーブル等の装飾に<br><br>
［サイズ］18mm巾×2m巻<br><br>
【材質表示】<br>
基材：ABS樹脂<br>
粘着剤：アクリル系<br>
はくり紙：紙<br><br>
<font color=""#ff0000"">※実際の色合いと画面上の色見本とは多少異なることがあります。</font><br><br>
※こちらの商品は4個まで1メール便での発送が可能です。",【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ライトビーチ：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ライトビーチ,かんたん！キレイ！強力！。【メール便可】パネフリ工業 木口貼りテープ パネフリバンド 18mm巾&times;2m巻 ライトビーチ[rn]
14-103310,http://tshop.r10s.jp/brico/cabinet/00181622/img57542586.jpg?fitin=700:700,656.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,Henkel ヘンケル ねじロック263 高強度タイプ ネジのゆるみ止め剤 LNR-263 P-10ml,空気を遮断すると硬化が始まる！ネジ、ビスのゆるみを防止！,"空気を遮断して硬化する、嫌気性接着剤「ねじロック」<br>
<br>
本製品は、金属接合部で空気の供給を断つことによって硬化し、<br>
衝撃・振動によるねじのゆるみを防止します。<br>
また、チキソ性を有するため、使用部位へ塗布後、液たれを低減します。<br>
<br>
●ねじロック263（高強度タイプ）<br>
●用途  
：汎用一般ネジのゆるみ止めに<br> 
●推奨ネジ径：M20以下&nbsp;<br>
●破壊/脱出トルク：（N・m） 33/33<br> 
●使用温度の目安 ：-55～150度<br> 
●粘度（mPa・s） ：1,300～3,000（チキソ）<br> 
●ネジの取り外し性 ：難&nbsp;<br> 
●容 量：10ml<br> 
<br> 
●硬化時間の目安（22度）<br>
●固化時間：約10分（鋼）　完全硬化：約24時間（鋼）<br>
※硬化速度は雰囲気温度、被着材の材質及び接着隙間に左右されます。",Henkel ヘンケル ねじロック263 高強度タイプ ネジのゆるみ止め剤 LNR-263 P-10ml：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントHenkel ヘンケル ねじロック263 高強度タイプ ネジのゆるみ止め剤 LNR-263 P-10ml,空気を遮断すると硬化が始まる！ネジ、ビスのゆるみを防止！。Henkel ヘンケル ねじロック263 高強度タイプ ネジのゆるみ止め剤 LNR-263 P-10ml[rn]
14-103311,http://tshop.r10s.jp/brico/cabinet/iroiro3/img56681417.jpg?fitin=700:700,163.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】パネフリ工業 木口貼りテープ パネフリバンド 21mm巾×2m巻 ホワイト,かんたん！キレイ！強力！,"■粘着タイプなので裏面の紙をはがして貼るだけの簡単作業！<br>
■環境に優しい非塩ビ・ノントルエンタイプ<br><br>
●棚板の木口補修に<br>
●家具・建具・テーブル等の装飾に<br><br>
［サイズ］21mm巾×2m巻<br><br>
【材質表示】<br>
基材：ABS樹脂<br>
粘着剤：アクリル系<br>
はくり紙：紙<br><br>
<font color=""#ff0000"">※商品画像は、18mm巾×2m巻のものです。<br>
※実際の色合いと画面上の色見本とは多少異なることがあります。</font><br><br>
※こちらの商品は4個まで1メール便での発送が可能です。",【メール便可〒】パネフリ工業 木口貼りテープ パネフリバンド 21mm巾&times;2m巻 ホワイト：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】パネフリ工業 木口貼りテープ パネフリバンド 21mm巾&times;2m巻 ホワイト,かんたん！キレイ！強力！。【メール便可〒】パネフリ工業 木口貼りテープ パネフリバンド 21mm巾&times;2m巻 ホワイト[rn]
