25-67001,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts10/2005000004940.jpg?fitin=700:700,11059.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【ハンドツール\ドライバービット類】  AP 10.8V コードレス インパクトドライバー  [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

<div align=left><img src=http://image.rakuten.co.jp/honda-walk/cabinet/astroproducts9/6hosyou.jpg border=0><img src=http://image.rakuten.co.jp/honda-walk/cabinet/astroproducts9/pse-s.jpg border=0></div><br><br><br>■商品仕様：<br>・サイズ：W160×D50×H195mm<br>・重量：970g<br>・最大トルク：90Nm<br>・無負荷回転数：0～2400rpm<br>・打撃数：0～3000回/分<br>・ビットホルダーサイズ：HEX6.35mm（1/4）<br>・回転方向：正逆回転<br>・定格使用時間：約20分<br>・充電時間：約1時間<br>・使用バッテリー：リチウムイオンバッテリー<br>・バッテリー電圧：10.8V<br>・バッテリー容量：1.3Ah<br>・充電器コード長：約2m<br>《付属品》<br>・バッテリー×1<br>・専用ケース×1<br><br>■商品説明：<br>長い木ネジやボルトナットの締め付け、緩めなど、トルクが必要な作業が楽に行える、充電式インパクトドライバーです。<br>継ぎ足し充電や長期保管に強い、リチウムイオンバッテリーを採用しています。<br>ビットは、ホルダースリーブをスライドするだけで簡単に脱着できます。<br>滑りにくく、握りやすいソフトグリップ仕様で、暗所での作業に役立つ、LEDライト付きです。<br>保管や持ち運び用の専用ケース付きです。<br>「2002000007490 AP 3PC パワーソケットアダプター セット」を使用すると、ソケットが取り付けできます。<br><br>■注意事項：<br>※使用前には、必ず取扱説明書を熟読し、本製品の使用方法をよく理解してから、使用してください。<br>※ビットは付属していません。別途、用意してください。<br>※初回使用前や使用毎には、バッテリーを満充電させてください。<br>※トルク範囲内でも、本体の持ち方や打撃の与え方、ネジ類の状態によっては、緩めることができない場合があります。<br>※LEDライトの光を、直視しないでください。<br>※ロックボール溝がない、ストレートタイプのビットは使用できません。<br>",【ハンドツール\ドライバービット類】  AP 10.8V コードレス インパクトドライバー  [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【ハンドツール\ドライバービット類】  AP 10.8V コードレス インパクトドライバー  [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【ハンドツール\ドライバービット類】  AP 10.8V コードレス インパクトドライバー  [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67002,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts10/2007000001240.jpg?fitin=700:700,1364.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【エンジン・足回り】  AP ホースピンチャープライヤー   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

■商品仕様：<br>全長：205mm<br>・対応径：～φ20mm<br><br>■商品説明：<br>フューエルホースやヒーターホースのブレーキホースなどのゴム製のホース外しの際、挟んで液体の流失を防ぎます。<br>ワンアクションで脱着可能なロック式です。<br>",【エンジン・足回り】  AP ホースピンチャープライヤー   [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【エンジン・足回り】  AP ホースピンチャープライヤー   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【エンジン・足回り】  AP ホースピンチャープライヤー   [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67003,http://tshop.r10s.jp/honda-walk/cabinet/astro/astro01/2007000011942_1.jpg?fitin=700:700,388.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【エンジン・足回り】エンジン周辺補機類AP エアコン用バルブコアツール 【アストロプロダクツ・ASTRO PRODUCTS】,世界の工具を扱うアストロプロダクツとのコラボ販売！,■商品仕様：<br>・全長：68mm<br>・重量：47g<br>・R134a/R12兼用<br><br>●ここがポイント！<br>・2サイズが一緒になった便利なタイプ！<br>・グリップは滑りずらいローレット加工！<br><br>■商品説明：<br>自動車用エアコンのバルブコア（ムシ）を回せるレンチです。<br>R134aとR12、両方のバルブコアに使用でき、R134a用サイズは、自動車やバイク用タイヤの米式バルブコアも回せます。<br>グリップ部には、滑りにくいローレット加工が施され、全長の短いタイプなので、狭い箇所での作業も可能です。<br><br>■注意事項：<br>※バルブコアの形状が特殊な場合は、使用できません。<br>,【エンジン・足回り】エンジン周辺補機類AP エアコン用バルブコアツール 【アストロプロダクツ・ASTRO PRODUCTS】：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【エンジン・足回り】エンジン周辺補機類AP エアコン用バルブコアツール 【アストロプロダクツ・ASTRO PRODUCTS】,世界の工具を扱うアストロプロダクツとのコラボ販売！。【エンジン・足回り】エンジン周辺補機類AP エアコン用バルブコアツール 【アストロプロダクツ・ASTRO PRODUCTS】[rn]
25-67004,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts10/2007000009383.jpg?fitin=700:700,725.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【エンジン・足回り】  AP ホースリムーブプライヤー   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

■商品仕様：<br>・全長：200mm<br>・重量：250g<br>・開口幅：45mm<br>・対応径：φ4～12mm<br><br>■商品説明：<br>固着したバキュームホース、燃料ホース等を、簡単に取り外すことができるホースプライヤーです。<br>黒色側のアームの刃でパイプを固定し、銀色側のアームでホースをせり出してはずします。<br><br>■注意事項：<br>※ホースやパイプの状態・状況によっては、本製品を使用してもホースを取り外すことができない場合があります。<br>※必ず、対応径に従って使用してください。<br>※本来の用途外では使用しないでください。<br>",【エンジン・足回り】  AP ホースリムーブプライヤー   [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【エンジン・足回り】  AP ホースリムーブプライヤー   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【エンジン・足回り】  AP ホースリムーブプライヤー   [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67005,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts10/2007000000267.jpg?fitin=700:700,1123.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【エンジン・足回り】  AP ピストンリングコンプレッサー バンド   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

■商品仕様：<br>・本体サイズ：H38mm<br>・適応サイズ：φ76～127mm<br><br>■商品説明：<br>バンド分離式のピストンリングコンプレッサーです。<br>バンド部分が簡単に調整、分離可能な為、二輪車、空冷エンジン等のエンジン組立時に使用可能です。<br>微調整可能なアジャストスクリュー付になります。<br>",【エンジン・足回り】  AP ピストンリングコンプレッサー バンド   [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【エンジン・足回り】  AP ピストンリングコンプレッサー バンド   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【エンジン・足回り】  AP ピストンリングコンプレッサー バンド   [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67006,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts9/2026000007724.jpg?fitin=700:700,855.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【エンジン・足回り】  AP R134a サービス缶バルブ 7/16-20   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

■商品仕様：<br>ネジサイズ：7/16-20（AP010519等に対応）<br>重量：100g<br><br>■商品説明：<br>エアコンガス缶用のサービスバルブです。<br>必ずお持ちのホースネジサイズを確認した上でお選び下さい。<br><br>※本製品は自動車整備士または整備に関する一般的な知識を有する方を前提に作られています。<br>※誤った方法で使用すると思わぬ事故の原因になりますので使用方法を熟知している方が使用するか整備知識等が豊富な方と一緒に作業を行って下さい。<br>※本製品はR134a専用です。他のガスには使用しないで下さい。<br>※一部、輸入ガス缶等には使用できません。<br>※使用前には必ず各部Oリングに損傷がないか確認して下さい。<br>",【エンジン・足回り】  AP R134a サービス缶バルブ 7/16-20   [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【エンジン・足回り】  AP R134a サービス缶バルブ 7/16-20   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【エンジン・足回り】  AP R134a サービス缶バルブ 7/16-20   [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67007,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts10/2007000007600.jpg?fitin=700:700,4043.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【特殊専用工具】  AP 5PC ストラット特殊ソケットセット欧州車用   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

■商品仕様：<br>《サイズ：φ10.5mm》<br>・重量：61g<br>・爪幅：3.5mm<br>・高さ：25mm<br>・二面幅：22mm<br>《サイズ：φ12.5mm》<br>・重量：54g<br>・爪幅：3.5mm<br>・高さ：25mm<br>・二面幅：22mm<br>《サイズ：φ14mm》<br>・重量：56g<br>・爪幅：2.5mm<br>・高さ：28.5mm<br>・二面幅：22mm<br>《サイズ：φ14.5mm》<br>・重量：47g<br>・爪幅：3mm<br>・高さ：25mm<br>・二面幅：22mm<br>《サイズ：φ14.5mm》<br>・重量：47g<br>・爪幅：5mm<br>・高さ：25mm<br>・二面幅：22mm<br>・適応車種：VWGOLFリア（φ10.5mm）、VWPoloフロント（φ12.5mm）、VWPoloGOLFパサートAUDI80（φ14.5mm）、φ14.5mm、オースチンマエストロ（φ14.5mm）、BenzW203W209（φ14mm）<br><br>■商品説明：<br>一部の欧州車のショックアブソーバーの固定ボルトの脱着用の特殊ソケットのセットです。<br>ソケットの爪部をショックアブソーバーに引っ掛け22mmのレンチ等で固定します。<br>",【特殊専用工具】  AP 5PC ストラット特殊ソケットセット欧州車用   [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【特殊専用工具】  AP 5PC ストラット特殊ソケットセット欧州車用   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【特殊専用工具】  AP 5PC ストラット特殊ソケットセット欧州車用   [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67008,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts8/2002000016928.jpg?fitin=700:700,302.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【エンジン・足回り】  AP タイヤバルブレンチ スタビー   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

■商品仕様：<br>・全長：36mm<br>・軸長：16mm<br>・軸径：φ4mm<br><br>■商品説明：<br>タイヤのバルブコア回しになります。<br>コンパクトな設計の為、狭く回しづらいホイールに使用できます。<br>",【エンジン・足回り】  AP タイヤバルブレンチ スタビー   [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【エンジン・足回り】  AP タイヤバルブレンチ スタビー   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【エンジン・足回り】  AP タイヤバルブレンチ スタビー   [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67009,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts6/2007000012338.jpg?fitin=700:700,5011.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,AP ブレーキブリーダーキット VB123　[アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>
■商品仕様：<br>
・廃油タンク容量：1000ml<br>
・補給タンク容量：1000ml<br>
・ブレーキブリーダーホース長：1.1m（ノズル含む）<br>
・使用空気圧力：0.5～0.8MPa<br>
・使用空気量：160L/min<br>
《付属品》<br>
・ブリーダーノズル<br>
・コード<br>
・コードフック<br>
・バンド<br>
<br>
●ここがポイント！<br>
・負圧利用で、1人でもフルード交換可能！<br>
・エアホースと接続しレバーを握るだけで吸出し！<br>
・リザーバーのフルード切れを補う、補給用タンク付き！<br>
<br>
■商品説明：<br>
ブレーキフルードの交換を、一人でも簡単にできるブリーダーキットです。<br>
エアコンプレッサーと接続しレバーを握るだけで、負圧によりブレーキフルードを吸い出します。<br>
リザーバータンクのブレーキフルードを切らさないよう、マグネット台座付のブレーキフルード補給用タンクが付属しています。<br>
<br>
■注意事項：<br>
※ハイブリッド車は、エア抜き作業に特別な手順が必要な場合があります。<br>
※必ず、使用空気圧以下で使用してください。使用空気圧を超える使用は、加圧、逆流する恐れがあり、廃油タンクの破裂、破損の原因となります。",AP ブレーキブリーダーキット VB123　[アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAAP ブレーキブリーダーキット VB123　[アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。AP ブレーキブリーダーキット VB123　[アストロプロダクツ・ASTROPRODUCTS][rn]
25-67010,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts10/2007000004852.jpg?fitin=700:700,448.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【特殊専用工具】  AP ロックアウトツール 11  [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

<br><br>■商品仕様：<br>・本体サイズ：L560×W16mm<br><br>■商品説明：<br>キーをインロックしてしまった時等の開錠用の専用ツールになります。<br>",【特殊専用工具】  AP ロックアウトツール 11  [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【特殊専用工具】  AP ロックアウトツール 11  [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【特殊専用工具】  AP ロックアウトツール 11  [アストロプロダクツ・ASTROPRODUCTS][rn]
25-67011,http://tshop.r10s.jp/honda-walk/cabinet/astroproducts10/2007000007624.jpg?fitin=700:700,2635.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,【特殊専用工具】  AP プーリーレンチ ベンツ用   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！,"<p align=""center""><strong>輸入工具大手アストロプロダクツとのコラボ販売！ <br>
  発電機、耕うん機、薪割り機等の整備、メンテナンス用に！  </strong>
</p>  
  
<div align=""center""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/astrocat/aptyuui.jpg"" width=""650"" align=""middle""><br></div>  
<br>
<P align=""center"">※ホンダウォークの商品を1万円以上お買い上げ頂いても、<br>
  コチラの商品の分の送料は無料にならない場合もございます。<br>
予めご了承くださいませ。</P><!--メーカー直送アイコン-->
<div style=""margin:20px 0;""><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/maker-icon.gif""></div>

■商品仕様：<br>・本体サイズ：W490×D32×T5mm<br>・重量：600g<br>・差込角：1/2DR（12.7sq）、8mm（HEX）<br>・HEXビットサイズ：6mm/全長：63mm/重量：22g、8mm/全長：25mm/重量：10g、10mm/全長63mm/重量：28g<br><br>■商品説明：<br>主にベンツのプーリーを固定しているセンターボルトを外す際に便利なレンチです。<br>全長490mmと長くロングビットレンチとして使用することができます。<br>片側は差込角1/2DR（12.7sq）の為、ソケットを取付けてロングハンドルとして使用できます。<br>",【特殊専用工具】  AP プーリーレンチ ベンツ用   [アストロプロダクツ・ASTROPRODUCTS]：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHA【特殊専用工具】  AP プーリーレンチ ベンツ用   [アストロプロダクツ・ASTROPRODUCTS],世界の工具を扱うアストロプロダクツとのコラボ販売！。【特殊専用工具】  AP プーリーレンチ ベンツ用   [アストロプロダクツ・ASTROPRODUCTS][rn]
