34-85849,http://tshop.r10s.jp/drugskondo/cabinet/100/100011/10001107-1.jpg?fitin=700:700,1671.2000,,,【第2類医薬品】ワクナガ 胃腸薬U 36包,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>ワクナガ胃腸薬Uは、<br>
・過剰な胃酸の分泌や刺激を抑えて、胃の痛みや胸やけなどをしずめるとともに、<br>
 荒れた胃粘膜の修復・保護を助ける胃腸薬です。<br>
・胃酸の多い方や刺激物をとりすぎる方、デリケートで胃が荒れやすい方などにおす<br>
 すめします。<br>
・爽やかな香りと色ののみやすい顆粒剤です。<br><br>・内容量:36包<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】ワクナガ 胃腸薬U 36包：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】ワクナガ 胃腸薬U 36包,即日発送を心がけております。【第2類医薬品】ワクナガ 胃腸薬U 36包[rn]
34-85850,http://tshop.r10s.jp/drugskondo/cabinet/100/100002/10000278-1.jpg?fitin=700:700,1008.0000,,,【第2類医薬品】胃腸薬チェロ 10包,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>1.胃粘膜保護修復剤ゲファルナートを配合した胃腸薬です.ゲファルナートは弱っ<br>
 た胃粘膜の抵抗性を高め，傷ついた胃粘膜を保護・修復します.<br>
2.胃粘膜の保護・修復を高めるためゲファルナートと同様の胃粘膜保護・修復作用<br>
のあるアズレンスルホン酸ナトリウムとL-グルタミンを配合しています.胃痛，<br>
 胃もたれ，胸やけなどの胃炎症状に対して優れた効果を示します.<br>
3.胃酸をおさえるメタケイ酸アルミン酸マグネシウムとロートエキスの配合により，<br>
 胃酸による不快な症状を直接やわらげ，健胃剤ショウキョウ末の配合により弱っ<br>
 た胃のはたらきを助けます.<br><br>・内容量:10包<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】胃腸薬チェロ 10包：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】胃腸薬チェロ 10包,即日発送を心がけております。【第2類医薬品】胃腸薬チェロ 10包[rn]
34-85851,http://tshop.r10s.jp/drugskondo/cabinet/100/100003/10000303-1.jpg?fitin=700:700,1360.8000,,,【第2類医薬品】第一三共胃腸薬プラス錠剤 180錠,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>「胃」と「腸」をダブルケアするタイプの胃腸薬です。6つの生薬成分が弱った<br>
「胃」に効き、植物性の乳酸菌「ラクボン」が「腸」の状態を正常に近づけます。<br><br>・内容量:180錠<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】第一三共胃腸薬プラス錠剤 180錠：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】第一三共胃腸薬プラス錠剤 180錠,即日発送を心がけております。【第2類医薬品】第一三共胃腸薬プラス錠剤 180錠[rn]
34-85852,http://tshop.r10s.jp/drugskondo/cabinet/100/100013/10001311-1.jpg?fitin=700:700,1477.6000,,,【第2類医薬品】第一三共胃腸薬〔細粒〕 56包,即日発送を心がけております,"<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>次のようなはたらきをもった薬剤で、胃のもたれ・不快感、整腸などにお使いいただ<br>
けます。<br>
●脂肪消化酵素リパーゼAP12と消化酵素タカヂアスターゼN1が、消化を助けま<br>
 す。<br>
●6種の健胃生薬が弱った胃のはたらきを高め、胃の不快感・食欲不振などに効きめ<br>
 をあらわします。<br>
●有胞子性乳酸菌(ラクボン原末)が、腸管内に到達し、腸のはたらきを整えます。<br>
●生薬アカメガシワ、カンゾウ末が胃粘膜のあれ・ただれを修復します。<br>
●塩分のもととなるナトリウムを含んでいません。<br><br>・内容量:56包<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】第一三共胃腸薬〔細粒〕 56包：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】第一三共胃腸薬〔細粒〕 56包,即日発送を心がけております。【第2類医薬品】第一三共胃腸薬〔細粒〕 56包[rn]
34-85853,http://tshop.r10s.jp/drugskondo/cabinet/100/100003/10000315-1.jpg?fitin=700:700,469.6000,,,【第2類医薬品】第一三共胃腸薬〔錠剤〕 50錠,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>次のようなはたらきをもった薬剤で、胃のもたれ・不快感などにお使いいただけます。<br>
●脂肪消化酵素リパーゼAP12と消化酵素タカヂアスターゼN1が、消化を助けま<br>
 す。<br>
●6種の健胃生薬が弱った胃のはたらきを高め、胃の不快感・食欲不振などに効きめ<br>
 をあらわします。<br>
●ロートエキスが胃液の分泌を抑制し、胃痛をしずめます。<br>
●生薬アカメガシワ、カンゾウ末が胃粘膜のあれ・ただれを修復します。<br>
●塩分のもととなるナトリウムを含んでいません。<br><br>・内容量:50錠<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】第一三共胃腸薬〔錠剤〕 50錠：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】第一三共胃腸薬〔錠剤〕 50錠,即日発送を心がけております。【第2類医薬品】第一三共胃腸薬〔錠剤〕 50錠[rn]
34-85854,http://tshop.r10s.jp/drugskondo/cabinet/100/100003/10000311-1.jpg?fitin=700:700,1512.0000,,,【第2類医薬品】ガストール細粒 20包,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>●胃酸は食物の消化に必要なものですが、ストレスや飲み過ぎなどにより必要以上に<br>
分泌されると、胃粘膜を攻撃し、胃痛・胸やけ・むかつき・胃もたれなどのつらい<br>
胃の症状を引き起こします。<br>
●ガストール細粒は、M1ブロッカーと制酸剤を配合。制酸剤が出過ぎてしまった胃<br>
 酸を中和、そして、M1ブロッカーが過剰な胃酸分泌を抑制することで、つらい胃<br>
の症状に優れた効果を発揮します。<br><br>・内容量:20包<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】ガストール細粒 20包：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】ガストール細粒 20包,即日発送を心がけております。【第2類医薬品】ガストール細粒 20包[rn]
34-85855,http://tshop.r10s.jp/drugskondo/cabinet/100/100003/10000300-1.jpg?fitin=700:700,1663.2000,,,【第2類医薬品】大正胃腸薬K〈錠剤〉 230錠,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>◆大正胃腸薬K〈錠剤〉は、芍薬甘草湯エキス末と、安中散を配合した胃腸薬です。<br>
◆これらの2種類の処方を配合した大正胃腸薬K〈錠剤〉は、胃の痛みや胃もたれ、<br>
 胃炎をはじめとする胃腸の諸症状の改善に効果があります。<br><br>・内容量:230錠<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】大正胃腸薬K〈錠剤〉 230錠：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】大正胃腸薬K〈錠剤〉 230錠,即日発送を心がけております。【第2類医薬品】大正胃腸薬K〈錠剤〉 230錠[rn]
34-85856,http://tshop.r10s.jp/drugskondo/cabinet/100/100002/10000297-1.jpg?fitin=700:700,1663.2000,,,【第2類医薬品】大正漢方胃腸薬 48包,即日発送を心がけております,"<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>◆大正漢方胃腸薬は、安中散と芍薬甘草湯の組み合わせにより、ふだんから胃腸が弱<br>
く、不規則な食生活や夏バテなどで胃腸が不調である、食欲が出ない、といった人<br>
に適した胃腸薬です。<br>
◆食事をおいしく楽しみたい方、疲れた胃の調子を改善したい方などの胃のもたれ・<br>
不快感、食欲不振等の胃腸症状を改善します。<br>
◆香り・風味の良い微粒タイプです。<br><br>・内容量:48包<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】大正漢方胃腸薬 48包：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】大正漢方胃腸薬 48包,即日発送を心がけております。【第2類医薬品】大正漢方胃腸薬 48包[rn]
34-85857,http://tshop.r10s.jp/drugskondo/cabinet/100/100002/10000281-1.jpg?fitin=700:700,604.8000,,,【第2類医薬品】シロンS 50包,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>「シロンS」は、胃内の酸度を調整する制酸剤を始め、食物の消化を助ける消化酵素<br>
や弱った胃の働きをよくする健胃生薬を配合した粉末状の胃腸薬です。<br>
「シロンS」は、日頃起こりがちな のみすぎ・食べすぎ・胸やけ・胃痛などといっ<br>
た不快な症状にすぐれた効果をあらわします。<br>
どうか、この「シロンS」を正しくご使用くださいまして、胃腸の健康にお役立てく<br>
ださい。<br><br>・内容量:50包<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】シロンS 50包：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】シロンS 50包,即日発送を心がけております。【第2類医薬品】シロンS 50包[rn]
34-85858,http://tshop.r10s.jp/drugskondo/cabinet/100/100002/10000241-1.jpg?fitin=700:700,1008.0000,,,【第2類医薬品】御岳百草丸 1900粒,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>◇食べ過ぎ、飲み過ぎ、さらに生活習慣の複雑化によるストレス、精神的疲労、不安<br>
などによって胃腸の不調、不快感、機能の衰えなどが起こりがちです。胃の変調を<br>
感じたとき、胃の働きの正常化をはかり、保護することが大切です。<br>
◇御岳百草丸は、生薬よりなる胃腸薬で、胃腸に作用し、その機能を高め、胃弱、消<br>
 化不良、食欲不振、胸やけ、二日酔・悪酔のむかつきなどを改善します。<br><br>・内容量:1900粒<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】御岳百草丸 1900粒：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】御岳百草丸 1900粒,即日発送を心がけております。【第2類医薬品】御岳百草丸 1900粒[rn]
34-85859,http://tshop.r10s.jp/drugskondo/cabinet/100/100002/10000294-1.jpg?fitin=700:700,1056.0000,,,【第2類医薬品】第一三共胃腸薬グリーン微粒 20包,即日発送を心がけております,"<a href=http://coupon.rakuten.co.jp/getCoupon?getkey=TURPUS1KRUtQLU82WUktTkpNVQ--&rt=7331707&rd=http://www.rakuten.co.jp/drugskondo> <img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""></a>
<a href=""http://item.rakuten.co.jp/drugskondo/c/0000000271/""><img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""292"" height=""60""></a></br><br><img src=""http://image.rakuten.co.jp/_vvfashion/cabinet/coupon/coupon_newshops.jpg"" border=""0""><BR><BR>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" width=""468"" height=""96""></br><br><br><br>●荒れた胃粘膜の修復を助ける銅クロロフィリンナトリウムを配合しています。<br>
●胃粘膜を保護するはたらきのあるカンゾウ末を配合しています。<br>
●各種制酸剤が出すぎた胃酸を中和します。<br>
●健胃生薬成分が弱った胃のはたらきを高めます。<br><br>・内容量:20包<br><br><br><table border=""0"" cellpadding=""5""><tr><td colspan=2>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar-open.gif"" alt="""">
</td></tr><BR><BR>
<tr><td align=left>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_leopin.jpg""><BR><BR>
</td><td align=right>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/bannar_drink.jpg"">
</td></tr></table>
<BR><table border=0><tr>
<img src=""http://www.rakuten.ne.jp/gold/drugskondo/images/wake_ari_bana-.jpg"" alt="""">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/imgrc0069304687.jpg""border=""0"" width=""730"">
</tr><BR><BR>
<table border=0><tr>
<img src=""http://image.rakuten.co.jp/drugskondo/cabinet/camp/thanks300.jpg""border=""0"" width=""730"">
</tr>",【第2類医薬品】第一三共胃腸薬グリーン微粒 20包：DRUGSコンドウ楽天市場店,医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤル【第2類医薬品】第一三共胃腸薬グリーン微粒 20包,即日発送を心がけております。【第2類医薬品】第一三共胃腸薬グリーン微粒 20包[rn]
