4-11764,,2570.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1,切削工具\ねじ切り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●被削材の加工レンジが広く高能率の加工が可能です。<br>
●粉末ハイスとTiAlNコーティングの組合せにより摩耗を軽減し長寿命をもたらします。<br>
●止まり穴加工用。<br>
●被削材：ステンレス鋼、チタン合金、一般鋼、アルミ合金。<br>
●精度:OH3<br>
●呼び寸:M10<br>
●ピッチ(mm):1.5<br>
●全長(mm):75<br>
●シャンク径(mm):7<br>
●シャンク四角部(mm):5.5<br>
●下穴径(mm):8.5<br>
●精度表記:標準<br>
●ねじ長(mm):20<br>
●加工ねじ：メートルねじ<br>
●食い付山数：2～3山<br>
●表面処理:ＴiAlNコーティング<br>
●粉末ハイス(HSS-E-PM)<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1：クローバー資材館,■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1,切削工具\ねじ切り工具。■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1[rn]
4-11765,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004663248.jpg?fitin=700:700,18371.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【22IR3.5ISOBMA】(4035020) 受注単位10,切削工具\ねじ切り工具\工作機用ねじ切り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●BMA：超微粒子超硬にTiAlNコーティングを施した材種で難削材に中高速域で対応できる万能材種です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【22IR3.5ISOBMA】(4035020) 受注単位10：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【22IR3.5ISOBMA】(4035020) 受注単位10,切削工具\ねじ切り工具\工作機用ねじ切り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【22IR3.5ISOBMA】(4035020) 受注単位10[rn]
4-11766,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869968.jpg?fitin=700:700,2829.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スプリュー/スプリュー　タング折取工具（マグネット付【M-TBO-M20】(1706586) 受注単位1,切削工具\ねじ切り工具\インサートねじ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●工具先端をタングに当て、工具の頭部をハンマーで強く短打すると、ノッチのところで折り取れ、工具先端部分の強力なマグネットにより、折り取ったタングの除去も簡単です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本スプリュー/スプリュー　タング折取工具（マグネット付【M-TBO-M20】(1706586) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スプリュー/スプリュー　タング折取工具（マグネット付【M-TBO-M20】(1706586) 受注単位1,切削工具\ねじ切り工具\インサートねじ。『カード対応OK！』■〒日本スプリュー/スプリュー　タング折取工具（マグネット付【M-TBO-M20】(1706586) 受注単位1[rn]
4-11767,,2216.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ【A-SFT-STD-M10X1.5】(4922832) Ａースパイラル　Ｍ１０Ｘ１．５ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●安定した切りくず排出性を持ち、さらに幅広い被削材や機械に対応できる画期的な商品です。<br><br>●止まり穴加工用。<br>●被削材：中・高炭素鋼、アルミ合金鋳物、合金鋼、ステンレス鋼、工具鋼、鋳鋼、ダクタイル鋳鉄、銅、黄銅、黄銅鋳物、青銅、アルミ圧延材、マグネシウム合金鋳物、熱可塑性プラスチック。<br><br>●精度：OH3<br>●呼び寸：M10<br>●ピッチ(mm)：1.50<br>●ねじ長(mm)：18<br>●全長(mm)：75<br>●シャンク径(mm)：7<br>●シャンク四角部(mm)：5.5<br>●下穴径(mm)：8.5<br>●精度表記：STD<br><br>●加工ねじ：メートルねじ<br>●食い付山数：2.5山<br>●表面処理：Vコーティング<br><br>●粉末ハイス（ＣＰＭ）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ【A-SFT-STD-M10X1.5】(4922832) Ａースパイラル　Ｍ１０Ｘ１．５ 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ【A-SFT-STD-M10X1.5】(4922832) Ａースパイラル　Ｍ１０Ｘ１．５ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ。『カード対応OK！』■〒オーエスジー/ＯＳＧ【A-SFT-STD-M10X1.5】(4922832) Ａースパイラル　Ｍ１０Ｘ１．５ 受注単位1[rn]
4-11768,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004841736.jpg?fitin=700:700,30668.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬タップ【WX-PNC-12X34.5XP1.5-INT  (3900053)】(6361609) 受注単位1,切削工具\ねじ切り工具\工作機用ねじ切り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬タップ【WX-PNC-12X34.5XP1.5-INT  (3900053)】(6361609) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬タップ【WX-PNC-12X34.5XP1.5-INT  (3900053)】(6361609) 受注単位1,切削工具\ねじ切り工具\工作機用ねじ切り工具。『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬タップ【WX-PNC-12X34.5XP1.5-INT  (3900053)】(6361609) 受注単位1[rn]
4-11769,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002840467.jpg?fitin=700:700,1447.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M3(M3X0.5)】(1212362) 受注単位1,切削工具\ねじ切り工具\スパイラルタップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●完全同期リード送り機構付機械専用です。<br>●ニッケル基合金に最適な仕様のタップです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M3(M3X0.5)】(1212362) 受注単位1：クローバー資材館,『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M3(M3X0.5)】(1212362) 受注単位1,切削工具\ねじ切り工具\スパイラルタップ。『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M3(M3X0.5)】(1212362) 受注単位1[rn]
4-11770,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002870212.jpg?fitin=700:700,1123.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒弥満和製作所/ヤマワ　高炭素鋼用スパイラルタップ　Ｍ８【HC-SP-M8(M8X1.25)】(1219057) 受注単位1,切削工具\ねじ切り工具\スパイラルタップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●スチール（S55C）などの高炭素鋼のねじ立てに適しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒弥満和製作所/ヤマワ　高炭素鋼用スパイラルタップ　Ｍ８【HC-SP-M8(M8X1.25)】(1219057) 受注単位1：クローバー資材館,『カード対応OK！』■〒弥満和製作所/ヤマワ　高炭素鋼用スパイラルタップ　Ｍ８【HC-SP-M8(M8X1.25)】(1219057) 受注単位1,切削工具\ねじ切り工具\スパイラルタップ。『カード対応OK！』■〒弥満和製作所/ヤマワ　高炭素鋼用スパイラルタップ　Ｍ８【HC-SP-M8(M8X1.25)】(1219057) 受注単位1[rn]
4-11771,,9610.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【16IR175ISO AH725】(7078099) 旋削用ねじ切りＴＡＣチップ　ＣＯＡＴ 受注単位5,切削工具\ねじ切り工具\工作機用ねじ切り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●ねじ切り用インサート<br>●汎用PVDコーティング材種<br><br>●PVDコーティング<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【16IR175ISO AH725】(7078099) 旋削用ねじ切りＴＡＣチップ　ＣＯＡＴ 受注単位5：クローバー資材館,『カード対応OK！』■〒タンガロイ【16IR175ISO AH725】(7078099) 旋削用ねじ切りＴＡＣチップ　ＣＯＡＴ 受注単位5,切削工具\ねじ切り工具\工作機用ねじ切り工具。『カード対応OK！』■〒タンガロイ【16IR175ISO AH725】(7078099) 旋削用ねじ切りＴＡＣチップ　ＣＯＡＴ 受注単位5[rn]
4-11772,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004663248.jpg?fitin=700:700,13064.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【16ERAG55BMA】(4034554) 受注単位10,切削工具\ねじ切り工具\工作機用ねじ切り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●BMA：超微粒子超硬にTiAlNコーティングを施した材種で難削材に中高速域で対応できる万能材種です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【16ERAG55BMA】(4034554) 受注単位10：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【16ERAG55BMA】(4034554) 受注単位10,切削工具\ねじ切り工具\工作機用ねじ切り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　カーメックスねじ切り用チップ【16ERAG55BMA】(4034554) 受注単位10[rn]
4-11773,,31184.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒富士元工業/富士元 カッター【NK5031T】(7966636) 富士元 面取りカッター 50° シャンクφ32 発注単位1,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●角度が選べて最大10Cの面取りが可能です（2枚刃）。<br>
●多彩なワーク材での2次カエリ問題をクリアしました。<br>
●最大15.1ｍｍ幅の面取りが可能です可能です（2枚刃）。<br>
●面取り加工<br>
●全長(mm):130<br>
●シャンク径(mm):32<br>
●先端角(°):50<br>
●刃数:2<br>
●角度(°):50<br>
●専用チップ:T32MOR/TT32GUR<br>
●刃数:2<br>
●鋼<br>
●ロックピン、レンチ(チップ別売)<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒富士元工業/富士元 カッター【NK5031T】(7966636) 富士元 面取りカッター 50&deg; シャンクφ32 発注単位1：クローバー資材館,■〒富士元工業/富士元 カッター【NK5031T】(7966636) 富士元 面取りカッター 50&deg; シャンクφ32 発注単位1,切削工具\面取り工具。■〒富士元工業/富士元 カッター【NK5031T】(7966636) 富士元 面取りカッター 50&deg; シャンクφ32 発注単位1[rn]
4-11774,,3301.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ リーマーＭ【HR7.03】(8189538) ＴＲＵＳＣＯ ハンドリーマ7．03mm 発注単位1,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●緩い食い付き角とシャンク四角部をもち、ドリル穴や粗リーマを通した後の穴を精度良く仕上げます。<br>
●被削材:鋳鉄、炭素鋼、合金鋼、工具鋼、ステンレス鋼、アルミニウム合金。<br>
●刃数:6<br>
●刃径(mm):7.03<br>
●刃長(mm):55<br>
●全長(mm):105<br>
●シャンク径(mm):7.03<br>
●角対辺(mm):5.4<br>
●高速度鋼（HSS）<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒トラスコ中山/ＴＲＵＳＣＯ リーマーＭ【HR7.03】(8189538) ＴＲＵＳＣＯ ハンドリーマ7．03mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ リーマーＭ【HR7.03】(8189538) ＴＲＵＳＣＯ ハンドリーマ7．03mm 発注単位1,切削工具\面取り工具。■〒トラスコ中山/ＴＲＵＳＣＯ リーマーＭ【HR7.03】(8189538) ＴＲＵＳＣＯ ハンドリーマ7．03mm 発注単位1[rn]
