4-11864,,16497.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1[rn]
4-11865,,18739.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒富士元工業/富士元 チップ【XS53MNX-M30 NK6060】(7969767) 富士元 座グリ加工用チップ Ｍ30 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ザグリ加工が可能なスローアウェイチップです。<br>
●座繰り加工<br>
●適合機種:イーグルカット/バーディカット<br>
●材質:超硬M<br>
●TiAlNコート<br>
●超硬Ｍ<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒富士元工業/富士元 チップ【XS53MNX-M30 NK6060】(7969767) 富士元 座グリ加工用チップ Ｍ30 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12：クローバー資材館,■〒富士元工業/富士元 チップ【XS53MNX-M30 NK6060】(7969767) 富士元 座グリ加工用チップ Ｍ30 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12,切削工具\面取り工具。■〒富士元工業/富士元 チップ【XS53MNX-M30 NK6060】(7969767) 富士元 座グリ加工用チップ Ｍ30 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12[rn]
4-11866,,29160.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒イワタツール/イワタツール ドリル【CD8.0X20CB】(7963815) イワタツール Ａ形超硬センタードリル 発注単位1,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●超硬素材と形状の最適化により、高速化と長寿命化が可能になります。<br>
●右刃右ねじれ2枚刃です。<br>
●被削材:炭素鋼、合金鋼、ステンレス鋼、軟鋼、調質鋼、工具鋼、鋳鉄、ダクタイル鋳鉄。<br>
●センター穴加工、ドリル位置決め穴加工。<br>
●シャンク径(mm):20<br>
●全長(mm):80<br>
●センタ穴角(°):60<br>
●刃形状:両刃<br>
●錐径(mm):8<br>
●刃長(mm):10.3<br>
●ノンコーティング<br>
●刃形状:両刃<br>
●超硬合金（Carbide)<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒イワタツール/イワタツール ドリル【CD8.0X20CB】(7963815) イワタツール Ａ形超硬センタードリル 発注単位1：クローバー資材館,■〒イワタツール/イワタツール ドリル【CD8.0X20CB】(7963815) イワタツール Ａ形超硬センタードリル 発注単位1,切削工具\面取り工具。■〒イワタツール/イワタツール ドリル【CD8.0X20CB】(7963815) イワタツール Ａ形超硬センタードリル 発注単位1[rn]
4-11867,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005462758.jpg?fitin=700:700,75353.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２０―６０内径用カウンターシンク９０°ＭＴ－２シャンク【KP01-210】(4044533) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●KOPAL面取りユニットは本体・ブレード・ガイドの組み合わせでできています。<br>●スプリングにより高さ調整ができる円錐状のガイドがワークの芯出しの役目をします。<br>●ハイス鋼のブレードはナットでロックされブレードの突出しを設定できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２０&mdash;６０内径用カウンターシンク９０&deg;ＭＴ&minus;２シャンク【KP01-210】(4044533) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２０&mdash;６０内径用カウンターシンク９０&deg;ＭＴ&minus;２シャンク【KP01-210】(4044533) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　２０&mdash;６０内径用カウンターシンク９０&deg;ＭＴ&minus;２シャンク【KP01-210】(4044533) 受注単位1[rn]
4-11868,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002664531.jpg?fitin=700:700,15724.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フクダ精工/ＦＫＤ　テーパーエンドミル２枚刃１５°×５【2TE15X5】(2771934) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●等ねじれ刃の採用で安定した切れ味と高い加工精度が得られます。<br>●片角15度、20度を採用しており勾配のきつい加工に最適です。<br>●金型の抜き勾配の加工に用いられます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フクダ精工/ＦＫＤ　テーパーエンドミル２枚刃１５&deg;&times;５【2TE15X5】(2771934) 受注単位1：クローバー資材館,『カード対応OK！』■〒フクダ精工/ＦＫＤ　テーパーエンドミル２枚刃１５&deg;&times;５【2TE15X5】(2771934) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒フクダ精工/ＦＫＤ　テーパーエンドミル２枚刃１５&deg;&times;５【2TE15X5】(2771934) 受注単位1[rn]
4-11869,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662905.jpg?fitin=700:700,8731.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士元工業/富士元　ボール盤用面取り　メントルビー　４５°　φ２４【BM4524T】(2281171) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ボール盤などで使用できるチップ交換式面取りカッター（チップ材質はハイス）です。<br>●ブレーカー付ハイスチップで切れ味抜群です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士元工業/富士元　ボール盤用面取り　メントルビー　４５&deg;　φ２４【BM4524T】(2281171) 受注単位1：クローバー資材館,『カード対応OK！』■〒富士元工業/富士元　ボール盤用面取り　メントルビー　４５&deg;　φ２４【BM4524T】(2281171) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒富士元工業/富士元　ボール盤用面取り　メントルビー　４５&deg;　φ２４【BM4524T】(2281171) 受注単位1[rn]
4-11870,,7603.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒富士元工業/富士元 チップ【XS22MNX-M8 NK2020】(7969597) 富士元 座グリ加工用チップ Ｍ8 超硬Ｍ種 超硬 発注単位12,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ザグリ加工が可能なスローアウェイチップです。<br>
●座繰り加工<br>
●適合機種:イーグルカット/バーディカット<br>
●材質:超硬M<br>
●超硬Ｍ<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒富士元工業/富士元 チップ【XS22MNX-M8 NK2020】(7969597) 富士元 座グリ加工用チップ Ｍ8 超硬Ｍ種 超硬 発注単位12：クローバー資材館,■〒富士元工業/富士元 チップ【XS22MNX-M8 NK2020】(7969597) 富士元 座グリ加工用チップ Ｍ8 超硬Ｍ種 超硬 発注単位12,切削工具\面取り工具。■〒富士元工業/富士元 チップ【XS22MNX-M8 NK2020】(7969597) 富士元 座グリ加工用チップ Ｍ8 超硬Ｍ種 超硬 発注単位12[rn]
4-11871,,4212.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒イワタツール/イワタツール ドリル【CD1.5X5CB】(7963599) イワタツール センタードリル超硬 発注単位1,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●超硬素材と形状の最適化により、高速化と長寿命化が可能になります。<br>
●右刃右ねじれ2枚刃です。<br>
●被削材:炭素鋼、合金鋼、ステンレス鋼、軟鋼、調質鋼、工具鋼、鋳鉄、ダクタイル鋳鉄。<br>
●シャンク径(mm):5<br>
●全長(mm):40<br>
●センタ穴角(°):60<br>
●刃形状:両刃<br>
●錐径(mm):1.5<br>
●最大径（mm):<br>
●刃長(mm):1.9<br>
●ノンコーティング<br>
●刃形状:両刃<br>
●超硬合金（Carbide)<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒イワタツール/イワタツール ドリル【CD1.5X5CB】(7963599) イワタツール センタードリル超硬 発注単位1：クローバー資材館,■〒イワタツール/イワタツール ドリル【CD1.5X5CB】(7963599) イワタツール センタードリル超硬 発注単位1,切削工具\面取り工具。■〒イワタツール/イワタツール ドリル【CD1.5X5CB】(7963599) イワタツール センタードリル超硬 発注単位1[rn]
4-11872,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005119374.jpg?fitin=700:700,6338.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フクダ精工/ＦＫＤ　コーナーラウンディングエンドミル０．５Ｒ【CRE0.5R】(3309444) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●R面取り専用のカッターで剛性のある太い柄径と再研削のしやすい直刃を採用しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フクダ精工/ＦＫＤ　コーナーラウンディングエンドミル０．５Ｒ【CRE0.5R】(3309444) 受注単位1：クローバー資材館,『カード対応OK！』■〒フクダ精工/ＦＫＤ　コーナーラウンディングエンドミル０．５Ｒ【CRE0.5R】(3309444) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒フクダ精工/ＦＫＤ　コーナーラウンディングエンドミル０．５Ｒ【CRE0.5R】(3309444) 受注単位1[rn]
4-11873,,36834.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10252】(4841379)リーダーサート（ねじ補修キット）Ｍ１６×１．５ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●めねじの補修にタップを使わない画期的なシステムです。<br>●下穴に直接、ねじ切りインサートでタッピングしながらインサートを挿入する際、先端にプラスチックガイドを付けることにより真円のインサート挿入ができます。（PAT.PEND）<br>●めねじの補修、補強に。<br>●使用範囲:Ｍ１６×１．５<br>●下穴ドリル寸法（mm）鉄用：22.0<br>●下穴ドリル寸法（mm）非鉄用：21.5<br>●止まり穴最小深さ（mm）：31<br>●下穴用ドリル（アルミ、鋳物用）１本（鉄鋼用）１本<br>●セルフタッピングインサート５本<br>●プラスチック案内６個<br>●ドライブボルト＆ナット各１<br>●スリーブ１<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10252】(4841379)リーダーサート（ねじ補修キット）Ｍ１６&times;１．５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10252】(4841379)リーダーサート（ねじ補修キット）Ｍ１６&times;１．５ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10252】(4841379)リーダーサート（ねじ補修キット）Ｍ１６&times;１．５ 受注単位1[rn]
4-11874,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356065.jpg?fitin=700:700,836.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ４Ｘ０．７【TD6-4X0.7 】(3287670) 受注単位1,(3287670),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ４Ｘ０．７【TD6-4X0.7 】(3287670) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ４Ｘ０．７【TD6-4X0.7 】(3287670) 受注単位1,(3287670)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ４Ｘ０．７【TD6-4X0.7 】(3287670) 受注単位1[rn]
4-11875,,21066.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10244】(4841344)リーダーサート（ねじ補修キット）Ｍ１２×１．７５ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●めねじの補修にタップを使わない画期的なシステムです。<br>●下穴に直接、ねじ切りインサートでタッピングしながらインサートを挿入する際、先端にプラスチックガイドを付けることにより真円のインサート挿入ができます。（PAT.PEND）<br>●めねじの補修、補強に。<br>●使用範囲:Ｍ１２×１．７５<br>●下穴ドリル寸法（mm）鉄用：17.0<br>●下穴ドリル寸法（mm）非鉄用：16.75<br>●止まり穴最小深さ（mm）：25<br>●下穴用ドリル（アルミ、鋳物用）１本（鉄鋼用）１本<br>●セルフタッピングインサート５本<br>●プラスチック案内６個<br>●ドライブボルト＆ナット各１<br>●スリーブ１<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10244】(4841344)リーダーサート（ねじ補修キット）Ｍ１２&times;１．７５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10244】(4841344)リーダーサート（ねじ補修キット）Ｍ１２&times;１．７５ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10244】(4841344)リーダーサート（ねじ補修キット）Ｍ１２&times;１．７５ 受注単位1[rn]
4-11876,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356066.jpg?fitin=700:700,5880.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／４－１４【TD6-3/4PT14】(3520846) 受注単位1,(3520846),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／４&minus;１４【TD6-3/4PT14】(3520846) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／４&minus;１４【TD6-3/4PT14】(3520846) 受注単位1,(3520846)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／４&minus;１４【TD6-3/4PT14】(3520846) 受注単位1[rn]
