4-12064,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495780.jpg?fitin=700:700,3888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1[rn]
4-12065,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005502743.jpg?fitin=700:700,4655.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４－０．７５－ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４&minus;０．７５&minus;ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４&minus;０．７５&minus;ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日立ツール　ディープボールＥＶＯ　ＥＰＤＢＥ２００４&minus;０．７５&minus;ＰＮ【EPDBE2004-0.75-PN】(4286634) 受注単位1[rn]
4-12066,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002846803.jpg?fitin=700:700,2233.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●MSコーティングを採用し、コストパフォーマンスを実現したシリーズです。<br>●汎用2枚刃ミドル刃長ボールエンドミルです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃エムスターエンドミルＭ【MS2MBR0150】 (6890067) 受注単位1[rn]
4-12067,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004841772.jpg?fitin=700:700,2239.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬エンドミル　ＷＸＳ　２刃ロングネックボール　Ｒ０．５Ｘ１２【WXS-LN-EBD-R0.5X12  (3051012)】(6362524) 受注単位1[rn]
4-12068,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495957.jpg?fitin=700:700,4989.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ１０　（Ｄ６）【MRB230 R0.25X10 (D6)】(4262867) 受注単位1[rn]
4-12069,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004911799.jpg?fitin=700:700,4831.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　高硬度用２枚刃ホボールエンドミルＭＲＢＨ２３０【MRBH230-R0.15X1D4】(4265033) 受注単位1[rn]
4-12070,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002855317.jpg?fitin=700:700,4459.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●被削材50HRC以上の高硬度材加工において、長寿命を発揮し、高速・高精度加工を可能になりました。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＶＣ高硬度【VF2XLBR0050N080S04】 (2992469) 受注単位1[rn]
4-12071,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004871706.jpg?fitin=700:700,2800.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●穴あけ深さ240ｍｍ以上の深穴に最適です。<br>●全長400L・500L・600Lの３タイプあります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　ロングドリル５００Ｌ　１６．０【5L-160】(4043090) 受注単位1[rn]
4-12072,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863650.jpg?fitin=700:700,1485.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●柱の穴あけに最適です。<br>●インパクトドライバーではφ21mmまでの穴あけ加工が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用兼用ビット２４．０ｍｍ【NO2-240(24.0MM)】(2521393) 受注単位1[rn]
4-12073,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005160042.jpg?fitin=700:700,293.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ドリル先端のガイド部により、丁番、サッシ枠穴のほぼ中央に下穴あけができ、きれいに手早く木ねじが止めれます。<br>●ドリルは交換式で、破損・劣化した際には交換が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒トップ工業/ＴＯＰ　電動ドリル用　丁番ドリル用交換ドリル（２本組）１．５ｍｍ【EHD-1.5D】(3872475) 受注単位1[rn]
4-12074,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456117.jpg?fitin=700:700,2952.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●木材の貫通穴用です。<br>●手廻し(手動)で木材に穴をあけるドリルです。<br>●電源が無い所での穴あけ作業が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用短ネジリングオーガー（ハンドル付）２７．０ｍｍ【NO5-270】(4081471) 受注単位1[rn]
