38-10063,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7941315.jpg?fitin=700:700,8942.4000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【仕様】<br>●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ<br><br>【質量】　960G<br><br>【原産国】　イギリス<br><br>【2017　オレンジブック掲載】　5 1615　ページ■商品コード：trs7941315　●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ,ケルヒャー　ディスクパッド（緑）　63697900：工具箱　楽天市場店,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載。ケルヒャー　ディスクパッド（緑）　63697900[rn]
38-10064,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7939337.jpg?fitin=700:700,1267.2000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　ノズルヘッド　28842810,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【仕様】<br>●幅(mm):42●奥行(mm):316●高さ(mm):124●品名:ノズルヘッド●適合機種:SG 4/4●製造国:ドイツ<br><br>【質量】　87G<br><br>【原産国】　ドイツ<br><br>【2017　オレンジブック掲載】　5 1602　ページ■商品コード：trs7939337　●幅(mm):42●奥行(mm):316●高さ(mm):124●品名:ノズルヘッド●適合機種:SG 4/4●製造国:ドイツ,ケルヒャー　ノズルヘッド　28842810：工具箱　楽天市場店,ケルヒャー　ノズルヘッド　28842810,【業務用】 オレンジブック2017掲載。ケルヒャー　ノズルヘッド　28842810[rn]
38-10065,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs43/trs7738269.jpg?fitin=700:700,98180.0000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　業務用スチームクリーナー　SG44,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【特長】<br>●吐出温度約100℃の強力なスチームで、頑固な汚れを除去します。●ボイラーに自動給水をするサブタンクを搭載することで、作業が中断せず連続作業が可能です。●焦げ付きや油膜、カビなどにも効果的です。●洗剤の使用を抑えて清掃コストを削減します。●スチーム量と湯量を調節することが可能なので、除菌から汚れの洗い流しまで幅広い用途に活躍します。<br><br>【仕様】<br>●幅(mm):320●奥行(mm):475●高さ(mm):275●吐出圧力(MPa)(50Hz/60Hz):0.4/0.4●電源:単相100V●消費電力:1500W●電源コード長さ:3.0m●ボイラー加熱温度:145℃●単相100V●ヒーター出力1500W●吐出圧力(最大)0.4MPa●ボイラータンク加熱温度(最高)145℃●寸法(LxWxH)475x320x275mm<br><br>【セット内容／付属品】<br>●ホース一体ヘッド2.5m●パイプ0.5m(2本)●フロアノズルブラシ付●フロアノズルブラシ無●ハンドブラシ●じょうご●ノズルヘッド(短・長)●ノズルセット(延長ノズル・スポットノズル)●ポイントブラシ●ハンドブラシ用カバー●フロアノズルブラシ付用カバー●フロアノズルブラシ無用カバー●アクセサリー収納バッグ<br><br>【質量】　8KG<br><br>【原産国】　ドイツ<br><br>【2017　オレンジブック掲載】　5 1602　ページ■商品コード：trs7738269　●幅(mm):320●奥行(mm):475●高さ(mm):275●吐出圧力(MPa)(50Hz/60Hz):0.4/0.4●電源:単相100V●消費電力:1500W●電源コード長さ:3.0m●ボイラー加熱温度:145℃●単相100V●ヒーター出力1500W●吐出圧力(最大)0.4MPa●ボイラータンク加熱温度(最高)145℃●寸法(LxWxH)475x320x275mm,ケルヒャー　業務用スチームクリーナー　SG44：工具箱　楽天市場店,ケルヒャー　業務用スチームクリーナー　SG44,【業務用】 オレンジブック2017掲載。ケルヒャー　業務用スチームクリーナー　SG44[rn]
38-10066,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7903456.jpg?fitin=700:700,516672.0000,,花・ガーデン・DIY > DIY・工具 > その他,蔵王産業　スチームボックスミニ　２００Ｖ　4540020　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／蔵王産業（株）</b><br><br>【特長】<br>●超高温スチーム洗浄機です。●140℃のスチームで強力な除菌効果があります。●低圧小水量で飛び散らず、乾燥が早いです。<br><br>【用途】<br>●食品工場などの衛生管理に最適<br><br>【仕様】<br>●幅(mm):405●奥行(mm):650●高さ(mm):1025●吐出水量(ml/min):55～85●吐出圧力(MPa):0.55●電源：三相200V（50/60Hz共用）●消費電力：3600W●タンク容量：7.2L●噴射待ち時間：5～10分●連続使用時間：最大130分●電源コード長さ：6m●スチーム温度：約140℃<br><br>【材質／仕上】<br>●ボディー：ステンレス<br><br>【セット内容／付属品】<br>●ホース●アタッチメント一式<br><br><font color=red>【注意】<br>●漏電による感電事故を防ぐため、必ずアースをしてください。</font><br><br>【質量】　31KG<br><br>【原産国】　イタリア<br><br>【2017　オレンジブック掲載】　5 1602　ページ≪メーカー直送品≫■商品コード：trs7903456　●幅(mm):405●奥行(mm):650●高さ(mm):1025●吐出水量(ml/min):55～85●吐出圧力(MPa):0.55●電源：三相200V（50/60Hz共用）●消費電力：3600W●タンク容量：7.2L●噴射待ち時間：5～10分●連続使用時間：最大130分●電源コード長さ：6m●スチーム温度：約140℃,蔵王産業　スチームボックスミニ　２００Ｖ　4540020　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,蔵王産業　スチームボックスミニ　２００Ｖ　4540020　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。蔵王産業　スチームボックスミニ　２００Ｖ　4540020　【代引き不可・配送時間指定不可】[rn]
38-10067,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7942265.jpg?fitin=700:700,1584.0000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　クロスセット　69600190,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【仕様】<br>●幅(mm):65●奥行(mm):255●高さ(mm):200●品名:クロスセット●適合機種:SG 4/4<br><br>【セット内容／付属品】<br>●フロアブラシ用２枚、ハンドブラシ用３枚<br><br>【質量】　197G<br><br>【原産国】　パキスタン<br><br>【2017　オレンジブック掲載】　5 1602　ページ■商品コード：trs7942265　●幅(mm):65●奥行(mm):255●高さ(mm):200●品名:クロスセット●適合機種:SG 4/4,ケルヒャー　クロスセット　69600190：工具箱　楽天市場店,ケルヒャー　クロスセット　69600190,【業務用】 オレンジブック2017掲載。ケルヒャー　クロスセット　69600190[rn]
38-10068,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs26/trs4400402.jpg?fitin=700:700,1165.6000,,花・ガーデン・DIY > DIY・工具 > その他,アルス　ウッディ２５荒目　替刃　WD25L1,【業務用】 オレンジブック2017掲載,<b>メーカー／アルスコーポレーション（株）</b><br><br>【特長】<br>●手によくなじんで使いやすい天然素材です。●サヤ先のストッパーで逆さまになっても、刃をしっかりホールドできます。<br><br>【用途】<br>●剪定作業に。<br><br>【仕様】<br>●全長(mm):306●刃長(mm):250●刃ピッチ(mm):8●粗目タイプ●アサリわけなし<br><br>【材質／仕上】<br>●刃：高炭素刃物鋼(ハードクローム仕上げ)<br><br>【質量】　60G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2446　ページ■商品コード：trs4400402　●全長(mm):306●刃長(mm):250●刃ピッチ(mm):8●粗目タイプ●アサリわけなし,アルス　ウッディ２５荒目　替刃　WD25L1：工具箱　楽天市場店,アルス　ウッディ２５荒目　替刃　WD25L1,【業務用】 オレンジブック2017掲載。アルス　ウッディ２５荒目　替刃　WD25L1[rn]
38-10069,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs25/trs4239911.jpg?fitin=700:700,179841.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＧＳ　充電式芝刈機エコモ３０００　ECO3000　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／キンボシ（株）</b><br><br>【特長】<br>●環境に優しいリチウムイオン電池搭載の自走式芝刈機です。●コードがないので作業性に優れています。●1回の充電で約30分の使用が可能です。（電池パック2個使用時）<br><br>【用途】<br>●芝刈り。<br><br>【仕様】<br>●刈り幅(mm):300●刈込高さ(mm):5～30●ブレード数(枚):5●連続使用時間(分):30●幅(mm):450●充電時間:約3時間(2個)●長さ(mm):1400●高さ(mm):800●ブレード回転方式:リール式●電源:電池パック（DC25.2V・3.0Ah リチウムイオン）●充電時間:約3時間（1.5時間×2個）●集草容量:28.7L●逆転研磨機構付●モーター消費電力:320W●モーター定格電圧:DC24V●充電式<br><br>【セット内容／付属品】<br>●充電器●電池パック（2個）<br><br>【質量】　24.5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2493　ページ≪メーカー在庫品≫■商品コード：trs4239911　●刈り幅(mm):300●刈込高さ(mm):5～30●ブレード数(枚):5●連続使用時間(分):30●幅(mm):450●充電時間:約3時間(2個)●長さ(mm):1400●高さ(mm):800●ブレード回転方式:リール式●電源:電池パック（DC25.2V・3.0Ah リチウムイオン）●充電時間:約3時間（1.5時間×2個）●集草容量:28.7L●逆転研磨機構付●モーター消費電力:320W●モーター定格電圧:DC24V●充電式,ＧＳ　充電式芝刈機エコモ３０００　ECO3000　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ＧＳ　充電式芝刈機エコモ３０００　ECO3000　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ＧＳ　充電式芝刈機エコモ３０００　ECO3000　【代引き不可・配送時間指定不可】[rn]
38-10070,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs37/trs4957636.jpg?fitin=700:700,1724.8000,,花・ガーデン・DIY > DIY・工具 > その他,チカマサ　アレンジはさみフッ素　ホワイト　CRI360SFW,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）近正</b><br><br>【特長】<br>●高級フッ素加工で刃にヤニやシール粘着がつきにくいです。●ギザ刃部分でアルミ線、銅線、なまし針金（＃18相当）まで切れます。<br><br>【用途】<br>●フラワーアレンジメント、生花、ガーデニング。<br><br>【仕様】<br>●刃長(mm):45●全長(mm):160●切断能力:針金＃18●色:ホワイト●キャップ付●刃元にワイヤーカット付<br><br>【材質／仕上】<br>●刃:ステンレス刃物鋼（高級フッ素加工）●グリップ:ポリプロピレン(PP)、エラストマー樹脂<br><br>【質量】　60G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2428　ページ■商品コード：trs4957636　●刃長(mm):45●全長(mm):160●切断能力:針金＃18●色:ホワイト●キャップ付●刃元にワイヤーカット付,チカマサ　アレンジはさみフッ素　ホワイト　CRI360SFW：工具箱　楽天市場店,チカマサ　アレンジはさみフッ素　ホワイト　CRI360SFW,【業務用】 オレンジブック2017掲載。チカマサ　アレンジはさみフッ素　ホワイト　CRI360SFW[rn]
38-10071,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs47/trs8188011.jpg?fitin=700:700,6458.4000,,花・ガーデン・DIY > DIY・工具 > その他,鋼典　葉刈鋏　ワイヤー仕上和釘打桂　２尺栗柄入　A181,【業務用】 オレンジブック2017掲載,<b>メーカー／五十嵐刃物工業（株）</b><br><br>【特長】<br>●火造り鍛造による鍛えられた刃物です。●日立安来鋼を貼り合せてあり、刃研ぎが楽にできます。●６００ｍｍの椎柄を使用し、使う方の好みによってカットして使用します。●仕上鋏として使用します。<br><br>【用途】<br>●仕上刈込に。<br><br>【仕様】<br>●切断能力(mm):8●刃長(mm):210●全長(mm):865<br><br>【材質／仕上】<br>●刃：日立安来鋼●柄：樫<br><br><font color=red>【注意】<br>●木以外の使用はしないでください。●けが防止のため手袋等をはめて作業を行ってください.。●無理な使用は刃欠け、刃折れの原因となります。</font><br><br>【質量】　960G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2406　ページ■商品コード：trs8188011　●切断能力(mm):8●刃長(mm):210●全長(mm):865,鋼典　葉刈鋏　ワイヤー仕上和釘打桂　２尺栗柄入　A181：工具箱　楽天市場店,鋼典　葉刈鋏　ワイヤー仕上和釘打桂　２尺栗柄入　A181,【業務用】 オレンジブック2017掲載。鋼典　葉刈鋏　ワイヤー仕上和釘打桂　２尺栗柄入　A181[rn]
38-10072,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,500.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　片刃薄鎌　鋼付　１８０ｍｍ　KUH180,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●刃先はSK5とSS400の複合材を使用し熱処理を施すことにより耐磨耗性に優れています。●切れ味が良く、刃研ぎ可能です。●峰打ち加工で曲がりに強いです。<br><br>【用途】<br>●やわらかい草の刈り取りに。<br><br>【仕様】<br>●刃長(mm):180●刃幅(mm):34●全長(mm):385●刃渡り(mm):155<br><br>【材質／仕上】<br>●刃:高炭素刃物鋼（SK-5）と軟鋼（SS400）の複合材●柄:ポプラ<br><br>【質量】　170G<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2430　ページ■商品コード：trs8184360　●刃長(mm):180●刃幅(mm):34●全長(mm):385●刃渡り(mm):155,ＴＲＵＳＣＯ　片刃薄鎌　鋼付　１８０ｍｍ　KUH180：工具箱　楽天市場店,ＴＲＵＳＣＯ　片刃薄鎌　鋼付　１８０ｍｍ　KUH180,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　片刃薄鎌　鋼付　１８０ｍｍ　KUH180[rn]
38-10073,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs44/trs7870990.jpg?fitin=700:700,2257.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＧＳ　刈払機用チップソー　オオカミ　２５５ミリ　１２０ピッチ　210463,【業務用】 オレンジブック2017掲載,<b>メーカー／キンボシ（株）</b><br><br>【特長】<br>●アサリチップと諸刃ビッグチップの特殊構造です。●左右のアサリチップで両サイドを切り分け、超硬諸刃のビッグチップがセンターからくい込みます。<br><br>【用途】<br>●雑草・硬い草・竹などの草刈用。●雑草、硬い草、竹などの草刈り用。<br><br>【仕様】<br>●外径(mm):255●刃厚(mm):1.4●穴径(mm):25.4●刃数:120●最高使用回転数(rpm):7000●外径:２５５mm●刃ピッチ:120●チップ数120枚<br><br>【材質／仕上】<br>●刃部:超硬チップ<br><br>【質量】　525G<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2477　ページ■商品コード：trs7870990　●外径(mm):255●刃厚(mm):1.4●穴径(mm):25.4●刃数:120●最高使用回転数(rpm):7000●外径:２５５mm●刃ピッチ:120●チップ数120枚,ＧＳ　刈払機用チップソー　オオカミ　２５５ミリ　１２０ピッチ　210463：工具箱　楽天市場店,ＧＳ　刈払機用チップソー　オオカミ　２５５ミリ　１２０ピッチ　210463,【業務用】 オレンジブック2017掲載。ＧＳ　刈払機用チップソー　オオカミ　２５５ミリ　１２０ピッチ　210463[rn]
