22-29801,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0065158482.jpg?fitin=700:700,9504.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PAOCK　電気カンナ,超硬刃でプロ並の仕上がり　　,"★特長★<br>
●超硬刃でプロ並の仕上がり<BR>
●相じゃくり加工に便利な平行ガイド付<BR>
<br>
★用途★<BR>
●相じゃくり加工、面取り加工、平面削りに<br>
<br>
★仕様★<BR>
■定格電圧：AC100V<br>
■定格周波数：50-60Hz<br>
■定格消費電力：650W<br>
■定格時間：30分<br>
■回転速度：16000min-1<br>
■最大切削幅：約82mm<br>
■最大切削深さ：約2mm<br>
■サイズ：幅150mm×奥行280mm×高さ180mm<br>
■重量：3kg<br>
<br>
★付属品★<BR>
・集じん袋（ファスナー付）<br>
・平行ガイド<br>
・替ベルト（モータプーリ用）<br>
・スパナ（8mm）<br>",PAOCK　電気カンナ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPAOCK　電気カンナ,超硬刃でプロ並の仕上がり　　。PAOCK　電気カンナ[rn]
22-29802,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068834789.jpg?fitin=700:700,63825.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Hard Head Power Tools　自動カンナ　最大切削幅303mm,,"★特長★<br>
・運びやすい小型の自動カンナです<br>
・操作性のよいコンパクトタイプで抜群の切れ味です<br>
・前と後ろにサポートテーブルが付いています<BR>
・精度よい滑らかな表面仕上げ<br>
・錆びにくステンレススチールテーブル<br>
<br>
★本体仕様★<br>
・切削材最大高さ：115mm(3寸8分)<br>
・切削材最小高さ：5mm<br>
・切削材最大幅：303mm(1尺)<br>
・切削厚<br>
○材料の幅が130mm(4寸2分)までの場合2.4mm<br>
○材料の幅が303mm(1尺)までの場合0.7mm<br>
・送材速度：6m/分<br>
・商品サイズ：H660mm×W595mm×D480mm<br>
・重量：34.5kg<br>
<br>
★モーター仕様★<br>
・電圧：100V<BR>
・電流：12A<br>
・定格消費電力：1150W/1130W(50Hz/60Hz)<BR>
・回転数：8000rpm<br>
<br>

<table border=""1"">
  
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835244.jpg"" width=""200"" height=""166"" border=""0"">&nbsp;</td>
      <td>自動カンナ本体&nbsp;</td>
    </tr>
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835245.jpg"" width=""200"" height=""155"" border=""0"">&nbsp;</td>
      <td>専用ダストバック</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用替刃　２枚入り&nbsp;</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用カーボンブラシ</td>
    </tr>

</table><br>",Hard Head Power Tools　自動カンナ　最大切削幅303mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアHard Head Power Tools　自動カンナ　最大切削幅303mm,Hard Head Power Tools　自動カンナ　最大切削幅303mm[rn]
22-29803,http://tshop.r10s.jp/monju/cabinet/makita-2011/1003ba.jpg?fitin=700:700,26860.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,マキタ110mm　曲面カンナ(研磨式)1003BA,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">◆入母屋・宮造りの凹面切削に最適</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">◆凹面曲率半径/最小800mm、最大3000mm</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">・二重絶縁</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">・ブレーキ付</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left"">
    <hr>
    </td>
  </tr><tr>
    <td align=""center"">【仕様】</td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/makita-2011/1911bsp-01.jpg""></td>
  </tr><tr>
    <td align=""center"">　</td>
  </tr><tr>
    <td align=""center"">
    <table border=""1"">
      <tr>
        <td colspan=""2"" align=""center""><b><font size=""-1"">標準付属品</font></b></td>
        <td align=""left""><font SIZE=""-1"">カンナ刃1組(本機取付)<br>
        カンナ刃取付工具一式(ボックスレンチ9(782209-3))</font></td>
      </tr>
    </table>
    </td>
  </tr>
</table>
</center><br>",マキタ110mm　曲面カンナ(研磨式)1003BA：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアマキタ110mm　曲面カンナ(研磨式)1003BA,マキタ110mm　曲面カンナ(研磨式)1003BA[rn]
22-29804,,870.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Hard Head Power Tools　自動カンナ用カーボンブラシ,,"専用カーボンブラシ１個檻<br>
<BR>
<table border=""1"">
  
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835244.jpg"" width=""200"" height=""166"" border=""0"">&nbsp;</td>
      <td>自動カンナ本体&nbsp;</td>
    </tr>
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835245.jpg"" width=""200"" height=""155"" border=""0"">&nbsp;</td>
      <td>専用ダストバック</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用替刃　２枚入り&nbsp;</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用カーボンブラシ</td>
    </tr>

</table><br>",Hard Head Power Tools　自動カンナ用カーボンブラシ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアHard Head Power Tools　自動カンナ用カーボンブラシ,Hard Head Power Tools　自動カンナ用カーボンブラシ[rn]
22-29805,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0065158480.jpg?fitin=700:700,47520.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PAOCK　手押しカンナ,木材の基準面出し、直角出しに最適　　,"★特長★<br>
●木材の基準面出し、直角出しに最適<br>
●持ち運び可能な小型タイプ<br>
●面取りに便利な45°切削が可能<br>
<br>
★用途★<br>
●木材の基準面出し、直角出し、ソリ補正に<BR>
<br>
★仕様★<br>
■定格電圧：AC100V<br>
■定格周波数：50-60Hz<br>
■定格消費電力：50Hz/420W、60Hｚ/380W<br>
■回転速度：約8000min-1<br>
■最大切削幅：約150mm<br>
■最大切削深さ：約3mm<br>
■電源コード長さ：約2m
■テーブルサイズ：約346mm×152mm<br>
■サイズ：テーブルサイズ：約346mm×152mm<bR>
■重量：23kg<br>
・送りブロック<br>
・差替式ドライバ<br>
・スパナ（8×10mm）<br>
・集じんパイプ<br>
・集じんパイプ取付ねじ<br>
・補助バー<br>
・刃先調整ゲージ<br>
・六角棒レンチ（3mm、4mm、5mm）<br>",PAOCK　手押しカンナ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPAOCK　手押しカンナ,木材の基準面出し、直角出しに最適　　。PAOCK　手押しカンナ[rn]
22-29806,,4140.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Hard Head Power Tools　自動カンナ用替刃2枚入,,"専用替刃２枚入り<br>
<BR>
<table border=""1"">
  
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835244.jpg"" width=""200"" height=""166"" border=""0"">&nbsp;</td>
      <td>自動カンナ本体&nbsp;</td>
    </tr>
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835245.jpg"" width=""200"" height=""155"" border=""0"">&nbsp;</td>
      <td>専用ダストバック</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用替刃　２枚入り&nbsp;</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用カーボンブラシ</td>
    </tr>

</table><br>",Hard Head Power Tools　自動カンナ用替刃2枚入：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアHard Head Power Tools　自動カンナ用替刃2枚入,Hard Head Power Tools　自動カンナ用替刃2枚入[rn]
22-29807,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068835136.jpg?fitin=700:700,4140.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Hard Head Power Tools　自動カンナ用ダストバック,,"専用ダストバックはフリーサイズ<br>
市販のゴミ箱にも対応<br>
<br>
<table border=""1"">
  
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835244.jpg"" width=""200"" height=""166"" border=""0"">&nbsp;</td>
      <td>自動カンナ本体&nbsp;</td>
    </tr>
    <tr>
      <td><img src=""http://image.rakuten.co.jp/monju/cabinet/sankyou/imgrc0068835245.jpg"" width=""200"" height=""155"" border=""0"">&nbsp;</td>
      <td>専用ダストバック</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用替刃　２枚入り&nbsp;</td>
    </tr>
    <tr>
      <td colspan=""2"">自動カンナ用カーボンブラシ</td>
    </tr>

</table><br>",Hard Head Power Tools　自動カンナ用ダストバック：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアHard Head Power Tools　自動カンナ用ダストバック,Hard Head Power Tools　自動カンナ用ダストバック[rn]
22-29808,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/vforb10.jpg?fitin=700:700,847.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKERORB専用HDフィルターVFORB10,,"<center>
<table border=""0"">
  <tr>
    <td align=""left"">対応機種：ORB72LI、ORB48 PM/W/B</td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKERORB専用HDフィルターVFORB10：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKERORB専用HDフィルターVFORB10,BLACK&amp;DECKERORB専用HDフィルターVFORB10[rn]
22-29809,http://tshop.r10s.jp/monju/cabinet/makita-2011/1805nsp.jpg?fitin=700:700,38216.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,マキタ155mm　電気カンナ(替刃式)1805NSP,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">・集じん機接続可能</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left"">
    <hr>
    </td>
  </tr><tr>
    <td align=""center"">【仕様】</td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/makita-2011/1911bsp-01.jpg""></td>
  </tr><tr>
    <td align=""center"">　</td>
  </tr><tr>
    <td align=""center"">
    <table border=""1"">
      <tr>
        <td colspan=""2"" align=""center""><b><font size=""-1"">標準付属品</font></b></td>
        <td align=""left""><font SIZE=""-1"">カンナ刃1組(本機取付)<br>
        予備カンナ1組<br>
        ボックスレンチ9(782209-3)</font></td>
      </tr>
    </table>
    </td>
  </tr>
</table>
</center><br>",マキタ155mm　電気カンナ(替刃式)1805NSP：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアマキタ155mm　電気カンナ(替刃式)1805NSP,マキタ155mm　電気カンナ(替刃式)1805NSP[rn]
22-29810,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/bp1810.jpg?fitin=700:700,6272.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKERPD1810LI専用交換充電池パックBP1810,,"<center>
<table border=""0"">
  <tr>
    <td align=""left"">対応機種：PD1800LI</td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/b-and-d_2013/bp1810-01.jpg""></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKERPD1810LI専用交換充電池パックBP1810：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKERPD1810LI専用交換充電池パックBP1810,BLACK&amp;DECKERPD1810LI専用交換充電池パックBP1810[rn]
22-29811,http://tshop.r10s.jp/monju/cabinet/makita-2011/1911bsp.jpg?fitin=700:700,20944.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,マキタ110mm　電気カンナ(替刃式)1911BSP,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">◆小型ながら3寸5分を一削り</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">・二重絶縁</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">・集じん機接続可能</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left"">
    <hr>
    </td>
  </tr><tr>
    <td align=""center"">【仕様】</td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/makita-2011/1911bsp-01.jpg""></td>
  </tr><tr>
    <td align=""center"">　</td>
  </tr><tr>
    <td align=""center"">
    <table border=""1"">
      <tr>
        <td colspan=""2"" align=""center""><b><font size=""-1"">標準付属品</font></b></td>
        <td align=""left""><font SIZE=""-1"">カンナ刃1組(本機取付)<br>
        予備カンナ刃1組<br>
        ボックスレンチ9(782209-3)</font></td>
      </tr>
    </table>
    </td>
  </tr>
</table>
</center><br>",マキタ110mm　電気カンナ(替刃式)1911BSP：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアマキタ110mm　電気カンナ(替刃式)1911BSP,マキタ110mm　電気カンナ(替刃式)1911BSP[rn]
