20-31601,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004413767.jpg?fitin=700:700,2372.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1[rn]
20-31602,,2380.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　強力超極細型【1-SA (1G-120) (120MMﾀｲｻﾝﾀｲｼﾞ)】(2616939) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐磁性のあるステンレス鋼を使用し、耐久性に優れます。<br>●フッ化水素・硝酸の酸に耐性があります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　強力超極細型【1-SA (1G-120) (120MMﾀｲｻﾝﾀｲｼﾞ)】(2616939) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　強力超極細型【1-SA (1G-120) (120MMﾀｲｻﾝﾀｲｼﾞ)】(2616939) 受注単位：1,(2616939)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１２０ｍｍ　強力超極細型【1-SA (1G-120) (120MMﾀｲｻﾝﾀｲｼﾞ)】(2616939) 受注単位：1[rn]
20-31603,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005149381.jpg?fitin=700:700,2631.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　セラミック半田コテ耐熱キャップ付【SKC-40】(4001656) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高性能セラミックヒーターの採用により、コテ先温度の立ち上がりが速く、約1分ではんだ付けが可能です。<br>●グリップからコテ先までの長さが短く操作性に優れています。<br>●精密ソルダリングに最適のシャープなコテ先です。<br>●コテ先内部に特殊ステンレスインサートを装着。コテ先の焼き付き、弛みがなく取り替えも大変容易です。<br>●小型コネクターの採用より、ヒーターの交換がワンタッチで可能です。",『カード対応OK！』■〒エンジニア/エンジニア　セラミック半田コテ耐熱キャップ付【SKC-40】(4001656) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　セラミック半田コテ耐熱キャップ付【SKC-40】(4001656) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒エンジニア/エンジニア　セラミック半田コテ耐熱キャップ付【SKC-40】(4001656) 受注単位：1[rn]
20-31604,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002809999.jpg?fitin=700:700,456.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　２．４Ｄ型【T18-D24】(3559408) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　２．４Ｄ型【T18-D24】(3559408) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　こて先　２．４Ｄ型【T18-D24】(3559408) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　２．４Ｄ型【T18-D24】(3559408) 受注単位：1[rn]
20-31605,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005161026.jpg?fitin=700:700,861.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　替こて先２．４Ｃ型ＧＰ１０１用【GP-101T-2.4C】(4013042) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒太洋電機産業/グット　替こて先２．４Ｃ型ＧＰ１０１用【GP-101T-2.4C】(4013042) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒太洋電機産業/グット　替こて先２．４Ｃ型ＧＰ１０１用【GP-101T-2.4C】(4013042) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒太洋電機産業/グット　替こて先２．４Ｃ型ＧＰ１０１用【GP-101T-2.4C】(4013042) 受注単位：1[rn]
20-31606,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005149597.jpg?fitin=700:700,1148.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＳＫＺシリーズ用半田コテチップ【SKZ-30】(4001915) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒エンジニア/エンジニア　ＳＫＺシリーズ用半田コテチップ【SKZ-30】(4001915) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ＳＫＺシリーズ用半田コテチップ【SKZ-30】(4001915) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒エンジニア/エンジニア　ＳＫＺシリーズ用半田コテチップ【SKZ-30】(4001915) 受注単位：1[rn]
20-31607,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811794.jpg?fitin=700:700,118.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２４ｍｍ【PTS-02 (125MM)】(2964104) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐食性に優れたステンレス製です。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２４ｍｍ【PTS-02 (125MM)】(2964104) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２４ｍｍ【PTS-02 (125MM)】(2964104) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２４ｍｍ【PTS-02 (125MM)】(2964104) 受注単位：1[rn]
20-31608,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811473.jpg?fitin=700:700,1040.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　１．６Ｄ型【T12-D16】(2945975) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●鉛フリーはんだ対応です。",『カード対応OK！』■〒白光/白光　こて先　１．６Ｄ型【T12-D16】(2945975) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　こて先　１．６Ｄ型【T12-D16】(2945975) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　１．６Ｄ型【T12-D16】(2945975) 受注単位：1[rn]
20-31609,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939623.jpg?fitin=700:700,456.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　３Ｃ型【900M-T-3C】(1279190) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●900シリーズの交換コテ先です。",『カード対応OK！』■〒白光/白光　こて先　３Ｃ型【900M-T-3C】(1279190) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　こて先　３Ｃ型【900M-T-3C】(1279190) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　３Ｃ型【900M-T-3C】(1279190) 受注単位：1[rn]
20-31610,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005017718.jpg?fitin=700:700,1791.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-31】(4073827) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●セーフティ・スプリング内蔵により、イジェクタ・ピンをスリーブ内に収納し、落下時の衝撃や変形を最小限に抑えます。",『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-31】(4073827) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-31】(4073827) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-31】(4073827) 受注単位：1[rn]
20-31611,,991.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１２０ｍｍ　強力型【TSP-210】(2997398) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピンセット先端に力が入り、物をしっかりつかむことのできるラバーグリップ付で、指先の滑りも防止します。<br>●長時間使っても疲れにくいピンセットです。<br>●先端が強い、高強度仕様です。<br>●安全保護キャップ付です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１２０ｍｍ　強力型【TSP-210】(2997398) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１２０ｍｍ　強力型【TSP-210】(2997398) 受注単位：1,(2997398)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ラバーグリップ付ステンレスピンセット　１２０ｍｍ　強力型【TSP-210】(2997398) 受注単位：1[rn]
