20-109201,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292316651.jpg?fitin=700:700,1760.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],,【用途】<br>一般鋼（鉄）への穴あけあ作業に。（厚み３ｍｍ以下）。<br><br>【機能・特徴】<br>ハイスブレード採用で穴あけスピード抜群。<br><br>【仕様】<br>●穴あけサイズ20mm。<br>●軸径六角10mm。<br><br>【材質】<br>●刃部・センタードリル/ハイス製。<br><br>【商品サイズ】奥行93×幅20×高さ20mm　重量100g<br><br>【注意事項・その他】<br>ステンレスへの穴あけはおやめ下さい。取扱説明書の適正回転数を超える穴あけはおやめ下さい。<br><br>,ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー。ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
20-109202,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462115857.jpg?fitin=700:700,4048.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ ＰＣ深穴ホールソーカッター PCF021C 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],,【用途】<br>手持ちで厚さ１２ｍｍまでの銅板、ステンレス、鋳鉄、作業銅管、銅管等のパイプ類及曲面、板厚３０ｍｍ以下の複合材料の穴あけ。<br><br>【機能・特徴】<br>超硬刃先でステンレス等へ被削材への穴あけが可能。<br>独自の刃先設計により切粉の排出が良好です。<br>ボディのふところが深く、金属パイプなどへの曲線への穴あけが可能。<br><br>【仕様】<br>●チャックサイズ：センタードリル式 Sシャンク：10mm。<br><br>【商品サイズ】奥行55××mm　重量42.6g<br><br>【注意事項・その他】<br>刃先径36mm以上をご使用の場合は、ボール盤での穴あけをおすすめします。<br><br>,ミヤナガ ＰＣ深穴ホールソーカッター PCF021C 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ ＰＣ深穴ホールソーカッター PCF021C 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：メーカー品ホールソー。ミヤナガ ＰＣ深穴ホールソーカッター PCF021C 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
20-109203,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4943102095429.jpg?fitin=700:700,2770.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ウイニングボアー バイメタルカッター BC-42 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],,【用途】<br>鉄板3.2mm以下の42mm穴あけ用ホールソー。<br><br>【機能・特徴】<br>鉄(3.2mm以下）塩ビ、木工、プラスチックの穴あけができます。<br>薄刃タイプの刃先の使用により切れ味抜群、長寿命。<br><br>【仕様】<br>●シャンク径：10mm。<br><br>【商品サイズ】奥行97×幅44×高さ44mm　重量175g<br><br>【注意事項・その他】<br>ご使用時には必ず保護メガネ等の保護具を着用してください。作業時の服装には十分注意し、作業服の袖やネクタイ、ズボンのすそ等巻き付きやすいものは着用しないでください。回転中のカッター部に手を触れないようにしてください。使用直後のカッター部や被削材は熱を持っていますのでやけどしないようにご注意ください。<br><br>,ウイニングボアー バイメタルカッター BC-42 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ウイニングボアー バイメタルカッター BC-42 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：メーカー品ホールソー。ウイニングボアー バイメタルカッター BC-42 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
20-109204,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462012002.jpg?fitin=700:700,3864.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ ホールソー ２７８ 24MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ],,【用途】<br>板厚４ｍｍまでの、鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に。センタードリルＴ型（超硬チップ付ドリル）使用。<br><br>【機能・特徴】<br>厚み4mm以下の被切削材をラクラク穴あけ。<br>従来のハイス刃に比べて、高回転の電動機が使用でき、スピーディな穴あけができます。<br>センタードリルC形（コバルトハイス）使用。<br><br>【仕様】<br>●センタードリル：278CDC6（標準装備）コバルトハイス又は278CDT6（別売）超硬チップ付ドリル（φ5.9×48L）。<br>●適合電動機：電気ドリル（回転専用でお使いください）。<br><br>【商品サイズ】奥行63××mm　重量105.2g<br><br>,ミヤナガ ホールソー ２７８ 24MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ ホールソー ２７８ 24MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ],先端工具：鉄工ドリル：メーカー品ホールソー。ミヤナガ ホールソー ２７８ 24MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ][rn]
20-109205,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462012187.jpg?fitin=700:700,6960.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ ホールソー ２７８ 42MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ],,【用途】<br>板厚４ｍｍまでの、鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に。センタードリルＴ型（超硬チップ付ドリル）使用。<br><br>【機能・特徴】<br>厚み4mm以下の被切削材をラクラク穴あけ。<br>従来のハイス刃に比べて、高回転の電動機が使用でき、スピーディな穴あけができます。<br>センタードリルC形（コバルトハイス）使用。<br><br>【仕様】<br>●センタードリル：278CDC6（標準装備）コバルトハイス又は278CDT6（別売）超硬チップ付ドリル（φ5.9×48L）。<br>●適合電動機：電気ドリル（回転専用でお使いください）。<br><br>【商品サイズ】奥行63××mm　重量157.8g<br><br>,ミヤナガ ホールソー ２７８ 42MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ ホールソー ２７８ 42MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ],先端工具：鉄工ドリル：メーカー品ホールソー。ミヤナガ ホールソー ２７８ 42MM 鋼板、ステンレス板、銅板、アルミ板、ＦＲＰ、合成樹脂板などへの穴あけ作業に [ 超硬ドリル 超硬ホルソー ステンレス板 穴あけ diy 切削工具 穴あけ工具 超硬工具  通販 ][rn]
20-109206,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4943102040405.jpg?fitin=700:700,5704.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ウイニングボアー ハイスピードカッター WBH-40 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,,【用途】<br>鉄.ステンレスの40mm穴あけ用ホールソー。<br><br>【機能・特徴】<br>ステンレス、鉄、木工、プラスチックの穴あけが出来ます。<br>切屑4分割切刃構成により素晴しい切れ味を発揮します。<br>ふところ25mmにより薄物から厚物までの穴あけができます。<br><br>【仕様】<br>●シャンク径：10mm。<br>●全長：113mm。<br><br>【商品サイズ】奥行107×幅41×高さ41mm　重量177g<br><br>【注意事項・その他】<br>ご使用時には必ず保護メガネ等の保護具を着用してください。作業時の服装には十分注意し、作業服の袖やネクタイ、ズボンのすそ等巻き付きやすいものは着用しないでください。回転中のカッター部に手を触れないようにしてください。使用直後のカッター部や被削材は熱を持っていますのでやけどしないようにご注意ください。<br><br>,ウイニングボアー ハイスピードカッター WBH-40 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ウイニングボアー ハイスピードカッター WBH-40 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,業界初の切屑4分割切刃構成！。。ウイニングボアー ハイスピードカッター WBH-40 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル[rn]
20-109207,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292316736.jpg?fitin=700:700,2560.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ アイアンホールソー 鉄工用 32MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],,【用途】<br>一般鋼（鉄）への穴あけあ作業に。（厚み３ｍｍ以下）。<br><br>【機能・特徴】<br>ハイスブレード採用で穴あけスピード抜群。<br><br>【仕様】<br>●穴あけサイズ32mm。<br>●軸径六角10mm。<br><br>【材質】<br>●刃部・センタードリル/ハイス製。<br><br>【商品サイズ】奥行95×幅35×高さ35mm　重量150g<br><br>【注意事項・その他】<br>ステンレスへの穴あけはおやめ下さい。取扱説明書の適正回転数を超える穴あけはおやめ下さい。<br><br>,ＳＫ１１ アイアンホールソー 鉄工用 32MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ アイアンホールソー 鉄工用 32MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー。ＳＫ１１ アイアンホールソー 鉄工用 32MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
20-109208,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4943102040276.jpg?fitin=700:700,4224.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ウイニングボアー ハイスピードカッター WBH-27 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,,【用途】<br>鉄.ステンレスの27mm穴あけ用ホールソー。<br><br>【機能・特徴】<br>ステンレス、鉄、木工、プラスチックの穴あけが出来ます。<br>切屑4分割切刃構成により素晴しい切れ味を発揮します。<br>ふところ25mmにより薄物から厚物までの穴あけができます。<br><br>【仕様】<br>●シャンク径：10mm。<br>●全長：113mm。<br><br>【商品サイズ】奥行107×幅28×高さ28mm　重量122g<br><br>【注意事項・その他】<br>ご使用時には必ず保護メガネ等の保護具を着用してください。作業時の服装には十分注意し、作業服の袖やネクタイ、ズボンのすそ等巻き付きやすいものは着用しないでください。回転中のカッター部に手を触れないようにしてください。使用直後のカッター部や被削材は熱を持っていますのでやけどしないようにご注意ください。<br><br>,ウイニングボアー ハイスピードカッター WBH-27 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ウイニングボアー ハイスピードカッター WBH-27 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,業界初の切屑4分割切刃構成！。。ウイニングボアー ハイスピードカッター WBH-27 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル[rn]
20-109209,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4933196220135.jpg?fitin=700:700,2000.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＮＣＣ インパクトホールソーＨ－ＣＸ 13mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,,【機能・特徴】<br>インパクトドライバーでホールソー加工ができます。もちろん、一般のドリルチャック仕様のコードレスドリル電気ドリルや、AC100V電気ドリルでの使用もできます。<br>切れ味いちばん！。低消費電力、低トルクタイプのホールソーです。<br>タフな六角軸と強靭無比な刃先によるパワフルな加工を実現します。<br>対辺6.3ｍｍ、ビットシャンク方式の採用により、どのメーカーのインパクトドライバーにもワンタッチ脱着できます。<br>新歯形採用で欠けにくく、新方式によるアサリ加工で穿孔率アップ。<br><br>【仕様】<br>●適応機器：コードレス電気ドリル、電気ドリル。<br>●刃数：8山。<br>●有効長さ：12.5ｍｍ。<br>●適応板厚：1.6ｍｍ。<br>●シャンク径：6.3ｍｍ（六角軸）。<br><br>【材質】<br>●刃部：高級ハイス　マトリックスハイス。<br>●スプリング：SWPA。<br><br>【商品サイズ】奥行67×幅14×高さ14mm　重量23.5g<br><br>,ＮＣＣ インパクトホールソーＨ&minus;ＣＸ 13mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＮＣＣ インパクトホールソーＨ&minus;ＣＸ 13mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,インパクトドライバー用ホールソー。低消費電力、低トルクタイプ。ＮＣＣ インパクトホールソーＨ&minus;ＣＸ 13mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル[rn]
20-109210,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292316620.jpg?fitin=700:700,1680.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ アイアンホールソー 鉄工用 15MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],,【用途】<br>一般鋼（鉄）への穴あけあ作業に。（厚み３ｍｍ以下）。<br><br>【機能・特徴】<br>ハイスブレード採用で穴あけスピード抜群。<br><br>【仕様】<br>●穴あけサイズ15mm。<br>●軸径六角10mm。<br><br>【材質】<br>●刃部・センタードリル/ハイス製。<br><br>【商品サイズ】奥行90×幅15×高さ15mm　重量80g<br><br>【注意事項・その他】<br>ステンレスへの穴あけはおやめ下さい。取扱説明書の適正回転数を超える穴あけはおやめ下さい。<br><br>,ＳＫ１１ アイアンホールソー 鉄工用 15MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ アイアンホールソー 鉄工用 15MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー。ＳＫ１１ アイアンホールソー 鉄工用 15MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
20-109211,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4943102095221.jpg?fitin=700:700,1533.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ウイニングボアー バイメタルカッター BC-22 鉄工用 [ ホールソー ホルソー クラフト インパクトドライバー 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],,【用途】<br>鉄板3.2mm以下の22mm穴あけ用ホールソー。<br><br>【機能・特徴】<br>鉄(3.2mm以下）塩ビ、木工、プラスチックの穴あけができます。<br>6.35mmシャンクのため充電ドライバーで使用が出来ます。<br>薄刃タイプの刃先の使用により切れ味抜群、長寿命。<br><br>【仕様】<br>●シャンク径：6.35mm。<br><br>【商品サイズ】奥行105×幅24×高さ24mm　重量96g<br><br>【注意事項・その他】<br>ご使用時には必ず保護メガネ等の保護具を着用してください。作業時の服装には十分注意し、作業服の袖やネクタイ、ズボンのすそ等巻き付きやすいものは着用しないでください。回転中のカッター部に手を触れないようにしてください。使用直後のカッター部や被削材は熱を持っていますのでやけどしないようにご注意ください。<br><br>,ウイニングボアー バイメタルカッター BC-22 鉄工用 [ ホールソー ホルソー クラフト インパクトドライバー 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ウイニングボアー バイメタルカッター BC-22 鉄工用 [ ホールソー ホルソー クラフト インパクトドライバー 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：メーカー品ホールソー。ウイニングボアー バイメタルカッター BC-22 鉄工用 [ ホールソー ホルソー クラフト インパクトドライバー 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
