20-164401,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya12/9301734-e.jpg?fitin=700:700,1509.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=""deeppink""><b>変幻自在な電源タップ♪</b></font><br><br>
クネクネとジョイント部分が動くキュービックタップ！<br>
変幻自在に折り曲げて、お部屋や柱周りに合わせて使えます♪<br>
最大180に曲がるので、デジタルカメラなどの幅広アダプターもOK！<br><br>
◆一括集中スイッチ付きで省エネ♪<br>
◆トラッキング火災・静電気防止で安心安全♪<br>
※海外では使用できません。USBポートは付いていません。<br><br>●商品サイズ（約）：幅25.8×奥行3.85×高さ3.25cm<br>
●重量：約360g<br>
●材質<br>
本体：耐火ABS樹脂<br>
プラグ差し込み部分：耐火ABS樹脂、ユリア樹脂<br>
●カラー：ホワイト<br>
●コンセント差し込み口：4個<br>
●電源コード長さ：2.0m<br>
●定格：125V/15A （合計1500Wまで）<br>
●機能：静電気防止機能・絶縁キャップ（トラッキング火災防止）",CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】。CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕[rn]
20-164402,http://tshop.r10s.jp/modomo/cabinet/original/modomopoint10/monos-plugo.jpg?fitin=700:700,2800.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,【ポイント10倍 送料無料】コンセントタップ monos PLUGO モノス プラゴ 家庭用 テーブルタップ 延長コード 2.5m 延長コンセントタップ 3口 ドーナツ型電源タップ おしゃれ,コンセントタップ テーブルタップ 延長コード 3口,"<img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/plugo-01.jpg"" width=""100%"" >

<p>&nbsp;</p>
<!-- 商品コピー start -->

<b>PLUGO プラゴ テーブルタップ 家庭用 コンセントタップ 延長コード 3口</b>
<p>&nbsp;</p>
<p>コンセントタップと延長コードを組み合わせた、テーブルタップ。<br>
差込口3カ所を横向き90°放射状に配置することで、接続コードの絡みや持ち上がり申しなどにも配慮しました。<br>
コードは八畳間の中程でも使える2.5m。<br>
従来品とは違い、プラグ付近に付けた可動式のストッパーによって、ドーナツ状の本体の差込口の隙間溝にコードを巻いた後の広がりを防止し、収納性を高めました。<br>
ユニバーサルな視点では、コードの巻き取りを片手で行えます。<br>
壁に掛けてもかわいい、隠すモノから見せたくなるモノへ。
デザインの力が発揮された一品。</p>
<p>&nbsp;</p>
<!-- 商品コピー end -->

<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"" >
    <tr>
      <td width=""49%"" valign=""top""><img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/mopl-01.jpg"" width=""100%""></td>
      <td width=""2%"" valign=""top"">&nbsp;</td>
      <td width=""49%"" valign=""top""><img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/mopl-02.jpg"" width=""100%""></td>
  </tr>
    <tr>
      <td valign=""top"">本体のサイドに差込部（ソケット）が3ヶ所ついています。</td>
      <td>&nbsp;</td>
      <td valign=""top"">プラグは安全性を考慮したトラッキング防止仕様です。</td>
    </tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
    
        <tr>
      <td width=""32%"" valign=""top""><img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/mopl-03.jpg"" width=""100%""></td>
      <td width=""2%"" valign=""top"">&nbsp;</td>
      <td width=""32%"" valign=""top"">&nbsp;</td>
  </tr>
    <tr>
      <td valign=""top"">巻いたコードがばらけないストップパーツが付いています。</td>
      <td>&nbsp;</td>
      <td valign=""top"">&nbsp;</td>
    </tr>
</table>

<p>&nbsp;</p>

<img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/plugo-02.jpg"" width=""100%"" >

<img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/plugo-03.jpg"" width=""100%"" >

<img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/plugo-04.jpg"" width=""100%"" >

<img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/plugo-05.jpg"" width=""100%"" >
<p>&nbsp;</p>
<img src=""http://image.rakuten.co.jp/modomo/cabinet/photo1/04220137/plugo-06.jpg"" width=""100%"" >

<p>&nbsp;</p>

<!-- スペック表 start -->
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" >
<tr>
<td width=""25%"" bgcolor=""#e8e8e8"">デザイン・ディレクター<br>
デザイナー</td>
<td width=""75%"" bgcolor=""#f0f3f4"">倉方雅行（Masayuki Kurakata）<br>
</td>
</tr>
<tr>
<td bgcolor=""#e8e8e8"">サイズ
</td>
<td bgcolor=""#f0f3f4"">直径140mm　厚さ30mm</td>
</tr>
<tr>
<td bgcolor=""#e8e8e8"">重量

</td>
<td bgcolor=""#f0f3f4"">約290g</td>
</tr>
<tr>
<td bgcolor=""#e8e8e8"">用途
</td>
<td bgcolor=""#f0f3f4"">家庭用コンセントタップ</td>
</tr>
<tr>
  <td bgcolor=""#e8e8e8"">仕様
</td>
  <td bgcolor=""#f0f3f4"">単相100V　3口　合計12A 1200W　コード長2.5m<br>
PSE取得製品　意匠登録済み</td>
</tr>
<tr>
  <td bgcolor=""#e8e8e8"">主要素材
</td>
  <td bgcolor=""#f0f3f4"">ABS樹脂、ポリカーポネート樹脂</td>
</tr>
<tr>
  <td bgcolor=""#e8e8e8"">デザイン
</td>
  <td bgcolor=""#f0f3f4"">倉方雅行 (Masayuki Kurakata)</td>
</tr>
<tr>
  <td bgcolor=""#e8e8e8"">生産国
</td>
  <td bgcolor=""#f0f3f4"">日本</td>
</tr>

</table>
<!-- スペック表 end -->
<p>&nbsp;</p>
<b>※海外への配送について</b>
<p>当商品は、日本国内向けに製造された電化製品なため、安全と保証を考慮して、海外への配送をお受けする事ができませんので、何卒ご了承ください。
また海外でのご使用は、メーカー保証対象外となりますのでご注意ください。<br>
This can't be shipped to foreign countries.<br>
&#36825;个商品不能送到海外。</p>

<!-- ここまで商品ページ end -->",【ポイント10倍 送料無料】コンセントタップ monos PLUGO モノス プラゴ 家庭用 テーブルタップ 延長コード 2.5m 延長コンセントタップ 3口 ドーナツ型電源タップ おしゃれ：Modomo store,ｻﾝﾄﾞﾒｰｶｰ ﾎｯﾄﾌﾟﾚｰﾄｹﾄﾙ ﾎﾞﾄﾙ ﾏｸﾞｶｯﾌﾟ  ﾌﾞﾚﾝﾀﾞｰ ﾃｨｯｼｭｹｰｽｺﾝｾﾝﾄﾀｯﾌﾟ ﾓﾉｽﾊﾞｯｸﾞ ﾎﾟｰﾁ魔法瓶 皿ｸﾛｯｸ 防水時計 傘ﾌﾚｰﾑ ｱﾛﾏﾀﾝﾌﾟﾗｰ ｽｰﾌﾟｼﾞｬｰﾄﾞﾘｯﾊﾟｰ ｿｲﾙﾐｷｻｰ ｺﾞﾐﾊﾟｽﾞﾙ ﾈｯｸﾋﾟｰﾛﾋｰﾀｰ 暖房ｸﾞﾗｽ mozﾃｨｰﾌﾚｰﾑﾄﾗﾍﾞﾙ stanleyｺｰﾄﾞﾚｽ掃除機 ﾐﾙ bruna ﾋｰﾀｰｺｰﾋｰﾒｰｶｰ ﾌｰﾄﾞｺﾝﾃﾅｰ LED【ポイント10倍 送料無料】コンセントタップ monos PLUGO モノス プラゴ 家庭用 テーブルタップ 延長コード 2.5m 延長コンセントタップ 3口 ドーナツ型電源タップ おしゃれ,コンセントタップ テーブルタップ 延長コード 3口。【ポイント10倍 送料無料】コンセントタップ monos PLUGO モノス プラゴ 家庭用 テーブルタップ 延長コード 2.5m 延長コンセントタップ 3口 ドーナツ型電源タップ おしゃれ[rn]
20-164403,http://tshop.r10s.jp/e-kurashi/cabinet/main-001/006/main-xg443.jpg?fitin=700:700,3992.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,山善(YAMAZEN) ケーブルボックス 木製 ハイタイプ TCS-3539(WH) ホワイト ルーター収納 コードケース コード 収納 ケーブル収納 コード収納 コンセントOAタップ 電源タップ 充電ステーション 【送料無料】,　,"＞ カテゴリトップ<br><br>＞ インテリア<br><br>＞ リビング<br><br>＞ 電話台・ファックス台<br><br><img src=""http://www.rakuten.ne.jp/gold/e-kurashi/sp.gif"" height=""0""><p><img src=""http://image.rakuten.co.jp/e-kurashi/cabinet/rk/001/rxg443.jpg"" width=""100%""></p>
<p><img src=""http://image.rakuten.co.jp/e-kurashi/cabinet/pc_sub/020/qw931-02.jpg"" width=""100%""></p><br><br>
<p><img src=""http://image.rakuten.co.jp/e-kurashi/cabinet/pc_sub/020/qw931-03.jpg"" width=""100%""></p><br><br>
<p><img src=""http://image.rakuten.co.jp/e-kurashi/cabinet/pc_sub/020/qw931-04.jpg"" width=""100%""></p><br><br>
<p><img src=""http://image.rakuten.co.jp/e-kurashi/cabinet/pc_sub/020/qw931-05.jpg"" width=""100%""></p><br><br>
<p><img src=""http://image.rakuten.co.jp/e-kurashi/cabinet/pc_sub/023/xg443-02.jpg"" width=""100%""></p>
<center><br><table width=""85%""><tr bgcolor=""#bf0000""><td height=""50"" align=""center""><b><font color=""#ffffff"" size=""+2"">パソコン版で詳細確認⇒</font></b></td></tr></table><br></center><center>
<table width=""100%"" cellpadding=""4"" cellspacing=""1"" bgcolor=""#660033"">
<tr bgcolor=""#FFFFFF"">
<td width=""100%"" colspan=""2""><font size=""2"" color=""#660033"">山善(YAMAZEN) <br>ケーブルボックス 木製 ハイタイプ <br>TCS-3539(WH) ホワイト</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td width=""20%"" bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">本体サイズ</font></td>
<td width=""75%""><font size=""2"" color=""#660033"">幅35×奥行15×高さ40cm　重量3kg</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td width=""20%"" bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">材質</font></td>
<td width=""75%""><font size=""2"" color=""#660033"">天然木化粧繊維版(ラッカー塗装)</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">仕様</font></td>
<td><font size=""2"" color=""#660033"">●原産国：中国<br>●完成品です</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td width=""20%"" bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">商品説明</font></td>
<td width=""75%""><font size=""2"" color=""#660033"">●ごちゃごちゃして見栄えが悪いコードやタップをすっきり見せる目隠しボックス<br>●ルーターやモデムも収納できるハイタイプ<br>●OAタップを外から操作できる親切設計<br>●組み立て不要ですぐ使える完成品<br>●表面に突板を使用し落ち着いた雰囲気を演出<br>●天板サイズ：幅33 奥行14cm<br>●収納部内寸：幅33 奥行12 高さ35cm<br>●可動棚は約3cm間隔、6段階で高さ調節可能</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">商品<br>補足説明</font></td>
<td><font size=""2"" color=""#660033"">YAMAZEN ヤマゼン 山善 通販 コンセント収納 コンセントボックス タップ収納 タップボックス ルーター収納 ルーターボックス ケーブル収納 ケーブルボックス 収納スタンド 収納タワー 収納ボックス 充電ステーション</font></td>
</tr>
</table>
</center>",山善(YAMAZEN) ケーブルボックス 木製 ハイタイプ TCS-3539(WH) ホワイト ルーター収納 コードケース コード 収納 ケーブル収納 コード収納 コンセントOAタップ 電源タップ 充電ステーション 【送料無料】：くらしのｅショップ,送料無料通販暮らしのeショップこたつホットカーペット電気毛布扇風機ハンガーラックカーボンヒーターベッド暮しのeショップ暮らしのe-shopクローゼット暮しのe-shop本棚くらしのe-shopセラミックヒーターテント座椅子山善山善(YAMAZEN) ケーブルボックス 木製 ハイタイプ TCS-3539(WH) ホワイト ルーター収納 コードケース コード 収納 ケーブル収納 コード収納 コンセントOAタップ 電源タップ 充電ステーション 【送料無料】,　。山善(YAMAZEN) ケーブルボックス 木製 ハイタイプ TCS-3539(WH) ホワイト ルーター収納 コードケース コード 収納 ケーブル収納 コード収納 コンセントOAタップ 電源タップ 充電ステーション 【送料無料】[rn]
20-164404,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_125/4966307283637_ll.jpg?fitin=700:700,1424.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ 個別・集中スイッチ付節電タップ(4個口・2m) ホワイト Y02BKS452WH [Y02BKS452WH],,□商品説明<br>●コードを抜かずに電源をON/OFFできる、節電に便利な個別・集中スイッチ付きです。<br>●合計使用容量が1500Wを超えた状態で使用を継続すると内臓のブレーカーが作動し、電源が切れます。<br>●プラグはホコリや湿気によって発生するトラッキング火災を予防する絶縁カバー付きです。<br>●ホコリの進入を防止する安全シャッター付きです。<br>●雷サージフィルターが雷などの過電圧から接続機器を保護します。<br>●180°動くスイングプラグで狭い場所にも配線が可能です。<br>●差込口間が広く開いている箇所があるのでACアダプターも楽に接続が可能です。<br>□商品仕様<br>●口数:4個口<br>●プラグ形状:スイングプラグ<br>●シャッター:あり<br>●ブレーカー:あり<br>●耐トラ: あり<br>●個別スイッチ:個別&集中<br>●コード長:2m<br>●本体寸法:W4.6×H21.5×D3.2cm<br>●本体質量:379g,ヤザワ 個別・集中スイッチ付節電タップ(4個口・2m) ホワイト Y02BKS452WH [Y02BKS452WH]：エディオン　楽天市場店,ヤザワ 個別・集中スイッチ付節電タップ(4個口・2m) ホワイト Y02BKS452WH [Y02BKS452WH],ヤザワ 個別・集中スイッチ付節電タップ(4個口・2m) ホワイト Y02BKS452WH [Y02BKS452WH][rn]
20-164405,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_017/4547441382501_ll.jpg?fitin=700:700,584.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニック 配線コード ホワイト WHA25332WKP [WHA25332WKP],,●重さ(g)：322,パナソニック 配線コード ホワイト WHA25332WKP [WHA25332WKP]：エディオン　楽天市場店,パナソニック 配線コード ホワイト WHA25332WKP [WHA25332WKP],パナソニック 配線コード ホワイト WHA25332WKP [WHA25332WKP][rn]
20-164406,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_065/4953103456846_ll.jpg?fitin=700:700,1048.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 一括&個別スイッチ付 省エネタップ(6個口・1．0m) ホワイト T-E7A-2610WH [TE7A2610WH],,□商品説明<br>●待機電力をまとめて節約できる一括スイッチと、接続機器ごとにON/OFFでき、個別に節約できる個別スイッチが付いた省エネタップです。<br>●ACアダプタや大きめのプラグを接続してもスイッチに干渉しにくい、斜め配置のスイッチを採用しています。<br>●ACアダプタを接続しても隣の差込口に干渉しにくいように、1個の差込口を離れて配置しています。<br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>●電源コードには、社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●プラグ仕様は2ピン式で、便利な6個口タイプです。<br>□商品仕様<br>●本体差込口形状：2ピン<br>●本体差込口個数：6個口<br>●プラグ仕様：2ピン・スイングプラグ<br>●定格：125V・15A・1500W<br>●スイッチ：集中・個別両用スイッチ<br>●二重被ふく：○<br>●スイングプラグ：○<br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>●コード長：1.0m<br>●材質：本体/ABS樹脂、プラグ/PVC、差込口/ユリア樹脂<br>●寸法：W31.0×H3.2×D5.0cm ※コード部分及びプラグ部分を除く<br>●質量：372g,エレコム 一括&amp;個別スイッチ付 省エネタップ(6個口・1．0m) ホワイト T-E7A-2610WH [TE7A2610WH]：エディオン　楽天市場店,エレコム 一括&amp;個別スイッチ付 省エネタップ(6個口・1．0m) ホワイト T-E7A-2610WH [TE7A2610WH],エレコム 一括&amp;個別スイッチ付 省エネタップ(6個口・1．0m) ホワイト T-E7A-2610WH [TE7A2610WH][rn]
20-164407,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_062/4953103457003_ll.jpg?fitin=700:700,718.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 雷ガードタップ(4個口・2．5m) ホワイト T-K1A-2425WH [TK1A2425WH],,□商品説明<br>●雷サージから電子機器を守る、高性能雷サージ吸収素子を内蔵した、雷ガードタップです。プラグ仕様は2ピン式で、便利な4個口タイプです。<br>●一般に雷の被害は、直撃雷によるものはまれで、配電線や通信ケーブル近辺の落雷によって生じる誘導雷が多く、被害は広範囲に広がります。この誘導雷により発生する雷サージ（瞬間的な高電圧）が家屋内に進入すると電気的に接続されている電気製品が破損する恐れがあります。本製品には、最大サージ電圧12、500Vの高性能雷サージ吸収素子（バリスタ）を内蔵しており、雷によるパソコンやAV機器等の電子機器への被害防止に有効です。※最大サージ電圧12500VはJEC210/212規格に基づく数値です。IEC6100-4-5規格では最大サージ電圧は4、500Vになります。<br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●電源コードには、一般社団法人日本配線システム工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。<br>●差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●※直撃雷を受けた場合には機器を保護できません。<br>●※許容量を超える過電流が流れた場合、吸収素子が破損し、機器を保護できない場合があります。<br>●※本製品では、電話線などコンセント以外から進入する雷サージから機器を保護することはできません。<br>□商品仕様<br>●本体差込口形状：2ピン<br>●本体差込口個数：4個口<br>●プラグ仕様：2ピン・スイングプラグ<br>●定格：125V・15A・1500W<br>●雷ガード：○<br>●絶縁キャップ付きプラグ：○<br>●二重被ふく：○<br>●スイングプラグ：○<br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>●電気用品安全法：PSE適合<br>●材質：本体/ABS樹脂、プラグ/PVC、差込口/ユリア樹脂<br>●コード長：2.5m<br>●寸法：W16.4×H2.5×D4.4cm ※コード部分及びプラグ部分を除く<br>●質量：308g,エレコム 雷ガードタップ(4個口・2．5m) ホワイト T-K1A-2425WH [TK1A2425WH]：エディオン　楽天市場店,エレコム 雷ガードタップ(4個口・2．5m) ホワイト T-K1A-2425WH [TK1A2425WH],エレコム 雷ガードタップ(4個口・2．5m) ホワイト T-K1A-2425WH [TK1A2425WH][rn]
20-164408,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_078/4969887229514_ll.jpg?fitin=700:700,3816.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,【送料無料】サンワサプライ 抜け止めタップ(8個口・2m) TAP-3811SWN [TAP3811SWN]【KK9N0D18P】,,□商品説明<br>●一括集中スイッチが付いているので、電源管理ができます。<br>●抜け止めの差込口ですので、不意のプラグ抜けがなく安心して使用できます。<br>●スチール机などに簡単に取付けできるマグネット付きです。<br>●プラグは3P(接地付き)プラグで3P→2P変換アダプタ付きです。<br>●アース接続ができる、アース端子付きです。<br>●壁にネジなどで仮固定することができるフック穴付きです。<br>●差込口には熱に強いユリア樹脂を採用し、ケースは二重成型の安全設計です。<br>●RoHS基準に対応した製品です。<br>□商品仕様<br>●定格容量:15A・125V(合計1500Wまで)<br>●プラグ仕様:3P(3P→2P変換アダプタ付き)<br>●差込口:3P・8個口<br>●差込口形状:抜け止めタイプ<br>●電源コード:2m<br>●寸法:W50.4×H4.0×D5.4cm,【送料無料】サンワサプライ 抜け止めタップ(8個口・2m) TAP-3811SWN [TAP3811SWN]【KK9N0D18P】：エディオン　楽天市場店,【送料無料】サンワサプライ 抜け止めタップ(8個口・2m) TAP-3811SWN [TAP3811SWN]【KK9N0D18P】,【送料無料】サンワサプライ 抜け止めタップ(8個口・2m) TAP-3811SWN [TAP3811SWN]【KK9N0D18P】[rn]
20-164409,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_054/4936960109087_ll.jpg?fitin=700:700,1008.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,トップランド USB2ポート計2．4A付タップ2．5m　WH M4217 [M4217],,□商品説明<br>●USB充電ポートで接続機器を急速充電できます<br>●プラグ先端が180度動き、すっきりと配線できます<br>●トラッキング防止プラグ採用し、コンセント差し込み口には耐熱性樹脂を使用しています<br>□商品仕様<br>●本体サイズ：W41mm×H131mm×D27mm（コード、プラグ部除く）<br>●コード長：2.5m<br>●重量：約298g<br>●定格入力：AC100-240V（50/60Hz）0.3A最大<br>●コンセント差し込み口<br>●○定格容量AC125V 14A 合計1400Wまで<br>●○差し込み口：2口<br>●USBポート<br>●○定格出力：DC5.2V　合計2.4A<br>●○USBコネクタ：Aタイプ<br>●○ポート数：2ポート,トップランド USB2ポート計2．4A付タップ2．5m　WH M4217 [M4217]：エディオン　楽天市場店,トップランド USB2ポート計2．4A付タップ2．5m　WH M4217 [M4217],トップランド USB2ポート計2．4A付タップ2．5m　WH M4217 [M4217][rn]
20-164410,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_058/4950190351603_ll.jpg?fitin=700:700,1280.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,BUFFALO 2/3ピン式電源タップ 雷サージ防止/集中スイッチ付(4+4個口・2m) ブラック BSTAPSDC820BK [BSTAPSDC820BK],,□商品説明<br>●2ピン(4個口)/3ピン(4個口)の計8個口を搭載したマルチ電源タップ。<br>●集中スイッチ付きで電気の消費を抑えるエコタイプ。<br>●安心のブレーカー付き。<br>●落雷による機器の故障を防ぐ雷サージ防止付。<br>●スイングプラグで狭い場所でも壁にピッタリ!<br>●背面マグネットで、デスク側面にもピッタリ。<br>●コードは二重被ふくを採用。<br>●安心のトラッキング現象防止プラグ。<br>●ビニール袋パッケージで環境に優しい。<br>●RoHS基準値準拠。<br>□商品仕様<br>●プラグ仕様:2ピン(アースコード付)<br>●口数:8個口(2ピン/4個口、3ピン/4個口)<br>●スイッチ:集中スイッチ<br>●定格容量:AC125V、15A、合計1500Wまで対応<br>●ケーブル長:2.0m<br>●外形寸法:W24.0×H4.5×D3.2cm<br>●質量:約480g<br>●製品構成:本体,BUFFALO 2/3ピン式電源タップ 雷サージ防止/集中スイッチ付(4+4個口・2m) ブラック BSTAPSDC820BK [BSTAPSDC820BK]：エディオン　楽天市場店,BUFFALO 2/3ピン式電源タップ 雷サージ防止/集中スイッチ付(4+4個口・2m) ブラック BSTAPSDC820BK [BSTAPSDC820BK],BUFFALO 2/3ピン式電源タップ 雷サージ防止/集中スイッチ付(4+4個口・2m) ブラック BSTAPSDC820BK [BSTAPSDC820BK][rn]
20-164411,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_081/4969887832127_ll.jpg?fitin=700:700,1040.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ ホコリ防止シャッター付き 節電エコタップ(4個口・5m) ホワイト TAP-S15-5 [TAPS155],,□商品説明<br>●個別スイッチで各機器のON・OFFが可能なので、待機電力がカットでき、節電効果があります。<br>●光らないエコスイッチにより、通常の光るスイッチに比べて消費電力をさらにカットできます。<br>●ホコリ防止シャッターにより、使用しないコンセントへのホコリの侵入を防ぎ、火事などの事故予防に効果的です。<br>●差込口に小型ACアダプタ1個分を無理なく接続できる間隔を設けています。<br>●トラッキング火災予防に効果的な絶縁キャップ付きプラグです。<br>●狭い場所でもすっきり配線できるスイング式プラグです。<br>□商品仕様<br>●差込口:2P・4個口<br>●プラグ仕様:2P(絶縁キャップ付きスイングプラグ)<br>●定格容量:15A・125V(1500Wまで)<br>●材質:本体/難燃性ABS樹脂、差込口/ユリア樹脂<br>●電源コード:5m<br>●寸法:W24×H2.7×D5cm,サンワサプライ ホコリ防止シャッター付き 節電エコタップ(4個口・5m) ホワイト TAP-S15-5 [TAPS155]：エディオン　楽天市場店,サンワサプライ ホコリ防止シャッター付き 節電エコタップ(4個口・5m) ホワイト TAP-S15-5 [TAPS155],サンワサプライ ホコリ防止シャッター付き 節電エコタップ(4個口・5m) ホワイト TAP-S15-5 [TAPS155][rn]
